LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 32395, 0, 96.01481710140453, 96.42857142857143, 95.88753930575251,
1, 38267, 0, 24.883058509943293, 25.0, 24.8473461719117,
2, 18511, 0, 99.5732267300524, 100.0, 99.43892965041002,
3, 21095, 0, 24.574543730741883, 25.0, 24.448217317487263,
4, 18751, 0, 98.29875739960535, 100.0, 97.79286926994907,
5, 35567, 0, 24.49461579554081, 25.0, 24.34607645875252,
6, 37503, 0, 98.29613630909527, 100.0, 97.79286926994907,
7, 11087, 0, 23.378731848110398, 25.0, 22.929936305732486,
8, 19711, 0, 93.51123738014307, 100.0, 91.71974522292994,
9, 15839, 0, 22.728707620430583, 25.0, 22.123893805309734,
10, 39423, 0, 93.50886538315197, 100.0, 91.71974522292994,
11, 6623, 0, 19.568171523478785, 25.0, 18.367346938775512,
12, 23551, 0, 78.26419260328649, 100.0, 73.46938775510205,
13, 7487, 0, 15.386670228395886, 25.0, 13.793103448275861,
14, 47103, 0, 78.26253104897778, 100.0, 73.46938775510205,
15, 7487, 0, 15.386670228395886, 25.0, 13.793103448275861,
16, 47103, 0, 78.26253104897778, 100.0, 73.46938775510205,
17, 7487, 0, 15.386670228395886, 25.0, 13.793103448275861,
18, 47103, 0, 78.26253104897778, 100.0, 73.46938775510205,
19, 7487, 0, 15.386670228395886, 25.0, 13.793103448275861,
20, 47103, 0, 78.26253104897778, 100.0, 73.46938775510205,
21, 7487, 0, 15.386670228395886, 25.0, 13.793103448275861,
22, 47103, 0, 78.26253104897778, 100.0, 73.46938775510205,
23, 5471, 0, 11.844269786145128, 25.0, 10.227272727272728,
24, 38911, 0, 47.36963840559225, 100.0, 40.909090909090914,
25, 6335, 0, 2.273086029992107, 25.0, 1.7857142857142856,
26, 77823, 0, 47.36902972129062, 100.0, 40.909090909090914,
27, 6335, 0, 2.273086029992107, 25.0, 1.7857142857142856,
28, 703, 0, 4.551920341394026, 50.0, 3.571428571428571,
