LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 5.0, 32343.0, 124416, 1.0, 30086.0, 216, 7.0, 32395.0, 129024, -3146.0, -1.0, 27648, -263.0, -1.0, 216, 32395.0, 64650.0, 129024,
1, 5.0, 38265.0, 152352, 1.0, 36146.0, 72, 7.0, 38264.0, 38088, -3146.0, -1.0, 18432, -263.0, -1.0, 72, 38267.0, 47788.0, 38088,
2, 5.0, 18509.0, 73728, 1.0, 16202.0, 128, 7.0, 18511.0, 73728, -3146.0, -1.0, 18432, -263.0, -1.0, 128, 18511.0, 36942.0, 73728,
3, 5.0, 21068.0, 82944, 1.0, 20514.0, 144, 7.0, 21092.0, 20736, -4719.0, -1.0, 36864, -263.0, -1.0, 144, 21095.0, 26278.0, 20736,
4, 5.0, 18749.0, 73728, 1.0, 18170.0, 512, 7.0, 18751.0, 73728, -1573.0, -1.0, 9216, -263.0, -1.0, 512, 18751.0, 37182.0, 73728,
5, 5.0, 35565.0, 139392, 1.0, 35078.0, 288, 7.0, 35564.0, 34848, -3146.0, -1.0, 18432, -263.0, -1.0, 288, 35567.0, 44278.0, 34848,
6, 5.0, 37501.0, 147456, 1.0, 36922.0, 1024, 7.0, 37503.0, 147456, -3146.0, -1.0, 18432, -263.0, -1.0, 1024, 37503.0, 74366.0, 147456,
7, 5.0, 11072.0, 41472, 1.0, 10938.0, 288, 7.0, 11084.0, 10368, -3146.0, -1.0, 18432, -263.0, -1.0, 288, 11087.0, 13678.0, 10368,
8, 5.0, 19709.0, 73728, 1.0, 19562.0, 2048, 7.0, 19711.0, 73728, -1573.0, -1.0, 4608, -263.0, -1.0, 2048, 19711.0, 38142.0, 73728,
9, 5.0, 15837.0, 57600, 1.0, 15734.0, 576, 7.0, 15836.0, 14400, -1573.0, -1.0, 9216, -263.0, -1.0, 576, 15839.0, 19438.0, 14400,
10, 5.0, 39421.0, 147456, 1.0, 39274.0, 4096, 7.0, 39423.0, 147456, -1573.0, -1.0, 9216, -525.0, -1.0, 4096, 39423.0, 76286.0, 147456,
11, 5.0, 6614.0, 20736, 1.0, 6582.0, 576, 7.0, 6620.0, 5184, -1573.0, -1.0, 9216, -263.0, -1.0, 576, 6623.0, 7918.0, 5184,
12, 5.0, 23549.0, 73728, 1.0, 23510.0, 8192, 7.0, 23551.0, 73728, -1573.0, -1.0, 2304, -1049.0, -1.0, 8192, 23551.0, 41982.0, 73728,
13, 5.0, 7485.0, 18432, 1.0, 7466.0, 1152, 7.0, 7484.0, 4608, -1573.0, -1.0, 4608, -263.0, -1.0, 1152, 7487.0, 8638.0, 4608,
