LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 201055, 0, 84.22769888836388, 84.375, 84.18038654259126,
1, 436391, 0, 12.477342566643216, 12.5, 12.470112952428066,
2, 402111, 0, 99.8251726513326, 100.0, 99.7693470134415,
3, 227375, 0, 12.412974161627268, 12.5, 12.385466034755135,
4, 404223, 0, 99.30360221956693, 100.0, 99.08372827804108,
5, 423071, 0, 12.406428235449841, 12.5, 12.376910016977929,
6, 808447, 0, 99.30347938702228, 100.0, 99.08372827804108,
7, 116063, 0, 12.158913693425122, 12.5, 12.05412054120541,
8, 412671, 0, 97.2707071735111, 100.0, 96.4329643296433,
9, 201023, 0, 12.10607741402725, 12.5, 11.985815602836878,
10, 825343, 0, 97.27058931862268, 100.0, 96.4329643296433,
11, 62783, 0, 11.238711116066451, 12.5, 10.888888888888888,
12, 446463, 0, 89.90845825969902, 100.0, 87.1111111111111,
13, 95615, 0, 10.84348690059091, 12.5, 10.404624277456648,
14, 892927, 0, 89.90835757010372, 100.0, 87.1111111111111,
15, 95615, 0, 10.84348690059091, 12.5, 10.404624277456648,
16, 892927, 0, 89.90835757010372, 100.0, 87.1111111111111,
17, 95615, 0, 10.84348690059091, 12.5, 10.404624277456648,
18, 892927, 0, 89.90835757010372, 100.0, 87.1111111111111,
19, 95615, 0, 10.84348690059091, 12.5, 10.404624277456648,
20, 892927, 0, 89.90835757010372, 100.0, 87.1111111111111,
21, 95615, 0, 10.84348690059091, 12.5, 10.404624277456648,
22, 892927, 0, 89.90835757010372, 100.0, 87.1111111111111,
23, 40895, 0, 8.62697151240983, 12.5, 7.852564102564102,
24, 581631, 0, 69.0142031631739, 100.0, 62.82051282051282,
25, 35711, 0, 3.629133880316989, 12.5, 2.960526315789473,
26, 1163263, 0, 69.01414383505707, 100.0, 62.82051282051282,
