b,M,N,K,einsum_us,single_us,b_single_us,R
1,128,128,64,1.3096,1.2951,1.2951,1.01119
2,128,128,64,1.3952,1.2951,2.5903,0.53863
4,128,128,64,1.4639,1.2951,5.1805,0.28258
8,128,128,64,1.6203,1.2951,10.3610,0.15639
16,128,128,64,2.0235,1.2951,20.7221,0.09765
32,128,128,64,2.7201,1.2951,41.4442,0.06563
64,128,128,64,4.0436,1.2951,82.8883,0.04878
1,256,256,64,1.4041,1.4324,1.4324,0.98019
2,256,256,64,1.5764,1.4324,2.8649,0.55026
4,256,256,64,1.9023,1.4324,5.7298,0.33200
8,256,256,64,2.5241,1.4324,11.4596,0.22026
16,256,256,64,3.6623,1.4324,22.9192,0.15979
32,256,256,64,5.9032,1.4324,45.8383,0.12878
64,256,256,64,8.7937,1.4324,91.6767,0.09592
1,512,512,64,1.7964,1.7947,1.7947,1.00092
2,512,512,64,2.3832,1.7947,3.5895,0.66395
4,512,512,64,3.4694,1.7947,7.1790,0.48328
8,512,512,64,5.5742,1.7947,14.3580,0.38823
16,512,512,64,9.7073,1.7947,28.7159,0.33805
32,512,512,64,14.6074,1.7947,57.4318,0.25434
64,512,512,64,27.5019,1.7947,114.8637,0.23943
1,1024,1024,64,3.2762,3.3214,3.3214,0.98639
2,1024,1024,64,5.3595,3.3214,6.6428,0.80682
4,1024,1024,64,9.3011,3.3214,13.2855,0.70009
8,1024,1024,64,13.7753,3.3214,26.5710,0.51843
16,1024,1024,64,25.8568,3.3214,53.1421,0.48656
32,1024,1024,64,49.9867,3.3214,106.2842,0.47031
64,1024,1024,64,98.8879,3.3214,212.5683,0.46521
1,128,128,128,1.2568,1.2898,1.2898,0.97439
2,128,128,128,1.3230,1.2898,2.5797,0.51287
4,128,128,128,1.4723,1.2898,5.1594,0.28536
8,128,128,128,1.7125,1.2898,10.3187,0.16596
16,128,128,128,2.1575,1.2898,20.6375,0.10454
32,128,128,128,3.0004,1.2898,41.2750,0.07269
64,128,128,128,4.6256,1.2898,82.5500,0.05603
1,256,256,128,1.4101,1.3826,1.3826,1.01991
2,256,256,128,1.6029,1.3826,2.7651,0.57968
4,256,256,128,1.9906,1.3826,5.5303,0.35994
8,256,256,128,2.6646,1.3826,11.0606,0.24091
16,256,256,128,3.9831,1.3826,22.1212,0.18006
32,256,256,128,6.5089,1.3826,44.2423,0.14712
64,256,256,128,9.3824,1.3826,88.4847,0.10603
1,512,512,128,1.8516,1.8308,1.8308,1.01139
2,512,512,128,2.4795,1.8308,3.6615,0.67718
4,512,512,128,3.5938,1.8308,7.3231,0.49076
8,512,512,128,5.8193,1.8308,14.6461,0.39733
16,512,512,128,8.9021,1.8308,29.2922,0.30391
32,512,512,128,15.6841,1.8308,58.5845,0.26772
64,512,512,128,30.2413,1.8308,117.1690,0.25810
1,256,128,64,1.3049,1.2916,1.2916,1.01034
2,256,128,64,1.4065,1.2916,2.5832,0.54450
4,256,128,64,1.5891,1.2916,5.1663,0.30760
8,256,128,64,1.8931,1.2916,10.3326,0.18321
16,256,128,64,2.5443,1.2916,20.6652,0.12312
32,256,128,64,3.6477,1.2916,41.3305,0.08826
64,256,128,64,5.9219,1.2916,82.6610,0.07164
1,512,128,128,1.3557,1.3365,1.3365,1.01436
2,512,128,128,1.5216,1.3365,2.6730,0.56924
4,512,128,128,1.8245,1.3365,5.3459,0.34129
8,512,128,128,2.4440,1.3365,10.6918,0.22858
16,512,128,128,3.5873,1.3365,21.3837,0.16776
32,512,128,128,5.8950,1.3365,42.7673,0.13784
64,512,128,128,8.6917,1.3365,85.5347,0.10162
1,128,512,64,1.3982,1.3593,1.3593,1.02864
2,128,512,64,1.5229,1.3593,2.7186,0.56018
4,128,512,64,1.8143,1.3593,5.4372,0.33369
8,128,512,64,2.4129,1.3593,10.8744,0.22189
16,128,512,64,3.4548,1.3593,21.7488,0.15885
32,128,512,64,5.4867,1.3593,43.4975,0.12614
64,128,512,64,8.8204,1.3593,86.9950,0.10139
