model,seq,batch,Sc_us,Sn_us,Nc,Nn,truth_us
gpt2,128,1,196.6219039999999,2693.1127610000062,73,767,495.0
gpt2,256,1,479.41425600000025,3413.591017000003,73,767,723.9
gpt2,512,1,659.8735360000003,5098.31591,73,767,1175.3
gpt2,1024,1,1835.305894,10323.08921999995,73,767,2377.9
qwen2.5-0.5b,128,1,665.6605279999998,7706.300375999931,218,2160,1462.3999999999999
qwen2.5-0.5b,256,1,1680.2683059999986,9028.220598999884,218,2160,2023.6000000000001
qwen2.5-0.5b,512,1,2218.888557999995,12112.196014999867,218,2160,3386.5
qwen2.5-0.5b,1024,1,6465.406057000009,22946.696237000186,218,2160,7000.0
smollm2-135m,128,1,480.5612429999995,7524.424536999927,272,2508,950.2
smollm2-135m,256,1,878.4027249999996,8470.248048999942,272,2508,1154.9
smollm2-135m,512,1,1210.1241150000017,11011.300149999779,272,2508,1765.2
smollm2-135m,1024,1,2914.686451999998,19390.394151000222,272,2508,3506.5
tiny_transformer,128,1,33.690065000000004,569.9341129999995,19,182,138.2
