model,seq,batch,Sc_us,Sn_us,Nc,Nn,truth_us
gpt2,1024,1,904.7657,13897.5756,73,767,1965.5000
gpt2,128,1,182.0607,1835.6568,73,767,763.5000
gpt2,256,1,283.5327,2753.0138,73,767,792.3000
gpt2,512,1,386.1764,5943.5533,73,767,953.6000
qwen2.5-0.5b,1024,1,2929.3348,32550.4142,218,2160,3750.0000
qwen2.5-0.5b,128,1,599.3970,5492.7815,218,2160,1521.2000
qwen2.5-0.5b,256,1,934.8321,7385.3740,218,2160,1663.8000
qwen2.5-0.5b,512,1,1226.8604,15545.3360,218,2160,2154.9000
smollm2-135m,1024,1,1722.4373,30299.3342,272,2508,2554.2000
smollm2-135m,128,1,451.6006,4365.2350,272,2508,1091.2000
smollm2-135m,256,1,654.9327,5677.7411,272,2508,1177.3000
smollm2-135m,512,1,845.0485,9872.1286,272,2508,1469.5000
tiny_transformer,128,1,32.0279,322.4039,19,182,335.6000
