model,seq,batch,Sc_us,Sn_us,Nc,Nn,truth_us
gpt2,128,1,182.06074099999998,1890.5589900000018,73,767,312.09999999999997
gpt2,256,1,283.53272199999975,2728.040850000003,73,767,390.29999999999995
gpt2,512,1,386.1764120000002,5075.538469000001,73,767,499.3
gpt2,1024,1,904.7656539999999,23033.579368999937,73,767,1484.2
qwen2.5-0.5b,128,1,599.397042000001,5674.54564299999,218,2160,813.2
qwen2.5-0.5b,256,1,934.8320639999993,8579.425429000006,218,2160,919.3
qwen2.5-0.5b,512,1,1226.8603710000011,14450.047376999986,218,2160,1421.4
qwen2.5-0.5b,1024,1,2929.334836000005,66409.28466199987,218,2160,2935.2999999999997
smollm2-135m,128,1,451.6006440000004,4711.687049,272,2508,383.6
smollm2-135m,256,1,654.9327059999986,5919.557275999985,272,2508,507.6
smollm2-135m,512,1,845.0484609999996,9304.157733000085,272,2508,771.4
smollm2-135m,1024,1,1722.4373080000062,42336.83370700003,272,2508,1819.0
tiny_transformer,128,1,32.027883,343.42916599999955,19,182,182.8
