model,seq,batch,Sc_us,Sn_us,Nc,Nn,truth_us
gpt2,128,1,196.6219039999999,11920.302240000012,73,767,495.0
gpt2,256,1,479.41425600000025,15424.180170999989,73,767,723.9
gpt2,512,1,659.8735360000003,20393.483364000087,73,767,1175.3
gpt2,1024,1,1835.305894,55750.453086000074,73,767,2377.9
qwen2.5-0.5b,128,1,665.6605279999998,34402.4587129998,218,2160,1462.3999999999999
qwen2.5-0.5b,256,1,1680.2683059999986,39657.130127000135,218,2160,2023.6000000000001
qwen2.5-0.5b,512,1,2218.888557999995,52060.73960800044,218,2160,3386.5
qwen2.5-0.5b,1024,1,6465.406057000009,122528.11418999953,218,2160,7000.0
smollm2-135m,128,1,480.5612429999995,36823.78989199997,272,2508,950.2
smollm2-135m,256,1,878.4027249999996,41256.56458999985,272,2508,1154.9
smollm2-135m,512,1,1210.1241150000017,48806.13687200061,272,2508,1765.2
smollm2-135m,1024,1,2914.686451999998,136193.20551600106,272,2508,3506.5
tiny_transformer,128,1,33.690065000000004,2635.9539159999986,19,182,138.2
