d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,13.587976,13.587976,106.199994,92.612018
1,1,16,16,4.000000,16.161912,16.161912,104.549981,88.388069
1,1,33,33,5.044394,13.961421,13.961421,106.229971,92.268550
1,1,48,48,5.584963,14.583326,14.583326,106.199994,91.616668
1,1,66,66,6.044394,14.635603,14.635603,112.559996,97.924393
1,1,75,75,6.228819,14.991324,14.991324,109.950022,94.958698
1,1,87,87,6.442943,13.827374,13.827374,107.289990,93.462617
1,1,111,111,6.794416,13.760967,13.760967,105.380022,91.619055
1,1,636,636,9.312883,11.401548,11.401548,106.680032,95.278485
1,1,797,797,9.638436,13.722024,13.722024,105.009996,91.287972
1,1,931,931,9.862637,14.866153,14.866153,102.230988,87.364835
1,1,1006,1006,9.974415,13.156882,13.156882,107.709959,94.553076
1,1,1115,1115,10.122828,13.737009,13.737009,106.440042,92.703033
1,1,1446,1446,10.497852,13.898825,13.898825,109.829998,95.931174
1,1,1695,1695,10.727070,12.859167,12.859167,111.469999,98.610832
1,1,10690,10690,13.383974,12.457850,12.457850,110.859983,98.402133
1,1,21218,21218,14.373001,13.782671,13.782671,104.039966,90.257295
1,1,49863,49863,15.605682,14.588341,14.588341,106.360007,91.771666
1,8,10,80,6.321928,13.323556,13.323556,104.650040,91.326484
1,8,16,128,7.000000,12.604747,12.604747,105.599989,92.995242
1,8,36,288,8.169925,14.434866,14.434866,104.369014,89.934148
1,8,42,336,8.392317,13.123817,13.123817,106.309948,93.186131
1,8,85,680,9.409391,12.804026,12.804026,107.579981,94.775955
1,8,90,720,9.491853,13.217016,13.217016,108.590000,95.372984
1,8,185,1480,10.531381,12.898356,12.898356,105.970015,93.071660
1,8,250,2000,10.965784,13.598675,13.598675,106.849999,93.251323
1,8,300,2400,11.228819,13.081919,13.081919,103.769999,90.688079
1,8,336,2688,11.392317,12.970246,12.970246,104.989973,92.019727
1,8,490,3920,11.936638,12.762537,12.762537,105.380022,92.617485
1,8,527,4216,12.041659,12.697396,12.697396,105.399988,92.702592
1,8,846,6768,12.724514,14.685722,14.685722,111.670000,96.984279
1,8,3222,25776,14.653741,13.459033,13.459033,105.020008,91.560975
1,8,7511,60088,15.874789,13.130149,13.130149,107.809959,94.679811
1,8,7749,61992,15.919794,13.780127,13.780127,106.050051,92.269924
1,8,9317,74536,16.185650,13.691897,13.691897,106.660009,92.968112
1,8,10422,83376,16.347345,12.677611,12.677611,105.510000,92.832389
1,8,30026,240208,17.873925,14.434271,14.434271,106.689986,92.255715
1,8,45294,362352,18.467032,17.214747,17.214747,108.770037,91.555289
1,16,14,224,7.807355,13.829717,13.829717,106.740044,92.910327
1,16,49,784,9.614710,14.916674,14.916674,105.399988,90.483313
1,16,112,1792,10.807355,12.615112,12.615112,105.710002,93.094890
1,16,128,2048,11.000000,12.641771,12.641771,105.700048,93.058277
1,16,159,2544,11.312883,12.228825,12.228825,106.079970,93.851145
1,16,183,2928,11.515700,12.462731,12.462731,104.649982,92.187251
1,16,192,3072,11.584963,13.206458,13.206458,108.910026,95.703568
1,16,273,4368,12.092757,14.547999,14.547999,105.770014,91.222015
1,16,274,4384,12.098032,13.366101,13.366101,105.180021,91.813920
1,16,298,4768,12.219169,13.089308,13.089308,107.290049,94.200741
1,16,331,5296,12.370687,13.969449,13.969449,107.910018,93.940569
1,16,392,6272,12.614710,12.851175,12.851175,104.709994,91.858819
1,16,693,11088,13.436712,14.504174,14.504174,104.649982,90.145808
1,16,1152,18432,14.169925,13.101198,13.101198,105.569954,92.468756
1,16,1532,24512,14.581201,12.768675,12.768675,107.789994,95.021319
1,16,4879,78064,16.252370,13.901518,13.901518,105.439976,91.538458
1,16,5281,84496,16.366595,13.956466,13.956466,106.660009,92.703543
1,16,6413,102608,16.646784,15.373713,15.373713,106.210005,90.836293
1,16,7612,121792,16.894060,13.577969,13.577969,107.239990,93.662021
1,16,9046,144736,17.143064,13.937619,13.937619,105.488987,91.551368
1,16,17040,272640,18.056638,14.206183,14.206183,107.349013,93.142830
1,16,25594,409504,18.643518,15.650498,15.650498,106.549007,90.898509
1,16,42689,683024,19.381577,17.675863,17.675863,108.679989,91.004126
1,16,44560,712960,19.443462,19.314777,19.314777,111.419999,92.105222
1,64,11,704,9.459432,13.519874,13.519874,106.519961,93.000088
1,64,15,960,9.906891,14.095945,14.095945,107.450003,93.354058
1,64,34,2176,11.087463,15.529152,15.529152,106.739986,91.210834
1,64,60,3840,11.906891,13.788318,13.788318,105.409999,91.621681
1,64,98,6272,12.614710,14.716696,14.716696,104.449980,89.733284
1,64,580,37120,15.179909,15.042738,15.042738,105.190033,90.147294
1,64,1028,65792,16.005625,13.936905,13.936905,106.319960,92.383055
1,64,1665,106560,16.701306,15.414405,15.414405,106.149993,90.735589
1,64,1986,127104,16.955650,13.927827,13.927827,106.549007,92.621180
1,64,2314,148096,17.176173,13.727849,13.727849,106.789987,93.062137
1,64,6135,392640,18.582848,15.695238,15.695238,109.640008,93.944770
1,64,6254,400256,18.610564,15.527976,15.527976,108.850014,93.322038
1,64,10279,657856,19.327412,18.307173,18.307173,109.460030,91.152858
1,64,16044,1026816,19.969746,20.676109,20.676109,112.369948,91.693839
1,64,19234,1230976,20.231371,21.200603,21.200603,112.899987,91.699384
1,64,24209,1549376,20.563256,24.010506,24.010506,115.139992,91.129486
1,64,31062,1987968,20.922863,25.691972,25.691972,118.669996,92.978024
1,64,35567,2276288,21.118252,27.055863,27.055863,120.499986,93.444123
1,128,9,1152,10.169925,14.203668,14.203668,105.820014,91.616346
1,128,27,3456,11.754888,13.109293,13.109293,107.410015,94.300722
1,128,47,6016,12.554589,13.292768,13.292768,108.929991,95.637224
1,128,147,18816,14.199672,12.523809,12.523809,105.309999,92.786189
1,128,157,20096,14.294621,13.433348,13.433348,105.949992,92.516644
1,128,207,26496,14.693487,14.671451,14.671451,105.849002,91.177551
1,128,271,34688,15.082149,13.032745,13.032745,107.069034,94.036289
1,128,279,35712,15.124121,14.408795,14.408795,104.800041,90.391247
1,128,1550,198400,17.598053,16.089896,16.089896,106.639985,90.550090
1,128,2443,312704,18.254438,14.603824,14.603824,105.409999,90.806175
1,128,3069,392832,18.583553,14.645580,14.645580,106.370018,91.724438
1,128,8463,1083264,20.046953,19.196198,19.196198,109.850022,90.653824
1,128,13624,1743872,20.733863,27.454777,27.454777,115.000003,87.545226
1,128,28105,3597440,21.778539,34.360253,34.360253,125.010032,90.649779
1,128,28196,3609088,21.783203,33.878214,33.878214,125.700026,91.821811
1,128,44731,5725568,22.448987,47.225967,47.225967,138.869975,91.644007
1,256,10,2560,11.321928,12.057760,12.057760,103.789964,91.732204
1,256,22,5632,12.459432,15.450826,15.450826,103.940023,88.489197
1,256,25,6400,12.643856,11.870022,11.870022,104.430015,92.559993
1,256,44,11264,13.459432,11.819881,11.819881,104.449980,92.630100
1,256,59,15104,13.882643,13.265953,13.265953,102.809980,89.544027
1,256,135,34560,15.076816,13.898668,13.898668,101.729995,87.831326
1,256,167,42752,15.383704,14.447500,14.447500,103.219994,88.772494
1,256,247,63232,15.948367,12.350015,12.350015,105.030020,92.680005
1,256,291,74496,16.184875,13.780000,13.780000,103.849976,90.069976
1,256,356,91136,16.475733,14.392641,14.392641,105.190033,90.797391
1,256,432,110592,16.754888,12.339747,12.339747,105.549989,93.210242
1,256,455,116480,16.829723,12.113378,12.113378,105.259998,93.146620
1,256,496,126976,16.954196,13.648095,13.648095,104.289968,90.641872
1,256,10171,2603776,21.312174,27.820193,27.820193,120.029959,92.209766
1,256,13038,3337728,21.670435,32.713073,32.713073,125.200022,92.486949
1,256,18450,4723200,22.171333,40.851183,40.851183,133.640016,92.788833
1,512,11,5632,12.459432,11.676428,11.676428,103.799975,92.123547
1,512,13,6656,12.700440,11.544732,11.544732,104.230014,92.685282
1,512,14,7168,12.807355,11.958564,11.958564,102.769991,90.811427
1,512,46,23552,14.523562,13.875699,13.875699,102.769991,88.894291
1,512,110,56320,15.781360,12.530454,12.530454,103.290018,90.759564
1,512,165,84480,16.366322,13.911897,13.911897,102.299964,88.388067
1,512,267,136704,17.060696,13.995610,13.995610,103.808998,89.813387
1,512,1306,668672,19.350939,16.890119,16.890119,108.239998,91.349879
1,512,2054,1051648,20.004220,18.917388,18.917388,110.230991,91.313603
1,512,2088,1069056,20.027906,18.804040,18.804040,110.869994,92.065954
1,512,2250,1152000,20.135709,22.013222,22.013222,111.550034,89.536813
1,512,8656,4431872,22.079485,39.748118,39.748118,131.519977,91.771859
1,512,12121,6205952,22.565221,49.718489,49.718489,142.209989,92.491499
1,512,14592,7471104,22.832890,58.760446,58.760446,150.690030,91.929583
1,512,33434,17118208,24.029028,117.497723,117.497723,208.789948,91.292225
1,512,35856,18358272,24.129927,124.732277,124.732277,217.150024,92.417747
1,1024,9,9216,13.169925,12.351421,12.351421,102.879945,90.528524
1,1024,11,11264,13.459432,13.472865,13.472865,103.249971,89.777107
1,1024,18,18432,14.169925,11.556927,11.556927,103.880011,92.323084
1,1024,21,21504,14.392317,12.954665,12.954665,102.769991,89.815326
1,1024,75,76800,16.228819,12.259271,12.259271,103.829952,91.570682
1,1024,110,112640,16.781360,12.856540,12.856540,106.710009,93.853469
1,1024,169,173056,17.400879,14.036667,14.036667,104.809005,90.772339
1,1024,253,259072,17.982994,13.674144,13.674144,104.840030,91.165886
1,1024,346,354304,18.434628,14.534754,14.534754,106.450985,91.916231
1,1024,504,516096,18.977280,15.718348,15.718348,107.190979,91.472631
1,1024,1354,1386496,20.403012,22.351898,22.351898,113.529968,91.178070
1,1024,3805,3896320,21.893681,35.899509,35.899509,128.899992,93.000483
1,1024,5224,5349376,22.350939,45.418690,45.418690,137.379975,91.961285
1,1024,5745,5882880,22.488091,50.330119,50.330119,141.359982,91.029863
1,1024,5876,6017024,22.520619,50.565216,50.565216,138.689997,88.124781
1,1024,6787,6949888,22.728558,56.947143,56.947143,144.899997,87.952854
1,1024,8890,9103360,23.117968,67.743081,67.743081,156.708993,88.965913
1,1024,9437,9663488,23.204113,71.055811,71.055811,161.869975,90.814164
1,1024,22750,23296000,24.473579,154.232842,154.232842,245.339994,91.107151
1,1024,37999,38910976,25.213674,250.965245,250.965245,341.109990,90.144744
2,1,116,232,7.857981,12.097530,12.097530,101.229991,89.132461
2,1,126,252,7.977280,12.643341,12.643341,102.090999,89.447658
2,1,179,358,8.483816,10.845469,10.845469,100.359961,89.514492
2,1,190,380,8.569856,11.187842,11.187842,101.069978,89.882136
2,1,298,596,9.219169,11.946213,11.946213,101.529993,89.583780
2,1,2494,4988,12.284246,11.212240,11.212240,101.499958,90.287718
2,1,4226,8452,13.045077,10.604747,10.604747,101.769983,91.165236
2,1,7883,15766,13.944529,11.893438,11.893438,98.099990,86.206553
2,1,10111,20222,14.303638,11.703802,11.703802,99.950004,88.246202
2,8,11,176,7.459432,11.796317,11.796317,102.079997,90.283680
2,8,244,3904,11.930737,11.623236,11.623236,100.179983,88.556746
2,8,617,9872,13.269127,11.597009,11.597009,100.208970,88.611961
2,8,741,11856,13.533330,11.884040,11.884040,101.690996,89.806955
2,8,2829,45264,15.466076,13.709412,13.709412,105.760002,92.050590
2,8,5525,88400,16.431759,13.814182,13.814182,100.050995,86.236813
2,16,20,640,9.321928,12.341667,12.341667,100.150006,87.808339
2,16,69,2208,11.108524,11.525253,11.525253,101.519981,89.994728
2,16,94,3008,11.554589,11.442523,11.442523,103.269995,91.827472
2,64,9,1152,10.169925,11.452143,11.452143,101.329992,89.877849
2,64,14,1792,10.807355,11.537284,11.537284,100.100006,88.562721
2,64,88,11264,13.459432,12.286421,12.286421,99.779980,87.493559
2,64,8964,1147392,20.129927,20.073795,20.073795,110.159977,90.086183
2,64,19978,2557184,21.286125,27.659896,27.659896,115.809962,88.150066
2,128,40,10240,13.321928,15.054524,15.054524,100.480043,85.425519
2,128,162,41472,15.339850,12.100513,12.100513,100.620033,88.519520
2,128,862,220672,17.751544,16.242485,16.242485,102.300022,86.057537
2,256,82,41984,15.357552,19.549323,19.549323,100.460020,80.910697
2,256,150,76800,16.228819,12.797492,12.797492,100.409961,87.612469
2,256,234,119808,16.870365,12.986280,12.986280,101.000012,88.013733
2,256,15094,7728128,22.881688,59.752894,59.752894,149.030006,89.277111
2,512,14,14336,13.807355,11.430603,11.430603,100.689998,89.259396
2,512,93,95232,16.539159,14.226548,14.226548,101.050013,86.823465
2,512,1048,1073152,20.033423,19.484308,19.484308,108.209962,88.725654
2,512,8083,8276992,22.980675,64.113378,64.113378,154.750014,90.636636
2,1024,43,88064,16.426265,12.199889,12.199889,101.340003,89.140115
2,1024,181,370688,18.499846,15.275238,15.275238,103.650964,88.375726
2,1024,359,735232,19.487840,19.212277,19.212277,107.200001,87.987725
2,1024,1694,3469312,21.726218,33.998661,33.998661,123.371021,89.372360
2,1024,15200,31129600,24.891784,202.212649,202.212649,292.829995,90.617346
4,1,33,132,7.044394,12.129182,12.129182,100.020028,87.890847
4,1,9097,36388,15.151175,11.628817,11.628817,100.459962,88.831145
4,1,11333,45332,15.468242,11.827017,11.827017,100.950012,89.122995
4,8,1474,47168,15.525521,12.368921,12.368921,102.000020,89.631099
4,8,3806,121792,16.894060,12.486309,12.486309,99.980040,87.493730
4,8,6618,211776,17.692180,12.942760,12.942760,102.719991,89.777230
4,16,19,1216,10.247928,12.002887,12.002887,101.389945,89.387058
4,16,215,13760,13.748193,11.390945,11.390945,101.519981,90.129037
4,16,326,20864,14.348728,12.517597,12.517597,100.360019,87.842422
4,16,347,22208,14.438792,11.049642,11.049642,100.929989,89.880346
4,16,396,25344,14.629357,11.743579,11.743579,101.319980,89.576401
4,16,439,28096,14.778077,12.187002,12.187002,100.600009,88.413008
4,16,14332,917248,19.806952,20.005126,20.005126,108.550012,88.544885
4,64,15,3840,11.906891,11.513802,11.513802,101.300015,89.786213
4,64,22,5632,12.459432,11.262359,11.262359,100.479985,89.217627
4,64,27,6912,12.754888,14.096414,14.096414,100.840000,86.743586
4,64,2169,555264,19.082814,14.341458,14.341458,103.149971,88.808512
4,64,4001,1024256,19.966145,19.141555,19.141555,108.969980,89.828425
4,64,6265,1603840,20.613099,23.087857,23.087857,112.299982,89.212125
4,128,61,31232,14.930737,11.559494,11.559494,100.828998,89.269504
4,128,97,49664,15.599913,11.730602,11.730602,99.890982,88.160379
4,128,123,62976,15.942515,11.926674,11.926674,102.980004,91.053330
4,128,365,186880,17.511753,13.027991,13.027991,104.420003,91.392013
4,128,382,195584,17.577429,13.705149,13.705149,101.200014,87.494865
4,128,737,377344,18.525521,14.456094,14.456094,104.780018,90.323924
4,128,752,385024,18.554589,14.322254,14.322254,103.249971,88.927717
4,128,849,434688,18.729621,15.706064,15.706064,103.379949,87.673885
4,128,28861,14776832,23.816834,102.336919,102.336919,194.659980,92.323061
4,256,17,17408,14.087463,11.796056,11.796056,101.859972,90.063916
4,256,95,97280,16.569856,12.314040,12.314040,101.740006,89.425966
4,256,252,258048,17.977280,14.906920,14.906920,103.369006,88.462086
4,256,362,370688,18.499846,14.787984,14.787984,102.240010,87.452026
4,256,605,619520,19.240791,16.842024,16.842024,105.869956,89.027932
4,256,2007,2055168,20.970825,24.870945,24.870945,114.429044,89.558098
4,256,3313,3392512,21.693922,33.307173,33.307173,122.089987,88.782814
4,256,3645,3732480,21.831703,34.373928,34.373928,123.429985,89.056057
4,256,10552,10805248,23.365229,79.549405,79.549405,167.540042,87.990637
4,256,31326,32077824,24.935073,210.530677,210.530677,299.450010,88.919333
4,512,230,471040,18.845490,15.462872,15.462872,105.590036,90.127164
4,1024,15,61440,15.906891,11.286547,11.286547,100.309961,89.023413
4,1024,18,73728,16.169925,11.818207,11.818207,101.000012,89.181806
4,1024,183,749568,19.515700,17.457984,17.457984,107.231026,89.773042
8,1,932,7456,12.864186,11.432983,11.432983,103.130005,91.697022
8,1,9750,78000,16.251187,11.697396,11.697396,101.299956,89.602561
8,1,30081,240648,17.876565,12.859762,12.859762,102.079997,89.220236
8,8,11,704,9.459432,11.105714,11.105714,101.659971,90.554256
8,8,14,896,9.807355,10.979256,10.979256,100.489997,89.510741
8,8,136,8704,13.087463,11.740104,11.740104,101.499958,89.759854
8,8,154,9856,13.266787,12.876659,12.876659,99.989993,87.113334
8,8,527,33728,15.041659,11.827135,11.827135,100.398960,88.571825
8,8,10455,669120,19.351905,16.189621,16.189621,106.229971,90.040350
8,8,38295,2450880,21.224868,27.667626,27.667626,114.850001,87.182375
8,16,65,8320,13.022368,11.655573,11.655573,100.379984,88.724411
8,16,146,18688,14.189825,11.928333,11.928333,99.950004,88.021671
