d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,13.012597,13.012597,105.048995,92.036399
1,1,16,16,4.000000,11.773348,11.773348,106.270018,94.496669
1,1,33,33,5.044394,11.065008,11.065008,107.159954,96.094947
1,1,48,48,5.584963,11.576191,11.576191,134.809990,123.233800
1,1,66,66,6.044394,10.764502,10.764502,106.379972,95.615470
1,1,75,75,6.228819,11.084487,11.084487,104.310049,93.225562
1,1,87,87,6.442943,12.052976,12.052976,106.160005,94.107029
1,1,111,111,6.794416,11.325238,11.325238,105.688989,94.363751
1,1,636,636,9.312883,10.800565,10.800565,105.050975,94.250409
1,1,797,797,9.638436,11.043564,11.043564,106.019957,94.976394
1,1,931,931,9.862637,11.265818,11.265818,104.210048,92.944230
1,1,1006,1006,9.974415,11.632173,11.632173,106.060004,94.427832
1,1,1115,1115,10.122828,11.826317,11.826317,104.939973,93.113656
1,1,1446,1446,10.497852,10.958698,10.958698,103.409984,92.451286
1,1,1695,1695,10.727070,11.505350,11.505350,104.460050,92.954701
1,1,10690,10690,13.383974,10.969755,10.969755,106.400053,95.430299
1,1,21218,21218,14.373001,12.331101,12.331101,106.899999,94.568898
1,1,49863,49863,15.605682,14.817158,14.817158,105.870015,91.052857
1,8,10,80,6.321928,11.453452,11.453452,105.089974,93.636521
1,8,16,128,7.000000,10.542396,10.542396,106.070016,95.527620
1,8,36,288,8.169925,11.255937,11.255937,104.040024,92.784086
1,8,42,336,8.392317,10.981897,10.981897,103.769999,92.788101
1,8,85,680,9.409391,11.961778,11.961778,104.299979,92.338201
1,8,90,720,9.491853,12.365357,12.365357,105.479965,93.114608
1,8,185,1480,10.531381,10.433586,10.433586,104.559993,94.126407
1,8,250,2000,10.965784,10.709628,10.709628,103.269005,92.559377
1,8,300,2400,11.228819,10.988006,10.988006,104.309991,93.321985
1,8,336,2688,11.392317,11.250967,11.250967,105.989981,94.739013
1,8,490,3920,11.936638,10.927872,10.927872,104.080013,93.152141
1,8,527,4216,12.041659,11.670342,11.670342,103.040016,91.369674
1,8,846,6768,12.724514,10.439085,10.439085,102.960039,92.520954
1,8,3222,25776,14.653741,10.990290,10.990290,104.470004,93.479714
1,8,7511,60088,15.874789,11.248787,11.248787,103.640021,92.391233
1,8,7749,61992,15.919794,11.673199,11.673199,104.459992,92.786793
1,8,9317,74536,16.185650,10.868795,10.868795,104.789971,93.921176
1,8,10422,83376,16.347345,11.659293,11.659293,105.599989,93.940696
1,8,30026,240208,17.873925,12.393668,12.393668,106.699998,94.306330
1,8,45294,362352,18.467032,14.171749,14.171749,107.269967,93.098218
1,16,14,224,7.807355,11.299539,11.299539,104.370003,93.070464
1,16,49,784,9.614710,11.324911,11.324911,105.480023,94.155113
1,16,112,1792,10.807355,11.220513,11.220513,103.209983,91.989469
1,16,128,2048,11.000000,10.656347,10.656347,104.588980,93.932634
1,16,159,2544,11.312883,11.052492,11.052492,103.090017,92.037524
1,16,183,2928,11.515700,13.389316,13.389316,104.490027,91.100712
1,16,192,3072,11.584963,10.812865,10.812865,104.170002,93.357137
1,16,273,4368,12.092757,11.211652,11.211652,103.699975,92.488323
1,16,274,4384,12.098032,11.380736,11.380736,105.999992,94.619256
1,16,298,4768,12.219169,11.909561,11.909561,105.510000,93.600439
1,16,331,5296,12.370687,11.156897,11.156897,105.460000,94.303102
1,16,392,6272,12.614710,11.396652,11.396652,105.440035,94.043383
1,16,693,11088,13.436712,10.980238,10.980238,103.659986,92.679748
1,16,1152,18432,14.169925,11.543929,11.543929,103.930011,92.386083
