d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,15.943720,15.943720,107.719970,91.776250
1,1,16,16,4.000000,14.609754,14.609754,109.070039,94.460285
1,1,33,33,5.044394,14.563944,14.563944,107.500004,92.936060
1,1,48,48,5.584963,13.627031,13.627031,108.779990,95.152959
1,1,66,66,6.044394,16.786191,16.786191,107.689993,90.903803
1,1,75,75,6.228819,13.817738,13.817738,107.800006,93.982268
1,1,87,87,6.442943,17.882976,17.882976,109.479995,91.597019
1,1,111,111,6.794416,14.237619,14.237619,110.030000,95.792381
1,1,636,636,9.312883,15.407411,15.407411,108.289998,92.882587
1,1,797,797,9.638436,14.077403,14.077403,107.791042,93.713639
1,1,931,931,9.862637,14.809903,14.809903,108.400011,93.590107
1,1,1006,1006,9.974415,14.539539,14.539539,110.319990,95.780452
1,1,1115,1115,10.122828,14.629509,14.629509,107.150991,92.521481
1,1,1446,1446,10.497852,16.496689,16.496689,109.769986,93.273297
1,1,1695,1695,10.727070,14.925513,14.925513,109.279994,94.354481
1,1,10690,10690,13.383974,15.530372,15.530372,110.349967,94.819595
1,1,21218,21218,14.373001,15.478103,15.478103,109.340006,93.861903
1,1,49863,49863,15.605682,16.338326,16.338326,111.259986,94.921660
1,8,10,80,6.321928,13.815491,13.815491,107.580039,93.764548
1,8,16,128,7.000000,20.951950,20.951950,107.800006,86.848056
1,8,36,288,8.169925,14.093943,14.093943,108.300010,94.206066
1,8,42,336,8.392317,14.532492,14.532492,107.210013,92.677521
1,8,85,680,9.409391,17.193341,17.193341,109.679997,92.486656
1,8,90,720,9.491853,13.953252,13.953252,108.700013,94.746761
1,8,185,1480,10.531381,14.707054,14.707054,108.020031,93.312977
1,8,250,2000,10.965784,15.319420,15.319420,108.160020,92.840600
1,8,300,2400,11.228819,17.129889,17.129889,108.019973,90.890084
1,8,336,2688,11.392317,14.935841,14.935841,109.530985,94.595145
1,8,490,3920,11.936638,15.242716,15.242716,107.979984,92.737268
1,8,527,4216,12.041659,14.951317,14.951317,109.449029,94.497712
1,8,846,6768,12.724514,15.039992,15.039992,110.390014,95.350022
1,8,3222,25776,14.653741,15.824025,15.824025,112.109003,96.284978
1,8,7511,60088,15.874789,15.841064,15.841064,109.059969,93.218905
1,8,7749,61992,15.919794,15.791793,15.791793,108.970038,93.178245
1,8,9317,74536,16.185650,15.572381,15.572381,110.419991,94.847610
1,8,10422,83376,16.347345,15.443683,15.443683,112.550042,97.106359
1,8,30026,240208,17.873925,17.161444,17.161444,112.509995,95.348552
1,8,45294,362352,18.467032,17.650357,17.650357,113.090035,95.439677
1,16,14,224,7.807355,15.105022,15.105022,108.790002,93.684980
1,16,49,784,9.614710,15.258066,15.258066,109.610031,94.351966
1,16,112,1792,10.807355,14.893103,14.893103,110.009976,95.116874
1,16,128,2048,11.000000,15.174025,15.174025,111.839967,96.665942
1,16,159,2544,11.312883,15.043958,15.043958,108.270033,93.226074
1,16,183,2928,11.515700,15.069888,15.069888,108.660024,93.590136
1,16,192,3072,11.584963,15.173095,15.173095,108.019973,92.846878
1,16,273,4368,12.092757,15.812879,15.812879,109.200017,93.387137
1,16,274,4384,12.098032,17.171667,17.171667,110.060035,92.888368
1,16,298,4768,12.219169,15.248214,15.248214,108.929991,93.681777
1,16,331,5296,12.370687,15.380372,15.380372,110.540015,95.159643
1,16,392,6272,12.614710,15.276198,15.276198,109.069981,93.793783
1,16,693,11088,13.436712,16.063326,16.063326,109.759974,93.696648
1,16,1152,18432,14.169925,16.041786,16.041786,109.990011,93.948225
1,16,1532,24512,14.581201,15.140238,15.140238,109.720044,94.579806
1,16,4879,78064,16.252370,16.077768,16.077768,109.009969,92.932201
1,16,5281,84496,16.366595,17.652269,17.652269,110.310968,92.658699
1,16,6413,102608,16.646784,16.404970,16.404970,108.790991,92.386021
1,16,7612,121792,16.894060,16.495365,16.495365,110.510038,94.014674
1,16,9046,144736,17.143064,16.453013,16.453013,111.069996,94.616983
1,16,17040,272640,18.056638,19.736674,19.736674,113.210001,93.473326
1,16,25594,409504,18.643518,18.152143,18.152143,112.340029,94.187886
1,16,42689,683024,19.381577,20.048430,20.048430,114.279974,94.231544
1,16,44560,712960,19.443462,20.430007,20.430007,114.789989,94.359982
1,64,11,704,9.459432,16.092649,16.092649,108.059961,91.967313
1,64,15,960,9.906891,14.771064,14.771064,107.700005,92.928941
1,64,34,2176,11.087463,14.788705,14.788705,108.369975,93.581270
1,64,60,3840,11.906891,15.754278,15.754278,109.440007,93.685729
1,64,98,6272,12.614710,15.249286,15.249286,109.271030,94.021744
1,64,580,37120,15.179909,15.315491,15.315491,110.640016,95.324525
1,64,1028,65792,16.005625,16.074063,16.074063,109.180051,93.105989
1,64,1665,106560,16.701306,15.744412,15.744412,110.830006,95.085594
1,64,1986,127104,16.955650,17.919070,17.919070,109.540008,91.620938
1,64,2314,148096,17.176173,15.711801,15.711801,112.620008,96.908207
1,64,6135,392640,18.582848,20.190722,20.190722,113.890041,93.699319
1,64,6254,400256,18.610564,17.709650,17.709650,113.370013,95.660363
1,64,10279,657856,19.327412,20.367143,20.367143,114.549999,94.182856
1,64,16044,1026816,19.969746,22.337046,22.337046,117.649965,95.312918
1,64,19234,1230976,20.231371,23.002835,23.002835,117.270043,94.267208
1,64,24209,1549376,20.563256,26.742247,26.742247,120.270008,93.527761
1,64,31062,1987968,20.922863,29.595119,29.595119,123.729988,94.134868
1,64,35567,2276288,21.118252,29.718943,29.718943,123.489997,93.771054
1,128,9,1152,10.169925,14.751533,14.751533,110.680005,95.928472
1,128,27,3456,11.754888,14.389145,14.389145,107.339991,92.950846
1,128,47,6016,12.554589,14.554851,14.554851,109.230052,94.675201
1,128,147,18816,14.199672,14.652493,14.652493,109.539949,94.887457
1,128,157,20096,14.294621,14.955603,14.955603,108.679989,93.724387
1,128,207,26496,14.693487,14.166086,14.166086,109.459972,95.293886
1,128,271,34688,15.082149,14.568073,14.568073,108.600012,94.031939
1,128,279,35712,15.124121,14.125945,14.125945,107.939995,93.814051
1,128,1550,198400,17.598053,16.617731,16.617731,110.140012,93.522281
1,128,2443,312704,18.254438,17.303467,17.303467,111.559988,94.256521
1,128,3069,392832,18.583553,18.286429,18.286429,112.039968,93.753540
1,128,8463,1083264,20.046953,22.568095,22.568095,115.639996,93.071901
1,128,13624,1743872,20.733863,27.207135,27.207135,121.739984,94.532849
1,128,28105,3597440,21.778539,38.922969,38.922969,132.891000,93.968032
1,128,28196,3609088,21.783203,41.761800,41.761800,133.319991,91.558190
1,128,44731,5725568,22.448987,53.265841,53.265841,150.030013,96.764173
1,256,10,2560,11.321928,15.363951,15.363951,109.910034,94.546083
1,256,22,5632,12.459432,14.626525,14.626525,108.840002,94.213477
1,256,25,6400,12.643856,14.813184,14.813184,109.109969,94.296785
1,256,44,11264,13.459432,15.100127,15.100127,108.700013,93.599886
1,256,59,15104,13.882643,16.625164,16.625164,113.510003,96.884839
1,256,135,34560,15.076816,15.475938,15.475938,108.559965,93.084027
1,256,167,42752,15.383704,15.615008,15.615008,108.250009,92.635002
1,256,247,63232,15.948367,15.073683,15.073683,108.090986,93.017303
1,256,291,74496,16.184875,16.257984,16.257984,110.530003,94.272020
1,256,356,91136,16.475733,15.088096,15.088096,109.908986,94.820890
1,256,432,110592,16.754888,17.380863,17.380863,110.989960,93.609097
1,256,455,116480,16.829723,17.040588,17.040588,109.849963,92.809376
1,256,496,126976,16.954196,15.155476,15.155476,104.720006,89.564529
1,256,10171,2603776,21.312174,30.683326,30.683326,123.910024,93.226698
1,256,13038,3337728,21.670435,37.185350,37.185350,127.549982,90.364632
1,256,18450,4723200,22.171333,46.947396,46.947396,139.409967,92.462571
1,512,11,5632,12.459432,14.363564,14.363564,104.639970,90.276406
1,512,13,6656,12.700440,14.248780,14.248780,104.280014,90.031234
1,512,14,7168,12.807355,14.150603,14.150603,105.009996,90.859394
1,512,46,23552,14.523562,14.725610,14.725610,106.679974,91.954364
1,512,110,56320,15.781360,13.895603,13.895603,107.020023,93.124421
1,512,165,84480,16.366322,13.087039,13.087039,105.720013,92.632975
1,512,267,136704,17.060696,14.501071,14.501071,106.430030,91.928959
1,512,1306,668672,19.350939,19.100692,19.100692,111.349975,92.249283
1,512,2054,1051648,20.004220,21.449643,21.449643,112.631009,91.181366
1,512,2088,1069056,20.027906,21.126630,21.126630,114.910014,93.783384
1,512,2250,1152000,20.135709,21.678244,21.678244,113.791029,92.112786
1,512,8656,4431872,22.079485,44.389777,44.389777,137.060008,92.670231
1,512,12121,6205952,22.565221,56.205945,56.205945,150.089967,93.884022
1,512,14592,7471104,22.832890,64.999144,64.999144,156.629947,91.630803
1,512,33434,17118208,24.029028,129.976525,129.976525,222.528994,92.552468
1,512,35856,18358272,24.129927,139.106332,139.106332,230.529986,91.423654
1,1024,9,9216,13.169925,13.405908,13.405908,107.059954,93.654046
1,1024,11,11264,13.459432,13.527731,13.527731,105.699990,92.172259
1,1024,18,18432,14.169925,12.871540,12.871540,106.570020,93.698480
1,1024,21,21504,14.392317,14.508132,14.508132,104.940031,90.431898
1,1024,75,76800,16.228819,14.248899,14.248899,105.768966,91.520067
1,1024,110,112640,16.781360,14.771540,14.771540,106.589985,91.818445
1,1024,169,173056,17.400879,15.088676,15.088676,107.510015,92.421340
1,1024,253,259072,17.982994,16.646756,16.646756,107.140047,90.493291
1,1024,346,354304,18.434628,16.871161,16.871161,109.849963,92.978803
1,1024,504,516096,18.977280,16.554301,16.554301,108.819979,92.265678
1,1024,1354,1386496,20.403012,23.713326,23.713326,132.629997,108.916671
1,1024,3805,3896320,21.893681,41.374405,41.374405,150.990032,109.615627
1,1024,5224,5349376,22.350939,51.142031,51.142031,161.900010,110.757979
1,1024,5745,5882880,22.488091,55.158817,55.158817,163.499964,108.341147
1,1024,5876,6017024,22.520619,56.505037,56.505037,165.070000,108.564962
1,1024,6787,6949888,22.728558,63.257478,63.257478,170.340005,107.082527
1,1024,8890,9103360,23.117968,77.019382,77.019382,184.000004,106.980622
1,1024,9437,9663488,23.204113,83.527493,83.527493,192.590000,109.062507
1,1024,22750,23296000,24.473579,173.060967,173.060967,266.489980,93.429013
1,1024,37999,38910976,25.213674,290.321458,290.321458,385.540014,95.218555
2,1,116,232,7.857981,14.172143,14.172143,107.259955,93.087813
2,1,126,252,7.977280,13.535246,13.535246,105.599989,92.064744
2,1,179,358,8.483816,14.277396,14.277396,106.049003,91.771607
2,1,190,380,8.569856,14.870610,14.870610,106.030027,91.159417
2,1,298,596,9.219169,15.851689,15.851689,106.299995,90.448305
2,1,2494,4988,12.284246,13.137842,13.137842,105.209998,92.072156
2,1,4226,8452,13.045077,14.919048,14.919048,107.569969,92.650921
2,1,7883,15766,13.944529,16.871049,16.871049,105.790037,88.918988
2,1,10111,20222,14.303638,14.376205,14.376205,105.340034,90.963828
2,8,11,176,7.459432,14.337723,14.337723,104.740029,90.402306
2,8,244,3904,11.930737,16.111905,16.111905,122.139987,106.028082
2,8,617,9872,13.269127,14.843594,14.843594,122.719968,107.876374
2,8,741,11856,13.533330,16.228437,16.228437,123.120029,106.891592
2,8,2829,45264,15.466076,14.147500,14.147500,123.119971,108.972471
2,8,5525,88400,16.431759,14.290112,14.290112,124.851009,110.560897
2,16,20,640,9.321928,15.040692,15.040692,105.489977,90.449285
2,16,69,2208,11.108524,14.726049,14.726049,124.118989,109.392940
2,16,94,3008,11.554589,14.734152,14.734152,104.950042,90.215891
2,64,9,1152,10.169925,12.986421,12.986421,104.820007,91.833586
2,64,14,1792,10.807355,13.027039,13.027039,110.119989,97.092950
2,64,88,11264,13.459432,16.004836,16.004836,105.940038,89.935202
2,64,8964,1147392,20.129927,22.592991,22.592991,130.650005,108.057014
2,64,19978,2557184,21.286125,31.500483,31.500483,140.200020,108.699536
2,128,40,10240,13.321928,14.364435,14.364435,123.890000,109.525566
2,128,162,41472,15.339850,17.855915,17.855915,126.750034,108.894119
2,128,862,220672,17.751544,18.177879,18.177879,127.570005,109.392126
2,256,82,41984,15.357552,15.132180,15.132180,123.239995,108.107815
2,256,150,76800,16.228819,14.705513,14.705513,123.070029,108.364516
2,256,234,119808,16.870365,18.540476,18.540476,123.990001,105.449525
2,256,15094,7728128,22.881688,119.232284,119.232284,230.549951,111.317667
2,512,14,14336,13.807355,14.329271,14.329271,123.159960,108.830689
2,512,93,95232,16.539159,16.844174,16.844174,125.090010,108.245835
2,512,1048,1073152,20.033423,20.787247,20.787247,113.219954,92.432707
2,512,8083,8276992,22.980675,128.460142,128.460142,224.190007,95.729866
2,1024,43,88064,16.426265,15.025580,15.025580,126.739964,111.714384
2,1024,181,370688,18.499846,19.949635,19.949635,135.970011,116.020375
2,1024,359,735232,19.487840,26.229725,26.229725,136.099989,109.870264
2,1024,1694,3469312,21.726218,62.606176,62.606176,174.089975,111.483800
2,1024,15200,31129600,24.891784,226.734978,226.734978,337.760022,111.025045
4,1,33,132,7.044394,14.419308,14.419308,132.411020,117.991712
4,1,9097,36388,15.151175,14.368221,14.368221,107.789994,93.421773
4,1,11333,45332,15.468242,13.938929,13.938929,107.908971,93.970042
4,8,1474,47168,15.525521,13.927999,13.927999,107.450003,93.522005
4,8,3806,121792,16.894060,14.900588,14.900588,127.320003,112.419415
4,8,6618,211776,17.692180,15.457180,15.457180,110.280002,94.822821
4,16,19,1216,10.247928,12.857024,12.857024,107.260013,94.402989
4,16,215,13760,13.748193,14.326659,14.326659,107.089989,92.763330
4,16,326,20864,14.348728,14.379777,14.379777,108.999957,94.620180
4,16,347,22208,14.438792,14.722991,14.722991,110.940018,96.217027
4,16,396,25344,14.629357,14.119159,14.119159,108.000007,93.880849
4,16,439,28096,14.778077,13.857396,13.857396,109.790009,95.932614
4,16,14332,917248,19.806952,20.172500,20.172500,113.970018,93.797518
4,64,15,3840,11.906891,15.680387,15.680387,106.439984,90.759597
4,64,22,5632,12.459432,14.559070,14.559070,110.219989,95.660919
4,64,27,6912,12.754888,16.098088,16.098088,107.460015,91.361927
4,64,2169,555264,19.082814,18.672857,18.672857,112.000038,93.327181
4,64,4001,1024256,19.966145,22.013006,22.013006,132.720044,110.707038
4,64,6265,1603840,20.613099,24.219182,24.219182,139.300013,115.080831
4,128,61,31232,14.930737,14.419330,14.419330,124.340004,109.920674
4,128,97,49664,15.599913,15.291793,15.291793,108.110020,92.818227
4,128,123,62976,15.942515,14.078214,14.078214,108.469976,94.391762
4,128,365,186880,17.511753,16.884397,16.884397,108.650012,91.765615
4,128,382,195584,17.577429,19.592947,19.592947,129.839987,110.247041
4,128,737,377344,18.525521,17.780841,17.780841,128.840038,111.059197
4,128,752,385024,18.554589,17.591667,17.591667,128.189975,110.598308
4,128,849,434688,18.729621,18.964018,18.964018,131.480047,112.516028
4,128,28861,14776832,23.816834,142.328475,142.328475,236.379972,94.051498
4,256,17,17408,14.087463,15.312611,15.312611,107.349013,92.036402
4,256,95,97280,16.569856,15.337642,15.337642,123.410020,108.072378
4,256,252,258048,17.977280,19.154144,19.154144,125.970051,106.815907
4,256,362,370688,18.499846,19.257411,19.257411,129.049993,109.792583
4,256,605,619520,19.240791,21.480365,21.480365,131.260022,109.779657
4,256,2007,2055168,20.970825,32.910119,32.910119,142.768957,109.858838
4,256,3313,3392512,21.693922,44.305841,44.305841,154.529989,110.224148
4,256,3645,3732480,21.831703,46.858542,46.858542,157.279021,110.420479
4,256,10552,10805248,23.365229,87.643705,87.643705,201.489951,113.846246
4,256,31326,32077824,24.935073,280.575469,280.575469,393.119990,112.544521
4,512,230,471040,18.845490,21.250699,21.250699,131.640001,110.389302
4,1024,15,61440,15.906891,15.319375,15.319375,126.190018,110.870643
4,1024,18,73728,16.169925,16.628326,16.628326,126.709987,110.081661
4,1024,183,749568,19.515700,22.562701,22.562701,133.580004,111.017303
8,1,932,7456,12.864186,14.546414,14.546414,124.479993,109.933579
8,1,9750,78000,16.251187,17.310491,17.310491,125.949970,108.639478
8,1,30081,240648,17.876565,16.254993,16.254993,127.890031,111.635038
8,8,11,704,9.459432,13.146339,13.146339,123.959966,110.813627
8,8,14,896,9.807355,14.879055,14.879055,126.029016,111.149960
8,8,136,8704,13.087463,15.283713,15.283713,126.750034,111.466321
8,8,154,9856,13.266787,15.053586,15.053586,127.639971,112.586385
8,8,527,33728,15.041659,15.221793,15.221793,124.679995,109.458202
8,8,10455,669120,19.351905,18.444055,18.444055,129.960012,111.515957
8,8,38295,2450880,21.224868,30.333675,30.333675,140.819990,110.486314
8,16,65,8320,13.022368,13.861295,13.861295,126.719999,112.858704
8,16,146,18688,14.189825,15.116071,15.116071,123.929989,108.813918
8,16,1111,142208,17.117643,13.943438,13.943438,127.189967,113.246530
8,16,1953,249984,17.931476,16.950595,16.950595,126.180006,109.229411
8,16,4164,532992,19.023754,19.184636,19.184636,129.209948,110.025312
8,16,24781,3171968,21.596947,35.028304,35.028304,145.311002,110.282698
8,64,63,32256,14.977280,15.725454,15.725454,125.880004,110.154550
8,64,67,34304,15.066089,14.723906,14.723906,125.719991,110.996085
8,64,209,107008,16.707359,14.618229,14.618229,125.449966,110.831737
8,64,1343,687616,19.391244,19.668780,19.668780,129.889988,110.221208
8,64,4733,2423296,21.208539,31.343021,31.343021,141.640019,110.296998
8,64,12060,6174720,22.557942,58.516667,58.516667,166.890968,108.374301
8,64,45202,23143424,24.464099,173.040975,173.040975,284.970040,111.929065
8,128,16,16384,14.000000,13.348884,13.348884,124.849030,111.500146
8,128,25,25600,14.643856,14.922381,14.922381,125.209976,110.287595
8,128,38,38912,15.247928,13.736206,13.736206,125.279999,111.543794
8,128,300,307200,18.228819,16.693088,16.693088,126.749976,110.056888
8,128,2852,2920448,21.477758,33.068706,33.068706,144.730031,111.661326
