d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,18.742165,18.742165,119.470002,100.727836
1,1,16,16,4.000000,18.853794,18.853794,116.629992,97.776197
1,1,33,33,5.044394,17.853475,17.853475,116.919982,99.066507
1,1,48,48,5.584963,16.887247,16.887247,117.488962,100.601715
1,1,66,66,6.044394,19.709777,19.709777,116.251002,96.541225
1,1,75,75,6.228819,18.427493,18.427493,115.939998,97.512505
1,1,87,87,6.442943,18.230514,18.230514,115.779985,97.549472
1,1,111,111,6.794416,17.644792,17.644792,116.140000,98.495208
1,1,636,636,9.312883,19.355253,19.355253,116.950017,97.594765
1,1,797,797,9.638436,18.808110,18.808110,115.820032,97.011922
1,1,931,931,9.862637,21.807746,21.807746,115.730043,93.922297
1,1,1006,1006,9.974415,17.895937,17.895937,144.199992,126.304055
1,1,1115,1115,10.122828,18.698966,18.698966,117.210031,98.511065
1,1,1446,1446,10.497852,18.419077,18.419077,116.800016,98.380939
1,1,1695,1695,10.727070,17.630238,17.630238,115.479983,97.849745
1,1,10690,10690,13.383974,18.205603,18.205603,115.939998,97.734395
1,1,21218,21218,14.373001,18.007619,18.007619,117.830001,99.822382
1,1,49863,49863,15.605682,21.298929,21.298929,118.900032,97.601104
1,8,10,80,6.321928,19.153133,19.153133,121.089979,101.936846
1,8,16,128,7.000000,19.707396,19.707396,120.159995,100.452599
1,8,36,288,8.169925,17.957515,17.957515,117.809977,99.852462
1,8,42,336,8.392317,20.688698,20.688698,118.150027,97.461329
1,8,85,680,9.409391,18.497113,18.497113,117.889955,99.392841
1,8,90,720,9.491853,18.262359,18.262359,118.459982,100.197624
1,8,185,1480,10.531381,19.490937,19.490937,119.799981,100.309044
1,8,250,2000,10.965784,21.447492,21.447492,119.290024,97.842531
1,8,300,2400,11.228819,19.792358,19.792358,119.130011,99.337652
1,8,336,2688,11.392317,21.071302,21.071302,120.040029,98.968727
1,8,490,3920,11.936638,20.602604,20.602604,119.089964,98.487360
1,8,527,4216,12.041659,20.287775,20.287775,117.659976,97.372201
1,8,846,6768,12.724514,19.202507,19.202507,118.469994,99.267487
1,8,3222,25776,14.653741,17.373557,17.373557,122.439989,105.066433
1,8,7511,60088,15.874789,19.576555,19.576555,121.848949,102.272394
1,8,7749,61992,15.919794,18.258914,18.258914,122.409954,104.151041
1,8,9317,74536,16.185650,11.989167,11.989167,109.119981,97.130814
1,8,10422,83376,16.347345,11.576778,11.576778,111.640024,100.063245
1,8,30026,240208,17.873925,13.672857,13.672857,110.199966,96.527109
1,8,45294,362352,18.467032,15.967731,15.967731,111.809990,95.842259
1,16,14,224,7.807355,9.545960,9.545960,106.869964,97.324004
1,16,49,784,9.614710,11.348809,11.348809,106.139982,94.791172
1,16,112,1792,10.807355,12.730573,12.730573,107.850006,95.119433
1,16,128,2048,11.000000,11.667515,11.667515,109.960034,98.292519
1,16,159,2544,11.312883,10.858356,10.858356,108.189997,97.331641
1,16,183,2928,11.515700,11.306525,11.306525,108.979992,97.673466
1,16,192,3072,11.584963,10.918809,10.918809,111.130008,100.211199
1,16,273,4368,12.092757,10.476429,10.476429,107.170024,96.693596
1,16,274,4384,12.098032,9.824777,9.824777,107.979984,98.155207
1,16,298,4768,12.219169,9.968928,9.968928,107.619970,97.651041
1,16,331,5296,12.370687,12.914769,12.914769,108.679989,95.765220
1,16,392,6272,12.614710,10.135573,10.135573,107.510015,97.374443
1,16,693,11088,13.436712,11.296072,11.296072,108.769978,97.473907
1,16,1152,18432,14.169925,10.392723,10.392723,106.069027,95.676303
1,16,1532,24512,14.581201,10.883460,10.883460,109.190005,98.306545
1,16,4879,78064,16.252370,11.836942,11.836942,107.579981,95.743039
1,16,5281,84496,16.366595,10.592619,10.592619,107.659958,97.067339
1,16,6413,102608,16.646784,11.486659,11.486659,108.900014,97.413355
1,16,7612,121792,16.894060,11.979487,11.979487,107.460015,95.480528
1,16,9046,144736,17.143064,11.677976,11.677976,108.329987,96.652011
1,16,17040,272640,18.056638,11.386540,11.386540,109.070970,97.684430
1,16,25594,409504,18.643518,13.875699,13.875699,109.279994,95.404295
1,16,42689,683024,19.381577,14.877500,14.877500,113.520015,98.642515
1,16,44560,712960,19.443462,14.704278,14.704278,111.159985,96.455707
1,64,11,704,9.459432,10.551682,10.551682,105.460000,94.908318
1,64,15,960,9.906891,10.232507,10.232507,106.430030,96.197523
1,64,34,2176,11.087463,10.242359,10.242359,106.980035,96.737676
1,64,60,3840,11.906891,9.775357,9.775357,107.720029,97.944672
1,64,98,6272,12.614710,10.576801,10.576801,106.480031,95.903230
1,64,580,37120,15.179909,11.379144,11.379144,105.309999,93.930854
1,64,1028,65792,16.005625,10.175312,10.175312,96.531003,86.355690
1,64,1665,106560,16.701306,9.323683,9.323683,96.359989,87.036306
1,64,1986,127104,16.955650,9.437708,9.437708,98.739984,89.302275
1,64,2314,148096,17.176173,9.810818,9.810818,97.040029,87.229210
1,64,6135,392640,18.582848,10.047373,10.047373,96.009986,85.962613
1,64,6254,400256,18.610564,10.847262,10.847262,97.259996,86.412734
1,64,10279,657856,19.327412,11.090231,11.090231,98.480028,87.389797
1,64,16044,1026816,19.969746,12.265350,12.265350,99.329976,87.064627
1,64,19234,1230976,20.231371,13.594263,13.594263,100.109959,86.515696
1,64,24209,1549376,20.563256,13.868110,13.868110,104.070001,90.201891
1,64,31062,1987968,20.922863,14.233088,14.233088,103.389961,89.156873
1,64,35567,2276288,21.118252,17.284256,17.284256,105.240033,87.955777
1,128,9,1152,10.169925,10.770826,10.770826,96.359989,85.589163
1,128,27,3456,11.754888,9.226674,9.226674,94.488962,85.262288
1,128,47,6016,12.554589,8.923571,8.923571,94.430987,85.507415
1,128,147,18816,14.199672,10.055365,10.055365,98.020013,87.964648
1,128,157,20096,14.294621,9.956890,9.956890,96.340023,86.383134
1,128,207,26496,14.693487,10.096309,10.096309,97.420008,87.323699
1,128,271,34688,15.082149,10.156228,10.156228,97.539974,87.383747
1,128,279,35712,15.124121,9.636064,9.636064,96.430012,86.793948
1,128,1550,198400,17.598053,10.850119,10.850119,96.748990,85.898871
1,128,2443,312704,18.254438,10.320752,10.320752,100.071018,89.750267
1,128,3069,392832,18.583553,10.346421,10.346421,99.379977,89.033556
1,128,8463,1083264,20.046953,15.348222,15.348222,100.560021,85.211799
1,128,13624,1743872,20.733863,17.699271,17.699271,105.110987,87.411716
1,128,28105,3597440,21.778539,27.102954,27.102954,114.069961,86.967007
1,128,28196,3609088,21.783203,26.167515,26.167515,112.870010,86.702495
1,128,44731,5725568,22.448987,25.544293,25.544293,112.220005,86.675712
1,256,10,2560,11.321928,8.275365,8.275365,94.939955,86.664590
1,256,22,5632,12.459432,8.793705,8.793705,94.329997,85.536291
1,256,25,6400,12.643856,8.974903,8.974903,94.351009,85.376106
1,256,44,11264,13.459432,8.932515,8.932515,97.880024,88.947508
1,256,59,15104,13.882643,8.529628,8.529628,94.111019,85.581391
1,256,135,34560,15.076816,10.340580,10.340580,95.270050,84.929470
1,256,167,42752,15.383704,9.918475,9.918475,99.840050,89.921575
1,256,247,63232,15.948367,9.522522,9.522522,94.679999,85.157477
1,256,291,74496,16.184875,11.926808,11.926808,95.250027,83.323219
1,256,356,91136,16.475733,9.719874,9.719874,99.239987,89.520114
1,256,432,110592,16.754888,9.868333,9.868333,99.920027,90.051694
1,256,455,116480,16.829723,11.782024,11.782024,96.989970,85.207946
1,256,496,126976,16.954196,10.942143,10.942143,98.570948,87.628806
1,256,10171,2603776,21.312174,17.692493,17.692493,102.910039,85.217546
1,256,13038,3337728,21.670435,19.343460,19.343460,105.999992,86.656532
1,256,18450,4723200,22.171333,24.143200,24.143200,111.160043,87.016843
1,512,11,5632,12.459432,8.537254,8.537254,95.880008,87.342754
1,512,13,6656,12.700440,8.961057,8.961057,95.669995,86.708938
1,512,14,7168,12.807355,8.039576,8.039576,97.619952,89.580376
1,512,46,23552,14.523562,8.418564,8.418564,96.250966,87.832402
