d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,15.364635,15.364635,109.858986,94.494350
1,1,16,16,4.000000,15.840699,15.840699,106.149993,90.309294
1,1,33,33,5.044394,13.106912,13.106912,107.870030,94.763118
1,1,48,48,5.584963,15.129412,15.129412,107.009953,91.880541
1,1,66,66,6.044394,13.821793,13.821793,107.110012,93.288219
1,1,75,75,6.228819,15.636510,15.636510,108.089997,92.453486
1,1,87,87,6.442943,14.911183,14.911183,103.151018,88.239835
1,1,111,111,6.794416,14.740595,14.740595,106.729975,91.989379
1,1,636,636,9.312883,14.696540,14.696540,110.540015,95.843475
1,1,797,797,9.638436,15.712597,15.712597,104.300037,88.587440
1,1,931,931,9.862637,15.010335,15.010335,104.079954,89.069620
1,1,1006,1006,9.974415,13.869405,13.869405,104.689039,90.819635
1,1,1115,1115,10.122828,13.803564,13.803564,105.910003,92.106439
1,1,1446,1446,10.497852,14.395461,14.395461,104.820007,90.424545
1,1,1695,1695,10.727070,13.611882,13.611882,105.510000,91.898118
1,1,10690,10690,13.383974,14.231168,14.231168,106.549996,92.318828
1,1,21218,21218,14.373001,14.372396,14.372396,105.029962,90.657566
1,1,49863,49863,15.605682,15.490238,15.490238,106.270018,90.779779
1,8,10,80,6.321928,14.852493,14.852493,105.949992,91.097499
1,8,16,128,7.000000,14.657002,14.657002,106.388994,91.731992
1,8,36,288,8.169925,14.340104,14.340104,106.510008,92.169904
1,8,42,336,8.392317,14.296674,14.296674,103.669998,89.373324
1,8,85,680,9.409391,16.504405,16.504405,106.310006,89.805601
1,8,90,720,9.491853,13.993423,13.993423,106.460007,92.466585
1,8,185,1480,10.531381,13.606667,13.606667,105.479965,91.873298
1,8,250,2000,10.965784,14.316443,14.316443,104.909996,90.593552
1,8,300,2400,11.228819,13.515581,13.515581,105.279963,91.764383
1,8,336,2688,11.392317,14.786317,14.786317,104.740029,89.953712
1,8,490,3920,11.936638,15.638095,15.638095,104.040024,88.401929
1,8,527,4216,12.041659,14.426078,14.426078,105.251034,90.824956
1,8,846,6768,12.724514,13.464397,13.464397,108.679989,95.215592
1,8,3222,25776,14.653741,13.726183,13.726183,104.770006,91.043823
1,8,7511,60088,15.874789,16.386191,16.386191,105.179963,88.793772
1,8,7749,61992,15.919794,14.348691,14.348691,106.620020,92.271330
1,8,9317,74536,16.185650,15.065461,15.065461,105.770014,90.704552
1,8,10422,83376,16.347345,15.249189,15.249189,106.520019,91.270831
1,8,30026,240208,17.873925,16.807039,16.807039,105.660001,88.852962
1,8,45294,362352,18.467032,16.851786,16.851786,105.620013,88.768227
1,16,14,224,7.807355,14.982969,14.982969,105.120009,90.137040
1,16,49,784,9.614710,13.305923,13.305923,105.919957,92.614034
1,16,112,1792,10.807355,13.470193,13.470193,106.750987,93.280794
1,16,128,2048,11.000000,13.625469,13.625469,107.209955,93.584486
1,16,159,2544,11.312883,14.458914,14.458914,104.959996,90.501082
1,16,183,2928,11.515700,14.026778,14.026778,108.179986,94.153207
1,16,192,3072,11.584963,14.234181,14.234181,105.409999,91.175818
1,16,273,4368,12.092757,13.585112,13.585112,107.269967,93.684855
1,16,274,4384,12.098032,15.936905,15.936905,105.609011,89.672107
1,16,298,4768,12.219169,14.380127,14.380127,106.330030,91.949903
1,16,331,5296,12.370687,13.284658,13.284658,107.579981,94.295323
1,16,392,6272,12.614710,13.779048,13.779048,104.549981,90.770934
1,16,693,11088,13.436712,15.829873,15.829873,105.070008,89.240135
1,16,1152,18432,14.169925,14.721920,14.721920,104.879960,90.158041
1,16,1532,24512,14.581201,15.166525,15.166525,106.049993,90.883467
1,16,4879,78064,16.252370,14.311391,14.311391,105.870015,91.558623
1,16,5281,84496,16.366595,15.370811,15.370811,107.939995,92.569184
1,16,6413,102608,16.646784,14.302842,14.302842,106.289983,91.987141
1,16,7612,121792,16.894060,15.172053,15.172053,107.020023,91.847970
1,16,9046,144736,17.143064,14.983899,14.983899,108.120032,93.136133
1,16,17040,272640,18.056638,16.373795,16.373795,106.820022,90.446227
1,16,25594,409504,18.643518,17.331689,17.331689,107.409956,90.078267
1,16,42689,683024,19.381577,18.596920,18.596920,110.591005,91.994085
1,16,44560,712960,19.443462,20.103586,20.103586,110.829016,90.725430
1,64,11,704,9.459432,15.561414,15.561414,107.600004,92.038591
1,64,15,960,9.906891,15.333936,15.333936,106.389984,91.056047
1,64,34,2176,11.087463,14.136905,14.136905,106.060004,91.923100
1,64,60,3840,11.906891,14.708795,14.708795,105.850049,91.141255
1,64,98,6272,12.614710,14.772500,14.772500,104.250037,89.477537
1,64,580,37120,15.179909,14.409896,14.409896,104.850973,90.441077
1,64,1028,65792,16.005625,15.243683,15.243683,106.610009,91.366325
1,64,1665,106560,16.701306,15.579635,15.579635,107.589993,92.010357
1,64,1986,127104,16.955650,14.866317,14.866317,105.610001,90.743684
1,64,2314,148096,17.176173,15.949070,15.949070,106.420019,90.470949
1,64,6135,392640,18.582848,14.873095,14.873095,108.139997,93.266902
1,64,6254,400256,18.610564,16.356295,16.356295,108.790002,92.433707
1,64,10279,657856,19.327412,15.760625,15.760625,109.069981,93.309356
1,64,16044,1026816,19.969746,18.312135,18.312135,113.069022,94.756886
1,64,19234,1230976,20.231371,20.345469,20.345469,114.320021,93.974552
1,64,24209,1549376,20.563256,23.382158,23.382158,116.850017,93.467859
1,64,31062,1987968,20.922863,25.162760,25.162760,118.319993,93.157233
1,64,35567,2276288,21.118252,28.167016,28.167016,123.010017,94.843001
1,128,9,1152,10.169925,12.277262,12.277262,107.929984,95.652722
1,128,27,3456,11.754888,13.409889,13.409889,107.930042,94.520153
1,128,47,6016,12.554589,12.437760,12.437760,108.600012,96.162252
1,128,147,18816,14.199672,12.123222,12.123222,108.039996,95.916774
1,128,157,20096,14.294621,14.629174,14.629174,107.579981,92.950807
1,128,207,26496,14.693487,12.417701,12.417701,106.249994,93.832293
1,128,271,34688,15.082149,14.114397,14.114397,105.720013,91.605616
1,128,279,35712,15.124121,11.736317,11.736317,108.200009,96.463692
1,128,1550,198400,17.598053,15.108318,15.108318,106.770021,91.661703
1,128,2443,312704,18.254438,16.015937,16.015937,108.171022,92.155084
1,128,3069,392832,18.583553,14.863453,14.863453,110.011024,95.147571
1,128,8463,1083264,20.046953,20.774152,20.774152,113.199989,92.425837
1,128,13624,1743872,20.733863,22.678899,22.678899,117.999967,95.321069
1,128,28105,3597440,21.778539,35.162738,35.162738,128.129963,92.967225
1,128,28196,3609088,21.783203,35.922016,35.922016,127.940031,92.018015
1,128,44731,5725568,22.448987,47.476094,47.476094,141.009979,93.533886
1,256,10,2560,11.321928,11.689360,11.689360,106.289983,94.600623
1,256,22,5632,12.459432,11.950736,11.950736,105.820014,93.869278
1,256,25,6400,12.643856,15.572597,15.572597,105.689978,90.117381
1,256,44,11264,13.459432,13.019769,13.019769,106.180029,93.160259
1,256,59,15104,13.882643,12.942121,12.942121,104.780018,91.837897
1,256,135,34560,15.076816,12.757150,12.757150,105.430023,92.672872
1,256,167,42752,15.383704,12.422731,12.422731,109.651010,97.228279
1,256,247,63232,15.948367,13.241778,13.241778,105.739979,92.498200
1,256,291,74496,16.184875,12.402247,12.402247,106.089981,93.687734
1,256,356,91136,16.475733,13.343200,13.343200,106.570020,93.226820
1,256,432,110592,16.754888,13.392277,13.392277,106.739986,93.347709
1,256,455,116480,16.829723,12.509539,12.509539,105.409999,92.900460
1,256,496,126976,16.954196,12.412991,12.412991,105.460000,93.047009
1,256,10171,2603776,21.312174,29.996280,29.996280,122.520025,92.523745
1,256,13038,3337728,21.670435,33.672857,33.672857,125.480001,91.807144
1,256,18450,4723200,22.171333,41.076399,41.076399,135.329959,94.253561
1,512,11,5632,12.459432,11.862128,11.862128,105.929968,94.067840
1,512,13,6656,12.700440,13.295134,13.295134,109.979999,96.684865
1,512,14,7168,12.807355,12.624888,12.624888,106.649997,94.025109
