d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.093222,12.093222,104.899984,92.806762
1,1,16,16,4.000000,12.404784,12.404784,103.369006,90.964222
1,1,33,33,5.044394,12.980343,12.980343,104.270992,91.290649
1,1,48,48,5.584963,12.591793,12.591793,102.729013,90.137220
1,1,66,66,6.044394,14.181414,14.181414,104.220002,90.038588
1,1,75,75,6.228819,11.216168,11.216168,104.220002,93.003834
1,1,87,87,6.442943,12.243237,12.243237,103.940023,91.696786
1,1,111,111,6.794416,16.619985,16.619985,107.511005,90.891020
1,1,636,636,9.312883,12.050506,12.050506,102.899969,90.849463
1,1,797,797,9.638436,11.939851,11.939851,103.999977,92.060126
1,1,931,931,9.862637,11.989881,11.989881,102.450023,90.460142
1,1,1006,1006,9.974415,11.384524,11.384524,104.350038,92.965514
1,1,1115,1115,10.122828,13.450216,13.450216,102.480000,89.029785
1,1,1446,1446,10.497852,11.930112,11.930112,104.520004,92.589893
1,1,1695,1695,10.727070,11.924427,11.924427,102.108985,90.184557
1,1,10690,10690,13.383974,11.761897,11.761897,104.570005,92.808107
1,1,21218,21218,14.373001,13.114293,13.114293,104.499981,91.385688
1,1,49863,49863,15.605682,14.009673,14.009673,103.869999,89.860327
1,8,10,80,6.321928,12.107017,12.107017,104.911043,92.804027
1,8,16,128,7.000000,12.981548,12.981548,105.520012,92.538464
1,8,36,288,8.169925,11.770729,11.770729,101.490004,89.719275
1,8,42,336,8.392317,11.270230,11.270230,103.909988,92.639757
1,8,85,680,9.409391,13.550357,13.550357,102.840015,89.289658
1,8,90,720,9.491853,13.948802,13.948802,106.970023,93.021221
1,8,185,1480,10.531381,14.359040,14.359040,100.450998,86.091958
1,8,250,2000,10.965784,14.345811,14.345811,102.309976,87.964165
1,8,300,2400,11.228819,14.006771,14.006771,101.530983,87.524212
1,8,336,2688,11.392317,13.641198,13.641198,100.890000,87.248802
1,8,490,3920,11.936638,14.756414,14.756414,101.140002,86.383588
1,8,527,4216,12.041659,15.695223,15.695223,101.660029,85.964806
1,8,846,6768,12.724514,13.882136,13.882136,99.650002,85.767867
1,8,3222,25776,14.653741,13.484502,13.484502,101.310026,87.825525
1,8,7511,60088,15.874789,13.995357,13.995357,100.279984,86.284626
1,8,7749,61992,15.919794,16.260476,16.260476,102.319987,86.059511
1,8,9317,74536,16.185650,13.770499,13.770499,101.740006,87.969508
1,8,10422,83376,16.347345,14.266555,14.266555,100.409961,86.143406
1,8,30026,240208,17.873925,14.741912,14.741912,102.649967,87.908055
1,8,45294,362352,18.467032,16.084070,16.084070,104.100036,88.015966
1,16,14,224,7.807355,15.435960,15.435960,103.449973,88.014013
1,16,49,784,9.614710,14.065104,14.065104,102.589955,88.524850
1,16,112,1792,10.807355,14.405253,14.405253,104.480016,90.074763
1,16,128,2048,11.000000,15.230945,15.230945,101.529993,86.299048
1,16,159,2544,11.312883,15.223333,15.223333,100.120029,84.896696
1,16,183,2928,11.515700,14.345937,14.345937,100.819976,86.474039
1,16,192,3072,11.584963,13.181548,13.181548,100.209028,87.027481
1,16,273,4368,12.092757,14.295216,14.295216,101.490004,87.194789
1,16,274,4384,12.098032,14.309390,14.309390,100.589008,86.279618
1,16,298,4768,12.219169,17.756778,17.756778,102.159975,84.403196
1,16,331,5296,12.370687,13.248690,13.248690,100.250007,87.001316
1,16,392,6272,12.614710,14.308534,14.308534,99.560013,85.251479
1,16,693,11088,13.436712,13.437135,13.437135,101.190002,87.752867
1,16,1152,18432,14.169925,13.902493,13.902493,100.129982,86.227490
1,16,1532,24512,14.581201,13.688817,13.688817,101.290003,87.601186
1,16,4879,78064,16.252370,14.233333,14.233333,100.829988,86.596654
1,16,5281,84496,16.366595,14.971183,14.971183,102.759979,87.788796
1,16,6413,102608,16.646784,15.816071,15.816071,102.409977,86.593905
1,16,7612,121792,16.894060,14.338326,14.338326,103.189028,88.850702
