d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.390097,12.390097,99.350000,86.959903
1,1,16,16,4.000000,12.371674,12.371674,100.129982,87.758308
1,1,33,33,5.044394,11.887493,11.887493,98.290038,86.402545
1,1,48,48,5.584963,12.711079,12.711079,98.029966,85.318888
1,1,66,66,6.044394,13.981272,13.981272,98.699995,84.718723
1,1,75,75,6.228819,12.641555,12.641555,99.510013,86.868458
1,1,87,87,6.442943,12.936919,12.936919,99.080033,86.143113
1,1,111,111,6.794416,13.844643,13.844643,97.870012,84.025369
1,1,636,636,9.312883,13.648289,13.648289,100.339996,86.691707
1,1,797,797,9.638436,15.164740,15.164740,100.250996,85.086256
1,1,931,931,9.862637,14.215350,14.215350,98.280027,84.064677
1,1,1006,1006,9.974415,13.687864,13.687864,98.249991,84.562127
1,1,1115,1115,10.122828,12.980811,12.980811,100.260018,87.279207
1,1,1446,1446,10.497852,12.637515,12.637515,99.700002,87.062488
1,1,1695,1695,10.727070,13.684308,13.684308,98.699995,85.015687
1,1,10690,10690,13.383974,12.567492,12.567492,99.850004,87.282511
1,1,21218,21218,14.373001,13.561912,13.561912,99.389988,85.828076
1,1,49863,49863,15.605682,13.251198,13.251198,100.179983,86.928785
1,8,10,80,6.321928,12.740617,12.740617,99.319965,86.579347
1,8,16,128,7.000000,12.053936,12.053936,99.220022,87.166086
1,8,36,288,8.169925,12.495372,12.495372,98.210003,85.714631
1,8,42,336,8.392317,13.196198,13.196198,98.099990,84.903792
1,8,85,680,9.409391,13.148452,13.148452,99.539990,86.391537
1,8,90,720,9.491853,12.806644,12.806644,98.880031,86.073387
1,8,185,1480,10.531381,13.860112,13.860112,100.110017,86.249905
1,8,250,2000,10.965784,13.282969,13.282969,99.529978,86.247009
1,8,300,2400,11.228819,12.912969,12.912969,100.750010,87.837042
1,8,336,2688,11.392317,14.276458,14.276458,99.860015,85.583557
1,8,490,3920,11.936638,12.950952,12.950952,98.770019,85.819067
1,8,527,4216,12.041659,13.091927,13.091927,100.050005,86.958078
1,8,846,6768,12.724514,14.098832,14.098832,97.499986,83.401154
1,8,3222,25776,14.653741,12.777984,12.777984,99.690980,86.912997
1,8,7511,60088,15.874789,14.114881,14.114881,99.279045,85.164164
1,8,7749,61992,15.919794,13.102864,13.102864,100.000005,86.897140
1,8,9317,74536,16.185650,12.834286,12.834286,101.109967,88.275681
1,8,10422,83376,16.347345,12.772998,12.772998,99.980040,87.207041
1,8,30026,240208,17.873925,14.446064,14.446064,101.010024,86.563960
1,8,45294,362352,18.467032,15.304048,15.304048,101.870042,86.565995
1,16,14,224,7.807355,14.146287,14.146287,98.589982,84.443695
1,16,49,784,9.614710,15.490104,15.490104,101.829995,86.339891
1,16,112,1792,10.807355,13.199985,13.199985,100.060017,86.860032
1,16,128,2048,11.000000,12.599635,12.599635,98.890043,86.290408
1,16,159,2544,11.312883,12.646421,12.646421,98.580029,85.933608
1,16,183,2928,11.515700,13.010736,13.010736,99.689991,86.679254
1,16,192,3072,11.584963,14.085432,14.085432,99.140045,85.054613
1,16,273,4368,12.092757,14.863921,14.863921,101.069978,86.206057
1,16,274,4384,12.098032,12.658482,12.658482,101.699959,89.041477
1,16,298,4768,12.219169,13.299628,13.299628,98.560005,85.260377
1,16,331,5296,12.370687,12.854524,12.854524,99.429977,86.575453
1,16,392,6272,12.614710,13.355454,13.355454,105.719955,92.364501
1,16,693,11088,13.436712,13.119866,13.119866,100.950012,87.830146
1,16,1152,18432,14.169925,13.170722,13.170722,98.979974,85.809252
1,16,1532,24512,14.581201,11.965238,11.965238,100.190984,88.225746
1,16,4879,78064,16.252370,13.414152,13.414152,100.909965,87.495813
1,16,5281,84496,16.366595,14.464866,14.464866,99.989004,85.524138
1,16,6413,102608,16.646784,13.559033,13.559033,101.379992,87.820959
1,16,7612,121792,16.894060,13.757716,13.757716,100.750010,86.992295
1,16,9046,144736,17.143064,14.128088,14.128088,98.960008,84.831921
1,16,17040,272640,18.056638,14.351101,14.351101,101.619982,87.268881
1,16,25594,409504,18.643518,16.118809,16.118809,103.239960,87.121150
1,16,42689,683024,19.381577,17.263467,17.263467,102.520047,85.256580
1,16,44560,712960,19.443462,17.632976,17.632976,104.680017,87.047041
1,64,11,704,9.459432,14.458668,14.458668,99.299010,84.840342
1,64,15,960,9.906891,16.023594,16.023594,97.699987,81.676393
1,64,34,2176,11.087463,14.008437,14.008437,100.800011,86.791573
1,64,60,3840,11.906891,14.190461,14.190461,101.820042,87.629581
1,64,98,6272,12.614710,12.697627,12.697627,99.739991,87.042364
1,64,580,37120,15.179909,13.521659,13.521659,101.380050,87.858391
