d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,13.662165,13.662165,99.879981,86.217815
1,1,16,16,4.000000,13.407954,13.407954,100.128993,86.721039
1,1,33,33,5.044394,13.287024,13.287024,101.048965,87.761941
1,1,48,48,5.584963,13.110112,13.110112,101.369049,88.258937
1,1,66,66,6.044394,16.140469,16.140469,99.839992,83.699523
1,1,75,75,6.228819,14.468571,14.468571,101.989950,87.521379
1,1,87,87,6.442943,14.020380,14.020380,100.080040,86.059661
1,1,111,111,6.794416,14.863586,14.863586,101.979997,87.116410
1,1,636,636,9.312883,15.981287,15.981287,101.269979,85.288692
1,1,797,797,9.638436,14.347984,14.347984,99.780038,85.432054
1,1,931,931,9.862637,13.609010,13.609010,101.360027,87.751016
1,1,1006,1006,9.974415,14.755119,14.755119,101.540005,86.784886
1,1,1115,1115,10.122828,14.626064,14.626064,101.810030,87.183966
1,1,1446,1446,10.497852,14.562411,14.562411,99.199999,84.637588
1,1,1695,1695,10.727070,14.465982,14.465982,101.190002,86.724020
1,1,10690,10690,13.383974,18.119375,18.119375,106.630032,88.510657
1,1,21218,21218,14.373001,21.805811,21.805811,107.300002,85.494191
1,1,49863,49863,15.605682,31.967857,31.967857,120.079960,88.112103
1,8,10,80,6.321928,16.992396,16.992396,99.520024,82.527629
1,8,16,128,7.000000,13.213214,13.213214,102.000020,88.786806
1,8,36,288,8.169925,14.186682,14.186682,101.789017,87.602336
1,8,42,336,8.392317,13.812292,13.812292,100.851001,87.038709
1,8,85,680,9.409391,13.502753,13.502753,101.549027,88.046274
1,8,90,720,9.491853,16.490491,16.490491,100.610021,84.119530
1,8,185,1480,10.531381,13.966778,13.966778,100.879988,86.913210
1,8,250,2000,10.965784,14.145833,14.145833,100.110017,85.964184
1,8,300,2400,11.228819,14.432046,14.432046,101.090001,86.657955
1,8,336,2688,11.392317,14.032225,14.032225,99.910016,85.877791
1,8,490,3920,11.936638,15.618348,15.618348,101.540005,85.921657
1,8,527,4216,12.041659,15.186168,15.186168,102.950027,87.763859
1,8,846,6768,12.724514,15.832969,15.832969,101.389945,85.556976
1,8,3222,25776,14.653741,16.041101,16.041101,103.299972,87.258871
1,8,7511,60088,15.874789,18.376436,18.376436,104.409992,86.033556
1,8,7749,61992,15.919794,17.772262,17.772262,103.800034,86.027772
1,8,9317,74536,16.185650,18.138572,18.138572,104.599982,86.461410
1,8,10422,83376,16.347345,18.024546,18.024546,104.880019,86.855472
1,8,30026,240208,17.873925,25.300595,25.300595,112.890033,87.589438
1,8,45294,362352,18.467032,31.197470,31.197470,117.459975,86.262504
1,16,14,224,7.807355,14.089889,14.089889,100.400008,86.310119
1,16,49,784,9.614710,15.474732,15.474732,101.279991,85.805259
1,16,112,1792,10.807355,14.531905,14.531905,99.080033,84.548128
1,16,128,2048,11.000000,14.583787,14.583787,99.960016,85.376229
1,16,159,2544,11.312883,14.714658,14.714658,100.000005,85.285347
1,16,183,2928,11.515700,13.909063,13.909063,99.980040,86.070977
1,16,192,3072,11.584963,15.567872,15.567872,103.569007,88.001135
1,16,273,4368,12.092757,13.981421,13.981421,100.029982,86.048561
1,16,274,4384,12.098032,14.522284,14.522284,102.229998,87.707714
1,16,298,4768,12.219169,15.030610,15.030610,101.970974,86.940364
