d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,15.533200,15.533200,105.320010,89.786811
1,1,16,16,4.000000,13.364658,13.364658,104.579958,91.215300
1,1,33,33,5.044394,15.209055,15.209055,101.950020,86.740964
1,1,48,48,5.584963,15.157262,15.157262,104.170002,89.012740
1,1,66,66,6.044394,15.991793,15.991793,105.439976,89.448183
1,1,75,75,6.228819,14.986681,14.986681,103.539962,88.553280
1,1,87,87,6.442943,13.860380,13.860380,103.690021,89.829642
1,1,111,111,6.794416,13.602976,13.602976,102.469989,88.867012
1,1,636,636,9.312883,13.561451,13.561451,105.089974,91.528523
1,1,797,797,9.638436,13.438817,13.438817,106.519961,93.081144
1,1,931,931,9.862637,13.412359,13.412359,103.259983,89.847624
1,1,1006,1006,9.974415,15.282850,15.282850,101.569982,86.287132
1,1,1115,1115,10.122828,13.461518,13.461518,103.409984,89.948466
1,1,1446,1446,10.497852,13.217508,13.217508,104.170002,90.952494
1,1,1695,1695,10.727070,15.634048,15.634048,105.410989,89.776941
1,1,10690,10690,13.383974,12.887999,12.887999,103.869999,90.982001
1,1,21218,21218,14.373001,14.764308,14.764308,103.899976,89.135668
1,1,49863,49863,15.605682,15.125967,15.125967,103.391008,88.265041
1,8,10,80,6.321928,15.083817,15.083817,104.251027,89.167210
1,8,16,128,7.000000,13.781823,13.781823,103.219994,89.438171
1,8,36,288,8.169925,13.721086,13.721086,105.288986,91.567899
1,8,42,336,8.392317,14.607255,14.607255,105.199986,90.592732
1,8,85,680,9.409391,13.275089,13.275089,103.349972,90.074883
1,8,90,720,9.491853,15.768661,15.768661,103.699975,87.931314
1,8,185,1480,10.531381,14.214963,14.214963,103.330007,89.115044
1,8,250,2000,10.965784,15.182024,15.182024,102.899969,87.717945
1,8,300,2400,11.228819,13.673594,13.673594,102.980004,89.306411
1,8,336,2688,11.392317,13.820335,13.820335,103.279948,89.459613
1,8,490,3920,11.936638,13.136064,13.136064,103.809056,90.672992
1,8,527,4216,12.041659,13.801205,13.801205,103.920000,90.118794
1,8,846,6768,12.724514,12.831897,12.831897,102.390011,89.558114
1,8,3222,25776,14.653741,14.004293,14.004293,103.719998,89.715705
1,8,7511,60088,15.874789,13.650595,13.650595,103.240018,89.589422
1,8,7749,61992,15.919794,14.741213,14.741213,102.469989,87.728776
1,8,9317,74536,16.185650,13.509888,13.509888,102.540012,89.030124
1,8,10422,83376,16.347345,13.369658,13.369658,102.279999,88.910341
1,8,30026,240208,17.873925,15.322865,15.322865,104.280014,88.957149
1,8,45294,362352,18.467032,16.054911,16.054911,107.250002,91.195091
1,16,14,224,7.807355,13.386406,13.386406,102.029997,88.643591
1,16,49,784,9.614710,13.399279,13.399279,102.590013,89.190734
1,16,112,1792,10.807355,13.677641,13.677641,103.789032,90.111391
1,16,128,2048,11.000000,13.789658,13.789658,103.240018,89.450360
1,16,159,2544,11.312883,13.105141,13.105141,102.770049,89.664908
1,16,183,2928,11.515700,13.267872,13.267872,102.890015,89.622143
1,16,192,3072,11.584963,13.762998,13.762998,102.540012,88.777014
1,16,273,4368,12.092757,15.056533,15.056533,103.309983,88.253451
1,16,274,4384,12.098032,13.231205,13.231205,102.150021,88.918816
1,16,298,4768,12.219169,14.123579,14.123579,104.159990,90.036411
1,16,331,5296,12.370687,15.293333,15.293333,105.449988,90.156655
1,16,392,6272,12.614710,13.563928,13.563928,105.040031,91.476103
1,16,693,11088,13.436712,13.251994,13.251994,104.760053,91.508059
1,16,1152,18432,14.169925,14.208557,14.208557,103.930011,89.721455
1,16,1532,24512,14.581201,13.565015,13.565015,104.280014,90.714999
1,16,4879,78064,16.252370,15.387247,15.387247,106.610009,91.222761
1,16,5281,84496,16.366595,15.551875,15.551875,103.389961,87.838086
1,16,6413,102608,16.646784,13.280260,13.280260,106.410007,93.129747
1,16,7612,121792,16.894060,13.926384,13.926384,103.859988,89.933604
1,16,9046,144736,17.143064,13.575967,13.575967,103.959988,90.384021
