d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,13.979323,13.979323,107.269967,93.290644
1,1,16,16,4.000000,14.831667,14.831667,106.199994,91.368327
1,1,33,33,5.044394,14.868452,14.868452,108.029984,93.161532
1,1,48,48,5.584963,15.685588,15.685588,106.220017,90.534429
1,1,66,66,6.044394,16.100007,16.100007,106.909953,90.809945
1,1,75,75,6.228819,16.079048,16.079048,106.049003,89.969955
1,1,87,87,6.442943,14.792738,14.792738,106.739986,91.947248
1,1,111,111,6.794416,14.083452,14.083452,106.049993,91.966540
1,1,636,636,9.312883,15.878549,15.878549,109.190005,93.311456
1,1,797,797,9.638436,14.884271,14.884271,106.789987,91.905716
1,1,931,931,9.862637,14.053944,14.053944,107.929984,93.876040
1,1,1006,1006,9.974415,14.785126,14.785126,106.679974,91.894848
1,1,1115,1115,10.122828,14.401049,14.401049,108.670036,94.268987
1,1,1446,1446,10.497852,14.633936,14.633936,106.660009,92.026073
1,1,1695,1695,10.727070,15.411056,15.411056,109.599961,94.188905
1,1,10690,10690,13.383974,15.327589,15.327589,107.250002,91.922412
1,1,21218,21218,14.373001,15.156890,15.156890,107.450993,92.294103
1,1,49863,49863,15.605682,15.994769,15.994769,107.711006,91.716237
1,8,10,80,6.321928,14.571072,14.571072,108.139997,93.568925
1,8,16,128,7.000000,15.121659,15.121659,105.499988,90.378329
1,8,36,288,8.169925,14.447604,14.447604,106.520019,92.072415
1,8,42,336,8.392317,14.558817,14.558817,106.380030,91.821213
1,8,85,680,9.409391,17.279301,17.279301,108.750013,91.470713
1,8,90,720,9.491853,15.061682,15.061682,106.629974,91.568292
1,8,185,1480,10.531381,15.750603,15.750603,106.530031,90.779428
1,8,250,2000,10.965784,14.657143,14.657143,106.870022,92.212879
1,8,300,2400,11.228819,15.747113,15.747113,106.430962,90.683849
1,8,336,2688,11.392317,14.177262,14.177262,105.899991,91.722730
1,8,490,3920,11.936638,15.424018,15.424018,106.039981,90.615963
1,8,527,4216,12.041659,14.016689,14.016689,107.270025,93.253336
1,8,846,6768,12.724514,15.887515,15.887515,106.160005,90.272490
1,8,3222,25776,14.653741,15.225975,15.225975,107.150001,91.924026
1,8,7511,60088,15.874789,16.909896,16.909896,107.951055,91.041159
1,8,7749,61992,15.919794,14.478333,14.478333,107.220025,92.741691
1,8,9317,74536,16.185650,19.394025,19.394025,107.009022,87.614997
1,8,10422,83376,16.347345,14.847128,14.847128,107.228989,92.381861
1,8,30026,240208,17.873925,18.683891,18.683891,108.019973,89.336081
1,8,45294,362352,18.467032,16.590841,16.590841,111.388974,94.798133
1,16,14,224,7.807355,15.313355,15.313355,108.500011,93.186656
1,16,49,784,9.614710,14.845684,14.845684,108.300010,93.454325
1,16,112,1792,10.807355,16.448690,16.448690,106.569962,90.121271
1,16,128,2048,11.000000,15.518921,15.518921,106.170017,90.651096
1,16,159,2544,11.312883,15.444881,15.444881,110.349967,94.905086
1,16,183,2928,11.515700,14.801049,14.801049,107.700005,92.898956
1,16,192,3072,11.584963,16.071659,16.071659,106.890046,90.818386
1,16,273,4368,12.092757,15.008482,15.008482,106.799998,91.791516
1,16,274,4384,12.098032,15.457284,15.457284,108.660024,93.202740
1,16,298,4768,12.219169,15.638557,15.638557,107.240048,91.601492
1,16,331,5296,12.370687,14.910476,14.910476,109.410030,94.499554
1,16,392,6272,12.614710,15.259181,15.259181,108.360022,93.100841
1,16,693,11088,13.436712,14.995588,14.995588,106.140040,91.144452
1,16,1152,18432,14.169925,16.052374,16.052374,107.120024,91.067650
1,16,1532,24512,14.581201,16.063787,16.063787,108.170032,92.106245
1,16,4879,78064,16.252370,15.319628,15.319628,122.389989,107.070361
1,16,5281,84496,16.366595,17.488073,17.488073,108.309963,90.821890
1,16,6413,102608,16.646784,17.030498,17.030498,107.389991,90.359493
1,16,7612,121792,16.894060,15.490967,15.490967,106.939988,91.449020
1,16,9046,144736,17.143064,15.830149,15.830149,108.419976,92.589827
1,16,17040,272640,18.056638,17.313467,17.313467,109.969988,92.656520
1,16,25594,409504,18.643518,15.809516,15.809516,110.970985,95.161468
1,16,42689,683024,19.381577,20.339546,20.339546,112.470007,92.130460
1,16,44560,712960,19.443462,20.817388,20.817388,109.240995,88.423607
1,64,11,704,9.459432,15.713452,15.713452,106.779975,91.066522
1,64,15,960,9.906891,15.275506,15.275506,106.230029,90.954523
1,64,34,2176,11.087463,15.545588,15.545588,111.620000,96.074412
1,64,60,3840,11.906891,15.053668,15.053668,110.380002,95.326334
1,64,98,6272,12.614710,15.023713,15.023713,106.990046,91.966333
1,64,580,37120,15.179909,16.942522,16.942522,106.868974,89.926452
1,64,1028,65792,16.005625,15.222240,15.222240,105.839979,90.617740
1,64,1665,106560,16.701306,15.086198,15.086198,106.591033,91.504835
1,64,1986,127104,16.955650,16.986161,16.986161,128.920015,111.933855
1,64,2314,148096,17.176173,16.387373,16.387373,107.840053,91.452679
1,64,6135,392640,18.582848,17.373802,17.373802,107.600004,90.226202
1,64,6254,400256,18.610564,18.072389,18.072389,107.850996,89.778607
