d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,16.719167,16.719167,108.880049,92.160882
1,1,16,16,4.000000,16.186444,16.186444,106.660009,90.473565
1,1,33,33,5.044394,15.622760,15.622760,91.149996,75.527235
1,1,48,48,5.584963,12.108966,12.108966,93.200011,81.091046
1,1,66,66,6.044394,12.568587,12.568587,92.240050,79.671464
1,1,75,75,6.228819,12.960238,12.960238,92.510018,79.549779
1,1,87,87,6.442943,12.078907,12.078907,90.630027,78.551120
1,1,111,111,6.794416,15.685476,15.685476,91.820024,76.134548
1,1,636,636,9.312883,14.215833,14.215833,92.139991,77.924158
1,1,797,797,9.638436,13.548214,13.548214,93.619979,80.071765
1,1,931,931,9.862637,15.413824,15.413824,91.940048,76.526224
1,1,1006,1006,9.974415,13.337760,13.337760,93.600014,80.262254
1,1,1115,1115,10.122828,13.062723,13.062723,92.679984,79.617261
1,1,1446,1446,10.497852,15.449390,15.449390,93.470968,78.021578
1,1,1695,1695,10.727070,12.476667,12.476667,91.539987,79.063320
1,1,10690,10690,13.383974,13.954516,13.954516,91.829977,77.875461
1,1,21218,21218,14.373001,12.875015,12.875015,91.419963,78.544948
1,1,49863,49863,15.605682,13.795960,13.795960,92.520029,78.724070
1,8,10,80,6.321928,14.199918,14.199918,92.310016,78.110098
1,8,16,128,7.000000,12.041406,12.041406,91.989990,79.948584
1,8,36,288,8.169925,12.003110,12.003110,91.599999,79.596889
1,8,42,336,8.392317,12.498928,12.498928,93.530980,81.032051
1,8,85,680,9.409391,11.779047,11.779047,92.270027,80.490980
1,8,90,720,9.491853,10.017857,10.017857,92.660019,82.642161
1,8,185,1480,10.531381,12.429189,12.429189,91.010006,78.580817
1,8,250,2000,10.965784,12.157507,12.157507,91.628986,79.471479
1,8,300,2400,11.228819,11.924509,11.924509,91.149996,79.225487
1,8,336,2688,11.392317,11.311644,11.311644,90.180023,78.868379
1,8,490,3920,11.936638,11.620841,11.620841,91.270020,79.649179
1,8,527,4216,12.041659,12.282604,12.282604,91.730035,79.447431
1,8,846,6768,12.724514,11.146168,11.146168,91.739988,80.593820
1,8,3222,25776,14.653741,10.836280,10.836280,92.759961,81.923681
1,8,7511,60088,15.874789,13.680238,13.680238,91.869966,78.189728
1,8,7749,61992,15.919794,14.240462,14.240462,91.549999,77.309537
1,8,9317,74536,16.185650,12.381771,12.381771,90.860005,78.478234
1,8,10422,83376,16.347345,12.754501,12.754501,90.620015,77.865513
1,8,30026,240208,17.873925,13.883683,13.883683,94.510033,80.626350
1,8,45294,362352,18.467032,15.116763,15.116763,94.319985,79.203221
1,16,14,224,7.807355,12.044903,12.044903,91.749011,79.704107
1,16,49,784,9.614710,13.326302,13.326302,92.130038,78.803736
1,16,112,1792,10.807355,12.338928,12.338928,91.399997,79.061069
1,16,128,2048,11.000000,10.065439,10.065439,91.199996,81.134557
1,16,159,2544,11.312883,11.912016,11.912016,93.510025,81.598009
1,16,183,2928,11.515700,13.075134,13.075134,91.599999,78.524865
1,16,192,3072,11.584963,13.308921,13.308921,91.989990,78.681069
1,16,273,4368,12.092757,12.337500,12.337500,92.569971,80.232472
1,16,274,4384,12.098032,13.867619,13.867619,91.339985,77.472366
1,16,298,4768,12.219169,13.793453,13.793453,91.610011,77.816558
1,16,331,5296,12.370687,15.572738,15.572738,91.729977,76.157239
1,16,392,6272,12.614710,10.413802,10.413802,91.399997,80.986195
1,16,693,11088,13.436712,12.436295,12.436295,91.939990,79.503695
1,16,1152,18432,14.169925,10.625856,10.625856,97.109994,86.484139
1,16,1532,24512,14.581201,13.479271,13.479271,92.300004,78.820733
1,16,4879,78064,16.252370,12.716414,12.716414,91.880036,79.163622
1,16,5281,84496,16.366595,13.612143,13.612143,91.591035,77.978892
1,16,6413,102608,16.646784,11.758095,11.758095,95.111027,83.352932
1,16,7612,121792,16.894060,12.354903,12.354903,93.039998,80.685095
1,16,9046,144736,17.143064,12.758110,12.758110,92.119968,79.361858
1,16,17040,272640,18.056638,14.262649,14.262649,93.611015,79.348367
1,16,25594,409504,18.643518,13.466897,13.466897,94.279996,80.813099
1,16,42689,683024,19.381577,14.024650,14.024650,95.260039,81.235388
1,16,44560,712960,19.443462,15.529992,15.529992,93.329989,77.799996
1,64,11,704,9.459432,13.430022,13.430022,92.659961,79.229938
1,64,15,960,9.906891,11.190476,11.190476,90.888992,79.698516
1,64,34,2176,11.087463,11.552135,11.552135,91.390044,79.837909
1,64,60,3840,11.906891,12.310380,12.310380,91.588998,79.278618
1,64,98,6272,12.614710,14.208095,14.208095,91.800001,77.591905
1,64,580,37120,15.179909,12.246778,12.246778,91.560010,79.313232
1,64,1028,65792,16.005625,12.403229,12.403229,91.850990,79.447762
1,64,1665,106560,16.701306,13.290357,13.290357,91.960013,78.669656
1,64,1986,127104,16.955650,14.689531,14.689531,93.579991,78.890459
1,64,2314,148096,17.176173,13.341763,13.341763,92.020025,78.678262
1,64,6135,392640,18.582848,12.273705,12.273705,94.040006,81.766301
1,64,6254,400256,18.610564,10.387039,10.387039,95.570053,85.183014
1,64,10279,657856,19.327412,13.821533,13.821533,96.229953,82.408420
1,64,16044,1026816,19.969746,17.487604,17.487604,96.259988,78.772384
1,64,19234,1230976,20.231371,16.436570,16.436570,96.160045,79.723476
1,64,24209,1549376,20.563256,17.226041,17.226041,97.699987,80.473946
1,64,31062,1987968,20.922863,18.979397,18.979397,99.879981,80.900583
1,64,35567,2276288,21.118252,21.852604,21.852604,100.989011,79.136407
1,128,9,1152,10.169925,12.105275,12.105275,90.369955,78.264680
1,128,27,3456,11.754888,12.384717,12.384717,91.430033,79.045315
1,128,47,6016,12.554589,14.558065,14.558065,93.350012,78.791947
1,128,147,18816,14.199672,11.921666,11.921666,93.470037,81.548370
1,128,157,20096,14.294621,12.084970,12.084970,92.219969,80.134999
1,128,207,26496,14.693487,12.245231,12.245231,93.600014,81.354783
1,128,271,34688,15.082149,12.943311,12.943311,90.799993,77.856682
1,128,279,35712,15.124121,12.076890,12.076890,92.889997,80.813107
1,128,1550,198400,17.598053,13.423065,13.423065,92.760019,79.336954
1,128,2443,312704,18.254438,16.476056,16.476056,98.179968,81.703911
1,128,3069,392832,18.583553,17.065365,17.065365,94.079995,77.014630
1,128,8463,1083264,20.046953,16.114874,16.114874,97.809010,81.694137
1,128,13624,1743872,20.733863,23.096324,23.096324,119.989971,96.893646
1,128,28105,3597440,21.778539,29.428809,29.428809,125.510967,96.082158
1,128,28196,3609088,21.783203,27.768802,27.768802,128.660002,100.891200
1,128,44731,5725568,22.448987,34.813311,34.813311,136.420014,101.606703
1,256,10,2560,11.321928,12.934516,12.934516,111.880014,98.945497
1,256,22,5632,12.459432,11.555729,11.555729,112.620008,101.064278
1,256,25,6400,12.643856,12.859062,12.859062,89.520006,76.660944
1,256,44,11264,13.459432,12.178430,12.178430,113.128975,100.950545
1,256,59,15104,13.882643,14.742255,14.742255,92.219969,77.477714
1,256,135,34560,15.076816,12.522262,12.522262,92.060014,79.537752
1,256,167,42752,15.383704,11.924985,11.924985,114.960014,103.035029
1,256,247,63232,15.948367,11.999152,11.999152,111.720001,99.720849
1,256,291,74496,16.184875,12.310022,12.310022,113.520015,101.209992
1,256,356,91136,16.475733,14.804531,14.804531,113.771006,98.966475
1,256,432,110592,16.754888,11.522269,11.522269,112.699985,101.177716
1,256,455,116480,16.829723,13.518713,13.518713,113.439979,99.921266
1,256,496,126976,16.954196,14.760833,14.760833,113.180024,98.419190
1,256,10171,2603776,21.312174,24.269397,24.269397,122.350000,98.080603
1,256,13038,3337728,21.670435,26.357493,26.357493,125.980005,99.622512
1,256,18450,4723200,22.171333,31.630260,31.630260,131.039997,99.409736
1,512,11,5632,12.459432,12.020841,12.020841,91.160007,79.139167
1,512,13,6656,12.700440,11.541175,11.541175,92.070026,80.528850
1,512,14,7168,12.807355,12.259769,12.259769,90.828980,78.569211
1,512,46,23552,14.523562,12.979568,12.979568,92.679984,79.700416
1,512,110,56320,15.781360,11.862857,11.862857,93.679992,81.817135
1,512,165,84480,16.366322,12.529390,12.529390,92.929986,80.400596
1,512,267,136704,17.060696,13.420595,13.420595,92.839997,79.419402
1,512,1306,668672,19.350939,15.333653,15.333653,116.240000,100.906347
1,512,2054,1051648,20.004220,18.420364,18.420364,117.489020,99.068656
1,512,2088,1069056,20.027906,18.269777,18.269777,116.270036,98.000259
1,512,2250,1152000,20.135709,14.061786,14.061786,116.619980,102.558194
1,512,8656,4431872,22.079485,33.832954,33.832954,131.990004,98.157050
1,512,12121,6205952,22.565221,38.900238,38.900238,139.679993,100.779754
1,512,14592,7471104,22.832890,47.535818,47.535818,144.720019,97.184201
1,512,33434,17118208,24.029028,80.866882,80.866882,180.530013,99.663130
1,512,35856,18358272,24.129927,88.164777,88.164777,187.240017,99.075240
1,1024,9,9216,13.169925,11.773311,11.773311,112.099980,100.326669
1,1024,11,11264,13.459432,12.821317,12.821317,115.229981,102.408664
1,1024,18,18432,14.169925,12.688080,12.688080,112.440030,99.751949
1,1024,21,21504,14.392317,12.077865,12.077865,113.699993,101.622128
1,1024,75,76800,16.228819,11.131801,11.131801,112.548994,101.417194
1,1024,110,112640,16.781360,14.284040,14.284040,113.549992,99.265951
1,1024,169,173056,17.400879,14.606391,14.606391,113.669026,99.062635
1,1024,253,259072,17.982994,12.283921,12.283921,114.120019,101.836098
1,1024,346,354304,18.434628,13.469524,13.469524,114.010007,100.540483
1,1024,504,516096,18.977280,16.151391,16.151391,114.850001,98.698610
1,1024,1354,1386496,20.403012,19.217865,19.217865,124.110025,104.892161
1,1024,3805,3896320,21.893681,27.621763,27.621763,127.990032,100.368268
1,1024,5224,5349376,22.350939,32.996927,32.996927,134.859991,101.863063
1,1024,5745,5882880,22.488091,37.353691,37.353691,135.879964,98.526273
1,1024,5876,6017024,22.520619,35.572366,35.572366,135.079958,99.507591
1,1024,6787,6949888,22.728558,38.843795,38.843795,118.769996,79.926202
1,1024,8890,9103360,23.117968,48.679278,48.679278,148.420047,99.740769
1,1024,9437,9663488,23.204113,50.346436,50.346436,152.569963,102.223526
1,1024,22750,23296000,24.473579,107.008713,107.008713,206.560013,99.551300
1,1024,37999,38910976,25.213674,170.933921,170.933921,272.131001,101.197080
2,1,116,232,7.857981,11.956883,11.956883,112.429960,100.473077
2,1,126,252,7.977280,14.175015,14.175015,112.910988,98.735973
2,1,179,358,8.483816,11.661518,11.661518,114.530034,102.868516
2,1,190,380,8.569856,12.678690,12.678690,113.619957,100.941267
2,1,298,596,9.219169,12.431429,12.431429,111.959991,99.528562
2,1,2494,4988,12.284246,11.929405,11.929405,112.600042,100.670638
2,1,4226,8452,13.045077,12.086451,12.086451,111.930014,99.843563
2,1,7883,15766,13.944529,13.632708,13.632708,92.500006,78.867298
2,1,10111,20222,14.303638,12.175342,12.175342,98.349992,86.174650
2,8,11,176,7.459432,11.430729,11.430729,91.729977,80.299247
2,8,244,3904,11.930737,12.201421,12.201421,91.900001,79.698580
2,8,617,9872,13.269127,12.272515,12.272515,91.159949,78.887434
2,8,741,11856,13.533330,11.677232,11.677232,91.540045,79.862813
2,8,2829,45264,15.466076,11.595618,11.595618,91.629976,80.034358
2,8,5525,88400,16.431759,13.103921,13.103921,113.899994,100.796073
2,16,20,640,9.321928,12.597961,12.597961,93.379989,80.782028
2,16,69,2208,11.108524,11.171220,11.171220,90.949994,79.778774
2,16,94,3008,11.554589,12.487865,12.487865,91.129972,78.642108
2,64,9,1152,10.169925,13.015558,13.015558,90.849993,77.834435
2,64,14,1792,10.807355,11.952158,11.952158,91.700000,79.747842
2,64,88,11264,13.459432,13.243653,13.243653,91.619964,78.376311
2,64,8964,1147392,20.129927,16.970246,16.970246,96.379954,79.409708
2,64,19978,2557184,21.286125,23.112485,23.112485,104.059989,80.947504
2,128,40,10240,13.321928,11.952389,11.952389,93.579991,81.627602
2,128,162,41472,15.339850,13.291079,13.291079,93.690993,80.399914
2,128,862,220672,17.751544,14.222515,14.222515,93.830051,79.607536
2,256,82,41984,15.357552,13.646674,13.646674,91.800001,78.153326
2,256,150,76800,16.228819,13.983303,13.983303,92.660019,78.676715
2,256,234,119808,16.870365,14.123690,14.123690,93.069975,78.946285
2,256,15094,7728128,22.881688,72.990952,72.990952,156.319991,83.329039
2,512,14,14336,13.807355,11.924621,11.924621,92.279981,80.355360
2,512,93,95232,16.539159,14.975930,14.975930,92.659961,77.684030
2,512,1048,1073152,20.033423,16.769055,16.769055,96.529024,79.759969
2,512,8083,8276992,22.980675,77.425826,77.425826,159.250048,81.824222
2,1024,43,88064,16.426265,12.970372,12.970372,91.470021,78.499649
2,1024,181,370688,18.499846,17.268185,17.268185,95.059979,77.791794
2,1024,359,735232,19.487840,21.563363,21.563363,98.910008,77.346645
2,1024,1694,3469312,21.726218,41.336533,41.336533,121.079036,79.742503
2,1024,15200,31129600,24.891784,137.872627,137.872627,219.949987,82.077360
4,1,33,132,7.044394,11.317039,11.317039,91.479975,80.162936
4,1,9097,36388,15.151175,14.383110,14.383110,92.059956,77.676846
4,1,11333,45332,15.468242,12.353326,12.353326,91.819966,79.466640
4,8,1474,47168,15.525521,13.339398,13.339398,92.039991,78.700593
4,8,3806,121792,16.894060,13.216310,13.216310,92.820032,79.603722
4,8,6618,211776,17.692180,13.061674,13.061674,91.889990,78.828315
4,16,19,1216,10.247928,11.766681,11.766681,89.969952,78.203270
4,16,215,13760,13.748193,11.515484,11.515484,90.310990,78.795507
4,16,326,20864,14.348728,15.500082,15.500082,93.420036,77.919954
4,16,347,22208,14.438792,13.662374,13.662374,91.499998,77.837625
4,16,396,25344,14.629357,13.590141,13.590141,92.409959,78.819817
4,16,439,28096,14.778077,12.605253,12.605253,91.439986,78.834733
4,16,14332,917248,19.806952,15.556540,15.556540,95.959986,80.403446
4,64,15,3840,11.906891,12.210231,12.210231,92.760019,80.549789
4,64,22,5632,12.459432,13.998110,13.998110,91.850001,77.851891
4,64,27,6912,12.754888,12.115127,12.115127,91.130030,79.014904
4,64,2169,555264,19.082814,14.770945,14.770945,94.149960,79.379015
4,64,4001,1024256,19.966145,17.139740,17.139740,97.570010,80.430270
4,64,6265,1603840,20.613099,18.591094,18.591094,97.279961,78.688867
4,128,61,31232,14.930737,13.354881,13.354881,91.239985,77.885104
4,128,97,49664,15.599913,12.079762,12.079762,91.920025,79.840263
4,128,123,62976,15.942515,13.439851,13.439851,92.179980,78.740129
4,128,365,186880,17.511753,13.500008,13.500008,91.399997,77.899990
4,128,382,195584,17.577429,14.020692,14.020692,93.670038,79.649346
