d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,11.666659,11.666659,94.140007,82.473347
1,1,16,16,4.000000,12.887627,12.887627,93.989947,81.102321
1,1,33,33,5.044394,12.369650,12.369650,93.570037,81.200387
1,1,48,48,5.584963,11.792389,11.792389,97.679964,85.887575
1,1,66,66,6.044394,11.442604,11.442604,96.240023,84.797418
1,1,75,75,6.228819,11.044301,11.044301,93.559967,82.515667
1,1,87,87,6.442943,10.946436,10.946436,94.850024,83.903588
1,1,111,111,6.794416,11.616295,11.616295,93.940005,82.323711
1,1,636,636,9.312883,10.851920,10.851920,95.749972,84.898053
1,1,797,797,9.638436,10.919851,10.919851,95.630006,84.710155
1,1,931,931,9.862637,10.697373,10.697373,93.449024,82.751650
1,1,1006,1006,9.974415,10.981771,10.981771,96.200034,85.218263
1,1,1115,1115,10.122828,11.460707,11.460707,94.819989,83.359282
1,1,1446,1446,10.497852,10.462850,10.462850,93.770970,83.308120
1,1,1695,1695,10.727070,11.168891,11.168891,96.030009,84.861118
1,1,10690,10690,13.383974,10.749985,10.749985,93.840004,83.090019
1,1,21218,21218,14.373001,11.901443,11.901443,93.970040,82.068597
1,1,49863,49863,15.605682,12.059196,12.059196,94.780000,82.720804
1,8,10,80,6.321928,11.336563,11.336563,94.090006,82.753444
1,8,16,128,7.000000,11.681890,11.681890,93.349954,81.668064
1,8,36,288,8.169925,11.904286,11.904286,94.079995,82.175709
1,8,42,336,8.392317,11.399992,11.399992,95.809984,84.409992
1,8,85,680,9.409391,11.290707,11.290707,95.080002,83.789295
1,8,90,720,9.491853,11.902389,11.902389,93.399954,81.497566
1,8,185,1480,10.531381,11.118802,11.118802,92.860020,81.741218
1,8,250,2000,10.965784,10.577969,10.577969,92.609960,82.031991
1,8,300,2400,11.228819,11.113460,11.113460,93.990006,82.876546
1,8,336,2688,11.392317,11.525015,11.525015,93.700015,82.175000
1,8,490,3920,11.936638,10.693244,10.693244,92.220027,81.526783
1,8,527,4216,12.041659,12.010476,12.010476,95.059979,83.049503
1,8,846,6768,12.724514,11.652150,11.652150,95.589960,83.937809
1,8,3222,25776,14.653741,12.424315,12.424315,95.429015,83.004700
1,8,7511,60088,15.874789,13.522381,13.522381,97.508950,83.986569
1,8,7749,61992,15.919794,12.887753,12.887753,95.449970,82.562217
1,8,9317,74536,16.185650,12.183184,12.183184,96.080010,83.896825
1,8,10422,83376,16.347345,13.842374,13.842374,95.999974,82.157601
1,8,30026,240208,17.873925,14.258906,14.258906,96.511038,82.252131
1,8,45294,362352,18.467032,15.143676,15.143676,98.580029,83.436353
1,16,14,224,7.807355,12.130327,12.130327,94.919989,82.789662
1,16,49,784,9.614710,12.310342,12.310342,94.369985,82.059643
1,16,112,1792,10.807355,11.783192,11.783192,94.429997,82.646805
1,16,128,2048,11.000000,12.863348,12.863348,94.069983,81.206635
1,16,159,2544,11.312883,12.582723,12.582723,94.479998,81.897274
1,16,183,2928,11.515700,14.334189,14.334189,95.499970,81.165781
1,16,192,3072,11.584963,11.442284,11.442284,94.299961,82.857677
1,16,273,4368,12.092757,12.637232,12.637232,94.129995,81.492763
1,16,274,4384,12.098032,12.137857,12.137857,95.509982,83.372125
1,16,298,4768,12.219169,13.313802,13.313802,95.459982,82.146180
1,16,331,5296,12.370687,12.569390,12.569390,96.949982,84.380592
1,16,392,6272,12.614710,12.440365,12.440365,97.589975,85.149610
1,16,693,11088,13.436712,11.690729,11.690729,95.849973,84.159244
1,16,1152,18432,14.169925,12.025097,12.025097,96.299977,84.274880
1,16,1532,24512,14.581201,12.841748,12.841748,98.080025,85.238277
1,16,4879,78064,16.252370,12.809650,12.809650,95.391006,82.581355
1,16,5281,84496,16.366595,12.711934,12.711934,97.329961,84.618027
1,16,6413,102608,16.646784,13.916920,13.916920,95.559983,81.643063
1,16,7612,121792,16.894060,12.228214,12.228214,97.030017,84.801803
1,16,9046,144736,17.143064,13.984293,13.984293,97.960001,83.975708
1,16,17040,272640,18.056638,16.402507,16.402507,96.899981,80.497474
1,16,25594,409504,18.643518,16.262738,16.262738,98.360004,82.097266
1,16,42689,683024,19.381577,16.709554,16.709554,99.671015,82.961461
1,16,44560,712960,19.443462,16.574516,16.574516,99.589990,83.015474
1,64,11,704,9.459432,11.748564,11.748564,94.369985,82.621421
1,64,15,960,9.906891,12.556302,12.556302,94.891002,82.334700
1,64,34,2176,11.087463,11.539293,11.539293,93.860028,82.320735
1,64,60,3840,11.906891,14.791897,14.791897,96.849981,82.058084
1,64,98,6272,12.614710,11.729531,11.729531,95.710042,83.980511
1,64,580,37120,15.179909,10.462716,10.462716,95.259980,84.797265
1,64,1028,65792,16.005625,12.962165,12.962165,95.200026,82.237861
1,64,1665,106560,16.701306,14.404241,14.404241,95.869997,81.465756
1,64,1986,127104,16.955650,13.975007,13.975007,97.070006,83.094998
1,64,2314,148096,17.176173,12.363110,12.363110,97.020005,84.656895
1,64,6135,392640,18.582848,15.624635,15.624635,97.420008,81.795373
1,64,6254,400256,18.610564,15.172351,15.172351,96.749980,81.577629
1,64,10279,657856,19.327412,19.008921,19.008921,99.160010,80.151089
1,64,16044,1026816,19.969746,18.413125,18.413125,102.880003,84.466878
1,64,19234,1230976,20.231371,20.901198,20.901198,105.599989,84.698791
1,64,24209,1549376,20.563256,22.627396,22.627396,106.570020,83.942624
1,64,31062,1987968,20.922863,25.384524,25.384524,109.629007,84.244483
1,64,35567,2276288,21.118252,25.982961,25.982961,110.069988,84.087027
1,128,9,1152,10.169925,12.058304,12.058304,94.719988,82.661684
1,128,27,3456,11.754888,12.045231,12.045231,96.360047,84.314816
1,128,47,6016,12.554589,12.205015,12.205015,95.609983,83.404968
1,128,147,18816,14.199672,11.984040,11.984040,94.900024,82.915984
1,128,157,20096,14.294621,12.068698,12.068698,95.109979,83.041281
1,128,207,26496,14.693487,12.858914,12.858914,94.139948,81.281035
1,128,271,34688,15.082149,11.879055,11.879055,95.759984,83.880929
1,128,279,35712,15.124121,12.593824,12.593824,95.189025,82.595201
1,128,1550,198400,17.598053,12.692158,12.692158,96.320000,83.627842
1,128,2443,312704,18.254438,14.198423,14.198423,97.729033,83.530610
1,128,3069,392832,18.583553,14.807024,14.807024,97.129960,82.322936
1,128,8463,1083264,20.046953,20.080670,20.080670,102.419988,82.339318
1,128,13624,1743872,20.733863,25.612292,25.612292,109.568995,83.956703
1,128,28105,3597440,21.778539,34.109033,34.109033,117.790012,83.680979
1,128,28196,3609088,21.783203,35.314650,35.314650,117.869989,82.555339
1,128,44731,5725568,22.448987,47.887515,47.887515,130.619970,82.732455
1,256,10,2560,11.321928,13.662270,13.662270,95.550029,81.887759
1,256,22,5632,12.459432,13.222128,13.222128,95.800031,82.577903
1,256,25,6400,12.643856,12.483445,12.483445,96.039963,83.556518
1,256,44,11264,13.459432,12.269278,12.269278,95.151016,82.881737
1,256,59,15104,13.882643,12.557619,12.557619,95.988973,83.431354
1,256,135,34560,15.076816,12.051994,12.051994,94.900024,82.848030
1,256,167,42752,15.383704,11.321056,11.321056,95.888972,84.567916
1,256,247,63232,15.948367,12.924888,12.924888,95.309981,82.385092
1,256,291,74496,16.184875,12.950104,12.950104,95.040014,82.089910
1,256,356,91136,16.475733,12.465387,12.465387,95.809984,83.344597
1,256,432,110592,16.754888,12.870699,12.870699,100.100006,87.229306
1,256,455,116480,16.829723,13.404278,13.404278,96.709991,83.305713
1,256,496,126976,16.954196,13.175856,13.175856,95.160038,81.984182
1,256,10171,2603776,21.312174,29.821213,29.821213,111.670000,81.848788
1,256,13038,3337728,21.670435,33.166652,33.166652,115.029979,81.863328
1,256,18450,4723200,22.171333,41.932879,41.932879,124.130049,82.197169
1,512,11,5632,12.459432,13.034881,13.034881,94.689953,81.655072
1,512,13,6656,12.700440,12.348557,12.348557,95.360039,83.011483
1,512,14,7168,12.807355,12.900871,12.900871,94.309973,81.409102
1,512,46,23552,14.523562,13.097485,13.097485,94.199961,81.102475
1,512,110,56320,15.781360,13.033475,13.033475,96.430012,83.396537
1,512,165,84480,16.366322,13.583110,13.583110,96.259988,82.676878
1,512,267,136704,17.060696,13.031421,13.031421,98.180026,85.148605
1,512,1306,668672,19.350939,18.220960,18.220960,102.029997,83.809037
1,512,2054,1051648,20.004220,22.930699,22.930699,102.099963,79.169263
1,512,2088,1069056,20.027906,19.011808,19.011808,102.959981,83.948172
1,512,2250,1152000,20.135709,25.243088,25.243088,105.340034,80.096946
1,512,8656,4431872,22.079485,39.269040,39.269040,122.520025,83.250985
1,512,12121,6205952,22.565221,53.515833,53.515833,133.880007,80.364174
1,512,14592,7471104,22.832890,58.831682,58.831682,145.709026,86.877344
1,512,33434,17118208,24.029028,120.557827,120.557827,200.579991,80.022163
1,512,35856,18358272,24.129927,125.476525,125.476525,210.160040,84.683515
1,1024,9,9216,13.169925,12.009286,12.009286,95.630006,83.620721
1,1024,11,11264,13.459432,15.177500,15.177500,94.890012,79.712512
1,1024,18,18432,14.169925,13.075491,13.075491,95.440017,82.364526
1,1024,21,21504,14.392317,15.603460,15.603460,96.008996,80.405536
1,1024,75,76800,16.228819,12.680975,12.680975,95.708994,83.028019
