d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,18.765938,18.765938,108.070031,89.304094
1,1,16,16,4.000000,12.719554,12.719554,105.399988,92.680434
1,1,33,33,5.044394,10.180573,10.180573,103.219994,93.039421
1,1,48,48,5.584963,13.159650,13.159650,104.770006,91.610356
1,1,66,66,6.044394,11.971087,11.971087,103.760045,91.788958
1,1,75,75,6.228819,12.525350,12.525350,107.359956,94.834606
1,1,87,87,6.442943,10.782113,10.782113,105.860003,95.077890
1,1,111,111,6.794416,12.629420,12.629420,101.490004,88.860585
1,1,636,636,9.312883,13.061644,13.061644,101.190002,88.128358
1,1,797,797,9.638436,12.343579,12.343579,101.099955,88.756376
1,1,931,931,9.862637,11.887835,11.887835,99.219964,87.332129
1,1,1006,1006,9.974415,12.138706,12.138706,99.389988,87.251283
1,1,1115,1115,10.122828,12.147857,12.147857,99.210010,87.062153
1,1,1446,1446,10.497852,11.751905,11.751905,100.709964,88.958059
1,1,1695,1695,10.727070,10.736175,10.736175,104.580016,93.843841
1,1,10690,10690,13.383974,10.548936,10.548936,102.999969,92.451033
1,1,21218,21218,14.373001,11.897857,11.897857,100.719975,88.822118
1,1,49863,49863,15.605682,11.999159,11.999159,100.759964,88.760805
1,8,10,80,6.321928,11.705141,11.705141,100.120029,88.414888
1,8,16,128,7.000000,12.079189,12.079189,99.730038,87.650849
1,8,36,288,8.169925,12.915342,12.915342,100.050005,87.134663
1,8,42,336,8.392317,12.793951,12.793951,100.330042,87.536091
1,8,85,680,9.409391,10.611324,10.611324,101.680052,91.068728
1,8,90,720,9.491853,11.957485,11.957485,100.850011,88.892526
1,8,185,1480,10.531381,10.605729,10.605729,100.360019,89.754290
1,8,250,2000,10.965784,10.955394,10.955394,100.200006,89.244612
1,8,300,2400,11.228819,11.735238,11.735238,99.480036,87.744798
1,8,336,2688,11.392317,13.987143,13.987143,100.840000,86.852857
1,8,490,3920,11.936638,11.484144,11.484144,99.490047,88.005903
1,8,527,4216,12.041659,13.378720,13.378720,99.210010,85.831290
1,8,846,6768,12.724514,12.010670,12.010670,100.860023,88.849353
1,8,3222,25776,14.653741,12.498944,12.498944,100.009027,87.510083
1,8,7511,60088,15.874789,11.281652,11.281652,101.129990,89.848338
1,8,7749,61992,15.919794,12.023571,12.023571,100.739999,88.716427
1,8,9317,74536,16.185650,11.407753,11.407753,100.951002,89.543248
1,8,10422,83376,16.347345,12.902619,12.902619,100.679987,87.777368
1,8,30026,240208,17.873925,12.355484,12.355484,102.569000,90.213516
1,8,45294,362352,18.467032,14.824881,14.824881,103.240018,88.415137
1,16,14,224,7.807355,13.146191,13.146191,102.249964,89.103773
1,16,49,784,9.614710,12.410952,12.410952,101.960031,89.549079
1,16,112,1792,10.807355,11.943437,11.943437,101.049955,89.106517
1,16,128,2048,11.000000,12.334048,12.334048,102.580001,90.245953
1,16,159,2544,11.312883,12.551749,12.551749,104.170002,91.618253
1,16,183,2928,11.515700,11.552492,11.552492,101.630983,90.078491
1,16,192,3072,11.584963,12.200558,12.200558,102.199963,89.999405
1,16,273,4368,12.092757,10.571897,10.571897,101.500016,90.928119
1,16,274,4384,12.098032,12.095707,12.095707,101.060024,88.964318
1,16,298,4768,12.219169,11.833557,11.833557,100.460020,88.626463
1,16,331,5296,12.370687,12.239070,12.239070,102.439953,90.200884
1,16,392,6272,12.614710,13.249859,13.249859,99.880039,86.630180
1,16,693,11088,13.436712,12.808958,12.808958,100.578996,87.770038
1,16,1152,18432,14.169925,12.002850,12.002850,100.129982,88.127133
1,16,1532,24512,14.581201,12.065231,12.065231,101.560028,89.494798
1,16,4879,78064,16.252370,12.095454,12.095454,102.380000,90.284546
1,16,5281,84496,16.366595,12.746793,12.746793,102.139951,89.393158
1,16,6413,102608,16.646784,12.918683,12.918683,100.579986,87.661303
1,16,7612,121792,16.894060,13.030588,13.030588,101.960031,88.929443
1,16,9046,144736,17.143064,13.899048,13.899048,101.360027,87.460979
1,16,17040,272640,18.056638,14.373475,14.373475,102.790014,88.416540
1,16,25594,409504,18.643518,15.617269,15.617269,105.200044,89.582775
1,16,42689,683024,19.381577,17.028564,17.028564,104.830018,87.801454
1,16,44560,712960,19.443462,19.131414,19.131414,105.279963,86.148550
1,64,11,704,9.459432,13.009420,13.009420,101.130048,88.120628
1,64,15,960,9.906891,12.601927,12.601927,101.990008,89.388081
1,64,34,2176,11.087463,12.743936,12.743936,101.690006,88.946070
1,64,60,3840,11.906891,11.752850,11.752850,100.300007,88.547157
1,64,98,6272,12.614710,12.943943,12.943943,101.479993,88.536049
1,64,580,37120,15.179909,13.171153,13.171153,100.469973,87.298820
1,64,1028,65792,16.005625,12.990737,12.990737,103.069993,90.079257
1,64,1665,106560,16.701306,13.489784,13.489784,102.099963,88.610178
1,64,1986,127104,16.955650,12.910841,12.910841,100.979989,88.069148
1,64,2314,148096,17.176173,13.380848,13.380848,102.229998,88.849150
1,64,6135,392640,18.582848,14.873103,14.873103,105.479965,90.606862
1,64,6254,400256,18.610564,16.182031,16.182031,103.959988,87.777957
1,64,10279,657856,19.327412,17.168906,17.168906,104.820007,87.651100
1,64,16044,1026816,19.969746,20.116309,20.116309,109.949964,89.833655
1,64,19234,1230976,20.231371,20.618795,20.618795,109.750021,89.131226
1,64,24209,1549376,20.563256,22.886436,22.886436,110.369991,87.483554
1,64,31062,1987968,20.922863,28.990588,28.990588,115.169969,86.179381
1,64,35567,2276288,21.118252,26.015462,26.015462,114.220020,88.204558
1,128,9,1152,10.169925,14.724643,14.724643,101.319980,86.595337
1,128,27,3456,11.754888,13.058341,13.058341,102.570979,89.512638
1,128,47,6016,12.554589,12.676287,12.676287,101.180049,88.503761
1,128,147,18816,14.199672,12.676176,12.676176,100.408972,87.732796
1,128,157,20096,14.294621,11.918571,11.918571,100.489997,88.571426
1,128,207,26496,14.693487,13.784196,13.784196,100.500009,86.715812
1,128,271,34688,15.082149,12.117143,12.117143,100.990990,88.873847
1,128,279,35712,15.124121,12.113683,12.113683,100.929989,88.816306
1,128,1550,198400,17.598053,16.784502,16.784502,103.379949,86.595447
1,128,2443,312704,18.254438,14.571652,14.571652,103.440019,88.868367
1,128,3069,392832,18.583553,15.529516,15.529516,103.709986,88.180470
1,128,8463,1083264,20.046953,20.301086,20.301086,109.420042,89.118955
1,128,13624,1743872,20.733863,24.188423,24.188423,112.740032,88.551609
1,128,28105,3597440,21.778539,34.602879,34.602879,123.949954,89.347075
1,128,28196,3609088,21.783203,35.314762,35.314762,124.919985,89.605223
1,128,44731,5725568,22.448987,47.279784,47.279784,137.660012,90.380228
1,256,10,2560,11.321928,12.432507,12.432507,101.370038,88.937531
1,256,22,5632,12.459432,15.065112,15.065112,100.739999,85.674887
1,256,25,6400,12.643856,12.390744,12.390744,100.070029,87.679285
1,256,44,11264,13.459432,12.655104,12.655104,100.950012,88.294908
1,256,59,15104,13.882643,12.720841,12.720841,100.700010,87.979169
1,256,135,34560,15.076816,13.240238,13.240238,99.960016,86.719778
1,256,167,42752,15.383704,13.013921,13.013921,101.900019,88.886098
1,256,247,63232,15.948367,13.888936,13.888936,104.720006,90.831070
1,256,291,74496,16.184875,12.445714,12.445714,101.449958,89.004243
1,256,356,91136,16.475733,16.164286,16.164286,101.560028,85.395743
1,256,432,110592,16.754888,13.808780,13.808780,101.020036,87.211256
1,256,455,116480,16.829723,13.105022,13.105022,101.329992,88.224970
1,256,496,126976,16.954196,13.815469,13.815469,103.059981,89.244513
1,256,10171,2603776,21.312174,28.482247,28.482247,117.040006,88.557759
1,256,13038,3337728,21.670435,33.898817,33.898817,121.700054,87.801237
1,256,18450,4723200,22.171333,41.451072,41.451072,132.219982,90.768911
1,512,11,5632,12.459432,11.926815,11.926815,101.909973,89.983157
1,512,13,6656,12.700440,12.662984,12.662984,103.309983,90.647000
1,512,14,7168,12.807355,13.323564,13.323564,101.190002,87.866438
1,512,46,23552,14.523562,13.617009,13.617009,100.760022,87.143013
1,512,110,56320,15.781360,12.733817,12.733817,100.389996,87.656179
1,512,165,84480,16.366322,14.477745,14.477745,101.300015,86.822269
1,512,267,136704,17.060696,14.325260,14.325260,102.380000,88.054739
1,512,1306,668672,19.350939,16.856406,16.856406,106.330961,89.474555
1,512,2054,1051648,20.004220,20.790231,20.790231,109.309971,88.519740
1,512,2088,1069056,20.027906,21.183088,21.183088,109.440007,88.256919
1,512,2250,1152000,20.135709,21.133579,21.133579,108.139997,87.006418
1,512,8656,4431872,22.079485,39.812984,39.812984,128.489977,88.676993
1,512,12121,6205952,22.565221,50.957351,50.957351,141.009979,90.052628
1,512,14592,7471104,22.832890,58.961660,58.961660,148.410036,89.448376
1,512,33434,17118208,24.029028,118.721064,118.721064,208.129990,89.408926
1,512,35856,18358272,24.129927,126.530707,126.530707,216.299959,89.769252
1,1024,9,9216,13.169925,12.429978,12.429978,101.570040,89.140062
1,1024,11,11264,13.459432,12.491421,12.491421,101.350015,88.858594
1,1024,18,18432,14.169925,14.566220,14.566220,102.610036,88.043816
1,1024,21,21504,14.392317,12.590030,12.590030,101.151003,88.560973
1,1024,75,76800,16.228819,12.697403,12.697403,100.879988,88.182585
1,1024,110,112640,16.781360,13.182143,13.182143,100.750010,87.567867
1,1024,169,173056,17.400879,12.915216,12.915216,101.769983,88.854767
1,1024,253,259072,17.982994,15.449293,15.449293,103.219994,87.770701
1,1024,346,354304,18.434628,15.540461,15.540461,103.970000,88.429539
1,1024,504,516096,18.977280,15.974524,15.974524,107.740052,91.765529
1,1024,1354,1386496,20.403012,22.178683,22.178683,111.479952,89.301269
1,1024,3805,3896320,21.893681,36.240692,36.240692,125.859980,89.619289
1,1024,5224,5349376,22.350939,45.764747,45.764747,134.109985,88.345238
1,1024,5745,5882880,22.488091,48.534070,48.534070,138.459960,89.925890
1,1024,5876,6017024,22.520619,47.373237,47.373237,138.569972,91.196736
1,1024,6787,6949888,22.728558,54.565722,54.565722,144.619960,90.054239
1,1024,8890,9103360,23.117968,68.429866,68.429866,157.180009,88.750143
1,1024,9437,9663488,23.204113,72.125685,72.125685,160.099997,87.974312
1,1024,22750,23296000,24.473579,155.752775,155.752775,247.549964,91.797189
1,1024,37999,38910976,25.213674,250.914978,250.914978,342.009997,91.095019
2,1,116,232,7.857981,13.741905,13.741905,100.530044,86.788139
2,1,126,252,7.977280,12.464650,12.464650,102.869992,90.405341
2,1,179,358,8.483816,12.942976,12.942976,104.080013,91.137036
2,1,190,380,8.569856,11.940617,11.940617,100.149948,88.209330
2,1,298,596,9.219169,11.791652,11.791652,100.189995,88.398343
2,1,2494,4988,12.284246,11.781897,11.781897,100.769976,88.988078
2,1,4226,8452,13.045077,12.897500,12.897500,100.929989,88.032489
2,1,7883,15766,13.944529,12.204167,12.204167,101.069978,88.865811
2,1,10111,20222,14.303638,13.924992,13.924992,99.979981,86.054989
2,8,11,176,7.459432,12.666428,12.666428,102.639955,89.973527
2,8,244,3904,11.930737,12.381429,12.381429,100.840000,88.458571
2,8,617,9872,13.269127,12.259278,12.259278,100.560021,88.300743
2,8,741,11856,13.533330,13.849286,13.849286,101.350015,87.500729
2,8,2829,45264,15.466076,13.556793,13.556793,101.810030,88.253237
2,8,5525,88400,16.431759,13.917500,13.917500,102.040009,88.122509
2,16,20,640,9.321928,12.184167,12.184167,101.119978,88.935812
2,16,69,2208,11.108524,11.814189,11.814189,102.229998,90.415809
2,16,94,3008,11.554589,12.616436,12.616436,100.890000,88.273564
2,64,9,1152,10.169925,15.447723,15.447723,104.180013,88.732290
2,64,14,1792,10.807355,12.236905,12.236905,100.990001,88.753096
2,64,88,11264,13.459432,14.403437,14.403437,101.049955,86.646517
2,64,8964,1147392,20.129927,20.742939,20.742939,109.099958,88.357018
2,64,19978,2557184,21.286125,28.332723,28.332723,118.040014,89.707291
2,128,40,10240,13.321928,13.264539,13.264539,100.990001,87.725462
2,128,162,41472,15.339850,16.159762,16.159762,101.209967,85.050205
2,128,862,220672,17.751544,15.774739,15.774739,103.039958,87.265219
2,256,82,41984,15.357552,13.844546,13.844546,101.040001,87.195455
2,256,150,76800,16.228819,12.923579,12.923579,101.170037,88.246458
2,256,234,119808,16.870365,13.371778,13.371778,103.089958,89.718180
2,256,15094,7728128,22.881688,62.633214,62.633214,151.751039,89.117825
2,512,14,14336,13.807355,13.131183,13.131183,100.650010,87.518827
2,512,93,95232,16.539159,14.378720,14.378720,101.100013,86.721293
2,512,1048,1073152,20.033423,21.377158,21.377158,109.169981,87.792824
2,512,8083,8276992,22.980675,65.251287,65.251287,154.279987,89.028700
2,1024,43,88064,16.426265,13.305707,13.305707,103.680009,90.374303
2,1024,181,370688,18.499846,16.805550,16.805550,104.500039,87.694489
2,1024,359,735232,19.487840,20.932381,20.932381,108.779990,87.847609
2,1024,1694,3469312,21.726218,34.644955,34.644955,122.989994,88.345038
2,1024,15200,31129600,24.891784,204.119159,204.119159,292.160024,88.040865
4,1,33,132,7.044394,12.309442,12.309442,103.949977,91.640534
4,1,9097,36388,15.151175,12.575952,12.575952,103.050028,90.474076
4,1,11333,45332,15.468242,12.127731,12.127731,101.340003,89.212273
4,8,1474,47168,15.525521,14.660335,14.660335,100.810023,86.149688
4,8,3806,121792,16.894060,13.956451,13.956451,101.140002,87.183551
4,8,6618,211776,17.692180,14.315365,14.315365,102.309976,87.994611
4,16,19,1216,10.247928,14.034144,14.034144,100.909965,86.875821
4,16,215,13760,13.748193,13.002396,13.002396,101.369049,88.366653
4,16,326,20864,14.348728,13.051689,13.051689,107.108965,94.057276
4,16,347,22208,14.438792,13.171875,13.171875,102.909980,89.738105
4,16,396,25344,14.629357,12.334762,12.334762,100.620033,88.285271
4,16,439,28096,14.778077,12.625030,12.625030,101.140002,88.514972
4,16,14332,917248,19.806952,18.417716,18.417716,108.540000,90.122284
4,64,15,3840,11.906891,19.373303,19.373303,103.119994,83.746690
4,64,22,5632,12.459432,13.863333,13.863333,100.960024,87.096691
