d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,15.348088,15.348088,102.749967,87.401879
1,1,16,16,4.000000,13.811064,13.811064,105.190033,91.378969
1,1,33,33,5.044394,14.943333,14.943333,102.630001,87.686668
1,1,48,48,5.584963,15.285008,15.285008,102.530001,87.244993
1,1,66,66,6.044394,14.158572,14.158572,101.209036,87.050465
1,1,75,75,6.228819,13.682366,13.682366,104.529026,90.846661
1,1,87,87,6.442943,14.120112,14.120112,104.250968,90.130857
1,1,111,111,6.794416,14.471421,14.471421,104.220002,89.748581
1,1,636,636,9.312883,14.862031,14.862031,103.589962,88.727931
1,1,797,797,9.638436,14.593103,14.593103,104.691018,90.097916
1,1,931,931,9.862637,12.943795,12.943795,103.949977,91.006182
1,1,1006,1006,9.974415,14.467612,14.467612,102.680002,88.212390
1,1,1115,1115,10.122828,14.438572,14.438572,103.809987,89.371416
1,1,1446,1446,10.497852,13.556436,13.556436,101.640006,88.083570
1,1,1695,1695,10.727070,15.336049,15.336049,100.589998,85.253948
1,1,10690,10690,13.383974,15.722537,15.722537,102.459977,86.737439
1,1,21218,21218,14.373001,15.387723,15.387723,105.179963,89.792239
1,1,49863,49863,15.605682,14.816651,14.816651,102.789956,87.973305
1,8,10,80,6.321928,13.574189,13.574189,102.599966,89.025778
1,8,16,128,7.000000,13.760446,13.760446,102.659978,88.899532
1,8,36,288,8.169925,16.514152,16.514152,102.289952,85.775800
1,8,42,336,8.392317,13.561057,13.561057,102.169986,88.608930
1,8,85,680,9.409391,14.425841,14.425841,104.799983,90.374142
1,8,90,720,9.491853,14.153519,14.153519,103.719998,89.566479
1,8,185,1480,10.531381,13.595841,13.595841,102.279009,88.683169
1,8,250,2000,10.965784,14.117500,14.117500,101.650017,87.532517
1,8,300,2400,11.228819,13.413244,13.413244,102.279999,88.866755
1,8,336,2688,11.392317,13.603824,13.603824,102.611026,89.007201
1,8,490,3920,11.936638,13.377731,13.377731,100.919977,87.542246
1,8,527,4216,12.041659,14.028564,14.028564,102.719991,88.691426
1,8,846,6768,12.724514,12.856540,12.856540,104.709994,91.853454
1,8,3222,25776,14.653741,13.287887,13.287887,101.100013,87.812126
1,8,7511,60088,15.874789,16.317478,16.317478,104.509993,88.192515
1,8,7749,61992,15.919794,13.802626,13.802626,102.460035,88.657409
1,8,9317,74536,16.185650,13.573564,13.573564,102.730002,89.156438
1,8,10422,83376,16.347345,14.268579,14.268579,102.830003,88.561424
1,8,30026,240208,17.873925,15.205260,15.205260,103.109982,87.904721
1,8,45294,362352,18.467032,17.737478,17.737478,104.709994,86.972516
1,16,14,224,7.807355,13.178683,13.178683,100.589008,87.410325
1,16,49,784,9.614710,13.549502,13.549502,101.540005,87.990503
1,16,112,1792,10.807355,13.921540,13.921540,101.819984,87.898444
1,16,128,2048,11.000000,14.879769,14.879769,101.851008,86.971239
1,16,159,2544,11.312883,13.227158,13.227158,101.720041,88.492883
1,16,183,2928,11.515700,13.752031,13.752031,102.250022,88.497991
1,16,192,3072,11.584963,13.204390,13.204390,100.990001,87.785611
1,16,273,4368,12.092757,13.860826,13.860826,101.350015,87.489189
1,16,274,4384,12.098032,14.236414,14.236414,101.899961,87.663547
1,16,298,4768,12.219169,13.403713,13.403713,101.700018,88.296305
1,16,331,5296,12.370687,13.861429,13.861429,102.059974,88.198545
1,16,392,6272,12.614710,13.505707,13.505707,103.059981,89.554275
1,16,693,11088,13.436712,15.042939,15.042939,101.269979,86.227041
1,16,1152,18432,14.169925,13.404888,13.404888,101.309968,87.905080
1,16,1532,24512,14.581201,13.704412,13.704412,101.390004,87.685592
1,16,4879,78064,16.252370,14.926176,14.926176,102.740014,87.813838
1,16,5281,84496,16.366595,14.687880,14.687880,102.200022,87.512142
1,16,6413,102608,16.646784,14.559026,14.559026,102.539954,87.980929
1,16,7612,121792,16.894060,16.717038,16.717038,104.759994,88.042956
1,16,9046,144736,17.143064,14.622976,14.622976,102.700025,88.077049
1,16,17040,272640,18.056638,15.734777,15.734777,103.358994,87.624217
1,16,25594,409504,18.643518,16.736406,16.736406,105.950050,89.213644
1,16,42689,683024,19.381577,18.286443,18.286443,107.289990,89.003547
1,16,44560,712960,19.443462,20.080209,20.080209,107.779982,87.699774
1,64,11,704,9.459432,13.721064,13.721064,101.511017,87.789953
1,64,15,960,9.906891,12.922872,12.922872,103.209983,90.287111
1,64,34,2176,11.087463,13.506191,13.506191,101.629994,88.123803
1,64,60,3840,11.906891,13.299531,13.299531,101.868995,88.569463
1,64,98,6272,12.614710,13.210097,13.210097,102.360034,89.149938
1,64,580,37120,15.179909,14.000231,14.000231,102.350023,88.349792
1,64,1028,65792,16.005625,14.060469,14.060469,103.099970,89.039501
1,64,1665,106560,16.701306,14.694673,14.694673,103.869999,89.175327
1,64,1986,127104,16.955650,17.003080,17.003080,103.209983,86.206902
