d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.150104,12.150104,99.099998,86.949894
1,1,16,16,4.000000,11.154048,11.154048,98.990044,87.835996
1,1,33,33,5.044394,13.196562,13.196562,98.589982,85.393420
1,1,48,48,5.584963,13.105000,13.105000,98.330027,85.225027
1,1,66,66,6.044394,14.628690,14.628690,99.691038,85.062348
1,1,75,75,6.228819,12.022753,12.022753,100.380043,88.357289
1,1,87,87,6.442943,13.946399,13.946399,100.890000,86.943601
1,1,111,111,6.794416,14.968237,14.968237,98.699995,83.731758
1,1,636,636,9.312883,12.209181,12.209181,99.189987,86.980805
1,1,797,797,9.638436,12.384777,12.384777,99.060009,86.675233
1,1,931,931,9.862637,13.154390,13.154390,99.008961,85.854571
1,1,1006,1006,9.974415,13.957255,13.957255,99.239987,85.282733
1,1,1115,1115,10.122828,13.146548,13.146548,100.289995,87.143447
1,1,1446,1446,10.497852,12.279293,12.279293,98.160002,85.880709
1,1,1695,1695,10.727070,12.408118,12.408118,99.800003,87.391886
1,1,10690,10690,13.383974,12.519769,12.519769,99.400000,86.880231
1,1,21218,21218,14.373001,12.614033,12.614033,100.079982,87.465949
1,1,49863,49863,15.605682,13.974271,13.974271,99.920027,85.945757
1,8,10,80,6.321928,12.945141,12.945141,99.319965,86.374823
1,8,16,128,7.000000,12.676421,12.676421,99.069963,86.393542
1,8,36,288,8.169925,13.585610,13.585610,99.849014,86.263404
1,8,42,336,8.392317,12.415343,12.415343,100.000005,87.584662
1,8,85,680,9.409391,12.530350,12.530350,99.729979,87.199630
1,8,90,720,9.491853,12.684874,12.684874,100.179983,87.495109
1,8,185,1480,10.531381,13.097165,13.097165,99.811004,86.713839
1,8,250,2000,10.965784,11.441786,11.441786,98.610006,87.168220
1,8,300,2400,11.228819,12.845952,12.845952,100.849022,88.003069
1,8,336,2688,11.392317,12.957500,12.957500,100.589998,87.632498
1,8,490,3920,11.936638,12.578095,12.578095,99.439989,86.861894
1,8,527,4216,12.041659,12.808571,12.808571,98.899996,86.091425
1,8,846,6768,12.724514,12.202880,12.202880,99.320023,87.117143
1,8,3222,25776,14.653741,13.375112,13.375112,99.589990,86.214878
