d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,10.211198,10.211198,101.220037,91.008839
1,1,16,16,4.000000,10.521682,10.521682,101.379992,90.858310
1,1,33,33,5.044394,10.848333,10.848333,100.649020,89.800687
1,1,48,48,5.584963,10.847582,10.847582,101.879996,91.032414
1,1,66,66,6.044394,10.555000,10.555000,100.810023,90.255022
1,1,75,75,6.228819,10.825223,10.825223,100.279984,89.454760
1,1,87,87,6.442943,10.682381,10.682381,101.429003,90.746622
1,1,111,111,6.794416,10.045439,10.045439,102.509977,92.464538
1,1,636,636,9.312883,10.875603,10.875603,101.090001,90.214399
1,1,797,797,9.638436,10.399427,10.399427,100.339996,89.940569
1,1,931,931,9.862637,10.444650,10.444650,100.789999,90.345349
1,1,1006,1006,9.974415,10.214651,10.214651,100.550009,90.335358
1,1,1115,1115,10.122828,10.718608,10.718608,99.629979,88.911370
1,1,1446,1446,10.497852,10.814278,10.814278,100.979989,90.165711
1,1,1695,1695,10.727070,10.820454,10.820454,100.170029,89.349576
1,1,10690,10690,13.383974,10.215826,10.215826,102.759979,92.544153
1,1,21218,21218,14.373001,10.850342,10.850342,101.079990,90.229648
1,1,49863,49863,15.605682,11.037374,11.037374,101.719983,90.682609
1,8,10,80,6.321928,13.097723,13.097723,100.719975,87.622252
1,8,16,128,7.000000,11.256086,11.256086,101.610029,90.353942
1,8,36,288,8.169925,10.693348,10.693348,101.399957,90.706609
1,8,42,336,8.392317,10.235253,10.235253,100.559962,90.324709
1,8,85,680,9.409391,10.815975,10.815975,100.900012,90.084037
1,8,90,720,9.491853,10.916816,10.916816,101.470039,90.553224
1,8,185,1480,10.531381,11.333683,11.333683,101.420039,90.086356
1,8,250,2000,10.965784,10.858200,10.858200,99.919969,89.061770
1,8,300,2400,11.228819,10.626436,10.626436,98.649994,88.023558
1,8,336,2688,11.392317,10.786414,10.786414,104.309991,93.523578
1,8,490,3920,11.936638,10.958482,10.958482,99.259953,88.301470
1,8,527,4216,12.041659,10.787128,10.787128,99.570025,88.782897
1,8,846,6768,12.724514,11.190119,11.190119,100.129982,88.939863
1,8,3222,25776,14.653741,11.139531,11.139531,100.980047,89.840516
1,8,7511,60088,15.874789,10.842254,10.842254,100.260018,89.417764
1,8,7749,61992,15.919794,11.978817,11.978817,100.011006,88.032189
1,8,9317,74536,16.185650,11.380022,11.380022,101.369980,89.989958
1,8,10422,83376,16.347345,11.595446,11.595446,101.500016,89.904570
1,8,30026,240208,17.873925,12.177492,12.177492,103.280006,91.102514
1,8,45294,362352,18.467032,13.272760,13.272760,103.490020,90.217259
1,16,14,224,7.807355,10.928928,10.928928,99.880039,88.951111
1,16,49,784,9.614710,11.421659,11.421659,99.870027,88.448368
1,16,112,1792,10.807355,12.779896,12.779896,100.929989,88.150093
1,16,128,2048,11.000000,10.766280,10.766280,100.139994,89.373714
1,16,159,2544,11.312883,9.904717,9.904717,100.911013,91.006296
1,16,183,2928,11.515700,10.852388,10.852388,101.060024,90.207636
1,16,192,3072,11.584963,11.285483,11.285483,99.960016,88.674533
1,16,273,4368,12.092757,10.680870,10.680870,100.280042,89.599171
1,16,274,4384,12.098032,10.323445,10.323445,100.239995,89.916550
1,16,298,4768,12.219169,11.500372,11.500372,100.310019,88.809647
1,16,331,5296,12.370687,10.903906,10.903906,100.870035,89.966128
1,16,392,6272,12.614710,10.462857,10.462857,99.810015,89.347158
1,16,693,11088,13.436712,10.720617,10.720617,100.450008,89.729391
1,16,1152,18432,14.169925,10.486086,10.486086,101.050944,90.564858
1,16,1532,24512,14.581201,10.755446,10.755446,101.540005,90.784558
1,16,4879,78064,16.252370,11.378438,11.378438,101.759972,90.381534
1,16,5281,84496,16.366595,11.234368,11.234368,100.749952,89.515585
1,16,6413,102608,16.646784,11.121436,11.121436,101.009966,89.888530
1,16,7612,121792,16.894060,10.913646,10.913646,101.509970,90.596324
1,16,9046,144736,17.143064,11.251205,11.251205,101.410027,90.158822
1,16,17040,272640,18.056638,13.035595,13.035595,103.768951,90.733355
1,16,25594,409504,18.643518,13.855513,13.855513,104.780018,90.924504
1,16,42689,683024,19.381577,13.734740,13.734740,103.239960,89.505220
1,16,44560,712960,19.443462,13.340707,13.340707,105.510000,92.169293
1,64,11,704,9.459432,10.683080,10.683080,98.670018,87.986938
1,64,15,960,9.906891,10.160818,10.160818,100.369973,90.209154
1,64,34,2176,11.087463,11.405722,11.405722,99.649013,88.243291
1,64,60,3840,11.906891,10.400595,10.400595,99.591038,89.190442
1,64,98,6272,12.614710,11.494033,11.494033,100.189995,88.695962
1,64,580,37120,15.179909,11.120342,11.120342,100.590987,89.470645
1,64,1028,65792,16.005625,11.739271,11.739271,102.909980,91.170710
1,64,1665,106560,16.701306,10.787024,10.787024,100.728997,89.941974
1,64,1986,127104,16.955650,11.226518,11.226518,99.630037,88.403519
1,64,2314,148096,17.176173,11.685454,11.685454,99.350000,87.664546
1,64,6135,392640,18.582848,12.372158,12.372158,100.689998,88.317841
1,64,6254,400256,18.610564,12.078460,12.078460,102.249964,90.171504
1,64,10279,657856,19.327412,12.702374,12.702374,101.529993,88.827620
1,64,16044,1026816,19.969746,14.100595,14.100595,103.240018,89.139423
1,64,19234,1230976,20.231371,15.451064,15.451064,104.570005,89.118941
1,64,24209,1549376,20.563256,16.475007,16.475007,105.880026,89.405019
1,64,31062,1987968,20.922863,17.442106,17.442106,107.919972,90.477866
1,64,35567,2276288,21.118252,19.398966,19.398966,108.659966,89.261000
1,128,9,1152,10.169925,10.279048,10.279048,98.660006,88.380959
1,128,27,3456,11.754888,11.321644,11.321644,100.079982,88.758338
1,128,47,6016,12.554589,10.775685,10.775685,100.079982,89.304297
1,128,147,18816,14.199672,11.386793,11.386793,101.600017,90.213224
1,128,157,20096,14.294621,10.221413,10.221413,100.389996,90.168583
1,128,207,26496,14.693487,10.699382,10.699382,99.120021,88.420639
1,128,271,34688,15.082149,10.466563,10.466563,99.150988,88.684425
1,128,279,35712,15.124121,11.243453,11.243453,100.450008,89.206556
1,128,1550,198400,17.598053,11.645461,11.645461,100.410020,88.764558
1,128,2443,312704,18.254438,11.788214,11.788214,101.990008,90.201794
1,128,3069,392832,18.583553,12.736324,12.736324,102.639024,89.902699
1,128,8463,1083264,20.046953,14.361890,14.361890,104.600040,90.238150
1,128,13624,1743872,20.733863,17.397850,17.397850,105.508952,88.111103
1,128,28105,3597440,21.778539,24.506674,24.506674,112.749985,88.243311
1,128,28196,3609088,21.783203,24.000446,24.000446,112.390961,88.390514
1,128,44731,5725568,22.448987,32.745454,32.745454,124.340004,91.594550
1,256,10,2560,11.321928,10.566072,10.566072,99.610013,89.043942
1,256,22,5632,12.459432,11.965491,11.965491,100.320030,88.354540
1,256,25,6400,12.643856,10.900491,10.900491,98.999997,88.099506
1,256,44,11264,13.459432,10.552106,10.552106,101.420039,90.867933
1,256,59,15104,13.882643,10.188110,10.188110,98.920020,88.731910
1,256,135,34560,15.076816,10.948363,10.948363,99.419965,88.471602
1,256,167,42752,15.383704,11.443921,11.443921,99.611003,88.167082
1,256,247,63232,15.948367,10.611451,10.611451,100.379984,89.768533
1,256,291,74496,16.184875,10.837180,10.837180,99.779980,88.942800
1,256,356,91136,16.475733,10.533363,10.533363,100.240053,89.706690
1,256,432,110592,16.754888,10.797373,10.797373,99.929981,89.132608
1,256,455,116480,16.829723,10.873103,10.873103,101.140002,90.266899
1,256,496,126976,16.954196,10.636317,10.636317,101.090001,90.453684
1,256,10171,2603776,21.312174,20.779501,20.779501,109.419983,88.640482
1,256,13038,3337728,21.670435,24.140952,24.140952,114.039984,89.899031
1,256,18450,4723200,22.171333,29.878906,29.878906,118.600030,88.721124
