d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,11.429166,11.429166,104.600040,93.170873
1,1,16,16,4.000000,10.258579,10.258579,109.390006,99.131427
1,1,33,33,5.044394,10.375848,10.375848,102.490012,92.114164
1,1,48,48,5.584963,11.970134,11.970134,105.730025,93.759891
1,1,66,66,6.044394,12.066555,12.066555,104.649982,92.583427
1,1,75,75,6.228819,11.221354,11.221354,104.259991,93.038636
1,1,87,87,6.442943,12.659740,12.659740,104.719948,92.060208
1,1,111,111,6.794416,13.184286,13.184286,105.189974,92.005689
1,1,636,636,9.312883,11.826808,11.826808,104.120001,92.293193
1,1,797,797,9.638436,15.082731,15.082731,104.899984,89.817253
1,1,931,931,9.862637,13.567649,13.567649,105.270010,91.702361
1,1,1006,1006,9.974415,12.102024,12.102024,105.890038,93.788014
1,1,1115,1115,10.122828,11.856562,11.856562,104.030012,92.173450
1,1,1446,1446,10.497852,10.538929,10.538929,101.240003,90.701074
1,1,1695,1695,10.727070,11.175588,11.175588,101.340003,90.164415
1,1,10690,10690,13.383974,12.474888,12.474888,103.380007,90.905119
1,1,21218,21218,14.373001,14.008356,14.008356,103.339960,89.331605
1,1,49863,49863,15.605682,10.848795,10.848795,103.769999,92.921204
1,8,10,80,6.321928,10.277738,10.277738,104.770006,94.492268
1,8,16,128,7.000000,12.585618,12.585618,103.190017,90.604400
1,8,36,288,8.169925,10.641309,10.641309,101.619982,90.978673
1,8,42,336,8.392317,11.666912,11.666912,103.328959,91.662047
1,8,85,680,9.409391,10.722872,10.722872,103.191007,92.468135
1,8,90,720,9.491853,11.119896,11.119896,102.170045,91.050149
1,8,185,1480,10.531381,11.833207,11.833207,103.369995,91.536789
1,8,250,2000,10.965784,11.178951,11.178951,102.308986,91.130035
1,8,300,2400,11.228819,11.761458,11.761458,101.640006,89.878547
1,8,336,2688,11.392317,11.428437,11.428437,102.599966,91.171529
1,8,490,3920,11.936638,11.701696,11.701696,104.830018,93.128322
1,8,527,4216,12.041659,11.835119,11.835119,101.940008,90.104889
1,8,846,6768,12.724514,11.206890,11.206890,102.619990,91.413100
