d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.123460,12.123460,104.220002,92.096542
1,1,16,16,4.000000,11.365112,11.365112,105.520012,94.154900
1,1,33,33,5.044394,11.835819,11.835819,105.720013,93.884195
1,1,48,48,5.584963,11.252396,11.252396,106.560008,95.307612
1,1,66,66,6.044394,12.032760,12.032760,106.549996,94.517236
1,1,75,75,6.228819,11.947500,11.947500,105.370011,93.422511
1,1,87,87,6.442943,11.882396,11.882396,105.139974,93.257578
1,1,111,111,6.794416,13.332113,13.332113,104.920007,91.587894
1,1,636,636,9.312883,11.598668,11.598668,105.620013,94.021344
1,1,797,797,9.638436,11.421905,11.421905,103.789964,92.368059
1,1,931,931,9.862637,11.419263,11.419263,103.340019,91.920755
1,1,1006,1006,9.974415,12.273698,12.273698,103.849976,91.576278
1,1,1115,1115,10.122828,11.304048,11.304048,103.931001,92.626953
1,1,1446,1446,10.497852,11.587604,11.587604,104.249979,92.662375
1,1,1695,1695,10.727070,11.436890,11.436890,103.629951,92.193061
1,1,10690,10690,13.383974,11.930707,11.930707,103.269995,91.339288
1,1,21218,21218,14.373001,11.895551,11.895551,105.720013,93.824463
1,1,49863,49863,15.605682,13.994516,13.994516,103.680009,89.685493
1,8,10,80,6.321928,12.250350,12.250350,102.950027,90.699677
1,8,16,128,7.000000,11.483795,11.483795,105.439976,93.956182
1,8,36,288,8.169925,12.542731,12.542731,103.959988,91.417257
1,8,42,336,8.392317,12.117493,12.117493,104.559993,92.442500
1,8,85,680,9.409391,11.922143,11.922143,104.970008,93.047865
1,8,90,720,9.491853,11.950394,11.950394,104.520004,92.569610
1,8,185,1480,10.531381,11.633423,11.633423,105.449988,93.816565
1,8,250,2000,10.965784,13.403475,13.403475,104.329025,90.925550
1,8,300,2400,11.228819,13.947835,13.947835,104.420003,90.472169
1,8,336,2688,11.392317,12.349628,12.349628,105.099985,92.750357
1,8,490,3920,11.936638,11.725461,11.725461,103.660044,91.934583
1,8,527,4216,12.041659,12.904278,12.904278,105.469022,92.564744
