d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.081711,12.081711,118.410040,106.328329
1,1,16,16,4.000000,14.201696,14.201696,120.120007,105.918310
1,1,33,33,5.044394,12.989888,12.989888,118.579948,105.590060
1,1,48,48,5.584963,12.431793,12.431793,120.140030,107.708237
1,1,66,66,6.044394,14.243698,14.243698,119.859993,105.616295
1,1,75,75,6.228819,13.284777,13.284777,120.259996,106.975219
1,1,87,87,6.442943,13.146823,13.146823,118.850032,105.703209
1,1,111,111,6.794416,13.288832,13.288832,123.799953,110.511121
1,1,636,636,9.312883,12.972842,12.972842,118.690019,105.717177
1,1,797,797,9.638436,14.117128,14.117128,121.099991,106.982863
1,1,931,931,9.862637,14.292158,14.292158,120.120007,105.827849
1,1,1006,1006,9.974415,13.395595,13.395595,119.300035,105.904440
1,1,1115,1115,10.122828,13.142731,13.142731,119.290024,106.147293
1,1,1446,1446,10.497852,14.600365,14.600365,119.899982,105.299617
1,1,1695,1695,10.727070,12.451563,12.451563,120.339973,107.888411
1,1,10690,10690,13.383974,14.255484,14.255484,118.889962,104.634479
1,1,21218,21218,14.373001,13.192254,13.192254,120.059995,106.867740
1,1,49863,49863,15.605682,15.416406,15.416406,120.811048,105.394642
1,8,10,80,6.321928,13.454279,13.454279,120.149984,106.695705
1,8,16,128,7.000000,12.459420,12.459420,122.400001,109.940581
1,8,36,288,8.169925,12.732999,12.732999,121.438992,108.705994
1,8,42,336,8.392317,13.900499,13.900499,120.400044,106.499545
1,8,85,680,9.409391,12.906912,12.906912,120.620010,107.713098
1,8,90,720,9.491853,13.501652,13.501652,118.190947,104.689295
1,8,185,1480,10.531381,13.020104,13.020104,119.599979,106.579875
1,8,250,2000,10.965784,12.571354,12.571354,120.680023,108.108669
1,8,300,2400,11.228819,12.193319,12.193319,120.070006,107.876688
1,8,336,2688,11.392317,12.630461,12.630461,118.990021,106.359560
1,8,490,3920,11.936638,12.860945,12.860945,119.470002,106.609057
1,8,527,4216,12.041659,13.590714,13.590714,122.311001,108.720287
1,8,846,6768,12.724514,12.846183,12.846183,118.880009,106.033826
1,8,3222,25776,14.653741,12.308103,12.308103,119.509990,107.201888
1,8,7511,60088,15.874789,13.839628,13.839628,120.409997,106.570369
1,8,7749,61992,15.919794,14.849658,14.849658,120.249984,105.400327
1,8,9317,74536,16.185650,14.024732,14.024732,118.860044,104.835311
1,8,10422,83376,16.347345,13.704040,13.704040,120.329962,106.625921
1,8,30026,240208,17.873925,14.355238,14.355238,121.399004,107.043766
1,8,45294,362352,18.467032,15.875603,15.875603,123.639998,107.764396
1,16,14,224,7.807355,13.256317,13.256317,119.190023,105.933706
1,16,49,784,9.614710,13.567277,13.567277,119.140022,105.572746
1,16,112,1792,10.807355,13.591072,13.591072,118.269993,104.678921
1,16,128,2048,11.000000,14.628706,14.628706,119.649980,105.021274
1,16,159,2544,11.312883,13.000342,13.000342,119.459990,106.459648
1,16,183,2928,11.515700,13.439174,13.439174,119.879958,106.440784
1,16,192,3072,11.584963,15.122627,15.122627,120.359997,105.237370
1,16,273,4368,12.092757,13.581815,13.581815,119.109987,105.528172
1,16,274,4384,12.098032,13.031912,13.031912,121.360004,108.328092
1,16,298,4768,12.219169,12.566175,12.566175,122.640049,110.073874
1,16,331,5296,12.370687,14.935126,14.935126,120.860001,105.924874
1,16,392,6272,12.614710,12.706555,12.706555,120.839977,108.133422
1,16,693,11088,13.436712,13.632850,13.632850,118.469994,104.837144
1,16,1152,18432,14.169925,12.880960,12.880960,121.379970,108.499010
1,16,1532,24512,14.581201,13.116064,13.116064,118.659984,105.543920
1,16,4879,78064,16.252370,13.959144,13.959144,118.711032,104.751888
1,16,5281,84496,16.366595,14.777872,14.777872,119.880016,105.102144
1,16,6413,102608,16.646784,14.069620,14.069620,120.949990,106.880369
1,16,7612,121792,16.894060,14.687969,14.687969,120.369019,105.681050
1,16,9046,144736,17.143064,14.304167,14.304167,125.930004,111.625838
1,16,17040,272640,18.056638,14.674427,14.674427,120.330020,105.655593
1,16,25594,409504,18.643518,16.170930,16.170930,125.160033,108.989103
1,16,42689,683024,19.381577,18.213475,18.213475,123.639998,105.426524
1,16,44560,712960,19.443462,17.354851,17.354851,122.140045,104.785194
1,64,11,704,9.459432,13.594531,13.594531,119.780016,106.185484
1,64,15,960,9.906891,13.331436,13.331436,118.510972,105.179536
1,64,34,2176,11.087463,14.296704,14.296704,122.450991,108.154287
1,64,60,3840,11.906891,12.604048,12.604048,122.439989,109.835942
1,64,98,6272,12.614710,13.257612,13.257612,119.080010,105.822399
