d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,13.607760,13.607760,108.849956,95.242195
1,1,16,16,4.000000,11.677947,11.677947,109.931047,98.253100
1,1,33,33,5.044394,13.277515,13.277515,109.470042,96.192527
1,1,48,48,5.584963,12.703921,12.703921,109.619985,96.916064
1,1,66,66,6.044394,12.313244,12.313244,109.559973,97.246729
1,1,75,75,6.228819,13.346674,13.346674,110.980007,97.633333
1,1,87,87,6.442943,12.619419,12.619419,111.380010,98.760590
1,1,111,111,6.794416,12.317634,12.317634,110.939960,98.622326
1,1,636,636,9.312883,11.425923,11.425923,108.210021,96.784098
1,1,797,797,9.638436,11.878691,11.878691,110.080000,98.201309
1,1,931,931,9.862637,11.720015,11.720015,111.120054,99.400040
1,1,1006,1006,9.974415,14.772627,14.772627,108.630979,93.858352
1,1,1115,1115,10.122828,12.246436,12.246436,113.079965,100.833529
1,1,1446,1446,10.497852,11.945841,11.945841,108.289998,96.344157
1,1,1695,1695,10.727070,13.485476,13.485476,109.719986,96.234509
1,1,10690,10690,13.383974,12.793333,12.793333,110.799971,98.006637
1,1,21218,21218,14.373001,14.547760,14.547760,110.150024,95.602263
1,1,49863,49863,15.605682,13.657143,13.657143,110.209978,96.552835
1,8,10,80,6.321928,13.834033,13.834033,110.210967,96.376935
1,8,16,128,7.000000,12.060238,12.060238,106.449996,94.389758
1,8,36,288,8.169925,11.894509,11.894509,107.139989,95.245480
1,8,42,336,8.392317,13.250938,13.250938,107.400003,94.149065
1,8,85,680,9.409391,12.208571,12.208571,108.899956,96.691385
1,8,90,720,9.491853,13.302143,13.302143,107.969972,94.667829
1,8,185,1480,10.531381,14.524040,14.524040,108.759967,94.235926
1,8,250,2000,10.965784,11.839025,11.839025,107.939995,96.100970
1,8,300,2400,11.228819,12.130506,12.130506,106.968975,94.838469
1,8,336,2688,11.392317,11.497537,11.497537,106.871012,95.373475
1,8,490,3920,11.936638,11.473229,11.473229,108.909968,97.436739
1,8,527,4216,12.041659,12.728341,12.728341,107.380038,94.651697
1,8,846,6768,12.724514,12.194635,12.194635,107.470027,95.275391
1,8,3222,25776,14.653741,12.118207,12.118207,108.080043,95.961836
1,8,7511,60088,15.874789,14.500469,14.500469,109.500019,94.999550
1,8,7749,61992,15.919794,12.924531,12.924531,108.139997,95.215466
