d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,11.443676,11.443676,100.380043,88.936367
1,1,16,16,4.000000,10.624517,10.624517,100.139994,89.515478
1,1,33,33,5.044394,10.741459,10.741459,101.060024,90.318566
1,1,48,48,5.584963,10.767270,10.767270,99.879981,89.112711
1,1,66,66,6.044394,10.192128,10.192128,99.060009,88.867881
1,1,75,75,6.228819,11.726518,11.726518,98.480028,86.753510
1,1,87,87,6.442943,10.750618,10.750618,99.850004,89.099386
1,1,111,111,6.794416,10.934211,10.934211,100.310019,89.375807
1,1,636,636,9.312883,11.862039,11.862039,100.940000,89.077962
1,1,797,797,9.638436,11.107477,11.107477,102.390011,91.282534
1,1,931,931,9.862637,10.988259,10.988259,101.320038,90.331779
1,1,1006,1006,9.974415,12.563244,12.563244,99.230034,86.666789
1,1,1115,1115,10.122828,12.402634,12.402634,100.869976,88.467342
1,1,1446,1446,10.497852,12.178824,12.178824,99.869969,87.691145
1,1,1695,1695,10.727070,11.523572,11.523572,100.439996,88.916425
1,1,10690,10690,13.383974,15.638929,15.638929,103.359984,87.721055
1,1,21218,21218,14.373001,18.956071,18.956071,108.840002,89.883931
1,1,49863,49863,15.605682,30.219658,30.219658,121.349993,91.130335
1,8,10,80,6.321928,11.668914,11.668914,101.619982,89.951068
1,8,16,128,7.000000,10.533906,10.533906,99.620025,89.086119
1,8,36,288,8.169925,11.487493,11.487493,99.849014,88.361521
1,8,42,336,8.392317,11.978437,11.978437,100.179983,88.201545
1,8,85,680,9.409391,10.836548,10.836548,100.871024,90.034477
1,8,90,720,9.491853,11.449412,11.449412,100.699952,89.250539
1,8,185,1480,10.531381,10.902493,10.902493,100.189995,89.287502
1,8,250,2000,10.965784,10.899048,10.899048,100.849022,89.949974
1,8,300,2400,11.228819,11.546696,11.546696,100.368983,88.822287
1,8,336,2688,11.392317,12.032969,12.032969,100.409961,88.376993
1,8,490,3920,11.936638,11.875952,11.875952,102.150021,90.274069
1,8,527,4216,12.041659,10.607120,10.607120,99.849014,89.241894
1,8,846,6768,12.724514,11.575670,11.575670,100.260018,88.684349
1,8,3222,25776,14.653741,12.065707,12.065707,100.919977,88.854270
1,8,7511,60088,15.874789,13.884844,13.884844,104.379957,90.495113
1,8,7749,61992,15.919794,14.777723,14.777723,103.119994,88.342270
1,8,9317,74536,16.185650,14.598460,14.598460,103.100028,88.501569
1,8,10422,83376,16.347345,15.143571,15.143571,104.509993,89.366421
1,8,30026,240208,17.873925,23.613095,23.613095,112.339971,88.726875
1,8,45294,362352,18.467032,28.042708,28.042708,119.099976,91.057267
1,16,14,224,7.807355,12.624167,12.624167,100.511010,87.886843
1,16,49,784,9.614710,13.037299,13.037299,98.470016,85.432717
1,16,112,1792,10.807355,12.517976,12.517976,98.920020,86.402044
1,16,128,2048,11.000000,11.743944,11.743944,101.011014,89.267070
1,16,159,2544,11.312883,12.100357,12.100357,99.179975,87.079618
1,16,183,2928,11.515700,12.646086,12.646086,99.469966,86.823880
1,16,192,3072,11.584963,11.822284,11.822284,98.349992,86.527708
1,16,273,4368,12.092757,12.084256,12.084256,99.059951,86.975695
1,16,274,4384,12.098032,12.086674,12.086674,99.400000,87.313326
1,16,298,4768,12.219169,14.322039,14.322039,100.531033,86.208994
1,16,331,5296,12.370687,12.835841,12.835841,99.920027,87.084187
1,16,392,6272,12.614710,12.903333,12.903333,100.068981,87.165648
1,16,693,11088,13.436712,12.239293,12.239293,102.179998,89.940705
1,16,1152,18432,14.169925,13.418809,13.418809,100.269972,86.851162
1,16,1532,24512,14.581201,13.129762,13.129762,100.560021,87.430259
1,16,4879,78064,16.252370,15.511540,15.511540,103.289029,87.777489
1,16,5281,84496,16.366595,15.698326,15.698326,104.349980,88.651654
1,16,6413,102608,16.646784,18.091518,18.091518,104.499981,86.408463
1,16,7612,121792,16.894060,18.428921,18.428921,105.399988,86.971066
1,16,9046,144736,17.143064,19.161555,19.161555,106.899999,87.738444
1,16,17040,272640,18.056638,25.776741,25.776741,114.039984,88.263243
1,16,25594,409504,18.643518,32.435595,32.435595,120.279961,87.844366
1,16,42689,683024,19.381577,48.284382,48.284382,133.319991,85.035608
1,16,44560,712960,19.443462,48.613192,48.613192,136.060000,87.446808
1,64,11,704,9.459432,12.071748,12.071748,100.200006,88.128258
1,64,15,960,9.906891,11.922641,11.922641,100.100006,88.177364
1,64,34,2176,11.087463,12.183311,12.183311,100.100006,87.916695
1,64,60,3840,11.906891,12.750952,12.750952,99.839992,87.089040
1,64,98,6272,12.614710,11.612961,11.612961,101.069978,89.457017
1,64,580,37120,15.179909,14.598334,14.598334,101.869984,87.271650
1,64,1028,65792,16.005625,15.473564,15.473564,104.991021,89.517457
1,64,1665,106560,16.701306,18.590595,18.590595,106.160005,87.569410
1,64,1986,127104,16.955650,19.229732,19.229732,106.470019,87.240287
1,64,2314,148096,17.176173,20.351667,20.351667,108.930049,88.578382
1,64,6135,392640,18.582848,31.276317,31.276317,122.219964,90.943647
1,64,6254,400256,18.610564,32.333237,32.333237,120.080018,87.746781
1,64,10279,657856,19.327412,46.298572,46.298572,132.990011,86.691440
1,64,16044,1026816,19.969746,63.483713,63.483713,154.840003,91.356290
1,64,19234,1230976,20.231371,74.188445,74.188445,163.359975,89.171530
1,64,24209,1549376,20.563256,90.439196,90.439196,199.228991,108.789794
1,64,31062,1987968,20.922863,112.229167,112.229167,218.190020,105.960853
1,64,35567,2276288,21.118252,125.796429,125.796429,234.820007,109.023578
1,128,9,1152,10.169925,14.237269,14.237269,99.780038,85.542769
1,128,27,3456,11.754888,13.385119,13.385119,100.360019,86.974900
1,128,47,6016,12.554589,11.743207,11.743207,100.568985,88.825778
1,128,147,18816,14.199672,15.319048,15.319048,103.891012,88.571965
1,128,157,20096,14.294621,13.436808,13.436808,100.589998,87.153190
1,128,207,26496,14.693487,13.827969,13.827969,102.300022,88.472054
