d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.210610,12.210610,105.199986,92.989376
1,1,16,16,4.000000,11.831793,11.831793,103.630009,91.798216
1,1,33,33,5.044394,15.153430,15.153430,104.750041,89.596611
1,1,48,48,5.584963,14.648549,14.648549,104.970008,90.321459
1,1,66,66,6.044394,12.602262,12.602262,103.448983,90.846721
1,1,75,75,6.228819,12.294271,12.294271,107.670028,95.375757
1,1,87,87,6.442943,12.257716,12.257716,102.680002,90.422286
1,1,111,111,6.794416,13.547939,13.547939,111.130008,97.582069
1,1,636,636,9.312883,10.508958,10.508958,107.750006,97.241047
1,1,797,797,9.638436,12.661674,12.661674,102.090009,89.428335
1,1,931,931,9.862637,11.336548,11.336548,104.259991,92.923443
1,1,1006,1006,9.974415,11.685260,11.685260,112.630019,100.944759
1,1,1115,1115,10.122828,11.733780,11.733780,105.439976,93.706197
1,1,1446,1446,10.497852,11.756347,11.756347,110.730005,98.973658
1,1,1695,1695,10.727070,10.951912,10.951912,108.100008,97.148096
1,1,10690,10690,13.383974,12.539501,12.539501,103.109982,90.570481
1,1,21218,21218,14.373001,12.327872,12.327872,103.110040,90.782168
1,1,49863,49863,15.605682,11.562731,11.562731,101.869984,90.307253
1,8,10,80,6.321928,10.603824,10.603824,103.469996,92.866172
1,8,16,128,7.000000,11.302626,11.302626,102.780003,91.477376
1,8,36,288,8.169925,11.022723,11.022723,102.849968,91.827245
1,8,42,336,8.392317,11.632976,11.632976,103.230006,91.597030
1,8,85,680,9.409391,10.531183,10.531183,101.930986,91.399803
1,8,90,720,9.491853,11.771771,11.771771,102.691003,90.919232
1,8,185,1480,10.531381,12.097478,12.097478,103.500031,91.402554
1,8,250,2000,10.965784,11.965469,11.965469,103.579951,91.614482
1,8,300,2400,11.228819,11.158579,11.158579,104.749983,93.591404
1,8,336,2688,11.392317,11.501198,11.501198,104.180013,92.678815
1,8,490,3920,11.936638,10.790960,10.790960,101.579993,90.789034
1,8,527,4216,12.041659,11.019033,11.019033,103.120052,92.101019
1,8,846,6768,12.724514,11.265245,11.265245,103.159982,91.894737
1,8,3222,25776,14.653741,11.802121,11.802121,102.830003,91.027882
1,8,7511,60088,15.874789,12.234628,12.234628,104.020000,91.785373
