d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,14.527842,14.527842,106.329971,91.802129
1,1,16,16,4.000000,14.490603,14.490603,104.891020,90.400417
1,1,33,33,5.044394,13.644531,13.644531,102.219987,88.575455
1,1,48,48,5.584963,13.206659,13.206659,104.070001,90.863342
1,1,66,66,6.044394,15.183899,15.183899,107.889995,92.706096
1,1,75,75,6.228819,14.354301,14.354301,103.700033,89.345732
1,1,87,87,6.442943,13.733118,13.733118,103.580009,89.846891
1,1,111,111,6.794416,14.943795,14.943795,104.510982,89.567187
1,1,636,636,9.312883,13.876280,13.876280,100.870035,86.993755
1,1,797,797,9.638436,14.436525,14.436525,100.379984,85.943459
1,1,931,931,9.862637,16.876652,16.876652,98.880031,82.003379
1,1,1006,1006,9.974415,15.507626,15.507626,99.880039,84.372412
1,1,1115,1115,10.122828,14.125372,14.125372,100.360019,86.234647
1,1,1446,1446,10.497852,14.244070,14.244070,98.691031,84.446961
1,1,1695,1695,10.727070,14.263326,14.263326,99.091034,84.827708
1,1,10690,10690,13.383974,15.427857,15.427857,101.119978,85.692121
1,1,21218,21218,14.373001,14.973341,14.973341,98.470016,83.496676
1,1,49863,49863,15.605682,15.013676,15.013676,100.460020,85.446344
1,8,10,80,6.321928,14.625238,14.625238,100.990001,86.364762
1,8,16,128,7.000000,14.266875,14.266875,99.430035,85.163161
1,8,36,288,8.169925,14.324532,14.324532,99.350000,85.025468
1,8,42,336,8.392317,13.812946,13.812946,101.190002,87.377056
1,8,85,680,9.409391,15.089851,15.089851,100.289995,85.200144
1,8,90,720,9.491853,16.951890,16.951890,100.879988,83.928099
1,8,185,1480,10.531381,13.445700,13.445700,99.829980,86.384281
1,8,250,2000,10.965784,13.887493,13.887493,101.929996,88.042504
1,8,300,2400,11.228819,13.528013,13.528013,98.779972,85.251959
1,8,336,2688,11.392317,13.986428,13.986428,101.909973,87.923544
1,8,490,3920,11.936638,14.460245,14.460245,99.950004,85.489759
1,8,527,4216,12.041659,13.918437,13.918437,97.979966,84.061529
1,8,846,6768,12.724514,13.738698,13.738698,97.530021,83.791323
1,8,3222,25776,14.653741,13.533601,13.533601,99.579978,86.046377
1,8,7511,60088,15.874789,13.980238,13.980238,98.760007,84.779769
1,8,7749,61992,15.919794,13.955699,13.955699,98.509016,84.553316
1,8,9317,74536,16.185650,14.261890,14.261890,102.710037,88.448147
1,8,10422,83376,16.347345,15.845112,15.845112,99.410012,83.564900
1,8,30026,240208,17.873925,15.560469,15.560469,101.470039,85.909570
1,8,45294,362352,18.467032,16.210350,16.210350,101.839949,85.629599
1,16,14,224,7.807355,13.792396,13.792396,97.870012,84.077616
1,16,49,784,9.614710,14.196905,14.196905,99.350000,85.153095
1,16,112,1792,10.807355,16.359747,16.359747,100.850011,84.490264
1,16,128,2048,11.000000,13.523452,13.523452,98.328979,84.805527
1,16,159,2544,11.312883,13.863058,13.863058,98.519959,84.656900
1,16,183,2928,11.515700,13.728653,13.728653,98.190038,84.461385
1,16,192,3072,11.584963,13.913594,13.913594,98.320015,84.406421
1,16,273,4368,12.092757,15.688081,15.688081,101.429992,85.741912
1,16,274,4384,12.098032,15.171056,15.171056,98.451041,83.279984
1,16,298,4768,12.219169,13.964881,13.964881,99.620025,85.655144
1,16,331,5296,12.370687,14.201540,14.201540,98.960008,84.758468
1,16,392,6272,12.614710,14.345476,14.345476,101.779995,87.434519
1,16,693,11088,13.436712,13.758794,13.758794,96.789969,83.031174
1,16,1152,18432,14.169925,14.272969,14.272969,100.520032,86.247063
1,16,1532,24512,14.581201,13.605357,13.605357,98.710007,85.104649
1,16,4879,78064,16.252370,13.687254,13.687254,100.188947,86.501692
1,16,5281,84496,16.366595,14.555588,14.555588,98.760007,84.204419
1,16,6413,102608,16.646784,14.557255,14.557255,100.140052,85.582798
1,16,7612,121792,16.894060,15.429025,15.429025,99.460012,84.030987
1,16,9046,144736,17.143064,16.137708,16.137708,99.570025,83.432316
1,16,17040,272640,18.056638,17.278460,17.278460,101.450016,84.171556
1,16,25594,409504,18.643518,17.294524,17.294524,101.670041,84.375517
1,16,42689,683024,19.381577,18.533214,18.533214,104.820007,86.286792
1,16,44560,712960,19.443462,20.210714,20.210714,103.019993,82.809278
1,64,11,704,9.459432,13.192708,13.192708,102.279999,89.087290
1,64,15,960,9.906891,14.235461,14.235461,98.430028,84.194566
1,64,34,2176,11.087463,13.645350,13.645350,99.939993,86.294643
1,64,60,3840,11.906891,15.592016,15.592016,98.760007,83.167990
1,64,98,6272,12.614710,14.218676,14.218676,99.099998,84.881322
1,64,580,37120,15.179909,15.726659,15.726659,99.330035,83.603375
1,64,1028,65792,16.005625,14.582054,14.582054,99.929981,85.347927
1,64,1665,106560,16.701306,15.998936,15.998936,99.928991,83.930055
1,64,1986,127104,16.955650,16.225119,16.225119,99.328987,83.103868
1,64,2314,148096,17.176173,14.958088,14.958088,100.828998,85.870911
1,64,6135,392640,18.582848,16.789888,16.789888,102.911028,86.121140
1,64,6254,400256,18.610564,17.163780,17.163780,104.720006,87.556226
1,64,10279,657856,19.327412,18.641562,18.641562,104.190025,85.548463
1,64,16044,1026816,19.969746,20.897612,20.897612,106.660009,85.762397
1,64,19234,1230976,20.231371,22.555841,22.555841,108.011009,85.455168
1,64,24209,1549376,20.563256,26.126079,26.126079,108.479988,82.353909
1,64,31062,1987968,20.922863,27.238713,27.238713,113.619957,86.381244
1,64,35567,2276288,21.118252,28.117143,28.117143,114.639988,86.522845
1,128,9,1152,10.169925,14.146071,14.146071,101.759972,87.613900
1,128,27,3456,11.754888,13.945930,13.945930,99.469966,85.524036
1,128,47,6016,12.554589,13.803073,13.803073,101.550017,87.746944
1,128,147,18816,14.199672,18.615119,18.615119,100.860023,82.244904
1,128,157,20096,14.294621,14.680372,14.680372,99.029974,84.349602
1,128,207,26496,14.693487,14.006466,14.006466,100.109959,86.103493
1,128,271,34688,15.082149,14.022396,14.022396,98.870019,84.847624
1,128,279,35712,15.124121,13.699866,13.699866,100.789999,87.090133
1,128,1550,198400,17.598053,16.511800,16.511800,102.450023,85.938223
1,128,2443,312704,18.254438,15.849412,15.849412,100.479985,84.630573
1,128,3069,392832,18.583553,16.536287,16.536287,100.439996,83.903709
1,128,8463,1083264,20.046953,21.227768,21.227768,107.260013,86.032246
1,128,13624,1743872,20.733863,27.313460,27.313460,110.759982,83.446522
1,128,28105,3597440,21.778539,36.283564,36.283564,120.459998,84.176434
1,128,28196,3609088,21.783203,35.532247,35.532247,122.189987,86.657740
1,128,44731,5725568,22.448987,48.505499,48.505499,134.730013,86.224515
1,256,10,2560,11.321928,13.615126,13.615126,102.299964,88.684838
1,256,22,5632,12.459432,14.011429,14.011429,103.180006,89.168577
1,256,25,6400,12.643856,15.285097,15.285097,103.208993,87.923896
1,256,44,11264,13.459432,14.281898,14.281898,100.868987,86.587089
1,256,59,15104,13.882643,13.827061,13.827061,101.680052,87.852991
1,256,135,34560,15.076816,13.904167,13.904167,103.319995,89.415828
1,256,167,42752,15.383704,14.117344,14.117344,102.029997,87.912653
1,256,247,63232,15.948367,13.980469,13.980469,103.059981,89.079513
1,256,291,74496,16.184875,15.494501,15.494501,101.740006,86.245505
1,256,356,91136,16.475733,14.517597,14.517597,103.099970,88.582374
1,256,432,110592,16.754888,14.499888,14.499888,102.259975,87.760087
1,256,455,116480,16.829723,14.680573,14.680573,101.150014,86.469441
1,256,496,126976,16.954196,15.469278,15.469278,102.440012,86.970733
1,256,10171,2603776,21.312174,32.357396,32.357396,118.440017,86.082621
1,256,13038,3337728,21.670435,34.087046,34.087046,121.999998,87.912951
