d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,10.679658,10.679658,103.540020,92.860362
1,1,16,16,4.000000,10.717522,10.717522,101.510028,90.792505
1,1,33,33,5.044394,12.216585,12.216585,102.068996,89.852411
1,1,48,48,5.584963,12.586771,12.586771,106.420019,93.833248
1,1,66,66,6.044394,11.215119,11.215119,109.859975,98.644856
1,1,75,75,6.228819,11.515603,11.515603,106.030027,94.514425
1,1,87,87,6.442943,10.602515,10.602515,98.670018,88.067503
1,1,111,111,6.794416,13.411414,13.411414,110.950030,97.538616
1,1,636,636,9.312883,10.496205,10.496205,108.740001,98.243796
1,1,797,797,9.638436,12.573616,12.573616,100.360019,87.786403
1,1,931,931,9.862637,11.445000,11.445000,99.608966,88.163966
1,1,1006,1006,9.974415,12.231317,12.231317,101.929996,89.698679
1,1,1115,1115,10.122828,13.017269,13.017269,104.610983,91.593713
1,1,1446,1446,10.497852,11.165231,11.165231,112.900045,101.734814
1,1,1695,1695,10.727070,11.968906,11.968906,105.770014,93.801107
1,1,10690,10690,13.383974,12.756912,12.756912,110.359979,97.603067
1,1,21218,21218,14.373001,12.108318,12.108318,103.459985,91.351666
1,1,49863,49863,15.605682,11.183348,11.183348,100.220030,89.036681
1,8,10,80,6.321928,10.918073,10.918073,103.680009,92.761936
1,8,16,128,7.000000,10.607106,10.607106,101.390004,90.782898
1,8,36,288,8.169925,10.478705,10.478705,101.020036,90.541330
1,8,42,336,8.392317,11.027627,11.027627,102.119986,91.092359
1,8,85,680,9.409391,11.370841,11.370841,101.269979,89.899138
1,8,90,720,9.491853,11.109650,11.109650,102.580001,91.470351
1,8,185,1480,10.531381,10.698720,10.698720,101.599959,90.901238
1,8,250,2000,10.965784,10.625722,10.625722,101.590005,90.964284
1,8,300,2400,11.228819,11.624434,11.624434,104.249979,92.625544
1,8,336,2688,11.392317,11.659643,11.659643,101.860031,90.200388
1,8,490,3920,11.936638,11.146667,11.146667,103.040016,91.893350
1,8,527,4216,12.041659,10.053527,10.053527,100.779987,90.726461
1,8,846,6768,12.724514,11.140819,11.140819,102.190010,91.049191
1,8,3222,25776,14.653741,11.623929,11.623929,102.530001,90.906072
1,8,7511,60088,15.874789,10.562054,10.562054,101.069978,90.507924
1,8,7749,61992,15.919794,11.478214,11.478214,104.589039,93.110824
1,8,9317,74536,16.185650,11.273095,11.273095,100.419973,89.146878
1,8,10422,83376,16.347345,11.679769,11.679769,101.839949,90.160180
1,8,30026,240208,17.873925,12.656198,12.656198,101.269979,88.613781
1,8,45294,362352,18.467032,12.469509,12.469509,102.139020,89.669511
1,16,14,224,7.807355,11.332731,11.332731,101.659971,90.327240
1,16,49,784,9.614710,10.937865,10.937865,101.609970,90.672106
1,16,112,1792,10.807355,10.537150,10.537150,100.439996,89.902846
1,16,128,2048,11.000000,10.101801,10.101801,102.200022,92.098221
1,16,159,2544,11.312883,11.181518,11.181518,101.510028,90.328510
1,16,183,2928,11.515700,10.607864,10.607864,101.650017,91.042153
1,16,192,3072,11.584963,10.998668,10.998668,101.079990,90.081322
1,16,273,4368,12.092757,11.605134,11.605134,102.760037,91.154903
1,16,274,4384,12.098032,10.583118,10.583118,102.299964,91.716846
1,16,298,4768,12.219169,10.756005,10.756005,100.910023,90.154019
1,16,331,5296,12.370687,10.654390,10.654390,101.630052,90.975662
1,16,392,6272,12.614710,10.504159,10.504159,100.539997,90.035838
1,16,693,11088,13.436712,11.069189,11.069189,99.928991,88.859802
1,16,1152,18432,14.169925,9.906183,9.906183,100.950012,91.043829
1,16,1532,24512,14.581201,10.362745,10.362745,101.049955,90.687209
1,16,4879,78064,16.252370,11.166414,11.166414,102.450023,91.283610
1,16,5281,84496,16.366595,11.256667,11.256667,102.060032,90.803365
1,16,6413,102608,16.646784,10.938304,10.938304,101.840007,90.901703
1,16,7612,121792,16.894060,10.984635,10.984635,101.759972,90.775336
1,16,9046,144736,17.143064,11.897612,11.897612,102.050020,90.152409
1,16,17040,272640,18.056638,11.561183,11.561183,101.700018,90.138835
1,16,25594,409504,18.643518,12.299754,12.299754,103.640021,91.340266
1,16,42689,683024,19.381577,13.512730,13.512730,105.310988,91.798258
1,16,44560,712960,19.443462,14.907150,14.907150,104.799983,89.892833
1,64,11,704,9.459432,10.523884,10.523884,101.408979,90.885095
1,64,15,960,9.906891,10.095692,10.095692,99.579978,89.484286
1,64,34,2176,11.087463,10.506220,10.506220,100.840000,90.333779
1,64,60,3840,11.906891,11.385141,11.385141,101.949961,90.564820
1,64,98,6272,12.614710,11.116191,11.116191,102.878956,91.762765
1,64,580,37120,15.179909,10.551324,10.551324,100.960024,90.408699
1,64,1028,65792,16.005625,11.388475,11.388475,100.978999,89.590525
1,64,1665,106560,16.701306,10.937508,10.937508,100.319972,89.382465
1,64,1986,127104,16.955650,11.321428,11.321428,101.480051,90.158623
1,64,2314,148096,17.176173,11.585000,11.585000,101.429992,89.844993
1,64,6135,392640,18.582848,12.753519,12.753519,103.290018,90.536499
1,64,6254,400256,18.610564,12.334397,12.334397,102.990016,90.655619
