d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,12.579159,12.579159,104.659994,92.080834
1,1,16,16,4.000000,12.015960,12.015960,104.630017,92.614057
1,1,33,33,5.044394,12.147366,12.147366,104.820007,92.672641
1,1,48,48,5.584963,13.011317,13.011317,104.330014,91.318698
1,1,66,66,6.044394,12.150469,12.150469,102.819991,90.669523
1,1,75,75,6.228819,13.008564,13.008564,102.870981,89.862417
1,1,87,87,6.442943,13.489286,13.489286,104.259991,90.770705
1,1,111,111,6.794416,12.553467,12.553467,104.559993,92.006526
1,1,636,636,9.312883,12.548438,12.548438,104.170002,91.621564
1,1,797,797,9.638436,13.629650,13.629650,102.140009,88.510359
1,1,931,931,9.862637,11.762374,11.762374,109.759974,97.997600
1,1,1006,1006,9.974415,11.662403,11.662403,102.899969,91.237565
1,1,1115,1115,10.122828,11.923832,11.923832,103.419996,91.496164
1,1,1446,1446,10.497852,12.206578,12.206578,101.890007,89.683430
1,1,1695,1695,10.727070,11.969487,11.969487,102.670980,90.701493
1,1,10690,10690,13.383974,12.092150,12.092150,103.920000,91.827849
1,1,21218,21218,14.373001,12.904025,12.904025,103.980012,91.075987
1,1,49863,49863,15.605682,11.855595,11.855595,104.040024,92.184429
1,8,10,80,6.321928,13.931205,13.931205,103.400031,89.468825
1,8,16,128,7.000000,12.336079,12.336079,103.649974,91.313896
1,8,36,288,8.169925,12.247634,12.247634,103.769999,91.522365
1,8,42,336,8.392317,12.500484,12.500484,103.829952,91.329469
1,8,85,680,9.409391,14.092999,14.092999,104.620005,90.527006
1,8,90,720,9.491853,11.886317,11.886317,102.179998,90.293681
1,8,185,1480,10.531381,11.846912,11.846912,101.690006,89.843094
1,8,250,2000,10.965784,11.511317,11.511317,103.849976,92.338659
1,8,300,2400,11.228819,12.642158,12.642158,103.340019,90.697861
1,8,336,2688,11.392317,13.500022,13.500022,103.409984,89.909962
1,8,490,3920,11.936638,12.821934,12.821934,103.749975,90.928041
1,8,527,4216,12.041659,12.078914,12.078914,103.359984,91.281070
1,8,846,6768,12.724514,11.898445,11.898445,102.690014,90.791568
1,8,3222,25776,14.653741,13.507775,13.507775,104.280014,90.772239
1,8,7511,60088,15.874789,13.505819,13.505819,106.830033,93.324215
1,8,7749,61992,15.919794,12.679621,12.679621,106.791034,94.111414
1,8,9317,74536,16.185650,15.982619,15.982619,105.398998,89.416379
1,8,10422,83376,16.347345,12.940982,12.940982,102.800026,89.859044
1,8,30026,240208,17.873925,14.789405,14.789405,105.620013,90.830608
1,8,45294,362352,18.467032,14.284747,14.284747,103.730010,89.445263
1,16,14,224,7.807355,12.369866,12.369866,103.949977,91.580111
1,16,49,784,9.614710,14.955610,14.955610,103.299972,88.344362
1,16,112,1792,10.807355,12.778698,12.778698,103.169004,90.390306
1,16,128,2048,11.000000,12.620357,12.620357,103.349972,90.729615
1,16,159,2544,11.312883,11.479397,11.479397,107.879983,96.400586
1,16,183,2928,11.515700,14.069621,14.069621,104.259991,90.190370
1,16,192,3072,11.584963,11.603809,11.603809,102.630001,91.026192
1,16,273,4368,12.092757,14.027723,14.027723,104.520004,90.492281
1,16,274,4384,12.098032,14.781577,14.781577,103.069993,88.288416
1,16,298,4768,12.219169,12.065223,12.065223,102.769991,90.704768
1,16,331,5296,12.370687,12.544881,12.544881,104.431005,91.886124
1,16,392,6272,12.614710,13.540588,13.540588,102.519989,88.979401
1,16,693,11088,13.436712,12.302493,12.302493,103.659986,91.357493
1,16,1152,18432,14.169925,14.479040,14.479040,103.230006,88.750966
1,16,1532,24512,14.581201,12.418452,12.418452,104.070001,91.651549
1,16,4879,78064,16.252370,13.015111,13.015111,105.910003,92.894892
1,16,5281,84496,16.366595,10.282136,10.282136,107.339991,97.057855
1,16,6413,102608,16.646784,12.434152,12.434152,105.051033,92.616881
1,16,7612,121792,16.894060,12.709077,12.709077,103.670987,90.961910
1,16,9046,144736,17.143064,13.550119,13.550119,104.280014,90.729895
1,16,17040,272640,18.056638,13.879182,13.879182,105.080020,91.200838
1,16,25594,409504,18.643518,14.279606,14.279606,107.019965,92.740359
1,16,42689,683024,19.381577,16.407746,16.407746,105.960004,89.552258
1,16,44560,712960,19.443462,14.222731,14.222731,107.150001,92.927270
1,64,11,704,9.459432,11.564605,11.564605,103.899976,92.335371
1,64,15,960,9.906891,12.307024,12.307024,104.209990,91.902966
1,64,34,2176,11.087463,13.598571,13.598571,104.539969,90.941398
1,64,60,3840,11.906891,12.134770,12.134770,104.499981,92.365211
1,64,98,6272,12.614710,13.302396,13.302396,106.169959,92.867563
1,64,580,37120,15.179909,11.635327,11.635327,103.751023,92.115696
