d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.213429,1.213429,13.369250,129.319960,115.950710
1,1,16,16,4.000000,1.247134,1.247134,12.581866,131.429988,118.848122
1,1,18,18,4.169925,1.209812,1.209812,13.613429,127.831008,114.217580
1,1,25,25,4.643856,1.210839,1.210839,13.388402,131.120090,117.731689
1,1,40,40,5.321928,1.211250,1.211250,13.385384,127.670006,114.284622
1,1,61,61,5.930737,1.211473,1.211473,13.073696,128.780026,115.706330
1,1,87,87,6.442943,1.211026,1.211026,15.969714,129.730091,113.760377
1,1,102,102,6.672425,1.230901,1.230901,12.986250,128.460000,115.473751
1,1,120,120,6.906891,1.203455,1.203455,12.991134,130.450004,117.458870
1,1,157,157,7.294621,0.901946,0.901946,13.755572,139.130047,125.374475
1,1,354,354,8.467606,0.860321,0.860321,12.510018,132.110086,119.600068
1,1,1138,1138,10.152285,0.906250,0.906250,13.560857,130.919972,117.359115
1,1,1470,1470,10.521600,0.958143,0.958143,14.284696,147.969928,133.685231
1,1,1753,1753,10.775610,1.021580,1.021580,13.876714,130.160013,116.283299
1,1,1915,1915,10.903129,0.937259,0.937259,13.697884,130.319968,116.622084
1,1,2151,2151,11.070792,0.940571,0.940571,15.611554,130.729983,115.118429
1,1,2887,2887,11.495355,0.992848,0.992848,13.196714,131.489942,118.293227
1,1,3457,3457,11.755305,1.021875,1.021875,14.614848,129.700056,115.085208
1,1,5671,5671,12.469387,1.077598,1.077598,12.477027,126.040075,113.563048
1,1,27859,27859,14.765856,1.769991,1.769991,15.010009,132.990070,117.980061
1,1,58917,58917,15.846396,2.319500,2.319500,17.570562,129.439984,111.869422
1,1,60577,60577,15.886483,2.459973,2.459973,14.934705,130.659901,115.725195
1,1,109348,109348,16.738567,3.643143,3.643143,14.841268,129.969092,115.127824
1,1,159502,159502,17.283215,4.729625,4.729625,17.315973,133.209047,115.893074
1,2,7734,15468,13.916999,1.097009,1.097009,17.062857,131.350011,114.287153
1,8,10,80,6.321928,0.841973,0.841973,12.516446,125.760096,113.243650
1,8,18,144,7.169925,0.856607,0.856607,13.520125,145.631027,132.110902
1,8,44,352,8.459432,0.855536,0.855536,13.129446,128.590036,115.460590
1,8,48,384,8.584963,0.871295,0.871295,13.802411,128.591084,114.788673
1,8,53,424,8.727920,0.860250,0.860250,14.083438,127.539970,113.456532
1,8,116,928,9.857981,0.846089,0.846089,13.833143,126.269995,112.436853
1,8,124,992,9.954196,0.841964,0.841964,14.256723,131.509965,117.253242
1,8,218,1744,10.768184,0.934643,0.934643,14.498589,127.719948,113.221359
1,8,281,2248,11.134426,0.951419,0.951419,14.005991,127.849984,113.843993
1,8,395,3160,11.625709,0.926027,0.926027,13.606402,130.260014,116.653612
1,8,425,3400,11.731319,0.916723,0.916723,14.722678,126.890023,112.167345
1,8,487,3896,11.927778,0.897991,0.897991,14.895134,128.270010,113.374876
1,8,553,4424,12.111136,0.918286,0.918286,13.350152,127.399922,114.049770
1,8,848,6784,12.727920,1.002661,1.002661,14.339295,125.530059,111.190765
1,8,921,7368,12.847057,0.993911,0.993911,13.669304,127.600040,113.930737
1,8,1572,12576,13.618386,1.032295,1.032295,17.115107,127.390027,110.274920
1,8,5534,44272,15.434107,1.227134,1.227134,17.295178,128.149055,110.853877
1,8,7159,57272,15.805542,1.377438,1.377438,16.282875,132.359914,116.077039
1,8,8659,69272,16.079985,1.449304,1.449304,14.089982,127.159990,113.070008
1,8,18677,149416,17.188975,1.994848,1.994848,13.965696,129.619963,115.654266
1,8,19347,154776,17.239822,2.142304,2.142304,15.641848,135.891023,120.249175
1,8,23842,190736,17.541218,2.336009,2.336009,15.717429,130.060012,114.342584
1,8,27070,216560,17.724407,2.460598,2.460598,15.753697,129.739987,113.986290
1,8,89778,718224,19.454074,5.482544,5.482544,19.528027,133.170048,113.642021
1,8,143046,1144368,20.126120,8.451107,8.451107,20.758562,145.179918,124.421356
1,14,94,1316,10.361944,0.948108,0.948108,13.936875,128.300046,114.363171
1,15,5,75,6.228819,0.871188,0.871188,14.659723,127.719948,113.060225
1,16,8,128,7.000000,0.845286,0.845286,13.041277,134.979957,121.938680
1,16,10,160,7.321928,0.987705,0.987705,13.527312,131.589943,118.062630
1,16,15,240,7.906891,0.933295,0.933295,13.325143,126.819941,113.494798
1,16,25,400,8.643856,0.968884,0.968884,16.910884,130.519969,113.609085
1,16,63,1008,9.977280,0.940571,0.940571,13.012161,129.560009,116.547848
1,16,160,2560,11.321928,0.882660,0.882660,13.991036,129.680033,115.688997
1,16,182,2912,11.507795,0.891821,0.891821,13.693125,158.029026,144.335901
1,16,185,2960,11.531381,0.936312,0.936312,14.114572,127.639971,113.525399
1,16,237,3792,11.888743,0.938866,0.938866,12.689286,126.619940,113.930654
1,16,277,4432,12.113742,0.927902,0.927902,14.543134,129.000051,114.456917
1,16,293,4688,12.194757,0.928473,0.928473,12.879393,127.980020,115.100627
1,16,341,5456,12.413628,0.929822,0.929822,12.504991,128.680025,116.175034
1,16,436,6976,12.768184,0.949696,0.949696,14.310723,135.049922,120.739199
1,16,438,7008,12.774787,0.971536,0.971536,13.290429,129.889930,116.599501
1,16,483,7728,12.915879,0.952840,0.952840,14.845545,128.780026,113.934481
1,16,544,8704,13.087463,0.984670,0.984670,14.861268,125.769991,110.908724
1,16,659,10544,13.364135,1.021241,1.021241,12.717009,128.139975,115.422966
1,16,1255,20080,14.293472,1.090464,1.090464,13.758437,127.380015,113.621578
1,16,1535,24560,14.584023,1.169687,1.169687,17.180553,125.439954,108.259400
1,16,1887,30192,14.881879,1.141241,1.141241,13.185705,126.599916,113.414211
1,16,2232,35712,15.124121,1.193741,1.193741,13.357875,128.579908,115.222033
1,16,2665,42640,15.379920,1.253500,1.253500,14.627161,127.470004,112.842843
1,16,3083,49328,15.590119,1.322143,1.322143,15.236143,128.929969,113.693826
1,16,8979,143664,17.132339,2.036821,2.036821,16.360294,126.819941,110.459647
1,16,9371,149936,17.193987,2.027715,2.027715,13.366723,129.339984,115.973260
1,16,11455,183280,17.483690,2.295732,2.295732,15.003589,127.200037,112.196448
1,16,12530,200480,17.613099,2.302009,2.302009,15.756714,128.679909,112.923195
1,16,15615,249840,17.930645,2.804179,2.804179,15.801973,129.080028,113.278055
1,16,17811,284976,18.120481,3.063920,3.063920,19.207429,132.270041,113.062612
1,16,18962,303392,18.210824,3.185723,3.185723,14.490312,131.178997,116.688684
1,16,23057,368912,18.492917,3.650393,3.650393,15.305562,128.279906,112.974343
1,16,47251,756016,19.528057,5.774839,5.774839,18.043116,140.789081,122.745965
1,16,74917,1198672,20.193006,8.793616,8.793616,20.488893,143.710058,123.221165
1,16,80231,1283696,20.291872,9.264402,9.264402,20.342866,135.499984,115.157118
1,16,107984,1727744,20.720458,12.105429,12.105429,25.325982,138.479983,113.154001
1,16,133762,2140192,21.029309,14.721250,14.721250,25.598125,142.880017,117.281892
