d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,2.131589,2.131589,18.867875,144.060003,125.192128
1,1,16,16,4.000000,2.132474,2.132474,16.370598,136.099989,119.729390
1,1,18,18,4.169925,2.145715,2.145715,15.312170,137.449941,122.137771
1,1,25,25,4.643856,2.127374,2.127374,15.161982,154.559966,139.397984
1,1,40,40,5.321928,2.124179,2.124179,15.648429,136.750052,121.101623
1,1,61,61,5.930737,2.125741,2.125741,14.228857,132.899964,118.671107
1,1,87,87,6.442943,2.146321,2.146321,16.658303,132.219982,115.561679
1,1,102,102,6.672425,2.163590,2.163590,14.877143,136.520015,121.642872
1,1,120,120,6.906891,2.140008,2.140008,16.515580,134.450034,117.934454
1,1,157,157,7.294621,2.889331,2.889331,15.719991,140.780001,125.060010
1,1,354,354,8.467606,2.973401,2.973401,15.735991,135.849928,120.113937
1,1,1138,1138,10.152285,3.011920,3.011920,17.641268,135.199982,117.558714
1,1,1470,1470,10.521600,3.019804,3.019804,15.399304,140.040065,124.640762
1,1,1753,1753,10.775610,3.026401,3.026401,16.432411,135.950046,119.517635
1,1,1915,1915,10.903129,3.069375,3.069375,15.433554,136.479968,121.046415
1,1,2151,2151,11.070792,3.089643,3.089643,16.619018,139.259966,122.640948
1,1,2887,2887,11.495355,3.090901,3.090901,16.314964,136.420014,120.105050
1,1,3457,3457,11.755305,3.086429,3.086429,15.269411,134.631060,119.361649
1,1,5671,5671,12.469387,3.142874,3.142874,15.385705,135.360053,119.974347
1,1,27859,27859,14.765856,4.062749,4.062749,16.075384,144.579913,128.504529
1,1,58917,58917,15.846396,5.230741,5.230741,17.917143,140.769989,122.852846
1,1,60577,60577,15.886483,5.334134,5.334134,17.319687,140.909920,123.590233
1,1,109348,109348,16.738567,7.130304,7.130304,20.637420,138.908974,118.271554
1,1,159502,159502,17.283215,8.469499,8.469499,22.075688,145.229977,123.154289
1,2,7734,15468,13.916999,4.649544,4.649544,16.503848,137.849944,121.346096
1,8,10,80,6.321928,3.566956,3.566956,15.524866,138.089992,122.565126
1,8,18,144,7.169925,3.499848,3.499848,15.097857,138.179981,123.082124
1,8,44,352,8.459432,3.499821,3.499821,14.543116,139.790005,125.246889
1,8,48,384,8.584963,3.520295,3.520295,15.169839,136.870076,121.700237
1,8,53,424,8.727920,3.518108,3.518108,15.423116,138.048897,122.625781
1,8,116,928,9.857981,3.520625,3.520625,15.104446,133.470981,118.366535
1,8,124,992,9.954196,3.500428,3.500428,15.313393,137.259951,121.946558
1,8,218,1744,10.768184,4.378848,4.378848,15.571125,139.249954,123.678829
1,8,281,2248,11.134426,4.419840,4.419840,15.809143,136.279967,120.470824
1,8,395,3160,11.625709,4.459045,4.459045,15.984402,139.790005,123.805603
1,8,425,3400,11.731319,4.420277,4.420277,15.087303,136.589981,121.502677
1,8,487,3896,11.927778,4.451339,4.451339,16.519563,145.209953,128.690391
1,8,553,4424,12.111136,4.455152,4.455152,15.662973,139.510026,123.847053
1,8,848,6784,12.727920,4.431294,4.431294,18.577000,136.479968,117.902968
1,8,921,7368,12.847057,4.461250,4.461250,15.277429,135.959941,120.682512
1,8,1572,12576,13.618386,4.490053,4.490053,14.792134,136.740040,121.947906
1,8,5534,44272,15.434107,4.747865,4.747865,16.313277,140.680000,124.366723
1,8,7159,57272,15.805542,4.865465,4.865465,18.616571,137.380091,118.763520
1,8,8659,69272,16.079985,4.938080,4.938080,16.953688,140.159973,123.206285
1,8,18677,149416,17.188975,5.622625,5.622625,19.584572,138.310017,118.725445
1,8,19347,154776,17.239822,5.703946,5.703946,17.948116,166.669954,148.721838
1,8,23842,190736,17.541218,5.952759,5.952759,19.976295,147.760031,127.783736
1,8,27070,216560,17.724407,6.115420,6.115420,17.852277,139.859971,122.007694
1,8,89778,718224,19.454074,9.659973,9.659973,21.386857,142.190955,120.804098
1,8,143046,1144368,20.126120,12.825419,12.825419,24.909018,144.210993,119.301975
1,14,94,1316,10.361944,4.418777,4.418777,16.312580,140.710035,124.397455
1,15,5,75,6.228819,2.881187,2.881187,14.745687,138.689065,123.943378
1,16,8,128,7.000000,2.884590,2.884590,13.478839,136.079965,122.601126
1,16,10,160,7.321928,4.439018,4.439018,15.472991,136.771007,121.298016
1,16,15,240,7.906891,4.409625,4.409625,16.250563,136.120012,119.869449
1,16,25,400,8.643856,4.435348,4.435348,16.100411,137.159950,121.059539
1,16,63,1008,9.977280,4.418643,4.418643,16.060009,138.630043,122.570034
1,16,160,2560,11.321928,4.448839,4.448839,16.828562,137.089984,120.261422
1,16,182,2912,11.507795,4.492536,4.492536,19.746571,135.679962,115.933391
1,16,185,2960,11.531381,4.454964,4.454964,16.634714,136.289978,119.655264
1,16,237,3792,11.888743,4.475742,4.475742,16.179741,137.399998,121.220257
1,16,277,4432,12.113742,4.452822,4.452822,15.432857,138.089992,122.657135
1,16,293,4688,12.194757,4.428420,4.428420,16.815428,135.389972,118.574543
1,16,341,5456,12.413628,4.452982,4.452982,16.638000,138.590927,121.952927
1,16,436,6976,12.768184,4.464831,4.464831,15.645295,156.800030,141.154735
1,16,438,7008,12.774787,4.465973,4.465973,15.820991,142.149976,126.328985
1,16,483,7728,12.915879,4.448956,4.448956,17.193714,138.669042,121.475328
1,16,544,8704,13.087463,4.492554,4.492554,15.643893,135.480077,119.836184
1,16,659,10544,13.364135,4.519571,4.519571,16.251250,136.669958,120.418708
1,16,1255,20080,14.293472,4.580776,4.580776,16.536598,140.500022,123.963424
1,16,1535,24560,14.584023,4.620920,4.620920,16.218000,137.399998,121.181998
1,16,1887,30192,14.881879,4.637455,4.637455,16.510009,148.030929,131.520920
1,16,2232,35712,15.124121,4.709357,4.709357,15.826696,136.610004,120.783308
1,16,2665,42640,15.379920,4.738991,4.738991,15.768723,139.859971,124.091248
