d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.820563,0.820563,11.967839,126.720057,114.752218
1,1,16,16,4.000000,0.821098,0.821098,13.197991,129.520078,116.322087
1,1,18,18,4.169925,0.826268,0.826268,12.469598,126.920058,114.450460
1,1,25,25,4.643856,0.822866,0.822866,11.655322,128.730084,117.074762
1,1,40,40,5.321928,0.819768,0.819768,13.610455,132.989022,119.378567
1,1,61,61,5.930737,0.820330,0.820330,10.104429,127.409934,117.305505
1,1,87,87,6.442943,0.834741,0.834741,9.791035,127.719948,117.928913
1,1,102,102,6.672425,0.819741,0.819741,9.838161,130.289001,120.450840
1,1,120,120,6.906891,0.820991,0.820991,9.338571,134.350033,125.011462
1,1,157,157,7.294621,0.894089,0.894089,9.641723,127.180014,117.538291
1,1,354,354,8.467606,0.860830,0.860830,9.907688,130.439992,120.532304
1,1,1138,1138,10.152285,0.894080,0.894080,10.161714,127.659994,117.498280
1,1,1470,1470,10.521600,0.878152,0.878152,10.286991,129.509019,119.222028
1,1,1753,1753,10.775610,0.913161,0.913161,10.464268,126.249972,115.785704
1,1,1915,1915,10.903129,0.921866,0.921866,10.437250,129.568973,119.131723
1,1,2151,2151,11.070792,0.889651,0.889651,9.905277,126.619940,116.714663
1,1,2887,2887,11.495355,0.920357,0.920357,10.405134,131.609966,121.204832
1,1,3457,3457,11.755305,0.924277,0.924277,10.894277,135.830021,124.935745
1,1,5671,5671,12.469387,0.965411,0.965411,9.658143,132.110086,122.451943
1,1,27859,27859,14.765856,1.350321,1.350321,10.941009,129.070017,118.129007
1,1,58917,58917,15.846396,1.831125,1.831125,11.228420,130.899949,119.671529
1,1,60577,60577,15.886483,1.839286,1.839286,12.039446,130.050001,118.010554
1,1,109348,109348,16.738567,2.264009,2.264009,12.752455,127.079897,114.327441
1,1,159502,159502,17.283215,2.796134,2.796134,12.302580,131.779932,119.477352
1,2,7734,15468,13.916999,2.112553,2.112553,11.218295,128.729967,117.511673
1,8,10,80,6.321928,0.724518,0.724518,10.398554,139.220036,128.821482
1,8,18,144,7.169925,0.722928,0.722928,11.109027,133.519992,122.410965
1,8,44,352,8.459432,0.724000,0.724000,10.993866,131.840003,120.846137
1,8,48,384,8.584963,0.724143,0.724143,12.339732,129.429973,117.090241
1,8,53,424,8.727920,0.724276,0.724276,10.985580,133.750029,122.764449
1,8,116,928,9.857981,0.724884,0.724884,11.170955,130.329980,119.159024
1,8,124,992,9.954196,0.724652,0.724652,10.281125,131.709967,121.428842
1,8,218,1744,10.768184,1.604839,1.604839,11.642009,132.020097,120.378088
1,8,281,2248,11.134426,1.617553,1.617553,10.808732,135.520007,124.711275
1,8,395,3160,11.625709,1.615125,1.615125,10.489839,137.399998,126.910159
1,8,425,3400,11.731319,1.615830,1.615830,11.302000,141.220051,129.918051
1,8,487,3896,11.927778,1.615661,1.615661,11.999107,138.140051,126.140944
1,8,553,4424,12.111136,1.630080,1.630080,11.524893,128.719956,117.195063
1,8,848,6784,12.727920,1.654214,1.654214,11.399455,128.809945,117.410489
1,8,921,7368,12.847057,1.648482,1.648482,12.458902,132.950023,120.491121
1,8,1572,12576,13.618386,1.710831,1.710831,9.802857,140.780001,130.977144
1,8,5534,44272,15.434107,1.988813,1.988813,12.280875,136.859948,124.579073
1,8,7159,57272,15.805542,2.104616,2.104616,11.242866,137.959956,126.717090
1,8,8659,69272,16.079985,2.230991,2.230991,11.032295,131.389941,120.357646
1,8,18677,149416,17.188975,3.031973,3.031973,13.843563,148.979947,135.136384
1,8,19347,154776,17.239822,3.097286,3.097286,12.988714,131.660025,118.671310
1,8,23842,190736,17.541218,3.479009,3.479009,14.064188,132.399960,118.335773
1,8,27070,216560,17.724407,3.719205,3.719205,13.412562,133.409980,119.997417
1,8,89778,718224,19.454074,8.992616,8.992616,19.134839,136.379967,117.245128
1,8,143046,1144368,20.126120,13.561821,13.561821,22.658839,140.669988,118.011149
1,14,94,1316,10.361944,0.760991,0.760991,9.585589,132.310088,122.724498
1,15,5,75,6.228819,0.796562,0.796562,10.377554,129.339984,118.962430
1,16,8,128,7.000000,0.796169,0.796169,10.181857,136.659946,126.478089
