d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.210232,1.210232,13.538429,127.330888,113.792459
1,1,16,16,4.000000,1.229874,1.229874,13.842589,129.909953,116.067364
1,1,18,18,4.169925,1.249206,1.249206,14.547768,131.109962,116.562195
1,1,25,25,4.643856,1.210143,1.210143,14.981295,139.220036,124.238741
1,1,40,40,5.321928,1.248313,1.248313,14.598705,129.029970,114.431264
1,1,61,61,5.930737,1.208777,1.208777,12.971312,131.690060,118.718747
1,1,87,87,6.442943,1.227437,1.227437,14.478143,131.730922,117.252779
1,1,102,102,6.672425,1.228134,1.228134,12.535607,126.759987,114.224380
1,1,120,120,6.906891,1.214152,1.214152,13.998857,132.980058,118.981201
1,1,157,157,7.294621,0.870366,0.870366,15.032438,132.450019,117.417581
1,1,354,354,8.467606,0.860705,0.860705,13.839866,138.179981,124.340115
1,1,1138,1138,10.152285,0.920312,0.920312,13.368000,131.490990,118.122990
1,1,1470,1470,10.521600,0.991107,0.991107,13.945286,131.650013,117.704727
1,1,1753,1753,10.775610,0.984428,0.984428,12.854393,133.940019,121.085626
1,1,1915,1915,10.903129,0.935187,0.935187,14.352562,128.349056,113.996494
1,1,2151,2151,11.070792,0.966589,0.966589,15.105402,128.820073,113.714671
1,1,2887,2887,11.495355,0.958670,0.958670,12.417991,128.819956,116.401966
1,1,3457,3457,11.755305,1.040151,1.040151,14.401143,126.200030,111.798887
1,1,5671,5671,12.469387,1.061143,1.061143,14.695857,129.009946,114.314089
1,1,27859,27859,14.765856,1.665857,1.665857,14.562857,128.110056,113.547198
1,1,58917,58917,15.846396,2.410411,2.410411,15.496598,129.329972,113.833374
1,1,60577,60577,15.886483,2.418661,2.418661,15.521714,162.709970,147.188256
1,1,109348,109348,16.738567,3.116580,3.116580,15.510294,134.509988,118.999694
1,1,159502,159502,17.283215,4.042705,4.042705,17.111009,127.870007,110.758998
1,2,7734,15468,13.916999,1.101143,1.101143,13.764562,131.390058,117.625495
1,8,10,80,6.321928,0.859384,0.859384,12.984857,125.400024,112.415166
1,8,18,144,7.169925,0.884741,0.884741,13.743161,128.370011,114.626850
1,8,44,352,8.459432,0.848116,0.848116,12.337562,130.390981,118.053419
1,8,48,384,8.584963,0.900839,0.900839,16.966553,126.819941,109.853388
1,8,53,424,8.727920,0.858116,0.858116,12.365009,128.899934,116.534925
1,8,116,928,9.857981,0.842696,0.842696,13.951018,127.548934,113.597916
1,8,124,992,9.954196,0.873170,0.873170,13.000563,125.010032,112.009470
1,8,218,1744,10.768184,0.930785,0.930785,13.234866,132.609974,119.375108
1,8,281,2248,11.134426,0.921250,0.921250,15.607420,127.229956,111.622536
1,8,395,3160,11.625709,0.914312,0.914312,13.919286,127.819949,113.900663
1,8,425,3400,11.731319,0.911438,0.911438,13.646161,127.739972,114.093811
1,8,487,3896,11.927778,0.943706,0.943706,13.150688,130.490051,117.339363
1,8,553,4424,12.111136,0.898678,0.898678,13.451286,131.050008,117.598722
1,8,848,6784,12.727920,1.003706,1.003706,12.545152,125.639956,113.094804
1,8,921,7368,12.847057,0.945491,0.945491,13.420465,139.430049,126.009584
1,8,1572,12576,13.618386,1.019099,1.019099,14.652322,131.979934,117.327612
1,8,5534,44272,15.434107,1.255000,1.255000,16.234554,127.570005,111.335452
1,8,7159,57272,15.805542,1.326402,1.326402,12.945973,127.300038,114.354065
1,8,8659,69272,16.079985,1.387419,1.387419,13.607714,133.089954,119.482240
1,8,18677,149416,17.188975,2.001581,2.001581,15.026268,132.719986,117.693718
1,8,19347,154776,17.239822,2.041018,2.041018,15.801009,127.380015,111.579006
1,8,23842,190736,17.541218,2.232598,2.232598,16.117428,133.540016,117.422587
1,8,27070,216560,17.724407,2.503241,2.503241,13.996393,129.549997,115.553604
1,8,89778,718224,19.454074,5.501590,5.501590,18.656455,132.650021,113.993565
1,8,143046,1144368,20.126120,8.326973,8.326973,22.122839,153.159956,131.037116
1,14,94,1316,10.361944,0.923286,0.923286,12.576447,158.600044,146.023597
1,15,5,75,6.228819,0.840991,0.840991,11.768562,126.539962,114.771400
1,16,8,128,7.000000,0.848402,0.848402,13.695411,138.679985,124.984574
1,16,10,160,7.321928,0.923688,0.923688,12.816000,134.219998,121.403998
1,16,15,240,7.906891,0.936571,0.936571,13.492688,130.160013,116.667326
