d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.304089,1.304089,12.864714,116.549898,103.685184
1,1,16,16,4.000000,1.298474,1.298474,14.019589,119.850039,105.830450
1,1,18,18,4.169925,1.296902,1.296902,13.585857,125.980005,112.394147
1,1,25,25,4.643856,1.284241,1.284241,12.951581,119.019998,106.068418
1,1,40,40,5.321928,1.284786,1.284786,12.958000,124.290003,111.332003
1,1,61,61,5.930737,1.287473,1.287473,14.181580,129.319960,115.138380
1,1,87,87,6.442943,1.284420,1.284420,12.926455,117.190997,104.264542
1,1,102,102,6.672425,1.282884,1.282884,13.037572,116.799958,103.762386
1,1,120,120,6.906891,1.296535,1.296535,13.069438,122.259953,109.190515
1,1,157,157,7.294621,1.286947,1.286947,13.231437,122.350990,109.119552
1,1,354,354,8.467606,0.981429,0.981429,12.521696,117.099960,104.578264
1,1,1138,1138,10.152285,1.046571,1.046571,15.269437,117.329997,102.060560
1,1,1470,1470,10.521600,1.039598,1.039598,13.058304,119.420001,106.361698
1,1,1753,1753,10.775610,1.050125,1.050125,12.125152,117.729069,105.603917
1,1,1915,1915,10.903129,1.127786,1.127786,13.483562,114.879920,101.396358
1,1,2151,2151,11.070792,1.052178,1.052178,12.818705,118.369935,105.551230
1,1,2887,2887,11.495355,1.077428,1.077428,12.146018,117.009040,104.863022
1,1,3457,3457,11.755305,1.113616,1.113616,12.376009,122.700003,110.323994
1,1,5671,5671,12.469387,1.191437,1.191437,12.118563,117.719988,105.601426
1,1,27859,27859,14.765856,2.171866,2.171866,13.643866,121.529098,107.885232
1,1,58917,58917,15.846396,3.394036,3.394036,15.082581,119.799981,104.717400
1,1,60577,60577,15.886483,3.486705,3.486705,14.870411,120.950048,106.079637
1,1,109348,109348,16.738567,5.518143,5.518143,16.773143,118.580065,101.806922
1,1,159502,159502,17.283215,7.590286,7.590286,22.404705,126.510044,104.105338
1,2,7734,15468,13.916999,1.280464,1.280464,14.443696,114.860013,100.416317
1,8,10,80,6.321928,0.908437,0.908437,14.815411,122.849946,108.034535
1,8,18,144,7.169925,0.925437,0.925437,13.743161,155.299902,141.556741
1,8,44,352,8.459432,0.923411,0.923411,12.359438,117.809977,105.450540
1,8,48,384,8.584963,0.924812,0.924812,12.482446,116.789015,104.306569
1,8,53,424,8.727920,0.907732,0.907732,13.664866,116.631039,102.966173
1,8,116,928,9.857981,0.923589,0.923589,12.123143,118.230004,106.106861
1,8,124,992,9.954196,0.931232,0.931232,14.533161,118.430005,103.896845
1,8,218,1744,10.768184,1.013973,1.013973,12.514562,119.660050,107.145487
1,8,281,2248,11.134426,1.113572,1.113572,12.417705,118.319993,105.902287
1,8,395,3160,11.625709,1.103893,1.103893,12.775286,114.399940,101.624654
1,8,425,3400,11.731319,1.122857,1.122857,13.140589,119.610922,106.470333
1,8,487,3896,11.927778,1.078857,1.078857,12.690839,120.130018,107.439179
1,8,553,4424,12.111136,1.065616,1.065616,12.077554,116.349896,104.272343
1,8,848,6784,12.727920,1.040714,1.040714,12.690009,116.260024,103.570015
1,8,921,7368,12.847057,1.063233,1.063233,11.929268,115.879928,103.950660
1,8,1572,12576,13.618386,1.052259,1.052259,12.882974,117.869931,104.986958
1,8,5534,44272,15.434107,1.313045,1.313045,12.665580,118.308933,105.643353
1,8,7159,57272,15.805542,1.338839,1.338839,13.033723,116.629992,103.596268
1,8,8659,69272,16.079985,1.533134,1.533134,12.442857,116.870971,104.428114
1,8,18677,149416,17.188975,2.071303,2.071303,14.225152,123.030040,108.804889
1,8,19347,154776,17.239822,2.036982,2.036982,15.947027,122.710946,106.763919
1,8,23842,190736,17.541218,2.390420,2.390420,13.461009,120.679964,107.218956
1,8,27070,216560,17.724407,2.596956,2.596956,14.060152,120.659941,106.599789
1,8,89778,718224,19.454074,5.230098,5.230098,17.579420,119.830016,102.250596
1,8,143046,1144368,20.126120,7.846447,7.846447,18.762134,127.411098,108.648964
1,14,94,1316,10.361944,1.012866,1.012866,12.248563,114.770024,102.521461
1,15,5,75,6.228819,0.867571,0.867571,12.812875,118.630007,105.817132
1,16,8,128,7.000000,0.863018,0.863018,12.037116,143.580022,131.542906
1,16,10,160,7.321928,2.267152,2.267152,15.000572,119.409990,104.409418
1,16,15,240,7.906891,2.258562,2.258562,13.904143,119.530945,105.626802
1,16,25,400,8.643856,0.984598,0.984598,12.465295,120.508950,108.043655
1,16,63,1008,9.977280,1.036178,1.036178,13.139304,117.720105,104.580801
1,16,160,2560,11.321928,1.012465,1.012465,12.355250,123.169972,110.814722
1,16,182,2912,11.507795,1.020009,1.020009,12.837000,121.770077,108.933077
1,16,185,2960,11.531381,1.011072,1.011072,13.208982,120.689976,107.480994
1,16,237,3792,11.888743,1.029929,1.029929,12.352018,118.690077,106.338059
1,16,277,4432,12.113742,0.969437,0.969437,12.589741,115.819974,103.230233
1,16,293,4688,12.194757,0.959303,0.959303,12.550000,119.559933,107.009932
1,16,341,5456,12.413628,0.961411,0.961411,12.352580,116.129988,103.777408
1,16,436,6976,12.768184,0.982277,0.982277,12.633134,115.190051,102.556917
1,16,438,7008,12.774787,1.012982,1.012982,12.878830,119.689968,106.811138
1,16,483,7728,12.915879,0.982429,0.982429,12.664973,115.239993,102.575020
1,16,544,8704,13.087463,1.031670,1.031670,12.762732,115.979929,103.217196
1,16,659,10544,13.364135,1.027982,1.027982,13.345554,114.690047,101.344493
1,16,1255,20080,14.293472,1.054178,1.054178,14.297839,119.040022,104.742182
1,16,1535,24560,14.584023,1.065607,1.065607,13.127134,120.359939,107.232805
1,16,1887,30192,14.881879,1.096018,1.096018,12.593134,119.309989,106.716855
1,16,2232,35712,15.124121,1.104419,1.104419,12.788000,118.030002,105.242002
1,16,2665,42640,15.379920,1.122777,1.122777,11.812562,115.270028,103.457465
1,16,3083,49328,15.590119,1.178687,1.178687,11.978581,117.509975,105.531394
1,16,8979,143664,17.132339,1.561277,1.561277,13.748553,115.900068,102.151514
1,16,9371,149936,17.193987,1.562295,1.562295,13.243464,132.819987,119.576523
1,16,11455,183280,17.483690,1.802714,1.802714,13.605857,119.748991,106.143134
1,16,12530,200480,17.613099,1.843964,1.843964,13.345402,121.540041,108.194639
1,16,15615,249840,17.930645,2.037848,2.037848,13.787402,122.420024,108.632623
1,16,17811,284976,18.120481,2.245563,2.245563,13.684991,120.469951,106.784960
1,16,18962,303392,18.210824,2.291883,2.291883,14.362268,118.689029,104.326761
1,16,23057,368912,18.492917,2.609589,2.609589,14.833679,124.149956,109.316277
1,16,47251,756016,19.528057,4.311830,4.311830,15.731714,119.170058,103.438343
1,16,74917,1198672,20.193006,6.371982,6.371982,18.718580,122.240046,103.521466
1,16,80231,1283696,20.291872,6.625687,6.625687,18.149161,121.540041,103.390880
1,16,107984,1727744,20.720458,10.716554,10.716554,22.326438,125.179999,102.853561
