d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.818982,0.818982,13.889286,128.159998,114.270712
1,1,16,16,4.000000,0.818572,0.818572,13.253312,126.980012,113.726700
1,1,18,18,4.169925,0.818206,0.818206,13.226411,129.849999,116.623589
1,1,25,25,4.643856,0.855313,0.855313,15.306857,126.259984,110.953127
1,1,40,40,5.321928,0.818562,0.818562,13.806134,125.569990,111.763856
1,1,61,61,5.930737,0.844045,0.844045,13.312580,128.589920,115.277339
1,1,87,87,6.442943,0.829268,0.829268,15.684705,135.269947,119.585242
1,1,102,102,6.672425,0.818714,0.818714,13.007018,131.770037,118.763019
1,1,120,120,6.906891,0.825420,0.825420,13.354313,127.189909,113.835597
1,1,157,157,7.294621,0.841750,0.841750,12.811286,125.639956,112.828670
1,1,354,354,8.467606,0.870267,0.870267,15.566384,126.180006,110.613622
1,1,1138,1138,10.152285,0.890026,0.890026,13.341697,131.009961,117.668265
1,1,1470,1470,10.521600,0.890875,0.890875,14.638875,133.869937,119.231062
1,1,1753,1753,10.775610,0.882428,0.882428,13.226286,125.449034,112.222749
1,1,1915,1915,10.903129,0.879045,0.879045,13.041143,128.280022,115.238879
1,1,2151,2151,11.070792,0.885697,0.885697,15.739741,125.079998,109.340257
1,1,2887,2887,11.495355,0.946500,0.946500,15.903562,128.920074,113.016511
1,1,3457,3457,11.755305,0.932777,0.932777,13.325697,128.059997,114.734301
1,1,5671,5671,12.469387,1.004000,1.004000,15.068857,127.300038,112.231181
1,1,27859,27859,14.765856,1.355027,1.355027,14.276286,125.939958,111.663672
1,1,58917,58917,15.846396,1.859884,1.859884,14.530839,125.959981,111.429142
1,1,60577,60577,15.886483,1.889295,1.889295,14.555116,127.371051,112.815935
1,1,109348,109348,16.738567,2.633330,2.633330,17.844857,129.568973,111.724116
1,1,159502,159502,17.283215,3.384125,3.384125,16.468866,132.799963,116.331097
1,2,7734,15468,13.916999,0.978143,0.978143,13.900696,126.940082,113.039386
1,8,10,80,6.321928,0.863732,0.863732,14.982125,129.739987,114.757862
1,8,18,144,7.169925,0.843322,0.843322,15.043428,125.179999,110.136570
1,8,44,352,8.459432,0.841286,0.841286,13.754589,129.270018,115.515429
1,8,48,384,8.584963,0.830330,0.830330,16.084839,127.280015,111.195175
1,8,53,424,8.727920,0.847705,0.847705,15.488134,127.199921,111.711787
1,8,116,928,9.857981,0.831152,0.831152,13.309991,126.719940,113.409949
1,8,124,992,9.954196,0.830777,0.830777,12.532018,128.669897,116.137879
1,8,218,1744,10.768184,0.887411,0.887411,12.303714,126.680010,114.376296
1,8,281,2248,11.134426,0.902857,0.902857,14.541553,127.019943,112.478389
1,8,395,3160,11.625709,0.866009,0.866009,14.215464,132.889953,118.674488
1,8,425,3400,11.731319,0.907571,0.907571,16.839304,129.990047,113.150743
1,8,487,3896,11.927778,0.899589,0.899589,14.333875,128.040090,113.706215
1,8,553,4424,12.111136,0.915187,0.915187,13.273982,128.439977,115.165995
1,8,848,6784,12.727920,0.935160,0.935160,14.148598,180.109986,165.961388
1,8,921,7368,12.847057,0.923402,0.923402,13.417420,162.679935,149.262515
1,8,1572,12576,13.618386,0.976170,0.976170,16.016384,150.709995,134.693611
1,8,5534,44272,15.434107,1.169830,1.169830,13.359250,125.910039,112.550789
1,8,7159,57272,15.805542,1.301678,1.301678,14.867750,128.109939,113.242190
1,8,8659,69272,16.079985,1.368161,1.368161,15.032018,126.900035,111.868017
1,8,18677,149416,17.188975,1.850608,1.850608,16.376589,127.359992,110.983403
1,8,19347,154776,17.239822,1.926553,1.926553,14.080955,127.520063,113.439108
1,8,23842,190736,17.541218,2.161732,2.161732,14.236312,159.540097,145.303785
1,8,27070,216560,17.724407,2.282741,2.282741,15.998456,129.600056,113.601600
