d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.926116,0.926116,17.485027,124.979997,107.494970
1,1,16,16,4.000000,0.926286,0.926286,14.920571,128.760003,113.839431
1,1,18,18,4.169925,0.927830,0.927830,16.083848,129.970955,113.887106
1,1,25,25,4.643856,0.925982,0.925982,15.418875,125.310034,109.891160
1,1,40,40,5.321928,0.944392,0.944392,17.357018,126.759987,109.402970
1,1,61,61,5.930737,0.926535,0.926535,16.368893,133.899972,117.531079
1,1,87,87,6.442943,0.926250,0.926250,15.376411,127.759995,112.383584
1,1,102,102,6.672425,0.936991,0.936991,17.121000,127.729028,110.608028
1,1,120,120,6.906891,0.925464,0.925464,15.279893,129.730091,114.450199
1,1,157,157,7.294621,0.952973,0.952973,18.277849,137.820025,119.542176
1,1,354,354,8.467606,1.038848,1.038848,16.034312,127.570005,111.535693
1,1,1138,1138,10.152285,1.358554,1.358554,17.400571,130.848959,113.448388
1,1,1470,1470,10.521600,1.451160,1.451160,17.703268,134.679954,116.976686
1,1,1753,1753,10.775610,1.545303,1.545303,17.241125,132.840010,115.598885
1,1,1915,1915,10.903129,1.631580,1.631580,15.163143,129.939988,114.776845
1,1,2151,2151,11.070792,1.740402,1.740402,15.053018,129.329972,114.276954
1,1,2887,2887,11.495355,2.027152,2.027152,18.070848,135.679962,117.609114
1,1,3457,3457,11.755305,2.193250,2.193250,17.508580,129.210064,111.701484
1,1,5671,5671,12.469387,3.055759,3.055759,17.321857,128.819956,111.498100
1,1,27859,27859,14.765856,11.242589,11.242589,25.705893,137.350988,111.645095
1,1,58917,58917,15.846396,22.657053,22.657053,37.636411,151.449000,113.812589
1,1,60577,60577,15.886483,23.225723,23.225723,39.447304,151.910004,112.462701
1,1,109348,109348,16.738567,41.283679,41.283679,57.285723,189.449987,132.164264
1,1,159502,159502,17.283215,59.919313,59.919313,76.356295,188.610051,112.253756
1,2,7734,15468,13.916999,3.806572,3.806572,19.246616,128.370011,109.123395
1,8,10,80,6.321928,0.939009,0.939009,15.175125,129.849999,114.674874
1,8,18,144,7.169925,0.955276,0.955276,16.731571,129.289925,112.558354
1,8,44,352,8.459432,0.970822,0.970822,17.797580,130.309025,112.511444
1,8,48,384,8.584963,0.939714,0.939714,17.277544,133.379945,116.102400
1,8,53,424,8.727920,0.937472,0.937472,16.868304,126.129948,109.261644
1,8,116,928,9.857981,0.937571,0.937571,16.030705,125.680002,109.649297
1,8,124,992,9.954196,0.953411,0.953411,16.160750,123.300008,107.139257
1,8,218,1744,10.768184,0.970803,0.970803,15.978313,125.209917,109.231605
1,8,281,2248,11.134426,1.054688,1.054688,14.319696,122.950063,108.630367
1,8,395,3160,11.625709,1.062991,1.062991,19.340580,130.830915,111.490334
1,8,425,3400,11.731319,1.089482,1.089482,18.683482,128.629967,109.946484
1,8,487,3896,11.927778,1.087581,1.087581,15.437437,129.169086,113.731649
1,8,553,4424,12.111136,1.177803,1.177803,15.411259,121.759949,106.348690
1,8,848,6784,12.727920,1.276036,1.276036,16.341420,125.440070,109.098651
1,8,921,7368,12.847057,1.271286,1.271286,16.801143,123.649952,106.848809
1,8,1572,12576,13.618386,1.584366,1.584366,16.449884,125.520048,109.070164
1,8,5534,44272,15.434107,3.143143,3.143143,18.631429,131.551060,112.919631
1,8,7159,57272,15.805542,3.752277,3.752277,18.189571,128.569896,110.380325
1,8,8659,69272,16.079985,4.328152,4.328152,23.943027,143.120065,119.177038
1,8,18677,149416,17.188975,8.200526,8.200526,22.352589,139.959971,117.607382
1,8,19347,154776,17.239822,8.507554,8.507554,23.712857,130.219967,106.507110
1,8,23842,190736,17.541218,10.310250,10.310250,26.603553,138.900010,112.296456
1,8,27070,216560,17.724407,11.584027,11.584027,24.970170,137.220020,112.249851
