d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.206277,1.206277,12.724161,135.539914,122.815754
1,1,16,16,4.000000,1.214786,1.214786,11.926688,135.720009,123.793321
1,1,18,18,4.169925,1.243357,1.243357,13.230580,135.660055,122.429475
1,1,25,25,4.643856,1.205714,1.205714,12.176714,137.660070,125.483356
1,1,40,40,5.321928,1.226634,1.226634,12.078732,134.530012,122.451280
1,1,61,61,5.930737,1.221536,1.221536,11.833473,141.049968,129.216495
1,1,87,87,6.442943,1.240759,1.240759,12.380419,136.340037,123.959617
1,1,102,102,6.672425,1.252777,1.252777,12.399098,141.830067,129.430969
1,1,120,120,6.906891,1.207072,1.207072,12.533259,209.319987,196.786728
1,1,157,157,7.294621,0.879571,0.879571,11.699571,134.280068,122.580496
1,1,354,354,8.467606,0.900000,0.900000,12.115241,133.709982,121.594741
1,1,1138,1138,10.152285,0.904446,0.904446,12.242143,137.688941,125.446798
1,1,1470,1470,10.521600,0.977116,0.977116,12.543839,136.250048,123.706209
1,1,1753,1753,10.775610,0.953589,0.953589,14.079125,140.850083,126.770958
1,1,1915,1915,10.903129,0.916893,0.916893,12.413545,140.459975,128.046431
1,1,2151,2151,11.070792,0.942866,0.942866,11.794714,137.080089,125.285375
1,1,2887,2887,11.495355,0.975973,0.975973,13.167875,137.510011,124.342136
1,1,3457,3457,11.755305,0.992643,0.992643,12.607696,135.640032,123.032335
1,1,5671,5671,12.469387,1.027554,1.027554,12.495000,133.270049,120.775049
1,1,27859,27859,14.765856,1.573464,1.573464,10.033813,137.830037,127.796224
1,1,58917,58917,15.846396,2.293018,2.293018,13.567705,137.619907,124.052202
1,1,60577,60577,15.886483,2.323026,2.323026,14.662410,139.879994,125.217584
1,1,109348,109348,16.738567,3.493286,3.493286,13.865563,138.800009,124.934447
1,1,159502,159502,17.283215,4.723750,4.723750,15.194125,141.349970,126.155845
1,2,7734,15468,13.916999,1.071598,1.071598,11.916696,135.899987,123.983291
1,8,10,80,6.321928,0.852473,0.852473,11.727384,135.960057,124.232674
1,8,18,144,7.169925,0.875268,0.875268,11.896009,134.859933,122.963924
1,8,44,352,8.459432,0.858750,0.858750,11.589580,135.299983,123.710402
1,8,48,384,8.584963,0.893178,0.893178,11.682982,135.389972,123.706989
1,8,53,424,8.727920,0.847625,0.847625,11.252000,137.479976,126.227976
1,8,116,928,9.857981,0.877134,0.877134,13.498178,139.010022,125.511844
1,8,124,992,9.954196,0.847304,0.847304,14.737866,138.180098,123.442232
1,8,218,1744,10.768184,0.975857,0.975857,12.801732,133.240013,120.438281
1,8,281,2248,11.134426,0.945438,0.945438,11.394000,133.589958,122.195958
1,8,395,3160,11.625709,0.896866,0.896866,14.495839,134.259928,119.764089
1,8,425,3400,11.731319,0.919554,0.919554,12.094848,135.689974,123.595125
