d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.856161,0.856161,14.849429,127.829961,112.980532
1,1,16,16,4.000000,0.830830,0.830830,16.639714,126.150087,109.510373
1,1,18,18,4.169925,0.839982,0.839982,15.159295,160.969910,145.810616
1,1,25,25,4.643856,0.835866,0.835866,16.102723,130.020082,113.917359
1,1,40,40,5.321928,0.830259,0.830259,15.144866,127.339968,112.195102
1,1,61,61,5.930737,0.830152,0.830152,13.964991,124.690006,110.725015
1,1,87,87,6.442943,0.830170,0.830170,13.813446,129.930093,116.116647
1,1,102,102,6.672425,0.830491,0.830491,14.494714,126.069994,111.575280
1,1,120,120,6.906891,0.830429,0.830429,14.190429,123.560079,109.369651
1,1,157,157,7.294621,0.870581,0.870581,14.251857,155.870104,141.618247
1,1,354,354,8.467606,0.868285,0.868285,14.950107,123.660080,108.709973
1,1,1138,1138,10.152285,0.902027,0.902027,14.627705,127.590960,112.963255
1,1,1470,1470,10.521600,0.911875,0.911875,14.916295,127.280015,112.363720
1,1,1753,1753,10.775610,0.926518,0.926518,16.964545,145.750004,128.785459
1,1,1915,1915,10.903129,0.916813,0.916813,14.819705,124.710961,109.891256
1,1,2151,2151,11.070792,0.926428,0.926428,15.713572,123.290927,107.577355
1,1,2887,2887,11.495355,0.948679,0.948679,16.638303,127.949985,111.311681
1,1,3457,3457,11.755305,0.930259,0.930259,15.052304,126.369996,111.317692
1,1,5671,5671,12.469387,0.970054,0.970054,14.872134,127.839972,112.967838
1,1,27859,27859,14.765856,1.405848,1.405848,16.551545,128.270010,111.718466
1,1,58917,58917,15.846396,1.953313,1.953313,15.632973,127.429026,111.796053
1,1,60577,60577,15.886483,2.035670,2.035670,15.400143,128.579908,113.179765
1,1,109348,109348,16.738567,2.819411,2.819411,17.021554,131.239998,114.218445
1,1,159502,159502,17.283215,3.719545,3.719545,17.891598,131.840003,113.948405
1,2,7734,15468,13.916999,0.991822,0.991822,14.233321,129.710999,115.477678
1,8,10,80,6.321928,0.868580,0.868580,14.506697,126.249972,111.743275
1,8,18,144,7.169925,0.851857,0.851857,14.405125,125.578954,111.173829
1,8,44,352,8.459432,0.874402,0.874402,18.078161,133.010093,114.931933
1,8,48,384,8.584963,0.838455,0.838455,14.769286,125.759980,110.990694
1,8,53,424,8.727920,0.858964,0.858964,14.093464,138.220028,124.126564
1,8,116,928,9.857981,0.838750,0.838750,16.870723,131.909037,115.038314
1,8,124,992,9.954196,0.851285,0.851285,14.096125,127.520063,113.423938
1,8,218,1744,10.768184,0.894580,0.894580,18.443536,127.510051,109.066516
1,8,281,2248,11.134426,0.894170,0.894170,15.948402,128.939981,112.991579
1,8,395,3160,11.625709,0.896634,0.896634,14.505599,127.920066,113.414467
1,8,425,3400,11.731319,0.902901,0.902901,14.091009,123.360078,109.269069
1,8,487,3896,11.927778,0.907447,0.907447,17.797420,125.279999,107.482580
1,8,553,4424,12.111136,0.925000,0.925000,16.133973,128.059997,111.926024
1,8,848,6784,12.727920,0.905188,0.905188,13.675438,125.509920,111.834482
1,8,921,7368,12.847057,0.936053,0.936053,15.088304,133.410911,118.322607
1,8,1572,12576,13.618386,0.931152,0.931152,13.929554,129.690976,115.761422
1,8,5534,44272,15.434107,1.122580,1.122580,17.197839,128.851039,111.653200
1,8,7159,57272,15.805542,1.195134,1.195134,14.649571,128.480024,113.830452
1,8,8659,69272,16.079985,1.283116,1.283116,14.279455,124.870101,110.590646
1,8,18677,149416,17.188975,1.653268,1.653268,14.787116,128.660002,113.872886
1,8,19347,154776,17.239822,1.688286,1.688286,17.826562,127.319945,109.493383
1,8,23842,190736,17.541218,1.855714,1.855714,14.472464,127.959996,113.487532
1,8,27070,216560,17.724407,2.010545,2.010545,16.410447,127.500040,111.089593
1,8,89778,718224,19.454074,4.470143,4.470143,17.652553,132.429996,114.777442
1,8,143046,1144368,20.126120,6.390054,6.390054,20.904286,129.849999,108.945714
