d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.841178,0.841178,13.474840,144.200050,130.725211
1,1,16,16,4.000000,0.839768,0.839768,16.000741,143.920071,127.919331
1,1,18,18,4.169925,0.839821,0.839821,14.157563,149.599975,135.442412
1,1,25,25,4.643856,0.843741,0.843741,15.317027,138.419913,123.102886
1,1,40,40,5.321928,0.840000,0.840000,13.416420,139.879994,126.463574
1,1,61,61,5.930737,0.857812,0.857812,14.518723,143.200043,128.681319
1,1,87,87,6.442943,0.840965,0.840965,12.811295,153.929926,141.118632
1,1,102,102,6.672425,0.840330,0.840330,16.591143,141.980010,125.388867
1,1,120,120,6.906891,0.856438,0.856438,14.370812,143.159996,128.789183
1,1,157,157,7.294621,0.863241,0.863241,14.420580,146.799954,132.379373
1,1,354,354,8.467606,0.859187,0.859187,14.881839,143.270008,128.388169
1,1,1138,1138,10.152285,0.896446,0.896446,14.456991,143.520068,129.063077
1,1,1470,1470,10.521600,0.917027,0.917027,13.205893,144.920079,131.714186
1,1,1753,1753,10.775610,0.918429,0.918429,15.565402,147.280050,131.714649
1,1,1915,1915,10.903129,0.918321,0.918321,14.605161,142.868957,128.263797
1,1,2151,2151,11.070792,0.955875,0.955875,14.014848,141.880009,127.865161
1,1,2887,2887,11.495355,0.946964,0.946964,13.752259,139.799085,126.046827
1,1,3457,3457,11.755305,0.948732,0.948732,15.308473,153.419911,138.111438
1,1,5671,5671,12.469387,1.010348,1.010348,14.570009,142.559991,127.989982
1,1,27859,27859,14.765856,1.607411,1.607411,15.518277,143.080018,127.561742
1,1,58917,58917,15.846396,2.097572,2.097572,14.706553,142.290024,127.583471
1,1,60577,60577,15.886483,2.111723,2.111723,14.957143,148.390071,133.432927
1,1,109348,109348,16.738567,3.152268,3.152268,19.443857,142.780016,123.336159
1,1,159502,159502,17.283215,4.025536,4.025536,17.357000,146.928942,129.571942
1,2,7734,15468,13.916999,1.082294,1.082294,19.954589,144.210062,124.255473
1,8,10,80,6.321928,0.849009,0.849009,17.182098,142.470002,125.287904
1,8,18,144,7.169925,0.870134,0.870134,13.038732,146.109960,133.071228
1,8,44,352,8.459432,0.848580,0.848580,14.528571,141.588971,127.060400
1,8,48,384,8.584963,0.857803,0.857803,14.156580,139.669981,125.513401
1,8,53,424,8.727920,0.848759,0.848759,14.128170,141.369062,127.240893
1,8,116,928,9.857981,0.869946,0.869946,14.096857,143.018900,128.922043
1,8,124,992,9.954196,0.848821,0.848821,13.622563,141.939963,128.317401
1,8,218,1744,10.768184,0.883277,0.883277,15.347125,142.251025,126.903900
1,8,281,2248,11.134426,0.901125,0.901125,13.134000,145.419966,132.285966
1,8,395,3160,11.625709,0.894553,0.894553,13.892009,141.420052,127.528043
1,8,425,3400,11.731319,0.893616,0.893616,13.474687,144.160003,130.685316
1,8,487,3896,11.927778,0.909589,0.909589,15.383143,142.039964,126.656821
1,8,553,4424,12.111136,0.906170,0.906170,14.455277,142.580015,128.124738
1,8,848,6784,12.727920,0.931536,0.931536,16.471723,141.159981,124.688257
1,8,921,7368,12.847057,0.922134,0.922134,14.859590,142.470002,127.610413
1,8,1572,12576,13.618386,0.990518,0.990518,13.577161,141.710043,128.132882
1,8,5534,44272,15.434107,1.194696,1.194696,17.078125,142.391073,125.312947
1,8,7159,57272,15.805542,1.242589,1.242589,14.424312,170.059968,155.635655
1,8,8659,69272,16.079985,1.411482,1.411482,14.497571,143.739977,129.242406
1,8,18677,149416,17.188975,1.855250,1.855250,15.587545,146.150938,130.563394
1,8,19347,154776,17.239822,1.873911,1.873911,14.532036,148.930005,134.397969
1,8,23842,190736,17.541218,2.029741,2.029741,16.178705,152.360066,136.181360
1,8,27070,216560,17.724407,2.155714,2.155714,15.753598,142.819947,127.066349
1,8,89778,718224,19.454074,3.838875,3.838875,16.760741,144.139980,127.379239
1,8,143046,1144368,20.126120,5.477420,5.477420,18.515723,153.759960,135.244237
1,14,94,1316,10.361944,0.908706,0.908706,13.320741,139.819924,126.499183
1,15,5,75,6.228819,0.850848,0.850848,15.271410,144.760008,129.488597
1,16,8,128,7.000000,0.864911,0.864911,15.586419,145.590049,130.003630
1,16,10,160,7.321928,0.898777,0.898777,14.115589,143.709010,129.593421
1,16,15,240,7.906891,0.895893,0.895893,14.970705,140.890013,125.919308
1,16,25,400,8.643856,0.880357,0.880357,14.089455,144.049991,129.960536
1,16,63,1008,9.977280,0.885054,0.885054,14.807580,144.329970,129.522390
1,16,160,2560,11.321928,0.900563,0.900563,15.112982,153.770088,138.657106
1,16,182,2912,11.507795,0.893402,0.893402,15.422295,147.340004,131.917710
1,16,185,2960,11.531381,0.884366,0.884366,14.547420,152.320019,137.772599
1,16,237,3792,11.888743,0.904857,0.904857,14.390125,167.999999,153.609874
1,16,277,4432,12.113742,0.957759,0.957759,12.894866,147.890067,134.995201
1,16,293,4688,12.194757,0.917696,0.917696,14.513295,143.049983,128.536689
1,16,341,5456,12.413628,0.903303,0.903303,15.096848,148.440013,133.343165
1,16,436,6976,12.768184,0.933581,0.933581,14.165991,142.900040,128.734050
1,16,438,7008,12.774787,0.916464,0.916464,17.221170,144.149992,126.928822
1,16,483,7728,12.915879,0.913053,0.913053,15.091116,140.840071,125.748955
1,16,544,8704,13.087463,0.933965,0.933965,14.331598,142.910052,128.578454
1,16,659,10544,13.364135,0.936554,0.936554,14.705866,142.880017,128.174151
1,16,1255,20080,14.293472,1.022911,1.022911,14.481152,147.950021,133.468869
1,16,1535,24560,14.584023,1.045598,1.045598,17.784562,150.131062,132.346499
1,16,1887,30192,14.881879,1.081009,1.081009,16.091741,142.120058,126.028317
1,16,2232,35712,15.124121,1.111447,1.111447,16.518027,146.880047,130.362021
1,16,2665,42640,15.379920,1.184428,1.184428,14.190304,145.800062,131.609759
1,16,3083,49328,15.590119,1.261321,1.261321,14.968581,148.450024,133.481444
1,16,8979,143664,17.132339,1.771170,1.771170,14.894312,142.949983,128.055670
1,16,9371,149936,17.193987,1.801857,1.801857,15.115429,144.519960,129.404531
1,16,11455,183280,17.483690,1.967910,1.967910,13.945303,148.219988,134.274684
1,16,12530,200480,17.613099,2.104893,2.104893,16.213580,149.740023,133.526442
1,16,15615,249840,17.930645,2.399688,2.399688,17.021857,150.820008,133.798150
1,16,17811,284976,18.120481,2.647285,2.647285,18.367429,152.650056,134.282628
1,16,18962,303392,18.210824,2.729723,2.729723,17.649973,145.468977,127.819004
1,16,23057,368912,18.492917,3.132429,3.132429,17.090419,142.809935,125.719516
1,16,47251,756016,19.528057,3.930875,3.930875,17.678830,145.689934,128.011103
1,16,74917,1198672,20.193006,5.658420,5.658420,20.562000,150.388922,129.826922
1,16,80231,1283696,20.291872,6.931866,6.931866,23.683429,146.230916,122.547487
1,16,107984,1727744,20.720458,8.606580,8.606580,22.896839,149.400090,126.503251
1,16,133762,2140192,21.029309,10.214839,10.214839,24.058277,153.589994,129.531717
1,16,140423,2246768,21.099420,10.629723,10.629723,23.671991,154.751004,131.079013
1,17,39,663,9.372865,0.948875,0.948875,14.551277,143.798999,129.247723
1,23,32710,752330,19.521006,4.002366,4.002366,19.162705,152.138993,132.976288
1,38,693,26334,14.684639,1.075196,1.075196,14.546732,150.069944,135.523212
1,64,12,768,9.584963,0.905715,0.905715,13.081420,144.549995,131.468575
1,64,16,1024,10.000000,0.880036,0.880036,14.234000,143.420068,129.186068
1,64,41,2624,11.357552,0.913982,0.913982,13.553393,143.131008,129.577615
1,64,76,4864,12.247928,0.926438,0.926438,14.465866,144.430902,129.965036
1,64,78,4992,12.285402,0.950322,0.950322,14.452411,145.879923,131.427513
1,64,137,8768,13.098032,0.949286,0.949286,16.191125,141.029945,124.838820
