d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.207321,1.207321,13.413741,124.871032,111.457291
1,1,16,16,4.000000,1.208223,1.208223,11.615027,126.630068,115.015041
1,1,18,18,4.169925,1.207848,1.207848,11.797116,131.809968,120.012852
1,1,25,25,4.643856,1.238518,1.238518,11.424589,122.560072,111.135482
1,1,40,40,5.321928,1.224857,1.224857,11.958152,127.140083,115.181931
1,1,61,61,5.930737,1.247196,1.247196,10.180161,124.110025,113.929865
1,1,87,87,6.442943,1.202054,1.202054,16.035464,129.519962,113.484498
1,1,102,102,6.672425,1.200732,1.200732,11.325563,129.139982,117.814420
1,1,120,120,6.906891,1.207411,1.207411,11.159152,124.371029,113.211877
1,1,157,157,7.294621,0.868018,0.868018,11.217607,123.069971,111.852364
1,1,354,354,8.467606,0.858589,0.858589,11.527696,124.351005,112.823309
1,1,1138,1138,10.152285,0.948009,0.948009,11.481554,128.109939,116.628386
1,1,1470,1470,10.521600,0.942875,0.942875,13.430545,128.070009,114.639464
1,1,1753,1753,10.775610,0.942893,0.942893,9.343839,127.520063,118.176224
1,1,1915,1915,10.903129,0.947732,0.947732,11.362839,126.089901,114.727062
1,1,2151,2151,11.070792,0.948000,0.948000,10.160866,131.640001,121.479135
1,1,2887,2887,11.495355,0.983562,0.983562,12.048455,129.239983,117.191528
1,1,3457,3457,11.755305,1.043705,1.043705,11.347009,159.039977,147.692968
1,1,5671,5671,12.469387,1.087410,1.087410,12.432848,125.200022,112.767174
1,1,27859,27859,14.765856,1.758732,1.758732,12.148705,127.270003,115.121298
1,1,58917,58917,15.846396,2.506679,2.506679,10.751000,126.290019,115.539019
1,1,60577,60577,15.886483,2.574214,2.574214,12.573723,129.319960,116.746237
1,1,109348,109348,16.738567,3.902223,3.902223,16.215848,137.059949,120.844101
1,1,159502,159502,17.283215,5.152822,5.152822,16.184563,136.669958,120.485395
1,2,7734,15468,13.916999,1.082215,1.082215,10.551714,125.859980,115.308266
1,8,10,80,6.321928,0.847429,0.847429,11.049562,122.789992,111.740430
1,8,18,144,7.169925,0.856455,0.856455,11.366402,122.610014,111.243612
1,8,44,352,8.459432,0.853679,0.853679,11.220848,122.510013,111.289165
1,8,48,384,8.584963,0.878687,0.878687,14.052964,131.060020,117.007056
1,8,53,424,8.727920,0.878741,0.878741,10.825429,122.769969,111.944540
1,8,116,928,9.857981,0.856821,0.856821,10.922866,124.859973,113.937107
1,8,124,992,9.954196,0.861143,0.861143,11.962009,142.200035,130.238026
1,8,218,1744,10.768184,0.934456,0.934456,12.484884,122.720026,110.235143
1,8,281,2248,11.134426,0.949830,0.949830,10.872152,121.629913,110.757762
1,8,395,3160,11.625709,0.906696,0.906696,11.413000,123.769976,112.356976
1,8,425,3400,11.731319,0.910420,0.910420,11.033286,126.580009,115.546723
1,8,487,3896,11.927778,0.919803,0.919803,9.923295,123.890000,113.966706
1,8,553,4424,12.111136,0.927696,0.927696,10.771018,123.959966,113.188948
1,8,848,6784,12.727920,0.982179,0.982179,10.897866,126.359984,115.462118
1,8,921,7368,12.847057,0.992965,0.992965,10.441438,127.500040,117.058602
1,8,1572,12576,13.618386,0.979429,0.979429,12.108866,154.669979,142.561113
1,8,5534,44272,15.434107,1.236277,1.236277,11.263884,123.520033,112.256148
1,8,7159,57272,15.805542,1.306268,1.306268,14.085152,131.331035,117.245883
1,8,8659,69272,16.079985,1.349580,1.349580,11.508143,123.149948,111.641805
1,8,18677,149416,17.188975,1.982866,1.982866,13.635411,124.590006,110.954595
1,8,19347,154776,17.239822,2.062705,2.062705,10.788991,130.048953,119.259962
1,8,23842,190736,17.541218,2.223143,2.223143,12.376312,135.170063,122.793751
1,8,27070,216560,17.724407,2.450991,2.450991,12.810304,125.630992,112.820688
1,8,89778,718224,19.454074,5.726563,5.726563,15.800027,130.660017,114.859990
1,8,143046,1144368,20.126120,8.610991,8.610991,19.560009,129.709952,110.149943
1,14,94,1316,10.361944,0.923544,0.923544,10.851286,129.960012,119.108726
1,15,5,75,6.228819,0.857286,0.857286,9.702705,147.769926,138.067221
1,16,8,128,7.000000,0.839179,0.839179,11.076134,124.609913,113.533779
1,16,10,160,7.321928,0.994955,0.994955,11.162696,127.289910,116.127213
1,16,15,240,7.906891,0.954035,0.954035,9.655277,124.630053,114.974776
1,16,25,400,8.643856,0.922741,0.922741,11.400295,129.270018,117.869723
1,16,63,1008,9.977280,0.944544,0.944544,11.274009,123.840058,112.566049
1,16,160,2560,11.321928,0.909286,0.909286,12.470170,125.769991,113.299822
1,16,182,2912,11.507795,0.921866,0.921866,9.980429,124.339946,114.359517
1,16,185,2960,11.531381,0.911009,0.911009,10.860268,129.090040,118.229772
1,16,237,3792,11.888743,0.952429,0.952429,9.638286,123.388949,113.750663
1,16,277,4432,12.113742,0.924956,0.924956,10.673428,149.909989,139.236560
1,16,293,4688,12.194757,0.898062,0.898062,11.270822,123.948907,112.678085
1,16,341,5456,12.413628,0.928009,0.928009,12.265545,127.139967,114.874422
1,16,436,6976,12.768184,0.968428,0.968428,11.386732,129.260006,117.873274
1,16,438,7008,12.774787,0.945420,0.945420,11.453304,122.379977,110.926674
1,16,483,7728,12.915879,1.009339,1.009339,11.530438,127.670006,116.139568
1,16,544,8704,13.087463,0.948036,0.948036,11.274143,133.379945,122.105802
1,16,659,10544,13.364135,0.994375,0.994375,11.291723,124.260085,112.968362
