d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.201581,1.201581,8.130714,128.019950,119.889236
1,1,16,16,4.000000,1.201571,1.201571,7.769554,128.970016,121.200462
1,1,18,18,4.169925,1.206768,1.206768,8.274714,133.170979,124.896265
1,1,25,25,4.643856,1.218652,1.218652,8.486447,137.220020,128.733574
1,1,40,40,5.321928,1.199464,1.199464,7.669429,124.830054,117.160625
1,1,61,61,5.930737,1.228125,1.228125,7.694839,124.419923,116.725084
1,1,87,87,6.442943,1.206455,1.206455,8.904303,134.040019,125.135716
1,1,102,102,6.672425,1.230125,1.230125,9.223875,127.371051,118.147176
1,1,120,120,6.906891,1.214768,1.214768,9.691714,128.619955,118.928241
1,1,157,157,7.294621,0.868267,0.868267,8.493571,125.049963,116.556391
1,1,354,354,8.467606,0.863125,0.863125,9.087732,125.300023,116.212291
1,1,1138,1138,10.152285,0.896616,0.896616,8.266000,125.540071,117.274071
1,1,1470,1470,10.521600,0.958982,0.958982,8.446304,133.809983,125.363679
1,1,1753,1753,10.775610,0.992465,0.992465,8.369714,135.599985,127.230271
1,1,1915,1915,10.903129,0.914134,0.914134,7.887018,124.599901,116.712883
1,1,2151,2151,11.070792,0.971607,0.971607,7.835402,121.628982,113.793580
1,1,2887,2887,11.495355,0.977018,0.977018,8.994884,129.100052,120.105168
1,1,3457,3457,11.755305,1.028124,1.028124,7.829411,125.739956,117.910545
1,1,5671,5671,12.469387,1.082393,1.082393,8.184884,129.170017,120.985133
1,1,27859,27859,14.765856,1.697464,1.697464,7.975536,131.570036,123.594500
1,1,58917,58917,15.846396,2.521715,2.521715,11.491402,134.369940,122.878539
1,1,60577,60577,15.886483,2.502384,2.502384,8.888152,134.509057,125.620905
1,1,109348,109348,16.738567,3.928625,3.928625,10.947571,141.690020,130.742448
1,1,159502,159502,17.283215,5.223134,5.223134,12.869429,147.980056,135.110627
1,2,7734,15468,13.916999,1.127196,1.127196,7.603134,134.369009,126.765875
1,8,10,80,6.321928,0.863036,0.863036,7.201562,125.420047,118.218485
1,8,18,144,7.169925,0.856259,0.856259,8.210536,125.430059,117.219523
1,8,44,352,8.459432,0.853991,0.853991,7.356420,127.939973,120.583553
1,8,48,384,8.584963,0.862581,0.862581,8.614714,132.349902,123.735188
1,8,53,424,8.727920,0.839295,0.839295,7.496420,134.560047,127.063627
1,8,116,928,9.857981,0.840106,0.840106,7.121554,134.880072,127.758519
1,8,124,992,9.954196,0.873563,0.873563,8.095839,126.439962,118.344122
1,8,218,1744,10.768184,0.943456,0.943456,7.177438,136.889983,129.712545
1,8,281,2248,11.134426,0.952794,0.952794,8.010714,124.160084,116.149370
1,8,395,3160,11.625709,0.904455,0.904455,8.105857,125.210965,117.105108
1,8,425,3400,11.731319,0.886598,0.886598,7.773161,135.389972,127.616811
1,8,487,3896,11.927778,0.924108,0.924108,7.383589,124.420039,117.036450
1,8,553,4424,12.111136,0.939419,0.939419,7.831571,126.509927,118.678356
1,8,848,6784,12.727920,1.010839,1.010839,8.622705,125.859980,117.237275
1,8,921,7368,12.847057,0.977607,0.977607,7.971446,126.169994,118.198548
1,8,1572,12576,13.618386,1.020420,1.020420,9.077160,135.990907,126.913747
1,8,5534,44272,15.434107,1.222696,1.222696,8.609732,126.589905,117.980173
1,8,7159,57272,15.805542,1.338714,1.338714,8.349438,137.800002,129.450564
1,8,8659,69272,16.079985,1.355813,1.355813,8.425303,128.650106,120.224803
1,8,18677,149416,17.188975,1.953866,1.953866,8.262697,127.699925,119.437228
1,8,19347,154776,17.239822,1.998348,1.998348,9.450286,125.890016,116.439730
1,8,23842,190736,17.541218,2.214241,2.214241,8.911429,125.291059,116.379630
1,8,27070,216560,17.724407,2.363973,2.363973,10.203839,129.200052,118.996213
1,8,89778,718224,19.454074,5.761563,5.761563,13.385286,139.371026,125.985741
1,8,143046,1144368,20.126120,8.560500,8.560500,15.820545,131.070032,115.249487
1,14,94,1316,10.361944,0.940187,0.940187,10.366714,133.140013,122.773298
1,15,5,75,6.228819,0.864000,0.864000,7.502009,126.870000,119.367991
1,16,8,128,7.000000,0.841447,0.841447,7.021589,134.889968,127.868378
1,16,10,160,7.321928,0.954285,0.954285,7.627696,159.680028,152.052332
1,16,15,240,7.906891,0.945045,0.945045,7.315714,125.890947,118.575233
1,16,25,400,8.643856,0.960527,0.960527,7.471143,126.480008,119.008866
1,16,63,1008,9.977280,0.923000,0.923000,9.380741,128.900050,119.519309
1,16,160,2560,11.321928,0.893321,0.893321,7.691750,124.039943,116.348194
1,16,182,2912,11.507795,0.905562,0.905562,8.030750,136.219896,128.189147
1,16,185,2960,11.531381,0.927411,0.927411,7.862304,125.829945,117.967642
1,16,237,3792,11.888743,0.932419,0.932419,7.906696,125.529943,117.623247
1,16,277,4432,12.113742,0.895965,0.895965,10.381839,124.979997,114.598158
1,16,293,4688,12.194757,0.898125,0.898125,10.699295,126.580009,115.880714
1,16,341,5456,12.413628,0.936822,0.936822,13.046286,126.930070,113.883785
1,16,436,6976,12.768184,0.982196,0.982196,11.286732,124.160084,112.873352
1,16,438,7008,12.774787,0.990161,0.990161,8.308741,126.310042,118.001301
1,16,483,7728,12.915879,0.964384,0.964384,7.912884,157.239963,149.327079
1,16,544,8704,13.087463,0.986839,0.986839,7.667562,119.559933,111.892370
1,16,659,10544,13.364135,0.973795,0.973795,7.445286,120.830024,113.384738
1,16,1255,20080,14.293472,1.048357,1.048357,7.667286,120.489975,112.822689
1,16,1535,24560,14.584023,1.061295,1.061295,9.032009,118.689961,109.657952
1,16,1887,30192,14.881879,1.116857,1.116857,7.867473,132.390065,124.522592
1,16,2232,35712,15.124121,1.176982,1.176982,8.537179,123.400008,114.862830
1,16,2665,42640,15.379920,1.230768,1.230768,7.538893,118.809985,111.271092
1,16,3083,49328,15.590119,1.308429,1.308429,10.212259,142.059987,131.847728
1,16,8979,143664,17.132339,1.956277,1.956277,9.307161,121.430028,112.122867
