d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.223599,1.223599,12.576723,126.769999,114.193276
1,1,16,16,4.000000,1.208045,1.208045,11.968714,131.629989,119.661275
1,1,18,18,4.169925,1.225026,1.225026,12.088991,120.660057,108.571066
1,1,25,25,4.643856,1.224831,1.224831,12.012875,125.840073,113.827199
1,1,40,40,5.321928,1.216840,1.216840,13.096714,121.960067,108.863353
1,1,61,61,5.930737,1.225571,1.225571,11.778875,124.769984,112.991109
1,1,87,87,6.442943,1.244955,1.244955,18.364009,124.069978,105.705970
1,1,102,102,6.672425,1.209250,1.209250,12.635169,128.110987,115.475818
1,1,120,120,6.906891,1.201643,1.201643,12.736446,129.420077,116.683631
1,1,157,157,7.294621,0.885393,0.885393,12.053250,128.380023,116.326773
1,1,354,354,8.467606,0.883634,0.883634,11.863741,125.980005,114.116264
1,1,1138,1138,10.152285,0.910366,0.910366,12.440027,124.120037,111.680010
1,1,1470,1470,10.521600,0.963089,0.963089,14.124152,124.659971,110.535820
1,1,1753,1753,10.775610,0.941527,0.941527,12.730161,124.469982,111.739821
1,1,1915,1915,10.903129,0.923294,0.923294,12.272429,126.209110,113.936681
1,1,2151,2151,11.070792,0.952991,0.952991,11.462429,157.340080,145.877652
1,1,2887,2887,11.495355,0.999178,0.999178,13.140554,127.179897,114.039344
1,1,3457,3457,11.755305,1.025554,1.025554,12.338429,124.260085,111.921656
1,1,5671,5671,12.469387,1.024982,1.024982,12.016152,125.431106,113.414955
1,1,27859,27859,14.765856,1.634892,1.634892,13.526276,126.369996,112.843719
1,1,58917,58917,15.846396,2.448973,2.448973,14.331429,128.229964,113.898535
1,1,60577,60577,15.886483,2.459598,2.459598,20.345696,125.700026,105.354330
1,1,109348,109348,16.738567,3.687419,3.687419,14.881125,131.540000,116.658876
1,1,159502,159502,17.283215,4.964723,4.964723,16.778009,131.050008,114.271999
1,2,7734,15468,13.916999,1.129857,1.129857,12.266563,122.248894,109.982331
1,8,10,80,6.321928,0.856277,0.856277,11.789429,125.449966,113.660537
1,8,18,144,7.169925,0.881580,0.881580,12.361964,124.409911,112.047947
1,8,44,352,8.459432,0.857535,0.857535,11.443750,128.979911,117.536161
1,8,48,384,8.584963,0.856250,0.856250,16.134277,123.800011,107.665735
1,8,53,424,8.727920,0.849142,0.849142,13.798116,125.349965,111.551849
1,8,116,928,9.857981,0.866527,0.866527,10.197116,121.299992,111.102877
1,8,124,992,9.954196,0.849536,0.849536,9.312099,124.789891,115.477792
1,8,218,1744,10.768184,0.982902,0.982902,9.366563,121.339923,111.973360
1,8,281,2248,11.134426,0.911714,0.911714,8.673009,120.910001,112.236992
1,8,395,3160,11.625709,0.917009,0.917009,9.302991,151.910004,142.607013
1,8,425,3400,11.731319,0.888143,0.888143,9.162009,119.529897,110.367888
1,8,487,3896,11.927778,0.923295,0.923295,14.695152,152.088935,137.393783
1,8,553,4424,12.111136,0.927428,0.927428,10.375437,128.589920,118.214482
1,8,848,6784,12.727920,1.033143,1.033143,10.001321,122.408965,112.407643
1,8,921,7368,12.847057,0.976580,0.976580,9.908125,122.500001,112.591876
1,8,1572,12576,13.618386,1.048822,1.048822,9.989420,128.649990,118.660571
1,8,5534,44272,15.434107,1.216554,1.216554,10.018830,124.079990,114.061160
1,8,7159,57272,15.805542,1.315697,1.315697,10.620125,122.759957,112.139832
1,8,8659,69272,16.079985,1.334607,1.334607,9.072563,129.109947,120.037385
1,8,18677,149416,17.188975,1.949393,1.949393,10.940009,123.349950,112.409941
1,8,19347,154776,17.239822,1.973509,1.973509,10.767429,122.969970,112.202542
1,8,23842,190736,17.541218,2.216438,2.216438,11.296715,122.810015,111.513301
1,8,27070,216560,17.724407,2.396616,2.396616,9.478428,123.969978,114.491549
1,8,89778,718224,19.454074,5.711965,5.711965,14.238268,139.879994,125.641726
1,8,143046,1144368,20.126120,8.574589,8.574589,17.277303,127.639971,110.362667
1,14,94,1316,10.361944,0.929259,0.929259,8.657455,121.719902,113.062447
1,15,5,75,6.228819,0.840571,0.840571,8.646723,119.669945,111.023222
1,16,8,128,7.000000,0.860402,0.860402,12.273419,119.009987,106.736567
1,16,10,160,7.321928,0.928866,0.928866,9.489000,121.010002,111.521002
1,16,15,240,7.906891,0.955322,0.955322,9.922268,129.049993,119.127726
1,16,25,400,8.643856,0.949455,0.949455,9.963268,121.899997,111.936729
1,16,63,1008,9.977280,0.949705,0.949705,9.462027,131.159904,121.697878
1,16,160,2560,11.321928,0.898402,0.898402,9.160589,122.610014,113.449425
1,16,182,2912,11.507795,0.905464,0.905464,9.239411,119.320001,110.080590
1,16,185,2960,11.531381,0.889375,0.889375,8.918572,126.019935,117.101364
1,16,237,3792,11.888743,0.938304,0.938304,10.913893,128.109939,117.196046
1,16,277,4432,12.113742,0.897884,0.897884,10.054545,132.809975,122.755430
1,16,293,4688,12.194757,0.956349,0.956349,10.521286,121.899997,111.378711
1,16,341,5456,12.413628,0.897304,0.897304,9.280696,124.309910,115.029214
1,16,436,6976,12.768184,0.977036,0.977036,9.694714,120.979967,111.285252
1,16,438,7008,12.774787,0.989625,0.989625,15.022875,121.489982,106.467107
1,16,483,7728,12.915879,0.997732,0.997732,12.672411,131.170033,118.497622
1,16,544,8704,13.087463,0.972134,0.972134,13.952125,124.969985,111.017860
1,16,659,10544,13.364135,0.975732,0.975732,12.400545,130.000059,117.599514
1,16,1255,20080,14.293472,1.039295,1.039295,11.546571,135.290087,123.743516
1,16,1535,24560,14.584023,1.074428,1.074428,9.595447,124.129932,114.534486
1,16,1887,30192,14.881879,1.141455,1.141455,10.617143,121.510006,110.892863
1,16,2232,35712,15.124121,1.178866,1.178866,10.266741,127.949985,117.683244
1,16,2665,42640,15.379920,1.245268,1.245268,9.126429,123.049947,113.923519
1,16,3083,49328,15.590119,1.257973,1.257973,11.051545,126.569998,115.518453
1,16,8979,143664,17.132339,1.923402,1.923402,11.972009,121.199992,109.227983
1,16,9371,149936,17.193987,1.971786,1.971786,12.490304,121.560064,109.069760
1,16,11455,183280,17.483690,2.154000,2.154000,10.407420,122.500001,112.092582
1,16,12530,200480,17.613099,2.239161,2.239161,11.176000,124.269980,113.093980
1,16,15615,249840,17.930645,2.693973,2.693973,11.773250,128.130079,116.356829
1,16,17811,284976,18.120481,2.827598,2.827598,12.437563,124.900020,112.462457
1,16,18962,303392,18.210824,2.977152,2.977152,13.013384,122.349942,109.336558
1,16,23057,368912,18.492917,3.443152,3.443152,13.418134,138.628995,125.210861
1,16,47251,756016,19.528057,5.998563,5.998563,18.811152,126.259984,107.448832
1,16,74917,1198672,20.193006,8.945840,8.945840,17.400857,130.119966,112.719109
1,16,80231,1283696,20.291872,9.527571,9.527571,18.671018,129.060005,110.388987
1,16,107984,1727744,20.720458,12.426420,12.426420,20.712420,135.989976,115.277557
1,16,133762,2140192,21.029309,14.135036,14.135036,21.441411,134.820002,113.378592
1,16,140423,2246768,21.099420,14.818723,14.818723,24.328277,135.140028,110.811751
1,17,39,663,9.372865,0.924759,0.924759,9.051009,121.599995,112.548986
1,23,32710,752330,19.521006,6.247678,6.247678,16.041277,125.569990,109.528713
1,38,693,26334,14.684639,1.108580,1.108580,9.543428,120.699988,111.156559
1,64,12,768,9.584963,0.958116,0.958116,10.432009,123.350066,112.918057
1,64,16,1024,10.000000,0.925143,0.925143,10.084268,120.460056,110.375788
1,64,41,2624,11.357552,0.949125,0.949125,10.345277,123.569975,113.224698
1,64,76,4864,12.247928,0.962848,0.962848,9.034456,123.579986,114.545531
1,64,78,4992,12.285402,0.955268,0.955268,9.570848,121.420017,111.849168
1,64,137,8768,13.098032,1.037099,1.037099,9.509411,126.990024,117.480613
1,64,138,8832,13.108524,1.000420,1.000420,10.139723,126.130064,115.990341
1,64,645,41280,15.333155,1.301116,1.301116,9.119982,124.919927,115.799945
1,64,1002,64128,15.968667,1.358420,1.358420,9.780009,124.551007,114.770998
1,64,1025,65600,16.001408,1.367866,1.367866,9.614259,127.870007,118.255749
1,64,1130,72320,16.142107,1.410161,1.410161,10.505259,122.840051,112.334792
1,64,1961,125504,16.937374,1.830116,1.830116,10.551250,119.249918,108.698668
1,64,3389,216896,17.726644,2.380420,2.380420,11.317875,120.900106,109.582230
1,64,3494,223616,17.770664,2.431402,2.431402,10.691714,122.659956,111.968242
1,64,4137,264768,18.014369,2.838411,2.838411,15.064446,137.229916,122.165469
1,64,4919,314816,18.264149,3.072857,3.072857,15.334134,128.380023,113.045889
1,64,12279,785856,19.583905,6.266875,6.266875,21.860464,132.779940,110.919476
1,64,14850,950400,19.858175,7.372322,7.372322,19.241000,131.971086,112.730086
1,64,15177,971328,19.889599,7.429464,7.429464,19.932839,133.930007,113.997168
1,64,21843,1397952,20.414883,10.263991,10.263991,21.201420,147.831044,126.629625
1,64,26648,1705472,20.701740,12.391134,12.391134,25.657000,142.619945,116.962945
1,64,44133,2824512,21.429570,18.420429,18.420429,29.195000,169.020030,139.825030
1,64,47390,3032960,21.532295,19.646822,19.646822,30.904125,140.440068,109.535943
1,64,54202,3468928,21.726058,22.486911,22.486911,33.914286,143.719953,109.805668
1,64,70342,4501888,22.102099,28.932696,28.932696,39.709572,175.280031,135.570459
1,64,91122,5831808,22.475512,37.143295,37.143295,50.146420,162.280048,112.133629
1,64,93296,5970944,22.509528,37.727982,37.727982,50.224303,165.060046,114.835743
1,64,108771,6961344,22.730934,43.896527,43.896527,55.248732,169.370091,114.121359
1,92,10719,986148,19.911445,7.871161,7.871161,19.064438,128.649059,109.584621
1,128,9,1152,10.169925,0.926170,0.926170,11.600732,127.710053,116.109321
1,128,10,1280,10.321928,0.923723,0.923723,11.384589,123.040052,111.655463
