d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.840473,0.840473,16.343554,140.539953,124.196399
1,1,16,16,4.000000,0.840000,0.840000,17.969705,138.569972,120.600267
1,1,18,18,4.169925,0.821724,0.821724,16.012580,138.228992,122.216412
1,1,25,25,4.643856,0.848196,0.848196,16.117134,143.459998,127.342864
1,1,40,40,5.321928,0.822920,0.822920,18.307455,139.890006,121.582551
1,1,61,61,5.930737,0.822571,0.822571,15.317714,141.729950,126.412236
1,1,87,87,6.442943,0.822687,0.822687,16.926438,139.329000,122.402563
1,1,102,102,6.672425,0.822866,0.822866,18.207286,140.740070,122.532785
1,1,120,120,6.906891,0.837902,0.837902,16.377982,139.840064,123.462081
1,1,157,157,7.294621,0.863000,0.863000,19.312027,142.659992,123.347965
1,1,354,354,8.467606,0.853857,0.853857,17.798938,139.530050,121.731112
1,1,1138,1138,10.152285,0.878509,0.878509,16.433554,141.080003,124.646450
1,1,1470,1470,10.521600,0.889848,0.889848,18.192259,140.800024,122.607766
1,1,1753,1753,10.775610,0.876786,0.876786,15.644402,138.250063,122.605662
1,1,1915,1915,10.903129,0.930714,0.930714,16.158857,142.719946,126.561089
1,1,2151,2151,11.070792,0.890116,0.890116,16.405304,139.790005,123.384701
1,1,2887,2887,11.495355,0.921652,0.921652,16.823723,140.339951,123.516228
1,1,3457,3457,11.755305,0.926089,0.926089,16.327455,137.869967,121.542512
1,1,5671,5671,12.469387,0.963750,0.963750,15.714679,167.030026,151.315348
1,1,27859,27859,14.765856,1.414857,1.414857,17.246429,143.509940,126.263512
1,1,58917,58917,15.846396,1.927589,1.927589,16.790723,139.529933,122.739210
1,1,60577,60577,15.886483,1.964723,1.964723,17.042268,139.159965,122.117697
1,1,109348,109348,16.738567,2.759018,2.759018,19.716295,173.259992,153.543697
1,1,159502,159502,17.283215,3.578554,3.578554,20.954857,143.620069,122.665212
1,2,7734,15468,13.916999,1.014929,1.014929,17.026438,144.949998,127.923560
1,8,10,80,6.321928,0.840116,0.840116,15.622839,140.068936,124.446097
1,8,18,144,7.169925,0.849107,0.849107,16.338295,139.890006,123.551711
1,8,44,352,8.459432,0.830696,0.830696,17.126598,137.860072,120.733473
1,8,48,384,8.584963,0.835205,0.835205,17.556714,139.290001,121.733287
1,8,53,424,8.727920,0.830214,0.830214,16.535295,187.900034,171.364739
1,8,116,928,9.857981,0.839438,0.839438,15.544134,129.480031,113.935898
1,8,124,992,9.954196,0.873196,0.873196,15.938973,127.400039,111.461066
1,8,218,1744,10.768184,0.862473,0.862473,16.327411,125.729013,109.401603
1,8,281,2248,11.134426,0.876598,0.876598,14.223437,123.610022,109.386584
1,8,395,3160,11.625709,0.874732,0.874732,14.303705,126.190018,111.886313
1,8,425,3400,11.731319,0.911160,0.911160,13.686410,126.710976,113.024566
1,8,487,3896,11.927778,0.867125,0.867125,14.379259,124.270096,109.890838
1,8,553,4424,12.111136,0.949330,0.949330,13.623607,131.159904,117.536297
1,8,848,6784,12.727920,0.911250,0.911250,14.751295,132.719986,117.968692
1,8,921,7368,12.847057,0.908357,0.908357,13.195848,126.119936,112.924087
1,8,1572,12576,13.618386,0.922232,0.922232,17.210294,125.730061,108.519767
1,8,5534,44272,15.434107,1.083839,1.083839,14.049241,135.589973,121.540732
1,8,7159,57272,15.805542,1.144161,1.144161,14.088857,127.449050,113.360193
1,8,8659,69272,16.079985,1.241571,1.241571,15.587866,124.569982,108.982116
1,8,18677,149416,17.188975,1.597330,1.597330,14.576134,126.089901,111.513767
1,8,19347,154776,17.239822,1.628732,1.628732,14.520161,126.870000,112.349839
1,8,23842,190736,17.541218,1.798250,1.798250,14.964420,127.680018,112.715598
1,8,27070,216560,17.724407,1.875286,1.875286,16.849589,127.749983,110.900394
1,8,89778,718224,19.454074,4.098732,4.098732,17.371697,137.620023,120.248327
1,8,143046,1144368,20.126120,6.050295,6.050295,20.580706,129.919965,109.339259
1,14,94,1316,10.361944,0.865572,0.865572,14.212143,127.250096,113.037953
1,15,5,75,6.228819,0.847018,0.847018,14.134866,125.400024,111.265158
1,16,8,128,7.000000,0.844437,0.844437,14.435152,124.611077,110.175925
1,16,10,160,7.321928,0.876187,0.876187,15.097143,126.810046,111.712903
1,16,15,240,7.906891,0.887580,0.887580,14.227000,129.720080,115.493080
1,16,25,400,8.643856,0.867679,0.867679,14.241571,126.708997,112.467426
1,16,63,1008,9.977280,0.896857,0.896857,14.224152,126.540079,112.315927
1,16,160,2560,11.321928,0.895911,0.895911,16.601286,125.079998,108.478712
1,16,182,2912,11.507795,0.860929,0.860929,14.130598,127.290026,113.159428
1,16,185,2960,11.531381,0.886116,0.886116,13.368982,123.120029,109.751047
1,16,237,3792,11.888743,0.891563,0.891563,14.681446,163.260032,148.578586
1,16,277,4432,12.113742,0.922125,0.922125,15.164455,126.351020,111.186565
1,16,293,4688,12.194757,0.880107,0.880107,14.500009,125.000020,110.500011
1,16,341,5456,12.413628,0.880205,0.880205,13.956295,134.569942,120.613647
1,16,436,6976,12.768184,0.919687,0.919687,17.430009,126.269995,108.839986
1,16,438,7008,12.774787,0.905857,0.905857,18.951580,125.680002,106.728422
1,16,483,7728,12.915879,0.888017,0.888017,14.643973,127.810054,113.166080
1,16,544,8704,13.087463,0.916303,0.916303,14.484009,126.459985,111.975976
1,16,659,10544,13.364135,0.925438,0.925438,14.897286,128.480024,113.582738
1,16,1255,20080,14.293472,0.975500,0.975500,15.994125,133.000081,117.005957
1,16,1535,24560,14.584023,0.984134,0.984134,14.656866,126.349973,111.693106
1,16,1887,30192,14.881879,1.053991,1.053991,13.374000,124.449958,111.075958
1,16,2232,35712,15.124121,1.045294,1.045294,14.836607,126.200030,111.363422
1,16,2665,42640,15.379920,1.113991,1.113991,14.699411,132.970046,118.270635
1,16,3083,49328,15.590119,1.164411,1.164411,16.196009,130.039989,113.843980
1,16,8979,143664,17.132339,1.624590,1.624590,16.334598,127.770007,111.435408
1,16,9371,149936,17.193987,1.578259,1.578259,13.987991,125.809922,111.821931
1,16,11455,183280,17.483690,1.759098,1.759098,15.594679,126.280007,110.685328
1,16,12530,200480,17.613099,1.863572,1.863572,14.583384,130.200060,115.616676
1,16,15615,249840,17.930645,2.047393,2.047393,14.765848,126.609928,111.844080
1,16,17811,284976,18.120481,2.255670,2.255670,16.951455,129.200052,112.248597
1,16,18962,303392,18.210824,2.289920,2.289920,15.122009,128.500047,113.378038
1,16,23057,368912,18.492917,2.665518,2.665518,16.032170,134.369940,118.337771
1,16,47251,756016,19.528057,4.384884,4.384884,20.015563,130.109955,110.094392
1,16,74917,1198672,20.193006,6.309322,6.309322,20.500723,131.031033,110.530310
1,16,80231,1283696,20.291872,6.764464,6.764464,19.631580,138.230040,118.598459
1,16,107984,1727744,20.720458,8.628312,8.628312,23.182875,134.570990,111.388115
1,16,133762,2140192,21.029309,10.516830,10.516830,24.456152,140.110031,115.653879
1,16,140423,2246768,21.099420,10.958973,10.958973,28.044268,135.328970,107.284702
1,17,39,663,9.372865,0.889973,0.889973,13.519955,126.040075,112.520120
1,23,32710,752330,19.521006,4.471143,4.471143,18.216411,128.019950,109.803540
1,38,693,26334,14.684639,1.029965,1.029965,15.334161,126.459985,111.125824
1,64,12,768,9.584963,0.883035,0.883035,14.138170,135.199982,121.061812
1,64,16,1024,10.000000,0.882447,0.882447,16.531009,125.290011,108.759002
1,64,41,2624,11.357552,0.894554,0.894554,16.515563,129.560009,113.044446
1,64,76,4864,12.247928,0.941741,0.941741,14.294018,126.688974,112.394956
1,64,78,4992,12.285402,0.899143,0.899143,14.289125,127.390027,113.100902
1,64,137,8768,13.098032,0.942554,0.942554,18.068134,126.120052,108.051919
1,64,138,8832,13.108524,0.994687,0.994687,14.430000,134.009984,119.579984
1,64,645,41280,15.333155,1.149178,1.149178,14.493884,128.760003,114.266119
1,64,1002,64128,15.968667,1.203714,1.203714,14.854125,128.448941,113.594816
1,64,1025,65600,16.001408,1.225187,1.225187,15.814857,127.259991,111.445134
1,64,1130,72320,16.142107,1.229705,1.229705,13.687134,129.499938,115.812804
1,64,1961,125504,16.937374,1.502188,1.502188,14.764000,128.669897,113.905897
1,64,3389,216896,17.726644,1.912125,1.912125,16.438464,130.100059,113.661595
1,64,3494,223616,17.770664,1.976688,1.976688,15.581875,128.071057,112.489181
1,64,4137,264768,18.014369,2.148152,2.148152,15.022714,130.339991,115.317277
1,64,4919,314816,18.264149,2.413446,2.413446,15.615572,131.899957,116.284385
1,64,12279,785856,19.583905,4.361589,4.361589,19.347991,132.229994,112.882003
1,64,14850,950400,19.858175,5.166572,5.166572,20.960848,131.599954,110.639106
1,64,15177,971328,19.889599,5.240437,5.240437,18.652161,134.860049,116.207888
1,64,21843,1397952,20.414883,7.218267,7.218267,21.220991,147.689949,126.468958
1,64,26648,1705472,20.701740,8.549536,8.549536,21.846000,131.840003,109.994003
1,64,44133,2824512,21.429570,12.589750,12.589750,30.123580,137.369032,107.245452
1,64,47390,3032960,21.532295,13.540429,13.540429,31.275429,140.019925,108.744497
1,64,54202,3468928,21.726058,14.672973,14.672973,28.470857,144.560006,116.089149
1,64,70342,4501888,22.102099,18.753777,18.753777,32.087303,143.029960,110.942656
1,64,91122,5831808,22.475512,24.153723,24.153723,37.725179,148.430001,110.704822
1,64,93296,5970944,22.509528,24.732545,24.732545,38.244580,150.259933,112.015353
1,64,108771,6961344,22.730934,28.627964,28.627964,41.380572,174.889923,133.509351
1,92,10719,986148,19.911445,5.610438,5.610438,19.634303,129.839987,110.205684
1,128,9,1152,10.169925,0.864196,0.864196,14.775420,125.559978,110.784558
1,128,10,1280,10.321928,0.884580,0.884580,15.210875,126.039959,110.829083
1,128,11,1408,10.459432,0.901161,0.901161,16.484991,126.819941,110.334950
1,128,17,2176,11.087463,0.906741,0.906741,13.467973,126.700033,113.232060
1,128,21,2688,11.392317,0.879589,0.879589,15.660134,127.119943,111.459809
1,128,31,3968,11.954196,0.897759,0.897759,16.591438,129.490043,112.898605
1,128,59,7552,12.882643,0.909688,0.909688,15.638268,129.139982,113.501714
1,128,217,27776,14.761551,1.004580,1.004580,15.091411,126.439962,111.348551
1,128,233,29824,14.864186,1.012116,1.012116,15.465696,127.530075,112.064378
1,128,320,40960,15.321928,1.128098,1.128098,15.220706,126.330066,111.109360
1,128,434,55552,15.761551,1.211562,1.211562,15.017839,132.450019,117.432180
1,128,448,57344,15.807355,1.188117,1.188117,14.711018,127.249979,112.538962
1,128,1883,241024,17.878817,2.081562,2.081562,16.900125,128.460000,111.559875
1,128,2274,291072,18.151017,2.342991,2.342991,16.391438,145.439990,129.048552
1,128,3125,400000,18.609640,2.725884,2.725884,15.417286,128.939981,113.522695
1,128,5232,669696,19.353147,4.005402,4.005402,17.460455,131.811015,114.350560
1,128,6775,867200,19.726005,4.919581,4.919581,17.556732,129.039981,111.483249
1,128,21380,2736640,21.383974,12.328607,12.328607,25.592027,138.669973,113.077946
1,128,22820,2920960,21.478011,12.953152,12.953152,25.975696,140.550081,114.574384
1,128,36669,4693632,22.162273,19.382214,19.382214,32.846812,149.119995,116.273182
1,128,83299,10662272,23.346012,43.487839,43.487839,56.757866,176.289934,119.532068
1,128,83605,10701440,23.351302,43.647840,43.647840,55.847455,166.699989,110.852533
1,128,92977,11901056,23.504586,48.382000,48.382000,61.671581,173.470005,111.798425
1,128,107486,13758208,23.713789,55.978447,55.978447,68.217964,183.959957,115.741993
1,128,130017,16642176,23.988341,67.566116,67.566116,82.303759,200.170092,117.866333
1,128,141033,18052224,24.105673,73.379706,73.379706,87.247304,197.020010,109.772706
1,169,12,2028,10.985842,0.876125,0.876125,14.715714,124.750077,110.034363
1,192,5,960,9.906891,0.862214,0.862214,14.557009,126.340077,111.783068
1,242,258,62436,15.930090,1.240830,1.240830,13.380562,128.739979,115.359417
1,256,10,2560,11.321928,0.873991,0.873991,15.255580,125.859980,110.604400
1,256,12,3072,11.584963,0.899760,0.899760,14.083134,129.619963,115.536829
1,256,25,6400,12.643856,0.898866,0.898866,14.127571,148.489024,134.361452
1,256,29,7424,12.857981,0.899866,0.899866,13.957125,125.351013,111.393888
1,256,37,9472,13.209453,0.923331,0.923331,13.509044,125.880004,112.370960
1,256,41,10496,13.357552,0.928634,0.928634,16.640152,126.420055,109.779903
1,256,55,14080,13.781360,0.926268,0.926268,14.675571,129.450113,114.774541
1,256,78,19968,14.285402,1.014125,1.014125,13.846268,126.410043,112.563775
1,256,196,50176,15.614710,1.196902,1.196902,14.728696,126.400031,111.671335
1,256,245,62720,15.936638,1.220107,1.220107,12.929411,128.249987,115.320576
1,256,251,64256,15.971544,1.218642,1.218642,14.693447,128.080021,113.386574
1,256,391,100096,16.611025,1.370750,1.370750,14.197973,125.700026,111.502053
1,256,469,120064,16.873444,1.497571,1.497571,14.242840,128.000043,113.757204
1,256,589,150784,17.202124,1.632259,1.632259,16.180286,130.319968,114.139682
1,256,735,188160,17.521600,1.814946,1.814946,14.271554,134.089962,119.818408
1,256,780,199680,17.607330,1.832420,1.832420,16.043178,126.720057,110.676878
1,256,859,219904,17.746514,1.941928,1.941928,15.477304,126.600033,111.122729
1,256,1252,320512,18.290019,2.384696,2.384696,15.712464,129.539985,113.827521
1,256,1456,372736,18.507795,2.616018,2.616018,20.060732,139.320036,119.259304
1,256,26331,6740736,22.684475,27.891259,27.891259,40.058884,154.559966,114.501082
1,256,34889,8931584,23.090485,36.300160,36.300160,53.177982,161.539996,108.362014
1,256,51706,13236736,23.658044,54.299170,54.299170,68.342714,176.579924,108.237210
1,481,4,1924,10.909893,0.877429,0.877429,17.848000,124.790007,106.942007
1,488,69,33672,15.039262,1.076393,1.076393,14.541563,128.439977,113.898414
1,512,11,5632,12.459432,0.908661,0.908661,14.637420,125.599909,110.962489
1,512,14,7168,12.807355,0.942277,0.942277,16.884848,125.639956,108.755107
1,512,15,7680,12.906891,0.902893,0.902893,19.695723,126.069994,106.374270
1,512,36,18432,14.169925,0.993821,0.993821,14.265429,124.790007,110.524578
1,512,44,22528,14.459432,0.985563,0.985563,16.400991,131.590059,115.189068
1,512,58,29696,14.857981,1.052446,1.052446,14.065724,129.039981,114.974258
1,512,62,31744,14.954196,1.022706,1.022706,15.904812,125.910970,110.006158
1,512,64,32768,15.000000,1.089312,1.089312,14.720696,124.300015,109.579319
1,512,115,58880,15.845490,1.203688,1.203688,15.353571,126.959989,111.606417
1,512,155,79360,16.276124,1.287116,1.287116,14.840116,128.019950,113.179834
1,512,220,112640,16.781360,1.450375,1.450375,15.322429,128.980028,113.657599
1,512,227,116224,16.826548,1.499250,1.499250,14.206598,126.689090,112.482492
1,512,248,126976,16.954196,1.527169,1.527169,15.264741,127.190026,111.925284
1,512,326,166912,17.348728,1.657991,1.657991,14.362839,129.889930,115.527090
1,512,425,217600,17.731319,1.975991,1.975991,15.332143,127.939973,112.607830
1,512,492,251904,17.942515,2.071705,2.071705,15.992295,127.439969,111.447675
1,512,505,258560,17.980140,2.187777,2.187777,15.769866,127.089908,111.320042
1,512,1162,594944,19.182394,3.716866,3.716866,18.297848,128.950924,110.653075
1,512,1765,903680,19.785452,5.059286,5.059286,18.111313,131.259090,113.147778
1,512,2573,1317376,20.329236,7.118500,7.118500,20.249116,134.269940,114.020824
1,512,3305,1692160,20.690435,9.003849,9.003849,22.272607,135.599985,113.327378
1,512,4297,2200064,21.069114,11.352384,11.352384,24.265152,149.409985,125.144833
1,512,4379,2242048,21.096386,11.645679,11.645679,24.139420,136.100105,111.960685
1,512,4765,2439680,21.218260,12.542116,12.542116,25.781241,137.069961,111.288720
1,512,9846,5041152,22.265322,20.793098,20.793098,33.796571,145.409955,111.613383
