d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.851563,0.851563,13.738125,143.709942,129.971817
1,1,16,16,4.000000,0.824562,0.824562,14.533562,146.949897,132.416334
1,1,18,18,4.169925,0.823884,0.823884,14.780455,145.719969,130.939513
1,1,25,25,4.643856,0.826134,0.826134,13.239562,141.929951,128.690389
1,1,40,40,5.321928,0.824402,0.824402,13.452295,138.620031,125.167736
1,1,61,61,5.930737,0.824714,0.824714,14.219884,142.140081,127.920197
1,1,87,87,6.442943,0.824277,0.824277,14.351706,142.370001,128.018296
1,1,102,102,6.672425,0.843116,0.843116,12.778125,143.240090,130.461965
1,1,120,120,6.906891,0.824723,0.824723,14.830884,144.119957,129.289073
1,1,157,157,7.294621,0.847286,0.847286,14.595580,145.119964,130.524384
1,1,354,354,8.467606,0.856250,0.856250,13.151982,155.440066,142.288084
1,1,1138,1138,10.152285,0.891107,0.891107,13.978446,143.509940,129.531494
1,1,1470,1470,10.521600,0.882143,0.882143,14.158125,163.819990,149.661865
1,1,1753,1753,10.775610,0.901812,0.901812,13.183866,145.899947,132.716081
1,1,1915,1915,10.903129,0.902758,0.902758,14.858688,141.359982,126.501294
1,1,2151,2151,11.070792,0.904616,0.904616,13.720964,149.210100,135.489136
1,1,2887,2887,11.495355,0.940723,0.940723,15.147714,149.050029,133.902315
1,1,3457,3457,11.755305,0.906277,0.906277,14.291134,144.600053,130.308919
1,1,5671,5671,12.469387,0.950018,0.950018,15.180562,144.119957,128.939394
1,1,27859,27859,14.765856,1.385259,1.385259,15.114687,141.959987,126.845299
1,1,58917,58917,15.846396,1.826991,1.826991,15.084268,142.209930,127.125663
1,1,60577,60577,15.886483,1.889688,1.889688,15.356857,144.310994,128.954137
1,1,109348,109348,16.738567,2.292973,2.292973,15.128438,141.640077,126.511640
1,1,159502,159502,17.283215,2.801286,2.801286,16.883000,154.729001,137.846001
1,2,7734,15468,13.916999,1.002464,1.002464,16.952973,148.060033,131.107060
1,8,10,80,6.321928,0.842402,0.842402,13.341991,142.030069,128.688078
1,8,18,144,7.169925,0.847554,0.847554,13.317857,145.070022,131.752165
1,8,44,352,8.459432,0.849589,0.849589,14.633875,148.709980,134.076105
1,8,48,384,8.584963,0.832893,0.832893,13.204982,143.509940,130.304958
1,8,53,424,8.727920,0.843294,0.843294,14.516866,147.329993,132.813127
1,8,116,928,9.857981,0.854544,0.854544,16.174294,144.940102,128.765808
1,8,124,992,9.954196,0.832553,0.832553,13.954322,141.439959,127.485638
1,8,218,1744,10.768184,0.865268,0.865268,14.420598,143.339974,128.919375
1,8,281,2248,11.134426,0.883545,0.883545,14.057526,142.699922,128.642396
1,8,395,3160,11.625709,0.918759,0.918759,13.850295,141.839031,127.988737
1,8,425,3400,11.731319,0.891696,0.891696,14.079286,143.731013,129.651727
1,8,487,3896,11.927778,0.890295,0.890295,15.046053,142.130069,127.084016
1,8,553,4424,12.111136,0.937419,0.937419,14.321875,150.860054,136.538179
1,8,848,6784,12.727920,0.911723,0.911723,14.314304,149.859930,135.545627
1,8,921,7368,12.847057,0.908723,0.908723,14.802018,145.650003,130.847985
1,8,1572,12576,13.618386,0.938527,0.938527,13.889571,145.309954,131.420383
1,8,5534,44272,15.434107,1.169607,1.169607,13.929045,141.999917,128.070872
1,8,7159,57272,15.805542,1.224285,1.224285,13.346009,146.569917,133.223908
1,8,8659,69272,16.079985,1.304634,1.304634,14.817152,148.369931,133.552779
1,8,18677,149416,17.188975,1.641652,1.641652,15.473411,143.340090,127.866680
1,8,19347,154776,17.239822,1.696000,1.696000,13.730438,142.430072,128.699634
1,8,23842,190736,17.541218,1.828009,1.828009,15.834554,141.208991,125.374438
1,8,27070,216560,17.724407,1.929545,1.929545,15.108697,147.650018,132.541322
1,8,89778,718224,19.454074,3.426553,3.426553,15.885857,144.920079,129.034222
1,8,143046,1144368,20.126120,5.042303,5.042303,18.382714,144.739985,126.357270
1,14,94,1316,10.361944,0.868054,0.868054,14.454741,144.879916,130.425175
1,15,5,75,6.228819,0.833143,0.833143,14.236027,146.360020,132.123993
1,16,8,128,7.000000,0.845446,0.845446,14.372170,144.279911,129.907741
1,16,10,160,7.321928,0.869054,0.869054,14.940178,141.889905,126.949726
1,16,15,240,7.906891,0.878892,0.878892,14.328143,141.600030,127.271888
1,16,25,400,8.643856,0.873688,0.873688,14.506589,143.120065,128.613476
1,16,63,1008,9.977280,0.868500,0.868500,14.062411,142.749981,128.687570
1,16,160,2560,11.321928,0.908518,0.908518,13.694884,142.980018,129.285134
1,16,182,2912,11.507795,0.903589,0.903589,14.507295,166.509999,152.002704
1,16,185,2960,11.531381,0.913429,0.913429,13.814304,145.639991,131.825688
1,16,237,3792,11.888743,0.885696,0.885696,14.735884,141.180004,126.444120
1,16,277,4432,12.113742,0.953544,0.953544,13.851339,155.080110,141.228771
1,16,293,4688,12.194757,0.884857,0.884857,13.896866,142.180012,128.283146
1,16,341,5456,12.413628,0.896535,0.896535,14.157589,144.769903,130.612314
1,16,436,6976,12.768184,0.913964,0.913964,13.519991,144.399935,130.879944
1,16,438,7008,12.774787,0.891277,0.891277,14.159429,142.980018,128.820589
1,16,483,7728,12.915879,0.889276,0.889276,14.048438,143.170008,129.121570
1,16,544,8704,13.087463,0.940411,0.940411,14.581464,146.880047,132.298583
1,16,659,10544,13.364135,0.966402,0.966402,14.170125,156.950089,142.779964
1,16,1255,20080,14.293472,0.957982,0.957982,14.262464,150.040025,135.777560
1,16,1535,24560,14.584023,0.996571,0.996571,14.488161,143.219950,128.731789
1,16,1887,30192,14.881879,1.072018,1.072018,14.367839,139.749958,125.382119
1,16,2232,35712,15.124121,1.097357,1.097357,14.420018,142.239965,127.819947
1,16,2665,42640,15.379920,1.118839,1.118839,13.874893,144.839054,130.964161
1,16,3083,49328,15.590119,1.235125,1.235125,14.157768,150.369946,136.212178
1,16,8979,143664,17.132339,1.624732,1.624732,14.501875,141.720055,127.218180
1,16,9371,149936,17.193987,1.665089,1.665089,15.236098,145.750004,130.513906
1,16,11455,183280,17.483690,1.825286,1.825286,15.232875,144.869904,129.637029
1,16,12530,200480,17.613099,1.938179,1.938179,15.012705,145.139988,130.127282
1,16,15615,249840,17.930645,2.163009,2.163009,14.626696,143.809943,129.183246
1,16,17811,284976,18.120481,2.315857,2.315857,16.388027,146.860024,130.471997
1,16,18962,303392,18.210824,2.416795,2.416795,15.302018,149.549916,134.247899
1,16,23057,368912,18.492917,2.718420,2.718420,15.209134,146.529987,131.320852
1,16,47251,756016,19.528057,3.592446,3.592446,17.156563,146.390055,129.233493
1,16,74917,1198672,20.193006,5.250437,5.250437,19.606902,148.840016,129.233114
1,16,80231,1283696,20.291872,5.576294,5.576294,18.469447,144.639984,126.170537
1,16,107984,1727744,20.720458,7.477687,7.477687,21.009589,152.579974,131.570385
1,16,133762,2140192,21.029309,9.087080,9.087080,22.891884,148.580060,125.688176
1,16,140423,2246768,21.099420,9.502295,9.502295,23.665857,151.549932,127.884075
1,17,39,663,9.372865,0.872321,0.872321,14.217982,141.050084,126.832102
1,23,32710,752330,19.521006,3.608116,3.608116,15.963009,146.480044,130.517035
1,38,693,26334,14.684639,1.047848,1.047848,14.641705,145.860016,131.218311
1,64,12,768,9.584963,0.875357,0.875357,15.024857,144.189922,129.165065
1,64,16,1024,10.000000,0.865152,0.865152,14.043590,144.029967,129.986378
1,64,41,2624,11.357552,0.919027,0.919027,13.494420,140.079996,126.585576
1,64,76,4864,12.247928,0.908714,0.908714,16.726304,140.348915,123.622611
1,64,78,4992,12.285402,0.931259,0.931259,14.463848,142.680015,128.216167
1,64,137,8768,13.098032,0.965330,0.965330,14.509402,138.819916,124.310514
1,64,138,8832,13.108524,0.950973,0.950973,14.210428,174.619956,160.409528
1,64,645,41280,15.333155,1.195991,1.195991,14.509723,141.809927,127.300204
1,64,1002,64128,15.968667,1.241580,1.241580,15.348839,144.810067,129.461227
1,64,1025,65600,16.001408,1.275857,1.275857,16.721339,145.170023,128.448683
1,64,1130,72320,16.142107,1.321116,1.321116,15.487866,140.980002,125.492136
1,64,1961,125504,16.937374,1.553527,1.553527,15.322714,143.130077,127.807363
1,64,3389,216896,17.726644,2.021848,2.021848,14.872973,142.879901,128.006927
1,64,3494,223616,17.770664,2.068893,2.068893,15.904170,145.540107,129.635937
1,64,4137,264768,18.014369,2.261152,2.261152,17.706714,153.610017,135.903303
1,64,4919,314816,18.264149,2.552830,2.552830,15.740420,144.369900,128.629481
1,64,12279,785856,19.583905,3.687589,3.687589,15.730000,175.739056,160.009057
1,64,14850,950400,19.858175,4.309116,4.309116,17.689321,150.940032,133.250710
1,64,15177,971328,19.889599,4.401143,4.401143,19.400839,143.689918,124.289079
1,64,21843,1397952,20.414883,6.085715,6.085715,18.754991,147.689017,128.934026
1,64,26648,1705472,20.701740,7.598000,7.598000,19.976706,145.010068,125.033363
1,64,44133,2824512,21.429570,11.819125,11.819125,24.198277,149.270985,125.072708
1,64,47390,3032960,21.532295,12.552714,12.552714,26.058839,153.320027,127.261187
1,64,54202,3468928,21.726058,14.354036,14.354036,28.039571,154.409907,126.370336
1,64,70342,4501888,22.102099,18.665322,18.665322,32.227313,156.210037,123.982724
1,64,91122,5831808,22.475512,23.998250,23.998250,36.497732,163.280056,126.782324
1,64,93296,5970944,22.509528,24.479563,24.479563,37.385134,165.160047,127.774913
1,64,108771,6961344,22.730934,28.305428,28.305428,42.696697,167.540042,124.843345
1,92,10719,986148,19.911445,4.438706,4.438706,17.804410,144.709018,126.904608
1,128,9,1152,10.169925,0.881705,0.881705,13.708429,139.600015,125.891587
1,128,10,1280,10.321928,0.866277,0.866277,14.433411,140.729942,126.296532
1,128,11,1408,10.459432,0.871125,0.871125,14.575464,143.370009,128.794545
1,128,17,2176,11.087463,0.871723,0.871723,14.971116,142.570003,127.598887
1,128,21,2688,11.392317,0.901187,0.901187,15.269563,158.939976,143.670414
1,128,31,3968,11.954196,0.866563,0.866563,14.732027,149.770058,135.038031
1,128,59,7552,12.882643,0.906313,0.906313,14.241295,147.109968,132.868673
1,128,217,27776,14.761551,1.038295,1.038295,13.952857,161.919976,147.967119
1,128,233,29824,14.864186,1.035214,1.035214,13.303161,143.830897,130.527737
1,128,320,40960,15.321928,1.158607,1.158607,14.767134,145.180034,130.412900
1,128,434,55552,15.761551,1.262571,1.262571,15.183393,145.309954,130.126561
1,128,448,57344,15.807355,1.191178,1.191178,14.357741,140.640070,126.282329
1,128,1883,241024,17.878817,2.142357,2.142357,17.200688,147.519982,130.319295
1,128,2274,291072,18.151017,2.377134,2.377134,15.565107,141.669996,126.104889
1,128,3125,400000,18.609640,2.916411,2.916411,18.186295,151.730026,133.543732
1,128,5232,669696,19.353147,3.236027,3.236027,16.045134,151.399989,135.354854
1,128,6775,867200,19.726005,4.006339,4.006339,17.414321,145.980041,128.565719
1,128,21380,2736640,21.383974,11.362715,11.362715,25.587420,151.479966,125.892546
1,128,22820,2920960,21.478011,12.146170,12.146170,25.016188,155.739952,130.723764
1,128,36669,4693632,22.162273,19.287705,19.287705,32.751866,157.220056,124.468190
1,128,83299,10662272,23.346012,43.208732,43.208732,56.441732,188.700040,132.258307
1,128,83605,10701440,23.351302,43.303410,43.303410,57.310571,182.950054,125.639483
1,128,92977,11901056,23.504586,48.164411,48.164411,61.700973,188.009930,126.308957
1,128,107486,13758208,23.713789,55.672286,55.672286,68.885696,194.209977,125.324281
1,128,130017,16642176,23.988341,67.225455,67.225455,80.588571,206.360011,125.771440
1,128,141033,18052224,24.105673,72.957697,72.957697,86.628545,211.729901,125.101356
1,169,12,2028,10.985842,0.886437,0.886437,14.186723,143.509009,129.322286
1,192,5,960,9.906891,0.864893,0.864893,14.306723,140.379998,126.073275
1,242,258,62436,15.930090,1.224696,1.224696,14.594393,147.209968,132.615576
1,256,10,2560,11.321928,0.896901,0.896901,13.447143,152.950059,139.502916
1,256,12,3072,11.584963,0.865125,0.865125,13.870018,152.420020,138.550002
1,256,25,6400,12.643856,0.896027,0.896027,16.892286,144.890975,127.998689
1,256,29,7424,12.857981,0.903554,0.903554,14.228580,141.269062,127.040481
1,256,37,9472,13.209453,0.936455,0.936455,14.406000,145.539991,131.133991
1,256,41,10496,13.357552,0.914848,0.914848,13.509706,143.719953,130.210248
1,256,55,14080,13.781360,0.964571,0.964571,14.248125,145.350001,131.101876
1,256,78,19968,14.285402,1.027554,1.027554,14.637563,149.091007,134.453445
1,256,196,50176,15.614710,1.155964,1.155964,14.302723,141.080003,126.777280
1,256,245,62720,15.936638,1.195848,1.195848,15.395295,141.300028,125.904734
1,256,251,64256,15.971544,1.250143,1.250143,16.888420,139.471027,122.582607
1,256,391,100096,16.611025,1.435018,1.435018,14.650750,143.729965,129.079215
1,256,469,120064,16.873444,1.544437,1.544437,14.645553,145.708909,131.063356
1,256,589,150784,17.202124,1.667295,1.667295,14.840625,174.500048,159.659423
1,256,735,188160,17.521600,1.850161,1.850161,14.780125,141.629949,126.849824
1,256,780,199680,17.607330,1.915919,1.915919,15.124286,143.630081,128.505795
1,256,859,219904,17.746514,2.016973,2.016973,15.723268,142.720062,126.996794
1,256,1252,320512,18.290019,2.563518,2.563518,16.234420,142.630073,126.395654
1,256,1456,372736,18.507795,2.750098,2.750098,15.770438,142.449979,126.679541
1,256,26331,6740736,22.684475,27.385017,27.385017,41.103161,165.389967,124.286806
1,256,34889,8931584,23.090485,36.346044,36.346044,50.721705,177.940005,127.218299
1,256,51706,13236736,23.658044,53.630420,53.630420,66.745973,196.959940,130.213967
1,481,4,1924,10.909893,0.886866,0.886866,14.671018,165.589037,150.918019
1,488,69,33672,15.039262,1.059678,1.059678,14.051857,142.480014,128.428157
1,512,11,5632,12.459432,0.904313,0.904313,14.646857,139.400014,124.753156
1,512,14,7168,12.807355,0.911750,0.911750,15.117866,144.819962,129.702096
1,512,15,7680,12.906891,0.917973,0.917973,14.222866,140.629942,126.407076
1,512,36,18432,14.169925,0.973545,0.973545,14.506982,152.250053,137.743071
1,512,44,22528,14.459432,1.009027,1.009027,14.325554,140.880002,126.554448
1,512,58,29696,14.857981,1.066670,1.066670,13.432009,145.519967,132.087958
1,512,62,31744,14.954196,1.049303,1.049303,13.804714,142.970006,129.165292
1,512,64,32768,15.000000,1.072437,1.072437,14.752437,144.749996,129.997559
1,512,115,58880,15.845490,1.237134,1.237134,14.936420,145.899947,130.963527
1,512,155,79360,16.276124,1.287946,1.287946,15.295706,148.169929,132.874224
1,512,220,112640,16.781360,1.475151,1.475151,14.165697,143.890036,129.724340
1,512,227,116224,16.826548,1.479268,1.479268,14.837973,141.399913,126.561940
1,512,248,126976,16.954196,1.553696,1.553696,15.060830,140.810036,125.749206
1,512,326,166912,17.348728,1.744625,1.744625,15.216714,163.200079,147.983364
1,512,425,217600,17.731319,1.996107,1.996107,15.893125,152.469962,136.576837
1,512,492,251904,17.942515,2.179116,2.179116,16.467866,141.800032,125.332166
1,512,505,258560,17.980140,2.257509,2.257509,15.808143,145.209953,129.401810
1,512,1162,594944,19.182394,3.042598,3.042598,16.173098,143.749989,127.576890
1,512,1765,903680,19.785452,4.103696,4.103696,17.369438,142.759993,125.390555
1,512,2573,1317376,20.329236,5.763277,5.763277,19.209321,155.640068,136.430746
1,512,3305,1692160,20.690435,7.513946,7.513946,20.903447,154.529000,133.625553
1,512,4297,2200064,21.069114,9.268991,9.268991,22.409000,157.609931,135.200931
