d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.638464,0.638464,16.033438,136.069953,120.036516
1,1,16,16,4.000000,0.638527,0.638527,13.259563,156.439957,143.180394
1,1,18,18,4.169925,0.638429,0.638429,15.562562,138.530042,122.967480
1,1,25,25,4.643856,0.638545,0.638545,13.773268,137.008959,123.235692
1,1,40,40,5.321928,0.637937,0.637937,13.646438,133.269001,119.622563
1,1,61,61,5.930737,0.637438,0.637438,13.850750,142.531004,128.680254
1,1,87,87,6.442943,0.638830,0.638830,15.877286,134.099973,118.222688
1,1,102,102,6.672425,0.638268,0.638268,13.757107,136.260060,122.502953
1,1,120,120,6.906891,0.637795,0.637795,13.717161,134.429079,120.711919
1,1,157,157,7.294621,1.031982,1.031982,14.160134,135.949929,121.789795
1,1,354,354,8.467606,1.036893,1.036893,13.942848,132.790068,118.847220
1,1,1138,1138,10.152285,1.040687,1.040687,13.895438,136.140035,122.244598
1,1,1470,1470,10.521600,1.041786,1.041786,14.262268,137.171010,122.908742
1,1,1753,1753,10.775610,1.043509,1.043509,15.703152,134.509057,118.805905
1,1,1915,1915,10.903129,1.045500,1.045500,14.092420,137.250056,123.157636
1,1,2151,2151,11.070792,1.045776,1.045776,14.696750,137.460069,122.763319
1,1,2887,2887,11.495355,1.051982,1.051982,14.636295,139.349955,124.713660
1,1,3457,3457,11.755305,1.056152,1.056152,14.759589,138.120027,123.360438
1,1,5671,5671,12.469387,1.072580,1.072580,13.935098,135.260052,121.324954
1,1,27859,27859,14.765856,1.236366,1.236366,14.341732,135.679962,121.338230
1,1,58917,58917,15.846396,1.468598,1.468598,15.245580,137.979980,122.734399
1,1,60577,60577,15.886483,1.481437,1.481437,14.618286,137.860072,123.241786
1,1,109348,109348,16.738567,1.844830,1.844830,15.131303,138.220028,123.088725
1,1,159502,159502,17.283215,2.218107,2.218107,16.559027,173.209934,156.650906
1,2,7734,15468,13.916999,1.247161,1.247161,13.527000,138.249947,124.722947
1,8,10,80,6.321928,0.799732,0.799732,13.817330,135.740032,121.922702
1,8,18,144,7.169925,0.800839,0.800839,13.916812,136.849005,122.932192
1,8,44,352,8.459432,0.800295,0.800295,16.297313,134.809990,118.512678
1,8,48,384,8.584963,0.800447,0.800447,15.270438,138.719915,123.449478
1,8,53,424,8.727920,0.800526,0.800526,14.753669,132.559915,117.806246
1,8,116,928,9.857981,0.800723,0.800723,14.285562,137.520023,123.234460
1,8,124,992,9.954196,0.800973,0.800973,13.011116,136.200106,123.188990
1,8,218,1744,10.768184,1.193232,1.193232,13.245553,132.799963,119.554410
1,8,281,2248,11.134426,1.198053,1.198053,13.899857,135.389972,121.490115
1,8,395,3160,11.625709,1.194259,1.194259,14.533152,138.890930,124.357778
1,8,425,3400,11.731319,1.195491,1.195491,13.955590,143.610057,129.654468
1,8,487,3896,11.927778,1.195063,1.195063,15.307125,135.440030,120.132905
1,8,553,4424,12.111136,1.196741,1.196741,16.781161,137.920026,121.138865
1,8,848,6784,12.727920,1.198857,1.198857,14.443160,136.949937,122.506776
1,8,921,7368,12.847057,1.197072,1.197072,14.701589,135.899987,121.198398
1,8,1572,12576,13.618386,1.203161,1.203161,15.141152,138.330040,123.188889
1,8,5534,44272,15.434107,1.228920,1.228920,14.423732,137.510011,123.086279
1,8,7159,57272,15.805542,1.240652,1.240652,15.019277,136.820017,121.800741
1,8,8659,69272,16.079985,1.251455,1.251455,14.073732,139.679993,125.606260
1,8,18677,149416,17.188975,1.324527,1.324527,14.676322,136.599992,121.923671
1,8,19347,154776,17.239822,1.331706,1.331706,14.280277,136.060058,121.779781
1,8,23842,190736,17.541218,1.365563,1.365563,14.675830,141.950091,127.274261
1,8,27070,216560,17.724407,1.388687,1.388687,14.080456,136.430026,122.349570
1,8,89778,718224,19.454074,1.855563,1.855563,14.829857,135.370065,120.540208
1,8,143046,1144368,20.126120,2.251277,2.251277,16.291161,137.930037,121.638877
1,14,94,1316,10.361944,1.202982,1.202982,17.670875,136.930030,119.259155
1,15,5,75,6.228819,0.555884,0.555884,15.065286,142.449979,127.384693
1,16,8,128,7.000000,0.554384,0.554384,14.466411,134.199974,119.733563
1,16,10,160,7.321928,1.199777,1.199777,14.409687,143.660000,129.250312
1,16,15,240,7.906891,1.200402,1.200402,14.297732,139.600015,125.302283
1,16,25,400,8.643856,1.200286,1.200286,14.355670,137.249939,122.894269
1,16,63,1008,9.977280,1.199616,1.199616,14.634572,146.711012,132.076441
1,16,160,2560,11.321928,1.203241,1.203241,14.063714,135.909999,121.846284
1,16,182,2912,11.507795,1.203357,1.203357,14.474705,136.069953,121.595248
1,16,185,2960,11.531381,1.200795,1.200795,14.654303,138.239935,123.585632
1,16,237,3792,11.888743,1.203214,1.203214,14.299303,136.649935,122.350631
1,16,277,4432,12.113742,1.205232,1.205232,14.876973,144.060003,129.183029
1,16,293,4688,12.194757,1.206518,1.206518,15.802687,141.759985,125.957298
1,16,341,5456,12.413628,1.205946,1.205946,13.075429,135.099981,122.024552
1,16,436,6976,12.768184,1.206277,1.206277,14.727875,138.000003,123.272128
1,16,438,7008,12.774787,1.206589,1.206589,13.756866,175.569905,161.813039
1,16,483,7728,12.915879,1.206491,1.206491,15.944982,138.649950,122.704967
1,16,544,8704,13.087463,1.207580,1.207580,13.965268,137.179974,123.214706
1,16,659,10544,13.364135,1.211241,1.211241,14.127705,133.770984,119.643279
1,16,1255,20080,14.293472,1.217714,1.217714,15.553134,137.520023,121.966889
1,16,1535,24560,14.584023,1.220080,1.220080,14.890303,136.360060,121.469757
1,16,1887,30192,14.881879,1.225687,1.225687,18.377705,134.989969,116.612263
1,16,2232,35712,15.124121,1.230000,1.230000,18.438447,136.889983,118.451536
1,16,2665,42640,15.379920,1.235938,1.235938,15.637277,137.760071,122.122794
1,16,3083,49328,15.590119,1.244009,1.244009,15.628715,146.039994,130.411280
1,16,8979,143664,17.132339,1.331161,1.331161,18.421830,136.569957,118.148127
1,16,9371,149936,17.193987,1.337893,1.337893,14.900732,138.690928,123.790196
1,16,11455,183280,17.483690,1.367794,1.367794,14.448572,137.220020,122.771449
1,16,12530,200480,17.613099,1.382714,1.382714,14.287572,140.159973,125.872401
1,16,15615,249840,17.930645,1.428393,1.428393,15.609420,133.869937,118.260517
1,16,17811,284976,18.120481,1.463750,1.463750,14.564116,138.939940,124.375824
1,16,18962,303392,18.210824,1.481009,1.481009,14.744170,134.860049,120.115879
1,16,23057,368912,18.492917,1.541509,1.541509,14.654429,136.210001,121.555572
1,16,47251,756016,19.528057,1.900696,1.900696,17.001473,140.619930,123.618457
1,16,74917,1198672,20.193006,2.312205,2.312205,15.272277,144.460006,129.187729
1,16,80231,1283696,20.291872,2.389518,2.389518,18.694277,140.359974,121.665698
1,16,107984,1727744,20.720458,2.804348,2.804348,15.842437,139.179989,123.337551
1,16,133762,2140192,21.029309,2.189634,2.189634,15.195866,138.840056,123.644190
1,16,140423,2246768,21.099420,2.238777,2.238777,16.552152,145.729980,129.177829
1,17,39,663,9.372865,1.210973,1.210973,13.479804,166.540034,153.060230
1,23,32710,752330,19.521006,1.648991,1.648991,15.766589,153.469970,137.703380
1,38,693,26334,14.684639,1.197196,1.197196,14.459125,136.939925,122.480800
1,64,12,768,9.584963,0.957563,0.957563,13.750732,134.240021,120.489289
1,64,16,1024,10.000000,0.954518,0.954518,13.911973,136.759947,122.847974
1,64,41,2624,11.357552,0.964750,0.964750,17.489697,135.780079,118.290383
1,64,76,4864,12.247928,1.213045,1.213045,14.346848,141.790020,127.443172
1,64,78,4992,12.285402,1.213536,1.213536,14.574411,135.730021,121.155610
1,64,137,8768,13.098032,1.216804,1.216804,13.719393,140.650081,126.930689
1,64,138,8832,13.108524,1.216196,1.216196,16.119982,140.790013,124.670031
1,64,645,41280,15.333155,1.236947,1.236947,15.234553,138.510019,123.275465
1,64,1002,64128,15.968667,1.242464,1.242464,14.634875,134.109985,119.475110
1,64,1025,65600,16.001408,1.246473,1.246473,19.300839,137.750059,118.449220
1,64,1130,72320,16.142107,1.245036,1.245036,15.038750,140.079996,125.041245
1,64,1961,125504,16.937374,1.273473,1.273473,14.891277,138.800009,123.908732
1,64,3389,216896,17.726644,1.314402,1.314402,15.283991,134.870061,119.586070
1,64,3494,223616,17.770664,1.319679,1.319679,14.598554,138.850068,124.251514
1,64,4137,264768,18.014369,1.337402,1.337402,16.399554,144.399935,128.000382
1,64,4919,314816,18.264149,1.359589,1.359589,14.461313,140.190008,125.728695
1,64,12279,785856,19.583905,1.579643,1.579643,15.758268,137.030031,121.271763
1,64,14850,950400,19.858175,1.657599,1.657599,15.155982,137.099996,121.944014
1,64,15177,971328,19.889599,1.664054,1.664054,16.550277,138.529926,121.979649
1,64,21843,1397952,20.414883,1.864232,1.864232,15.704955,143.550104,127.845148
1,64,26648,1705472,20.701740,2.007973,2.007973,14.774554,141.139957,126.365404
1,64,44133,2824512,21.429570,2.526250,2.526250,15.881134,142.759993,126.878859
1,64,47390,3032960,21.532295,2.624733,2.624733,15.006295,138.500007,123.493712
1,64,54202,3468928,21.726058,2.828678,2.828678,17.087143,135.628972,118.541830
