d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.074295,1.074295,14.918009,124.959974,110.041964
1,1,16,16,4.000000,1.074678,1.074678,14.899143,126.569998,111.670855
1,1,18,18,4.169925,1.094723,1.094723,16.431723,128.349056,111.917333
1,1,25,25,4.643856,1.093723,1.093723,15.086419,135.430018,120.343599
1,1,40,40,5.321928,1.088893,1.088893,15.661964,127.309933,111.647969
1,1,61,61,5.930737,1.074714,1.074714,15.062741,130.470027,115.407286
1,1,87,87,6.442943,1.120768,1.120768,15.329304,129.080028,113.750725
1,1,102,102,6.672425,1.075785,1.075785,15.625893,128.880027,113.254134
1,1,120,120,6.906891,1.076946,1.076946,17.077464,126.580009,109.502545
1,1,157,157,7.294621,0.879991,0.879991,13.997714,130.729051,116.731337
1,1,354,354,8.467606,0.845884,0.845884,14.439143,144.220074,129.780931
1,1,1138,1138,10.152285,0.909027,0.909027,15.778428,126.140076,110.361647
1,1,1470,1470,10.521600,0.889491,0.889491,16.680875,124.729937,108.049062
1,1,1753,1753,10.775610,0.923259,0.923259,15.502840,139.470911,123.968071
1,1,1915,1915,10.903129,0.899518,0.899518,17.549277,124.219921,106.670645
1,1,2151,2151,11.070792,0.903884,0.903884,17.797563,123.019912,105.222350
1,1,2887,2887,11.495355,0.970446,0.970446,16.088268,128.500047,112.411779
1,1,3457,3457,11.755305,0.953143,0.953143,17.188286,132.199959,115.011673
1,1,5671,5671,12.469387,0.968143,0.968143,14.529295,122.920028,108.390733
1,1,27859,27859,14.765856,1.342634,1.342634,14.926152,126.959989,112.033837
1,1,58917,58917,15.846396,1.792946,1.792946,15.828982,130.929984,115.101002
1,1,60577,60577,15.886483,1.837152,1.837152,16.429268,126.349973,109.920704
1,1,109348,109348,16.738567,2.301723,2.301723,15.821732,126.029947,110.208215
1,1,159502,159502,17.283215,2.843821,2.843821,16.544732,129.369902,112.825170
1,2,7734,15468,13.916999,1.442544,1.442544,14.826277,132.208923,117.382646
1,8,10,80,6.321928,0.967581,0.967581,14.348991,124.290003,109.941012
1,8,18,144,7.169925,0.938267,0.938267,14.804312,126.019935,111.215623
1,8,44,352,8.459432,0.953179,0.953179,16.444438,127.419946,110.975508
1,8,48,384,8.584963,0.960732,0.960732,14.659107,125.439954,110.780847
1,8,53,424,8.727920,0.942321,0.942321,14.948598,126.271043,111.322445
1,8,116,928,9.857981,0.971687,0.971687,16.986536,124.230981,107.244445
1,8,124,992,9.954196,0.956116,0.956116,15.286161,129.229971,113.943811
1,8,218,1744,10.768184,1.018884,1.018884,16.262875,122.210011,105.947136
1,8,281,2248,11.134426,1.014089,1.014089,15.443714,126.649975,111.206261
1,8,395,3160,11.625709,1.098518,1.098518,17.297169,132.460031,115.162861
1,8,425,3400,11.731319,1.086098,1.086098,14.745848,132.309971,117.564123
1,8,487,3896,11.927778,1.057313,1.057313,15.082973,125.950086,110.867113
1,8,553,4424,12.111136,1.069134,1.069134,15.869571,124.499900,108.630329
1,8,848,6784,12.727920,1.131688,1.131688,14.564277,123.711070,109.146793
1,8,921,7368,12.847057,1.188053,1.188053,15.845295,135.250040,119.404746
1,8,1572,12576,13.618386,1.341741,1.341741,16.542589,123.250065,106.707476
1,8,5534,44272,15.434107,2.525554,2.525554,16.071705,157.400034,141.328329
1,8,7159,57272,15.805542,2.994580,2.994580,16.808295,128.249987,111.441692
1,8,8659,69272,16.079985,3.411714,3.411714,18.310313,126.680010,108.369697
1,8,18677,149416,17.188975,6.308527,6.308527,19.593955,131.250010,111.656055
1,8,19347,154776,17.239822,6.493143,6.493143,20.149518,129.760010,109.610492
1,8,23842,190736,17.541218,7.737732,7.737732,24.127866,138.859032,114.731166
1,8,27070,216560,17.724407,8.743715,8.743715,24.179268,167.979975,143.800707
1,8,89778,718224,19.454074,32.934009,32.934009,45.996313,161.179923,115.183611
1,8,143046,1144368,20.126120,59.090250,59.090250,73.376420,187.799917,114.423497
1,14,94,1316,10.361944,1.028384,1.028384,14.476830,124.090002,109.613172
1,15,5,75,6.228819,1.721134,1.721134,16.500875,135.929906,119.429031
1,16,8,128,7.000000,1.704607,1.704607,15.876857,149.790081,133.913224
1,16,10,160,7.321928,0.985393,0.985393,17.325991,123.500009,106.174018
1,16,15,240,7.906891,0.995875,0.995875,14.745553,124.750077,110.004523
1,16,25,400,8.643856,1.007723,1.007723,14.680456,146.250008,131.569552
1,16,63,1008,9.977280,1.012089,1.012089,14.388589,124.369981,109.981391
1,16,160,2560,11.321928,1.022125,1.022125,14.467866,125.490944,111.023078
1,16,182,2912,11.507795,1.104268,1.104268,14.388848,125.569990,111.181142
1,16,185,2960,11.531381,1.118027,1.118027,17.370839,125.730061,108.359222
1,16,237,3792,11.888743,1.128268,1.128268,14.755580,124.640064,109.884484
1,16,277,4432,12.113742,1.156169,1.156169,15.236268,127.690029,112.453762
1,16,293,4688,12.194757,1.140982,1.140982,15.308535,126.859988,111.551453
1,16,341,5456,12.413628,1.174955,1.174955,14.584286,125.420047,110.835761
1,16,436,6976,12.768184,1.232732,1.232732,14.801411,124.500017,109.698606
1,16,438,7008,12.774787,1.210705,1.210705,16.951446,124.479993,107.528547
1,16,483,7728,12.915879,1.259125,1.259125,14.704607,124.290003,109.585396
1,16,544,8704,13.087463,1.230455,1.230455,13.899973,124.470098,110.570125
1,16,659,10544,13.364135,1.286848,1.286848,14.600732,125.590013,110.989281
1,16,1255,20080,14.293472,1.604000,1.604000,14.370134,125.190010,110.819876
1,16,1535,24560,14.584023,1.804277,1.804277,15.643285,126.980012,111.336727
1,16,1887,30192,14.881879,2.026411,2.026411,16.682572,123.419915,106.737344
1,16,2232,35712,15.124121,2.236634,2.236634,16.336152,128.410058,112.073906
1,16,2665,42640,15.379920,2.452714,2.452714,15.211285,125.969993,110.758707
1,16,3083,49328,15.590119,2.700759,2.700759,16.239598,128.570013,112.330414
1,16,8979,143664,17.132339,6.095098,6.095098,19.835848,129.909022,110.073174
1,16,9371,149936,17.193987,6.411384,6.411384,20.574598,133.560039,112.985441
1,16,11455,183280,17.483690,7.630795,7.630795,21.338857,133.560039,112.221182
1,16,12530,200480,17.613099,8.142446,8.142446,23.482706,139.290001,115.807296
1,16,15615,249840,17.930645,10.095429,10.095429,25.596554,159.810996,134.214442
1,16,17811,284976,18.120481,11.294178,11.294178,24.405705,136.859948,112.454243
1,16,18962,303392,18.210824,11.943152,11.943152,24.835857,147.729996,122.894138
1,16,23057,368912,18.492917,15.206438,15.206438,28.761446,140.309916,111.548470
1,16,47251,756016,19.528057,32.521223,32.521223,45.706866,156.550086,110.843220
1,16,74917,1198672,20.193006,50.919473,50.919473,65.005706,197.559944,132.554239
1,16,80231,1283696,20.291872,61.543312,61.543312,75.541714,187.520054,111.978340
1,16,107984,1727744,20.720458,91.125241,91.125241,105.643179,247.079995,141.436817
1,16,133762,2140192,21.029309,78.160411,78.160411,92.976571,209.989958,117.013386
1,16,140423,2246768,21.099420,60.637723,60.637723,77.182554,187.280006,110.097452
1,17,39,663,9.372865,1.016848,1.016848,15.962973,126.280007,110.317034
1,23,32710,752330,19.521006,31.172848,31.172848,44.271143,159.519957,115.248814
1,38,693,26334,14.684639,1.915259,1.915259,15.732732,124.270096,108.537364
1,64,12,768,9.584963,1.855410,1.855410,16.159848,127.870007,111.710159
1,64,16,1024,10.000000,1.772714,1.772714,16.548732,126.630999,110.082267
1,64,41,2624,11.357552,2.095563,2.095563,15.889982,123.500009,107.610027
1,64,76,4864,12.247928,1.171616,1.171616,15.448812,133.850030,118.401217
1,64,78,4992,12.285402,1.291134,1.291134,14.774812,132.980058,118.205245
1,64,137,8768,13.098032,1.661438,1.661438,15.641741,126.130064,110.488323
1,64,138,8832,13.108524,1.662018,1.662018,16.061848,125.920051,109.858202
1,64,645,41280,15.333155,2.534125,2.534125,16.045866,128.310057,112.264191
1,64,1002,64128,15.968667,3.311500,3.311500,17.454161,127.049978,109.595817
1,64,1025,65600,16.001408,3.399991,3.399991,17.182161,125.619932,108.437771
1,64,1130,72320,16.142107,3.561804,3.561804,18.274723,127.900043,109.625319
1,64,1961,125504,16.937374,5.621607,5.621607,19.688857,134.748989,115.060132
1,64,3389,216896,17.726644,8.927161,8.927161,21.579705,131.460023,109.880318
1,64,3494,223616,17.770664,9.190277,9.190277,23.210964,144.679914,121.468950
1,64,4137,264768,18.014369,10.747634,10.747634,24.172732,148.370047,124.197315
1,64,4919,314816,18.264149,12.401812,12.401812,25.944705,137.700001,111.755295
1,64,12279,785856,19.583905,32.328535,32.328535,46.101428,159.149989,113.048561
1,64,14850,950400,19.858175,38.612830,38.612830,52.873545,164.969009,112.095465
1,64,15177,971328,19.889599,39.394446,39.394446,53.524446,164.650031,111.125585
