d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.838554,0.838554,15.533428,134.471105,118.937677
1,1,16,16,4.000000,0.839241,0.839241,15.569429,137.410010,121.840582
1,1,18,18,4.169925,0.839063,0.839063,16.271875,137.440045,121.168170
1,1,25,25,4.643856,0.838170,0.838170,16.512696,142.349978,125.837282
1,1,40,40,5.321928,0.860295,0.860295,16.183303,136.510003,120.326700
1,1,61,61,5.930737,0.838455,0.838455,15.884678,145.470025,129.585347
1,1,87,87,6.442943,0.847018,0.847018,16.040107,150.950043,134.909937
1,1,102,102,6.672425,0.838670,0.838670,17.281036,136.940042,119.659006
1,1,120,120,6.906891,0.838982,0.838982,15.642973,137.970084,122.327111
1,1,157,157,7.294621,0.861232,0.861232,16.480437,135.260052,118.779615
1,1,354,354,8.467606,0.860598,0.860598,20.822286,141.980010,121.157724
1,1,1138,1138,10.152285,0.936590,0.936590,19.810723,139.179989,119.369266
1,1,1470,1470,10.521600,0.919553,0.919553,15.647696,138.589996,122.942300
1,1,1753,1753,10.775610,0.916643,0.916643,15.778554,139.719923,123.941369
1,1,1915,1915,10.903129,0.962964,0.962964,23.965857,141.229946,117.264089
1,1,2151,2151,11.070792,0.937848,0.937848,16.457455,138.710020,122.252565
1,1,2887,2887,11.495355,0.963625,0.963625,17.447125,136.599992,119.152867
1,1,3457,3457,11.755305,1.029000,1.029000,16.993911,140.729942,123.736032
1,1,5671,5671,12.469387,1.075304,1.075304,16.565125,138.789997,122.224873
1,1,27859,27859,14.765856,1.715420,1.715420,18.147428,148.760038,130.612610
1,1,58917,58917,15.846396,2.627536,2.627536,17.296589,145.599945,128.303355
1,1,60577,60577,15.886483,2.643857,2.643857,18.654125,174.220069,155.565944
1,1,109348,109348,16.738567,4.057134,4.057134,20.040411,142.130069,122.089659
1,1,159502,159502,17.283215,5.439545,5.439545,21.957000,143.990037,122.033037
1,2,7734,15468,13.916999,1.083428,1.083428,16.962464,137.060066,120.097602
1,8,10,80,6.321928,0.847286,0.847286,17.553839,141.600030,124.046191
1,8,18,144,7.169925,0.850187,0.850187,15.936411,142.629957,126.693546
1,8,44,352,8.459432,0.847411,0.847411,16.252813,139.450072,123.197260
1,8,48,384,8.584963,0.872027,0.872027,16.087268,138.789997,122.702729
1,8,53,424,8.727920,0.875116,0.875116,17.228429,138.989999,121.761570
1,8,116,928,9.857981,0.853277,0.853277,19.160831,140.790013,121.629182
1,8,124,992,9.954196,0.860572,0.860572,18.159009,153.330038,135.171029
1,8,218,1744,10.768184,0.880688,0.880688,15.921241,140.759978,124.838736
1,8,281,2248,11.134426,0.922714,0.922714,16.549840,140.759978,124.210138
1,8,395,3160,11.625709,0.949982,0.949982,16.204000,138.950069,122.746069
1,8,425,3400,11.731319,0.884732,0.884732,16.513411,141.959987,125.446576
1,8,487,3896,11.927778,0.904991,0.904991,16.600259,144.429971,127.829712
1,8,553,4424,12.111136,0.937589,0.937589,16.779000,138.420030,121.641030
1,8,848,6784,12.727920,0.918062,0.918062,16.677402,139.090000,122.412598
1,8,921,7368,12.847057,0.923446,0.923446,15.707857,138.509902,122.802045
1,8,1572,12576,13.618386,0.980473,0.980473,15.927420,142.670004,126.742584
1,8,5534,44272,15.434107,1.219536,1.219536,15.943143,138.040050,122.096907
1,8,7159,57272,15.805542,1.274589,1.274589,17.251741,144.599937,127.348196
1,8,8659,69272,16.079985,1.398018,1.398018,16.600286,148.350024,131.749738
1,8,18677,149416,17.188975,1.931947,1.931947,18.177152,147.840008,129.662856
1,8,19347,154776,17.239822,1.943339,1.943339,17.056732,142.390956,125.334224
1,8,23842,190736,17.541218,2.134000,2.134000,17.765572,147.320097,129.554526
1,8,27070,216560,17.724407,2.328268,2.328268,17.278036,141.539960,124.261924
1,8,89778,718224,19.454074,5.507696,5.507696,20.796000,143.550918,122.754918
1,8,143046,1144368,20.126120,8.178009,8.178009,22.656696,147.119979,124.463283
1,14,94,1316,10.361944,0.879831,0.879831,15.202571,138.039934,122.837362
1,15,5,75,6.228819,0.846590,0.846590,16.033875,146.260019,130.226145
1,16,8,128,7.000000,0.863696,0.863696,15.779973,145.299942,129.519969
1,16,10,160,7.321928,0.880420,0.880420,15.708277,138.989999,123.281722
1,16,15,240,7.906891,0.914741,0.914741,18.250697,135.340029,117.089333
1,16,25,400,8.643856,0.887839,0.887839,15.661527,141.100027,125.438500
1,16,63,1008,9.977280,0.881134,0.881134,15.146000,154.369976,139.223976
1,16,160,2560,11.321928,0.910991,0.910991,23.433964,140.110031,116.676067
1,16,182,2912,11.507795,0.895268,0.895268,17.378580,140.429940,123.051360
1,16,185,2960,11.531381,0.903161,0.903161,15.896294,138.030038,122.133744
1,16,237,3792,11.888743,0.928000,0.928000,17.546420,139.840064,122.293644
1,16,277,4432,12.113742,0.908964,0.908964,16.979411,143.909943,126.930532
1,16,293,4688,12.194757,0.928161,0.928161,16.404688,142.200035,125.795348
1,16,341,5456,12.413628,0.912741,0.912741,17.009715,153.959962,136.950247
1,16,436,6976,12.768184,0.919116,0.919116,15.816875,139.579992,123.763117
1,16,438,7008,12.774787,0.924625,0.924625,16.471991,145.929982,129.457991
1,16,483,7728,12.915879,0.950830,0.950830,16.259589,138.220028,121.960439
1,16,544,8704,13.087463,0.925161,0.925161,16.448589,139.879994,123.431405
1,16,659,10544,13.364135,0.930446,0.930446,17.377428,138.949952,121.572524
1,16,1255,20080,14.293472,1.046607,1.046607,17.401259,141.949044,124.547785
1,16,1535,24560,14.584023,1.020295,1.020295,17.019446,138.700008,121.680562
1,16,1887,30192,14.881879,1.147777,1.147777,16.027857,138.628995,122.601138
1,16,2232,35712,15.124121,1.159482,1.159482,16.690018,140.019925,123.329908
1,16,2665,42640,15.379920,1.193786,1.193786,18.611268,146.070030,127.458762
1,16,3083,49328,15.590119,1.222741,1.222741,15.592554,139.820040,124.227487
1,16,8979,143664,17.132339,1.834991,1.834991,16.843848,140.730059,123.886210
1,16,9371,149936,17.193987,1.872589,1.872589,17.276848,136.189046,118.912198
1,16,11455,183280,17.483690,2.120072,2.120072,16.902750,147.740007,130.837257
1,16,12530,200480,17.613099,2.250848,2.250848,18.565312,141.789904,123.224591
1,16,15615,249840,17.930645,2.565009,2.565009,18.586303,142.288976,123.702673
1,16,17811,284976,18.120481,2.775598,2.775598,19.417277,141.829951,122.412674
1,16,18962,303392,18.210824,2.869313,2.869313,17.904009,151.491025,133.587017
1,16,23057,368912,18.492917,3.330715,3.330715,18.020812,142.949051,124.928239
1,16,47251,756016,19.528057,5.751196,5.751196,21.842456,150.389969,128.547514
1,16,74917,1198672,20.193006,8.505687,8.505687,26.862946,148.819992,121.957046
1,16,80231,1283696,20.291872,9.115446,9.115446,24.433437,144.660007,120.226570
1,16,107984,1727744,20.720458,11.878330,11.878330,26.681991,148.740015,122.058024
1,16,133762,2140192,21.029309,14.448232,14.448232,30.097277,152.499997,122.402720
1,16,140423,2246768,21.099420,15.140991,15.140991,29.809562,156.859984,127.050421
1,17,39,663,9.372865,0.913866,0.913866,14.616589,136.950985,122.334395
1,23,32710,752330,19.521006,5.973081,5.973081,22.091161,161.639997,139.548836
1,38,693,26334,14.684639,1.107036,1.107036,16.867697,145.570026,128.702329
1,64,12,768,9.584963,0.879910,0.879910,19.827312,143.010053,123.182741
1,64,16,1024,10.000000,0.880946,0.880946,15.795732,140.269985,124.474253
1,64,41,2624,11.357552,0.972857,0.972857,15.717134,147.079933,131.362799
1,64,76,4864,12.247928,0.929848,0.929848,15.810563,137.800002,121.989439
1,64,78,4992,12.285402,0.954732,0.954732,16.117259,144.379912,128.262653
1,64,137,8768,13.098032,0.986402,0.986402,15.559741,142.248929,126.689188
1,64,138,8832,13.108524,0.995366,0.995366,17.245134,141.069992,123.824858
1,64,645,41280,15.333155,1.256750,1.256750,17.780580,140.240067,122.459486
1,64,1002,64128,15.968667,1.342562,1.342562,17.475402,139.590004,122.114602
1,64,1025,65600,16.001408,1.368580,1.368580,15.912964,138.409901,122.496937
1,64,1130,72320,16.142107,1.437580,1.437580,16.744455,137.560070,120.815614
1,64,1961,125504,16.937374,1.795821,1.795821,16.613563,141.288969,124.675406
1,64,3389,216896,17.726644,2.349179,2.349179,16.857116,140.910037,124.052921
1,64,3494,223616,17.770664,2.364473,2.364473,17.376849,145.749073,128.372224
1,64,4137,264768,18.014369,2.664599,2.664599,17.752839,143.029029,125.276189
1,64,4919,314816,18.264149,2.997321,2.997321,18.844321,141.939963,123.095642
1,64,12279,785856,19.583905,5.966295,5.966295,21.323732,142.059987,120.736255
1,64,14850,950400,19.858175,7.039009,7.039009,21.754973,147.250015,125.495042
1,64,15177,971328,19.889599,7.112598,7.112598,21.408580,142.739969,121.331389
1,64,21843,1397952,20.414883,9.818339,9.818339,25.165545,154.809910,129.644365
1,64,26648,1705472,20.701740,11.754723,11.754723,25.800000,149.080064,123.280064
1,64,44133,2824512,21.429570,14.302982,14.302982,28.486286,153.000001,124.513715
1,64,47390,3032960,21.532295,15.255456,15.255456,29.452151,154.471025,125.018873
1,64,54202,3468928,21.726058,14.841411,14.841411,31.254714,153.569970,122.315256
1,64,70342,4501888,22.102099,19.026393,19.026393,35.846303,155.220041,119.373738
1,64,91122,5831808,22.475512,24.425857,24.425857,40.912866,165.899983,124.987117
1,64,93296,5970944,22.509528,25.006152,25.006152,39.876428,163.370045,123.493617
1,64,108771,6961344,22.730934,28.847410,28.847410,43.924009,167.480088,123.556079
1,92,10719,986148,19.911445,7.451018,7.451018,21.794410,144.379912,122.585502
1,128,9,1152,10.169925,0.879732,0.879732,19.208562,139.859971,120.651408
1,128,10,1280,10.321928,0.878902,0.878902,15.262723,139.049953,123.787230
1,128,11,1408,10.459432,0.880705,0.880705,16.621116,138.700008,122.078892
1,128,17,2176,11.087463,0.918125,0.918125,17.140116,141.200027,124.059911
