d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.276134,1.276134,17.013447,127.590029,110.576582
1,1,16,16,4.000000,1.301562,1.301562,15.247563,125.800027,110.552464
1,1,18,18,4.169925,1.276348,1.276348,15.443866,127.889914,112.446048
1,1,25,25,4.643856,1.283277,1.283277,15.327973,157.290022,141.962049
1,1,40,40,5.321928,1.293893,1.293893,16.456991,128.370011,111.913020
1,1,61,61,5.930737,1.287125,1.287125,14.874420,132.589950,117.715531
1,1,87,87,6.442943,1.320116,1.320116,17.787964,130.280037,112.492073
1,1,102,102,6.672425,1.296696,1.296696,14.812982,129.410066,114.597084
1,1,120,120,6.906891,1.293964,1.293964,15.704420,125.549966,109.845547
1,1,157,157,7.294621,1.287857,1.287857,17.007839,128.280022,111.272183
1,1,354,354,8.467606,1.305572,1.305572,15.909554,126.849976,110.940423
1,1,1138,1138,10.152285,0.933911,0.933911,15.699018,129.220076,113.521058
1,1,1470,1470,10.521600,0.948455,0.948455,17.285027,138.449017,121.163990
1,1,1753,1753,10.775610,1.025438,1.025438,14.730580,130.889937,116.159357
1,1,1915,1915,10.903129,0.938911,0.938911,14.678009,128.560001,113.881992
1,1,2151,2151,11.070792,0.979982,0.979982,15.422018,129.860011,114.437993
1,1,2887,2887,11.495355,1.043232,1.043232,14.874420,131.390058,116.515638
1,1,3457,3457,11.755305,1.088982,1.088982,15.003384,134.989037,119.985653
1,1,5671,5671,12.469387,1.143759,1.143759,14.336991,128.380023,114.043032
1,1,27859,27859,14.765856,1.900447,1.900447,16.976420,127.959996,110.983577
1,1,58917,58917,15.846396,3.015785,3.015785,16.786188,130.869914,114.083726
1,1,60577,60577,15.886483,3.021312,3.021312,19.625143,129.549997,109.924854
1,1,109348,109348,16.738567,4.747304,4.747304,19.768571,132.719986,112.951415
1,1,159502,159502,17.283215,5.452108,5.452108,19.704589,132.840010,113.135421
1,2,7734,15468,13.916999,1.212607,1.212607,15.631554,125.320046,109.688493
1,8,10,80,6.321928,0.854571,0.854571,15.125277,133.789959,118.664683
1,8,18,144,7.169925,0.874420,0.874420,16.039107,154.359965,138.320858
1,8,44,352,8.459432,0.854866,0.854866,15.031893,124.890008,109.858115
1,8,48,384,8.584963,0.841893,0.841893,13.185696,132.209971,119.024274
1,8,53,424,8.727920,0.858741,0.858741,13.456866,120.559940,107.103074
1,8,116,928,9.857981,0.890285,0.890285,13.332857,124.860089,111.527232
1,8,124,992,9.954196,0.855455,0.855455,13.058562,126.719940,113.661378
1,8,218,1744,10.768184,0.938848,0.938848,15.171152,121.839927,106.668775
1,8,281,2248,11.134426,0.929732,0.929732,15.265420,131.828943,116.563524
1,8,395,3160,11.625709,0.937143,0.937143,13.922045,129.080028,115.157984
1,8,425,3400,11.731319,0.922687,0.922687,14.068991,135.850045,121.781054
1,8,487,3896,11.927778,0.928491,0.928491,13.432688,128.010055,114.577368
1,8,553,4424,12.111136,1.009249,1.009249,13.430036,124.459970,111.029934
1,8,848,6784,12.727920,0.966732,0.966732,13.717286,125.659979,111.942693
1,8,921,7368,12.847057,0.976134,0.976134,13.062723,127.639971,114.577248
1,8,1572,12576,13.618386,1.019607,1.019607,17.236991,126.249972,109.012980
1,8,5534,44272,15.434107,1.298706,1.298706,14.242687,125.669991,111.427303
1,8,7159,57272,15.805542,1.392447,1.392447,17.979589,128.170010,110.190420
1,8,8659,69272,16.079985,1.575321,1.575321,15.017304,125.249964,110.232661
1,8,18677,149416,17.188975,2.271224,2.271224,15.001027,127.270003,112.268976
1,8,19347,154776,17.239822,2.266893,2.266893,14.536991,127.349980,112.812989
1,8,23842,190736,17.541218,2.568411,2.568411,15.572697,126.400031,110.827335
1,8,27070,216560,17.724407,2.721866,2.721866,15.870125,127.259991,111.389866
1,8,89778,718224,19.454074,6.968125,6.968125,20.757830,138.090923,117.333093
1,8,143046,1144368,20.126120,10.508572,10.508572,24.415991,140.680000,116.264009
1,14,94,1316,10.361944,0.949143,0.949143,13.206714,127.190957,113.984243
1,15,5,75,6.228819,0.873830,0.873830,15.286000,124.879996,109.593996
1,16,8,128,7.000000,0.848268,0.848268,15.298438,128.999935,113.701497
1,16,10,160,7.321928,0.940179,0.940179,15.442714,122.970087,107.527372
1,16,15,240,7.906891,0.989447,0.989447,14.081697,123.930047,109.848351
1,16,25,400,8.643856,0.929991,0.929991,14.604232,129.570020,114.965788
1,16,63,1008,9.977280,0.929544,0.929544,14.922419,125.300023,110.377603
1,16,160,2560,11.321928,0.938839,0.938839,14.032134,124.739949,110.707815
1,16,182,2912,11.507795,0.923750,0.923750,13.587161,131.239998,117.652837
1,16,185,2960,11.531381,0.923866,0.923866,14.287438,130.319968,116.032530
1,16,237,3792,11.888743,0.959384,0.959384,16.868313,125.980005,109.111692
1,16,277,4432,12.113742,0.959107,0.959107,13.076027,127.909938,114.833911
1,16,293,4688,12.194757,0.935143,0.935143,12.777134,124.179991,111.402857
1,16,341,5456,12.413628,0.943143,0.943143,13.770714,126.180006,112.409292
1,16,436,6976,12.768184,0.954580,0.954580,13.830446,128.339976,114.509530
1,16,438,7008,12.774787,0.963723,0.963723,13.692277,126.850093,113.157816
1,16,483,7728,12.915879,1.028741,1.028741,14.156464,133.130001,118.973537
1,16,544,8704,13.087463,1.030018,1.030018,14.305866,130.759901,116.454035
1,16,659,10544,13.364135,1.018161,1.018161,13.926169,127.219944,113.293775
1,16,1255,20080,14.293472,1.115482,1.115482,15.292902,133.739901,118.446999
1,16,1535,24560,14.584023,1.144732,1.144732,14.259295,125.570921,111.311627
1,16,1887,30192,14.881879,1.181723,1.181723,13.714437,130.948960,117.234522
1,16,2232,35712,15.124121,1.243491,1.243491,14.860553,125.419931,110.559377
1,16,2665,42640,15.379920,1.307446,1.307446,13.260857,141.710974,128.450117
1,16,3083,49328,15.590119,1.366572,1.366572,14.976714,125.129940,110.153226
1,16,8979,143664,17.132339,2.210741,2.210741,16.948125,126.499915,109.551791
1,16,9371,149936,17.193987,2.149937,2.149937,18.310732,126.580009,108.269277
1,16,11455,183280,17.483690,2.449652,2.449652,17.158902,126.480008,109.321106
1,16,12530,200480,17.613099,2.629768,2.629768,15.270437,127.410982,112.140544
1,16,15615,249840,17.930645,2.964446,2.964446,15.410134,123.990001,108.579867
1,16,17811,284976,18.120481,3.322000,3.322000,15.691429,127.510051,111.818623
1,16,18962,303392,18.210824,3.448000,3.448000,16.375295,125.749968,109.374673
1,16,23057,368912,18.492917,4.017018,4.017018,16.775982,130.750006,113.974024
1,16,47251,756016,19.528057,7.324294,7.324294,19.983607,136.079965,116.096358
1,16,74917,1198672,20.193006,11.046982,11.046982,22.814723,134.319998,111.505275
1,16,80231,1283696,20.291872,10.519259,10.519259,23.103268,133.250025,110.146757
1,16,107984,1727744,20.720458,15.314857,15.314857,27.506848,139.120035,111.613187
1,16,133762,2140192,21.029309,16.472589,16.472589,31.795857,139.669981,107.874124
1,16,140423,2246768,21.099420,17.259393,17.259393,29.583714,143.490033,113.906319
1,17,39,663,9.372865,0.963875,0.963875,14.320134,122.610014,108.289880
1,23,32710,752330,19.521006,6.889634,6.889634,19.796446,130.090979,110.294532
1,38,693,26334,14.684639,1.211777,1.211777,13.798455,128.380023,114.581568
1,64,12,768,9.584963,0.944687,0.944687,13.537420,136.219896,122.682477
1,64,16,1024,10.000000,0.948973,0.948973,13.535420,122.620026,109.084606
1,64,41,2624,11.357552,0.942598,0.942598,12.729982,121.499994,108.770011
1,64,76,4864,12.247928,0.991036,0.991036,13.913134,124.730985,110.817851
1,64,78,4992,12.285402,0.992000,0.992000,14.135277,124.929007,110.793730
1,64,137,8768,13.098032,1.133474,1.133474,13.317018,131.779932,118.462914
1,64,138,8832,13.108524,1.100697,1.100697,13.543893,129.660009,116.116116
1,64,645,41280,15.333155,1.379277,1.379277,14.182313,124.908984,110.726671
1,64,1002,64128,15.968667,1.493294,1.493294,16.226589,125.599909,109.373319
1,64,1025,65600,16.001408,1.530411,1.530411,15.012732,157.770002,142.757270
1,64,1130,72320,16.142107,1.537241,1.537241,14.212027,127.000036,112.788009
1,64,1961,125504,16.937374,2.048393,2.048393,16.933705,126.008992,109.075287
1,64,3389,216896,17.726644,2.826411,2.826411,16.624420,129.371067,112.746647
1,64,3494,223616,17.770664,2.881250,2.881250,15.696732,126.690022,110.993290
1,64,4137,264768,18.014369,3.226447,3.226447,16.703152,125.980005,109.276853
