d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.926008,0.926008,15.244875,123.569975,108.325100
1,1,16,16,4.000000,0.941428,0.941428,11.782036,125.730061,113.948025
1,1,18,18,4.169925,0.926250,0.926250,12.648027,125.129940,112.481913
1,1,25,25,4.643856,0.926419,0.926419,11.009723,131.429988,120.420265
1,1,40,40,5.321928,0.925313,0.925313,12.571715,132.959918,120.388204
1,1,61,61,5.930737,0.948188,0.948188,12.204848,129.870023,117.665175
1,1,87,87,6.442943,0.926151,0.926151,11.472009,130.739994,119.267985
1,1,102,102,6.672425,0.938589,0.938589,10.680893,128.390035,117.709142
1,1,120,120,6.906891,0.930544,0.930544,12.728134,131.789944,119.061810
1,1,157,157,7.294621,0.951598,0.951598,9.366170,131.919980,122.553810
1,1,354,354,8.467606,1.047169,1.047169,14.281312,131.029985,116.748672
1,1,1138,1138,10.152285,1.343447,1.343447,12.683696,130.600063,117.916367
1,1,1470,1470,10.521600,1.443795,1.443795,13.521580,127.930078,114.408497
1,1,1753,1753,10.775610,1.543018,1.543018,12.220277,125.029939,112.809662
1,1,1915,1915,10.903129,1.624741,1.624741,11.548554,124.200014,112.651461
1,1,2151,2151,11.070792,1.743724,1.743724,12.325536,126.420055,114.094519
1,1,2887,2887,11.495355,2.028152,2.028152,12.326152,125.220045,112.893894
1,1,3457,3457,11.755305,2.190563,2.190563,13.101589,133.199967,120.098377
1,1,5671,5671,12.469387,3.071536,3.071536,15.395696,129.990047,114.594350
1,1,27859,27859,14.765856,11.236777,11.236777,23.696304,138.391042,114.694739
1,1,58917,58917,15.846396,22.792545,22.792545,35.149455,147.309969,112.160514
1,1,60577,60577,15.886483,23.314438,23.314438,35.387428,148.489955,113.102526
1,1,109348,109348,16.738567,41.499670,41.499670,53.650661,165.720005,112.069344
1,1,159502,159502,17.283215,60.154321,60.154321,73.175598,186.429941,113.254343
1,2,7734,15468,13.916999,3.813607,3.813607,18.010982,127.510051,109.499069
1,8,10,80,6.321928,0.938661,0.938661,12.907304,129.590044,116.682740
1,8,18,144,7.169925,0.952285,0.952285,11.941295,141.250086,129.308791
1,8,44,352,8.459432,0.947974,0.947974,10.873991,128.568965,117.694974
1,8,48,384,8.584963,0.944821,0.944821,12.502607,125.390012,112.887405
1,8,53,424,8.727920,0.938151,0.938151,12.689268,129.710068,117.020800
1,8,116,928,9.857981,0.938830,0.938830,10.240598,129.690045,119.449446
1,8,124,992,9.954196,0.960956,0.960956,11.882161,131.559907,119.677747
1,8,218,1744,10.768184,0.987643,0.987643,13.402161,130.470027,117.067867
1,8,281,2248,11.134426,1.053321,1.053321,11.372705,124.330050,112.957345
1,8,395,3160,11.625709,1.083259,1.083259,13.057759,126.969069,113.911310
1,8,425,3400,11.731319,1.090670,1.090670,12.781571,127.309933,114.528362
1,8,487,3896,11.927778,1.080750,1.080750,10.621732,126.849976,116.228244
1,8,553,4424,12.111136,1.188848,1.188848,12.554277,124.648912,112.094635
1,8,848,6784,12.727920,1.274330,1.274330,12.995009,132.580055,119.585046
1,8,921,7368,12.847057,1.304536,1.304536,11.638732,131.980050,120.341318
1,8,1572,12576,13.618386,1.568036,1.568036,11.717884,131.570036,119.852152
1,8,5534,44272,15.434107,3.130286,3.130286,11.554696,135.489972,123.935276
1,8,7159,57272,15.805542,3.752161,3.752161,16.888170,133.480062,116.591892
1,8,8659,69272,16.079985,4.317553,4.317553,17.371000,132.940011,115.569011
1,8,18677,149416,17.188975,8.302134,8.302134,19.804848,133.130001,113.325153
1,8,19347,154776,17.239822,8.567339,8.567339,17.327268,135.630020,118.302752
1,8,23842,190736,17.541218,10.366304,10.366304,22.591286,152.440043,129.848758
1,8,27070,216560,17.724407,11.615536,11.615536,21.868705,134.230009,112.361304
1,8,89778,718224,19.454074,36.203366,36.203366,48.580714,167.390914,118.810199
1,8,143046,1144368,20.126120,57.191000,57.191000,68.442303,193.879940,125.437636
1,14,94,1316,10.361944,0.990402,0.990402,10.593277,130.180037,119.586760
1,15,5,75,6.228819,0.953857,0.953857,14.451268,131.740002,117.288734
1,16,8,128,7.000000,0.938660,0.938660,12.084759,129.810069,117.725310
1,16,10,160,7.321928,0.967446,0.967446,13.632884,128.019950,114.387067
1,16,15,240,7.906891,0.981732,0.981732,14.011143,128.170010,114.158867
1,16,25,400,8.643856,0.973420,0.973420,11.174723,129.700056,118.525333
1,16,63,1008,9.977280,0.971678,0.971678,13.016741,124.979997,111.963256
1,16,160,2560,11.321928,1.070714,1.070714,15.466446,124.800019,109.333573
1,16,182,2912,11.507795,1.068304,1.068304,12.733705,129.370019,116.636314
1,16,185,2960,11.531381,1.087357,1.087357,9.177607,129.010063,119.832455
1,16,237,3792,11.888743,1.091857,1.091857,13.984723,131.479930,117.495207
1,16,277,4432,12.113742,1.177286,1.177286,12.647723,131.729990,119.082267
1,16,293,4688,12.194757,1.238839,1.238839,14.659849,132.889953,118.230104
1,16,341,5456,12.413628,1.165464,1.165464,13.335161,125.410967,112.075806
1,16,436,6976,12.768184,1.275705,1.275705,14.007696,127.220061,113.212364
1,16,438,7008,12.774787,1.251295,1.251295,12.277884,125.240069,112.962185
1,16,483,7728,12.915879,1.294723,1.294723,11.150170,127.839972,116.689802
1,16,544,8704,13.087463,1.392169,1.392169,9.868411,130.989938,121.121527
1,16,659,10544,13.364135,1.492455,1.492455,13.193259,130.749075,117.555816
1,16,1255,20080,14.293472,1.888116,1.888116,12.864437,143.600046,130.735608
1,16,1535,24560,14.584023,2.076902,2.076902,10.620973,131.609035,120.988062
1,16,1887,30192,14.881879,2.385973,2.385973,13.917268,130.200060,116.282792
1,16,2232,35712,15.124121,2.714179,2.714179,12.662286,136.080082,123.417796
1,16,2665,42640,15.379920,3.045678,3.045678,11.795027,126.310042,114.515015
1,16,3083,49328,15.590119,3.419420,3.419420,16.584125,127.948937,111.364812
1,16,8979,143664,17.132339,8.074991,8.074991,20.046991,136.220013,116.173022
1,16,9371,149936,17.193987,8.314000,8.314000,19.125437,132.050016,112.924579
1,16,11455,183280,17.483690,9.972143,9.972143,23.050027,136.340037,113.290010
1,16,12530,200480,17.613099,10.752009,10.752009,22.855295,136.459945,113.604650
1,16,15615,249840,17.930645,13.208884,13.208884,25.458813,145.039987,119.581174
1,16,17811,284976,18.120481,14.987000,14.987000,26.558286,139.379990,112.821705
1,16,18962,303392,18.210824,15.857179,15.857179,27.809580,138.619915,110.810334
1,16,23057,368912,18.492917,19.150420,19.150420,30.916429,144.049991,113.133562
1,16,47251,756016,19.528057,38.060849,38.060849,50.010321,167.920021,117.909700
