d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.084857,1.084857,12.481152,137.428986,124.947834
1,1,16,16,4.000000,1.074981,1.074981,12.962696,135.199982,122.237286
1,1,18,18,4.169925,1.090706,1.090706,13.010866,134.448987,121.438120
1,1,25,25,4.643856,1.086134,1.086134,13.060857,135.540031,122.479174
1,1,40,40,5.321928,1.074268,1.074268,12.757152,136.049930,123.292778
1,1,61,61,5.930737,1.091527,1.091527,11.976294,133.270049,121.293754
1,1,87,87,6.442943,1.073116,1.073116,12.404839,132.480054,120.075215
1,1,102,102,6.672425,1.083125,1.083125,12.709295,138.849951,126.140657
1,1,120,120,6.906891,1.078696,1.078696,12.577848,132.680056,120.102207
1,1,157,157,7.294621,0.827839,0.827839,12.712982,132.210087,119.497105
1,1,354,354,8.467606,0.835965,0.835965,14.517000,136.279967,121.762966
1,1,1138,1138,10.152285,0.867830,0.867830,13.365420,132.808927,119.443508
1,1,1470,1470,10.521600,0.873215,0.873215,13.192563,134.140020,120.947458
1,1,1753,1753,10.775610,0.865589,0.865589,13.825580,128.949992,115.124412
1,1,1915,1915,10.903129,0.898571,0.898571,14.420571,136.970077,122.549505
1,1,2151,2151,11.070792,0.909473,0.909473,13.496724,136.050046,122.553323
1,1,2887,2887,11.495355,0.890956,0.890956,13.047009,129.349995,116.302986
1,1,3457,3457,11.755305,0.901509,0.901509,13.173965,130.839995,117.666031
1,1,5671,5671,12.469387,0.918250,0.918250,13.120143,130.470027,117.349885
1,1,27859,27859,14.765856,1.092125,1.092125,12.809018,140.539953,127.730935
1,1,58917,58917,15.846396,1.367705,1.367705,12.790429,133.240013,120.449585
1,1,60577,60577,15.886483,1.384848,1.384848,14.009991,160.760013,146.750022
1,1,109348,109348,16.738567,1.796536,1.796536,13.076268,131.568988,118.492720
1,1,159502,159502,17.283215,2.100964,2.100964,14.610250,131.831039,117.220789
1,2,7734,15468,13.916999,0.934125,0.934125,13.346563,130.350003,117.003441
1,8,10,80,6.321928,0.824884,0.824884,14.117580,131.179928,117.062348
1,8,18,144,7.169925,0.825420,0.825420,13.939875,129.160006,115.220131
1,8,44,352,8.459432,0.858348,0.858348,13.940036,135.959941,122.019905
1,8,48,384,8.584963,0.834509,0.834509,13.312723,131.870038,118.557315
1,8,53,424,8.727920,0.824884,0.824884,12.712428,134.950969,122.238541
1,8,116,928,9.857981,0.828982,0.828982,13.368000,141.639961,128.271961
1,8,124,992,9.954196,0.860652,0.860652,14.970857,130.268978,115.298121
1,8,218,1744,10.768184,0.826446,0.826446,13.029598,130.780041,117.750443
1,8,281,2248,11.134426,0.862286,0.862286,13.242170,134.028960,120.786790
1,8,395,3160,11.625709,0.880830,0.880830,12.036018,136.910006,124.873989
1,8,425,3400,11.731319,0.867589,0.867589,13.553304,130.209024,116.655720
1,8,487,3896,11.927778,0.864009,0.864009,15.535839,135.169015,119.633176
1,8,553,4424,12.111136,0.880589,0.880589,11.753393,134.670991,122.917598
1,8,848,6784,12.727920,0.877572,0.877572,12.926723,130.579923,117.653200
1,8,921,7368,12.847057,0.907437,0.907437,11.822598,132.170040,120.347442
1,8,1572,12576,13.618386,0.897197,0.897197,13.852134,131.519977,117.667843
1,8,5534,44272,15.434107,0.969304,0.969304,13.082750,131.150009,118.067259
1,8,7159,57272,15.805542,1.034312,1.034312,13.116116,132.219982,119.103866
1,8,8659,69272,16.079985,1.051286,1.051286,14.519554,132.199959,117.680405
1,8,18677,149416,17.188975,1.205009,1.205009,14.797295,131.850014,117.052720
1,8,19347,154776,17.239822,1.232116,1.232116,12.985000,132.369925,119.384925
1,8,23842,190736,17.541218,1.331964,1.331964,13.972277,131.209032,117.236755
1,8,27070,216560,17.724407,1.390393,1.390393,15.347134,132.209971,116.862837
1,8,89778,718224,19.454074,2.431160,2.431160,14.918268,137.950061,123.031793
1,8,143046,1144368,20.126120,3.296420,3.296420,16.381446,144.009944,127.628498
1,14,94,1316,10.361944,0.861196,0.861196,12.178447,133.390073,121.211626
1,15,5,75,6.228819,0.831857,0.831857,12.422723,132.050947,119.628224
1,16,8,128,7.000000,0.861045,0.861045,14.971553,132.940011,117.968458
1,16,10,160,7.321928,0.999098,0.999098,12.873000,132.919988,120.046988
1,16,15,240,7.906891,1.015875,1.015875,15.804419,132.180052,116.375632
1,16,25,400,8.643856,0.882955,0.882955,12.218125,134.389964,122.171839
1,16,63,1008,9.977280,0.870313,0.870313,12.073402,139.190000,127.116599
1,16,160,2560,11.321928,0.851161,0.851161,13.119161,132.119982,119.000821
1,16,182,2912,11.507795,0.894080,0.894080,12.543732,129.399938,116.856205
1,16,185,2960,11.531381,0.867152,0.867152,12.376705,132.419984,120.043279
1,16,237,3792,11.888743,0.919429,0.919429,11.689134,135.650043,123.960909
1,16,277,4432,12.113742,0.867384,0.867384,13.513018,132.360030,118.847012
1,16,293,4688,12.194757,0.886491,0.886491,12.902598,130.670029,117.767430
1,16,341,5456,12.413628,0.884000,0.884000,12.651027,138.400006,125.748980
1,16,436,6976,12.768184,0.874187,0.874187,13.523160,135.359936,121.836776
1,16,438,7008,12.774787,0.879822,0.879822,12.515723,130.529981,118.014258
1,16,483,7728,12.915879,0.884446,0.884446,16.814580,133.069931,116.255350
1,16,544,8704,13.087463,0.905018,0.905018,12.739563,131.529989,118.790426
1,16,659,10544,13.364135,0.892902,0.892902,12.735009,131.779932,119.044924
1,16,1255,20080,14.293472,0.931553,0.931553,12.798134,133.919995,121.121861
1,16,1535,24560,14.584023,0.890759,0.890759,12.649125,133.489957,120.840832
1,16,1887,30192,14.881879,0.950000,0.950000,12.975723,136.420014,123.444291
1,16,2232,35712,15.124121,0.945205,0.945205,12.141572,140.019925,127.878354
1,16,2665,42640,15.379920,0.976392,0.976392,13.004455,134.289963,121.285508
1,16,3083,49328,15.590119,1.000446,1.000446,15.191000,132.109970,116.918970
1,16,8979,143664,17.132339,1.233125,1.233125,13.588509,134.289963,120.701454
1,16,9371,149936,17.193987,1.235428,1.235428,12.408571,135.750044,123.341473
1,16,11455,183280,17.483690,1.338732,1.338732,14.530884,132.109039,117.578154
1,16,12530,200480,17.613099,1.344572,1.344572,15.560429,132.719986,117.159558
1,16,15615,249840,17.930645,1.497259,1.497259,13.413446,134.730013,121.316567
1,16,17811,284976,18.120481,1.497009,1.497009,14.247411,135.009992,120.762581
1,16,18962,303392,18.210824,1.542733,1.542733,13.773009,135.699986,121.926977
1,16,23057,368912,18.492917,1.700134,1.700134,13.681563,135.309994,121.628432
1,16,47251,756016,19.528057,2.493009,2.493009,14.268875,133.999973,119.731098
1,16,74917,1198672,20.193006,3.382277,3.382277,15.129098,135.499984,120.370886
1,16,80231,1283696,20.291872,3.521277,3.521277,15.546893,136.540039,120.993146
1,16,107984,1727744,20.720458,4.469947,4.469947,16.548946,138.219912,121.670965
1,16,133762,2140192,21.029309,5.253447,5.253447,17.612312,136.779970,119.167658
1,16,140423,2246768,21.099420,5.626125,5.626125,16.920866,135.169947,118.249081
1,17,39,663,9.372865,0.871000,0.871000,16.063679,155.100017,139.036338
1,23,32710,752330,19.521006,2.563714,2.563714,14.238143,134.700094,120.461952
1,38,693,26334,14.684639,0.928438,0.928438,12.391607,132.260029,119.868422
1,64,12,768,9.584963,0.826330,0.826330,12.430446,133.499969,121.069522
1,64,16,1024,10.000000,0.825830,0.825830,12.967598,133.080059,120.112460
1,64,41,2624,11.357552,0.884428,0.884428,12.170884,133.510097,121.339213
1,64,76,4864,12.247928,1.029786,1.029786,12.614527,133.299967,120.685440
1,64,78,4992,12.285402,1.035009,1.035009,12.787580,140.699907,127.912327
1,64,137,8768,13.098032,0.916714,0.916714,12.030839,135.699986,123.669146
1,64,138,8832,13.108524,0.911562,0.911562,13.490705,135.980081,122.489375
1,64,645,41280,15.333155,1.018125,1.018125,12.482714,136.730028,124.247314
1,64,1002,64128,15.968667,1.023786,1.023786,13.568750,132.050016,118.481266
1,64,1025,65600,16.001408,1.053759,1.053759,12.938866,137.700001,124.761135
1,64,1130,72320,16.142107,1.073563,1.073563,12.689688,132.599962,119.910274
1,64,1961,125504,16.937374,1.184009,1.184009,13.200857,161.619973,148.419116
1,64,3389,216896,17.726644,1.427616,1.427616,15.336741,135.620008,120.283267
1,64,3494,223616,17.770664,1.427428,1.427428,13.892250,136.699993,122.807743
1,64,4137,264768,18.014369,1.525045,1.525045,17.176420,153.800007,136.623587
1,64,4919,314816,18.264149,1.631143,1.631143,13.710295,131.270033,117.559738
1,64,12279,785856,19.583905,2.597009,2.597009,14.017723,136.939925,122.922202
1,64,14850,950400,19.858175,2.952616,2.952616,14.555839,147.669925,133.114086
1,64,15177,971328,19.889599,2.917830,2.917830,14.234706,138.789997,124.555292
1,64,21843,1397952,20.414883,3.881286,3.881286,17.834152,143.590034,125.755882
1,64,26648,1705472,20.701740,4.502143,4.502143,16.025875,169.580104,153.554229
1,64,44133,2824512,21.429570,6.805321,6.805321,20.456268,136.260060,115.803792
1,64,47390,3032960,21.532295,7.159134,7.159134,18.888571,139.709911,120.821340
1,64,54202,3468928,21.726058,8.059545,8.059545,20.666803,138.640055,117.973251
1,64,70342,4501888,22.102099,10.222446,10.222446,23.127152,151.749933,128.622782
1,64,91122,5831808,22.475512,12.794375,12.794375,26.316000,147.660030,121.344030
1,64,93296,5970944,22.509528,13.055571,13.055571,27.976009,181.570998,153.594989
1,64,108771,6961344,22.730934,14.727812,14.727812,27.685991,148.340012,120.654021
1,92,10719,986148,19.911445,3.109214,3.109214,14.792553,141.710974,126.918421
1,128,9,1152,10.169925,0.870169,0.870169,12.444732,132.030924,119.586192
1,128,10,1280,10.321928,0.851598,0.851598,16.609723,130.690052,114.080329
1,128,11,1408,10.459432,0.836652,0.836652,15.317581,134.860049,119.542469
1,128,17,2176,11.087463,0.825714,0.825714,13.771143,133.070978,119.299835
1,128,21,2688,11.392317,0.852134,0.852134,12.040322,135.069946,123.029624
