d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.217322,1.217322,12.153429,134.000089,121.846660
1,1,16,16,4.000000,1.208590,1.208590,10.624723,130.419969,119.795246
1,1,18,18,4.169925,1.217580,1.217580,10.908706,138.959964,128.051258
1,1,25,25,4.643856,1.248223,1.248223,10.982589,130.560016,119.577427
1,1,40,40,5.321928,1.207420,1.207420,11.566580,131.170033,119.603452
1,1,61,61,5.930737,1.201241,1.201241,10.860393,135.409995,124.549602
1,1,87,87,6.442943,1.223187,1.223187,10.925313,129.239983,118.314670
1,1,102,102,6.672425,1.201777,1.201777,11.013259,129.049993,118.036734
1,1,120,120,6.906891,1.201822,1.201822,11.392696,131.179928,119.787231
1,1,157,157,7.294621,0.879581,0.879581,10.629295,131.170033,120.540738
1,1,354,354,8.467606,0.860563,0.860563,12.778259,128.680025,115.901766
1,1,1138,1138,10.152285,0.919286,0.919286,10.481009,129.500055,119.019046
1,1,1470,1470,10.521600,0.966428,0.966428,10.728848,130.800065,120.071216
1,1,1753,1753,10.775610,0.940839,0.940839,10.943706,135.830021,124.886316
1,1,1915,1915,10.903129,0.947313,0.947313,11.699429,133.559923,121.860494
1,1,2151,2151,11.070792,0.942893,0.942893,12.113286,129.680033,117.566747
1,1,2887,2887,11.495355,0.969455,0.969455,11.959277,128.460000,116.500723
1,1,3457,3457,11.755305,1.047946,1.047946,11.015563,129.770022,118.754459
1,1,5671,5671,12.469387,1.076652,1.076652,12.813991,169.370091,156.556099
1,1,27859,27859,14.765856,1.590187,1.590187,11.899429,131.709967,119.810538
1,1,58917,58917,15.846396,2.453580,2.453580,14.117134,133.160036,119.042902
1,1,60577,60577,15.886483,2.467527,2.467527,14.125714,131.020090,116.894375
1,1,109348,109348,16.738567,3.687982,3.687982,14.413848,131.179928,116.766080
1,1,159502,159502,17.283215,4.938616,4.938616,14.516705,132.030109,117.513404
1,2,7734,15468,13.916999,1.123402,1.123402,11.515848,126.629951,115.114103
1,8,10,80,6.321928,0.842526,0.842526,10.380268,133.619993,123.239725
1,8,18,144,7.169925,0.860839,0.860839,13.396554,128.589920,115.193366
1,8,44,352,8.459432,0.862393,0.862393,10.969562,129.729975,118.760413
1,8,48,384,8.584963,0.878991,0.878991,10.757420,129.110063,118.352644
1,8,53,424,8.727920,0.862759,0.862759,10.282009,130.390050,120.108041
1,8,116,928,9.857981,0.856420,0.856420,11.067553,132.360030,121.292477
1,8,124,992,9.954196,0.888125,0.888125,10.312428,132.890069,122.577641
1,8,218,1744,10.768184,0.934027,0.934027,10.841839,132.890069,122.048230
1,8,281,2248,11.134426,0.975866,0.975866,11.900821,129.270018,117.369197
