d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.835705,0.835705,14.817429,130.929053,116.111624
1,1,16,16,4.000000,0.847652,0.847652,15.872714,130.510074,114.637360
1,1,18,18,4.169925,0.829250,0.829250,13.754437,129.309949,115.555511
1,1,25,25,4.643856,0.842294,0.842294,13.479027,130.629982,117.150955
1,1,40,40,5.321928,0.828465,0.828465,16.342178,129.849999,113.507821
1,1,61,61,5.930737,0.828036,0.828036,14.187036,127.849984,113.662948
1,1,87,87,6.442943,0.829705,0.829705,14.477152,129.599939,115.122787
1,1,102,102,6.672425,0.844759,0.844759,15.100589,128.870015,113.769426
1,1,120,120,6.906891,0.828411,0.828411,13.984143,131.970039,117.985896
1,1,157,157,7.294621,0.851446,0.851446,14.646134,132.040004,117.393870
1,1,354,354,8.467606,0.847750,0.847750,13.929036,131.319975,117.390940
1,1,1138,1138,10.152285,0.883830,0.883830,15.907866,129.980035,114.072169
1,1,1470,1470,10.521600,0.896741,0.896741,15.214830,166.060054,150.845223
1,1,1753,1753,10.775610,0.886295,0.886295,14.040116,129.339984,115.299868
1,1,1915,1915,10.903129,0.906750,0.906750,13.721759,140.120042,126.398284
1,1,2151,2151,11.070792,0.934858,0.934858,17.691268,128.150103,110.458835
1,1,2887,2887,11.495355,0.938161,0.938161,13.837607,133.309979,119.472372
1,1,3457,3457,11.755305,0.911429,0.911429,16.139036,129.588996,113.449960
1,1,5671,5671,12.469387,0.967571,0.967571,13.853696,132.009969,118.156273
1,1,27859,27859,14.765856,1.390419,1.390419,15.499875,130.319968,114.820093
1,1,58917,58917,15.846396,1.822402,1.822402,14.817732,139.411073,124.593341
1,1,60577,60577,15.886483,1.904830,1.904830,15.184107,133.330002,118.145895
1,1,109348,109348,16.738567,2.554232,2.554232,15.547134,131.760025,116.212891
1,1,159502,159502,17.283215,3.445437,3.445437,16.275134,131.999957,115.724823
1,2,7734,15468,13.916999,1.038652,1.038652,13.398419,135.259936,121.861516
1,8,10,80,6.321928,0.853286,0.853286,13.618580,132.699963,119.081382
1,8,18,144,7.169925,0.837661,0.837661,13.426598,128.109939,114.683341
1,8,44,352,8.459432,0.848304,0.848304,16.042429,128.300046,112.257617
1,8,48,384,8.584963,0.836795,0.836795,13.778973,127.529027,113.750054
1,8,53,424,8.727920,0.841580,0.841580,13.228017,136.669958,123.441941
1,8,116,928,9.857981,0.837544,0.837544,13.917839,147.979939,134.062100
1,8,124,992,9.954196,0.868357,0.868357,14.903277,131.360022,116.456746
1,8,218,1744,10.768184,0.882116,0.882116,13.934125,129.610067,115.675942
1,8,281,2248,11.134426,0.904902,0.904902,13.709714,130.200060,116.490346
1,8,395,3160,11.625709,0.951848,0.951848,13.389152,130.960019,117.570868
1,8,425,3400,11.731319,0.890910,0.890910,15.656027,139.639946,123.983919
1,8,487,3896,11.927778,0.876143,0.876143,14.691018,163.779943,149.088925
1,8,553,4424,12.111136,0.897562,0.897562,14.194429,128.760003,114.565574
1,8,848,6784,12.727920,0.916598,0.916598,15.096723,135.999988,120.903265
1,8,921,7368,12.847057,0.945714,0.945714,14.814553,143.709942,128.895388
1,8,1572,12576,13.618386,0.946170,0.946170,14.003294,139.390002,125.386708
1,8,5534,44272,15.434107,1.142857,1.142857,15.043286,133.688911,118.645625
1,8,7159,57272,15.805542,1.206803,1.206803,14.753705,130.720087,115.966382
1,8,8659,69272,16.079985,1.287473,1.287473,17.886277,131.929992,114.043715
1,8,18677,149416,17.188975,1.713973,1.713973,16.289839,131.750014,115.460174
1,8,19347,154776,17.239822,1.729116,1.729116,16.028268,136.089977,120.061709
1,8,23842,190736,17.541218,1.941875,1.941875,16.689580,134.469941,117.780361
1,8,27070,216560,17.724407,2.001813,2.001813,16.178134,130.990054,114.811921
1,8,89778,718224,19.454074,4.379437,4.379437,17.498723,138.210016,120.711293
1,8,143046,1144368,20.126120,6.520884,6.520884,20.745875,134.579954,113.834079
1,14,94,1316,10.361944,0.902875,0.902875,15.855848,135.470065,119.614217
1,15,5,75,6.228819,0.856643,0.856643,14.556419,129.160006,114.603586
1,16,8,128,7.000000,0.837982,0.837982,14.755277,130.699947,115.944671
1,16,10,160,7.321928,0.887428,0.887428,12.902286,127.880019,114.977733
1,16,15,240,7.906891,0.893419,0.893419,14.652143,129.829976,115.177833
1,16,25,400,8.643856,0.904580,0.904580,14.051714,126.649975,112.598261
1,16,63,1008,9.977280,0.869429,0.869429,14.222821,136.420014,122.197193
1,16,160,2560,11.321928,0.885304,0.885304,14.591429,130.219967,115.628538
1,16,182,2912,11.507795,0.882893,0.882893,12.801607,126.959989,114.158382
1,16,185,2960,11.531381,0.906580,0.906580,12.743732,130.179920,117.436188
1,16,237,3792,11.888743,0.930536,0.930536,13.409723,128.980028,115.570304
1,16,277,4432,12.113742,0.893358,0.893358,14.138857,137.910014,123.771157
1,16,293,4688,12.194757,0.924446,0.924446,13.493464,128.929969,115.436505
1,16,341,5456,12.413628,0.888589,0.888589,13.947571,130.890054,116.942482
1,16,436,6976,12.768184,0.937018,0.937018,14.232688,127.839972,113.607285
1,16,438,7008,12.774787,0.921857,0.921857,14.457563,140.389893,125.932331
1,16,483,7728,12.915879,0.923893,0.923893,16.061705,131.280045,115.218340
1,16,544,8704,13.087463,0.926009,0.926009,13.025277,138.360076,125.334799
1,16,659,10544,13.364135,0.950821,0.950821,14.572982,130.299944,115.726962
1,16,1255,20080,14.293472,0.989125,0.989125,12.940437,131.339999,118.399561
1,16,1535,24560,14.584023,0.998884,0.998884,15.035170,129.009946,113.974777
1,16,1887,30192,14.881879,1.077759,1.077759,13.589973,131.670036,118.080063
1,16,2232,35712,15.124121,1.123902,1.123902,14.412134,129.029970,114.617835
1,16,2665,42640,15.379920,1.153304,1.153304,15.155866,128.300046,113.144180
1,16,3083,49328,15.590119,1.206027,1.206027,14.134259,129.020074,114.885816
1,16,8979,143664,17.132339,1.640402,1.640402,20.083178,128.690037,108.606859
1,16,9371,149936,17.193987,1.669455,1.669455,14.867446,130.450004,115.582558
