d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.081321,1.081321,14.890589,137.220020,122.329431
1,1,16,16,4.000000,1.093705,1.093705,14.597580,134.040019,119.442439
1,1,18,18,4.169925,1.095510,1.095510,14.945991,143.390032,128.444041
1,1,25,25,4.643856,1.075384,1.075384,14.950411,135.579961,120.629550
1,1,40,40,5.321928,1.073964,1.073964,14.913179,134.040019,119.126841
1,1,61,61,5.930737,1.074134,1.074134,15.376286,136.059942,120.683656
1,1,87,87,6.442943,1.076124,1.076124,15.053125,134.920003,119.866878
1,1,102,102,6.672425,1.074794,1.074794,15.806161,135.320006,119.513845
1,1,120,120,6.906891,1.099947,1.099947,14.129696,134.590082,120.460386
1,1,157,157,7.294621,0.874250,0.874250,16.760277,134.450034,117.689757
1,1,354,354,8.467606,0.856384,0.856384,14.708991,134.309987,119.600995
1,1,1138,1138,10.152285,0.898857,0.898857,17.870419,135.520007,117.649588
1,1,1470,1470,10.521600,0.874732,0.874732,19.788580,136.089977,116.301397
1,1,1753,1753,10.775610,0.892741,0.892741,13.686973,138.379983,124.693010
1,1,1915,1915,10.903129,0.889017,0.889017,14.158304,133.140013,118.981709
1,1,2151,2151,11.070792,0.920901,0.920901,15.378152,138.459960,123.081808
1,1,2887,2887,11.495355,0.967411,0.967411,13.608875,132.380053,118.771179
1,1,3457,3457,11.755305,0.929544,0.929544,15.058598,140.259974,125.201375
1,1,5671,5671,12.469387,0.981295,0.981295,14.815714,170.479994,155.664280
1,1,27859,27859,14.765856,1.325920,1.325920,14.892277,139.210024,124.317747
1,1,58917,58917,15.846396,1.827152,1.827152,14.770143,133.999973,119.229830
1,1,60577,60577,15.886483,1.910313,1.910313,16.435295,140.639953,124.204658
1,1,109348,109348,16.738567,2.222670,2.222670,14.405589,136.288931,121.883341
1,1,159502,159502,17.283215,2.797830,2.797830,15.921893,138.759962,122.838069
1,2,7734,15468,13.916999,1.025723,1.025723,16.837295,191.850006,175.012711
1,8,10,80,6.321928,0.838437,0.838437,13.388857,141.419936,128.031079
1,8,18,144,7.169925,0.867009,0.867009,17.166009,136.210001,119.043992
1,8,44,352,8.459432,0.826250,0.826250,13.769866,135.630020,121.860154
1,8,48,384,8.584963,0.826170,0.826170,15.392143,133.140013,117.747869
1,8,53,424,8.727920,0.848277,0.848277,14.811429,134.520000,119.708571
1,8,116,928,9.857981,0.846420,0.846420,18.537741,134.289963,115.752222
1,8,124,992,9.954196,0.835607,0.835607,14.232268,143.239973,129.007705
1,8,218,1744,10.768184,0.901116,0.901116,13.552545,136.699993,123.147449
1,8,281,2248,11.134426,0.880580,0.880580,15.762697,135.509996,119.747299
1,8,395,3160,11.625709,0.902009,0.902009,14.787866,132.619985,117.832119
1,8,425,3400,11.731319,0.888187,0.888187,15.403973,133.738969,118.334996
1,8,487,3896,11.927778,0.871714,0.871714,16.290973,138.669973,122.379000
1,8,553,4424,12.111136,0.882304,0.882304,14.356839,138.600008,124.243168
1,8,848,6784,12.727920,0.905884,0.905884,20.103732,133.219990,113.116258
1,8,921,7368,12.847057,0.913304,0.913304,15.924241,136.210001,120.285760
1,8,1572,12576,13.618386,0.954241,0.954241,21.122705,138.279982,117.157276
1,8,5534,44272,15.434107,1.071125,1.071125,14.592000,133.051071,118.459071
1,8,7159,57272,15.805542,1.126839,1.126839,14.429321,135.909999,121.480678
1,8,8659,69272,16.079985,1.163420,1.163420,14.746268,137.089984,122.343717
1,8,18677,149416,17.188975,1.571286,1.571286,17.269571,132.819987,115.550415
1,8,19347,154776,17.239822,1.571000,1.571000,14.775705,132.860034,118.084328
1,8,23842,190736,17.541218,1.802295,1.802295,15.880295,134.860049,118.979754
1,8,27070,216560,17.724407,1.895839,1.895839,14.870295,134.589965,119.719671
1,8,89778,718224,19.454074,3.875402,3.875402,19.051804,147.429993,128.378190
1,8,143046,1144368,20.126120,5.178384,5.178384,19.026723,139.649957,120.623234
1,14,94,1316,10.361944,0.879250,0.879250,14.859000,134.520000,119.661000
1,15,5,75,6.228819,0.825027,0.825027,15.455179,134.710921,119.255742
1,16,8,128,7.000000,0.840108,0.840108,15.926723,132.619985,116.693262
1,16,10,160,7.321928,0.993464,0.993464,16.843589,133.529073,116.685483
1,16,15,240,7.906891,1.008696,1.008696,15.432741,139.408978,123.976237
1,16,25,400,8.643856,0.864027,0.864027,14.289232,142.239965,127.950733
1,16,63,1008,9.977280,0.880964,0.880964,15.029562,132.229994,117.200432
1,16,160,2560,11.321928,0.874616,0.874616,17.432848,134.809990,117.377142
1,16,182,2912,11.507795,0.898634,0.898634,14.505232,137.740048,123.234816
1,16,185,2960,11.531381,0.882018,0.882018,15.507009,134.651083,119.144075
1,16,237,3792,11.888743,0.896143,0.896143,15.312982,141.100027,125.787045
1,16,277,4432,12.113742,0.915169,0.915169,14.613812,140.759978,126.146165
1,16,293,4688,12.194757,0.880688,0.880688,14.745018,135.940034,121.195016
1,16,341,5456,12.413628,0.895277,0.895277,15.680839,134.289963,118.609124
1,16,436,6976,12.768184,0.922018,0.922018,13.230536,135.490904,122.260368
1,16,438,7008,12.774787,0.902054,0.902054,14.535152,139.990007,125.454855
1,16,483,7728,12.915879,0.927330,0.927330,13.283813,133.349909,120.066097
1,16,544,8704,13.087463,0.953161,0.953161,15.598018,138.100004,122.501986
1,16,659,10544,13.364135,0.921714,0.921714,14.828152,132.680056,117.851904
1,16,1255,20080,14.293472,0.989286,0.989286,13.791446,137.510011,123.718565
1,16,1535,24560,14.584023,0.982589,0.982589,13.959688,134.899979,120.940292
1,16,1887,30192,14.881879,1.027857,1.027857,14.128839,132.960035,118.831195
