d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.424555,1.424555,1.429969,172.130007,170.700038
1,1,16,16,4.000000,1.416180,1.416180,1.421852,161.640055,160.218203
1,1,18,18,4.169925,1.416203,1.416203,1.421859,166.750047,165.328188
1,1,25,25,4.643856,1.429617,1.429617,1.434969,164.040015,162.605046
1,1,40,40,5.321928,1.425203,1.425203,1.431141,161.589996,160.158856
1,1,61,61,5.930737,1.432828,1.432828,1.438477,165.349978,163.911502
1,1,87,87,6.442943,1.448555,1.448555,1.454336,163.070043,161.615707
1,1,102,102,6.672425,1.416625,1.416625,1.422094,161.800010,160.377916
1,1,120,120,6.906891,1.424109,1.424109,1.430758,180.780014,179.349257
1,1,157,157,7.294621,0.982422,0.982422,0.986117,165.220001,164.233884
1,1,354,354,8.467606,1.002109,1.002109,1.006031,164.700032,163.694001
1,1,1138,1138,10.152285,1.056992,1.056992,1.060891,163.630000,162.569110
1,1,1470,1470,10.521600,1.118531,1.118531,1.122758,188.930018,187.807261
1,1,1753,1753,10.775610,1.081602,1.081602,1.085641,164.429948,163.344308
1,1,1915,1915,10.903129,1.081570,1.081570,1.085797,180.199975,179.114178
1,1,2151,2151,11.070792,1.099406,1.099406,1.103758,176.600006,175.496248
1,1,2887,2887,11.495355,1.143664,1.143664,1.147648,160.500000,159.352351
1,1,3457,3457,11.755305,1.126156,1.126156,1.130641,166.929967,165.799327
1,1,5671,5671,12.469387,1.155672,1.155672,1.159984,168.950006,167.790022
1,1,27859,27859,14.765856,1.527508,1.527508,1.531305,160.929980,159.398675
1,1,58917,58917,15.846396,1.970320,1.970320,1.975008,171.019987,169.044979
1,1,60577,60577,15.886483,2.028109,2.028109,2.031703,168.889994,166.858291
1,1,109348,109348,16.738567,2.757734,2.757734,2.761648,172.509986,169.748338
1,1,159502,159502,17.283215,5.565961,5.565961,5.569531,165.489968,159.920437
1,2,7734,15468,13.916999,1.184133,1.184133,1.188258,161.579985,160.391727
1,8,10,80,6.321928,1.009945,1.009945,1.013391,163.040007,162.026617
1,8,18,144,7.169925,0.997047,0.997047,1.000398,154.910027,153.909629
1,8,44,352,8.459432,1.006547,1.006547,1.010859,163.600023,162.589164
1,8,48,384,8.584963,1.009211,1.009211,1.013008,162.159966,161.146958
1,8,53,424,8.727920,1.017492,1.017492,1.021523,152.780034,151.758511
1,8,116,928,9.857981,1.008727,1.008727,1.012398,152.480032,151.467633
1,8,124,992,9.954196,0.998672,0.998672,1.002875,155.308982,154.306107
1,8,218,1744,10.768184,1.000133,1.000133,1.004008,164.230005,163.225997
1,8,281,2248,11.134426,1.030617,1.030617,1.034414,170.430052,169.395638
1,8,395,3160,11.625709,1.061586,1.061586,1.065383,164.640020,163.574637
1,8,425,3400,11.731319,1.043516,1.043516,1.047391,156.539958,155.492567
1,8,487,3896,11.927778,1.040305,1.040305,1.044516,162.300013,161.255498
1,8,553,4424,12.111136,1.053852,1.053852,1.058070,201.590010,200.531940
1,8,848,6784,12.727920,1.086719,1.086719,1.090172,155.800022,154.709850
1,8,921,7368,12.847057,1.072883,1.072883,1.076984,156.509981,155.432997
1,8,1572,12576,13.618386,1.107141,1.107141,1.111141,162.069977,160.958836
1,8,5534,44272,15.434107,1.292766,1.292766,1.296758,171.110034,169.813276
1,8,7159,57272,15.805542,1.391875,1.391875,1.395562,161.879987,160.484425
1,8,8659,69272,16.079985,1.483727,1.483727,1.487672,175.570021,174.082350
1,8,18677,149416,17.188975,1.878336,1.878336,1.882031,161.589996,159.707965
1,8,19347,154776,17.239822,1.873649,1.873649,1.876812,202.469993,200.593181
1,8,23842,190736,17.541218,2.037094,2.037094,2.040875,214.979984,212.939109
1,8,27070,216560,17.724407,2.245344,2.245344,2.249492,173.859997,171.610505
1,8,89778,718224,19.454074,4.332133,4.332133,4.335922,163.230055,158.894134
1,8,143046,1144368,20.126120,8.335289,8.335289,8.339633,175.659952,167.320319
