d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.406383,1.406383,1.411273,151.690037,150.278764
1,1,16,16,4.000000,1.429656,1.429656,1.434016,146.790000,145.355985
1,1,18,18,4.169925,1.425609,1.425609,1.430961,149.150030,147.719069
1,1,25,25,4.643856,1.407266,1.407266,1.412492,144.310005,142.897512
1,1,40,40,5.321928,1.413898,1.413898,1.419820,153.539993,152.120173
1,1,61,61,5.930737,1.407594,1.407594,1.412000,149.999978,148.587978
1,1,87,87,6.442943,1.424797,1.424797,1.429547,144.670019,143.240472
1,1,102,102,6.672425,1.426180,1.426180,1.431945,154.169975,152.738029
1,1,120,120,6.906891,1.449711,1.449711,1.455055,148.540013,147.084959
1,1,157,157,7.294621,0.975766,0.975766,0.979250,150.640029,149.660779
1,1,354,354,8.467606,1.010625,1.010625,1.014508,145.619968,144.605460
1,1,1138,1138,10.152285,1.057516,1.057516,1.061312,135.660055,134.598743
1,1,1470,1470,10.521600,1.046648,1.046648,1.050742,150.070002,149.019260
1,1,1753,1753,10.775610,1.092977,1.092977,1.096766,151.589978,150.493213
1,1,1915,1915,10.903129,1.071180,1.071180,1.075117,139.699958,138.624841
1,1,2151,2151,11.070792,1.084406,1.084406,1.088195,156.719994,155.631799
1,1,2887,2887,11.495355,1.111797,1.111797,1.115070,138.720032,137.604962
1,1,3457,3457,11.755305,1.145227,1.145227,1.149039,147.359970,146.210931
1,1,5671,5671,12.469387,1.205844,1.205844,1.209375,144.950056,143.740681
1,1,27859,27859,14.765856,1.581078,1.581078,1.585414,147.309969,145.724555
1,1,58917,58917,15.846396,2.149086,2.149086,2.152891,154.390000,152.237109
1,1,60577,60577,15.886483,2.204086,2.204086,2.207898,161.000004,158.792105
1,1,109348,109348,16.738567,3.031383,3.031383,3.035172,146.919978,143.884806
1,1,159502,159502,17.283215,3.597188,3.597188,3.600867,167.619961,164.019094
1,2,7734,15468,13.916999,1.214391,1.214391,1.218609,148.780004,147.561394
1,8,10,80,6.321928,1.039078,1.039078,1.042969,154.779991,153.737022
1,8,18,144,7.169925,1.038531,1.038531,1.042312,152.799999,151.757687
1,8,44,352,8.459432,1.036859,1.036859,1.040672,143.509998,142.469327
1,8,48,384,8.584963,1.045703,1.045703,1.049625,154.400012,153.350387
1,8,53,424,8.727920,1.011016,1.011016,1.015000,151.480024,150.465024
1,8,116,928,9.857981,1.024109,1.024109,1.028055,139.800017,138.771962
1,8,124,992,9.954196,1.023141,1.023141,1.026805,152.029970,151.003166
1,8,218,1744,10.768184,1.052453,1.052453,1.056789,151.310000,150.253211
1,8,281,2248,11.134426,1.043602,1.043602,1.047344,151.880027,150.832683
1,8,395,3160,11.625709,1.115766,1.115766,1.119773,153.239991,152.120218
1,8,425,3400,11.731319,1.052211,1.052211,1.055664,148.190011,147.134347
1,8,487,3896,11.927778,1.075898,1.075898,1.079531,156.159978,155.080447
1,8,553,4424,12.111136,1.079570,1.079570,1.083047,163.730001,162.646954
1,8,848,6784,12.727920,1.098547,1.098547,1.102664,146.840001,145.737337
1,8,921,7368,12.847057,1.133852,1.133852,1.137750,150.299980,149.162230
1,8,1572,12576,13.618386,1.168258,1.168258,1.172398,146.170030,144.997632
1,8,5534,44272,15.434107,1.321484,1.321484,1.325008,142.389967,141.064959
1,8,7159,57272,15.805542,1.452141,1.452141,1.456055,149.569998,148.113943
1,8,8659,69272,16.079985,1.446976,1.446976,1.451625,149.780011,148.328386
1,8,18677,149416,17.188975,1.915062,1.915062,1.919242,150.560052,148.640810
1,8,19347,154776,17.239822,1.925164,1.925164,1.929148,147.290004,145.360856
1,8,23842,190736,17.541218,2.106500,2.106500,2.109953,151.510001,149.400048
1,8,27070,216560,17.724407,2.201758,2.201758,2.205773,151.330023,149.124250
1,8,89778,718224,19.454074,4.577695,4.577695,4.581914,161.700009,157.118095
1,8,143046,1144368,20.126120,5.421602,5.421602,5.425195,160.249998,154.824803
1,14,94,1316,10.361944,1.042227,1.042227,1.046125,153.089990,152.043865
1,15,5,75,6.228819,1.011133,1.011133,1.015164,141.729950,140.714786
1,16,8,128,7.000000,1.067984,1.067984,1.071875,151.180022,150.108147
1,16,10,160,7.321928,1.045391,1.045391,1.049383,150.690030,149.640647
1,16,15,240,7.906891,1.069047,1.069047,1.072898,146.589999,145.517100
1,16,25,400,8.643856,1.053742,1.053742,1.057305,144.530030,143.472725
1,16,63,1008,9.977280,1.057305,1.057305,1.061500,150.029955,148.968455
1,16,160,2560,11.321928,1.069352,1.069352,1.073719,152.389985,151.316266
1,16,182,2912,11.507795,1.075602,1.075602,1.079883,148.619991,147.540108
1,16,185,2960,11.531381,1.087937,1.087937,1.092227,147.040002,145.947775
1,16,237,3792,11.888743,1.069820,1.069820,1.074359,142.009987,140.935628
1,16,277,4432,12.113742,1.104398,1.104398,1.108852,144.299993,143.191141
1,16,293,4688,12.194757,1.093805,1.093805,1.098484,150.309992,149.211508
1,16,341,5456,12.413628,1.108859,1.108859,1.112766,153.500005,152.387239
1,16,436,6976,12.768184,1.113430,1.113430,1.117125,146.709965,145.592840
1,16,438,7008,12.774787,1.159680,1.159680,1.163992,160.419964,159.255972
1,16,483,7728,12.915879,1.141641,1.141641,1.145430,157.620001,156.474572
1,16,544,8704,13.087463,1.143023,1.143023,1.147148,152.070017,150.922869
1,16,659,10544,13.364135,1.156875,1.156875,1.160867,143.720012,142.559144
1,16,1255,20080,14.293472,1.178437,1.178437,1.182617,155.260030,154.077413
1,16,1535,24560,14.584023,1.236578,1.236578,1.240383,155.769987,154.529604
1,16,1887,30192,14.881879,1.269891,1.269891,1.273891,149.380008,148.106118
1,16,2232,35712,15.124121,1.269469,1.269469,1.273047,152.240042,150.966995
1,16,2665,42640,15.379920,1.325812,1.325812,1.330242,140.769989,139.439747
1,16,3083,49328,15.590119,1.382500,1.382500,1.386023,153.439993,152.053969
1,16,8979,143664,17.132339,1.860125,1.860125,1.863891,152.850000,150.986109
1,16,9371,149936,17.193987,1.924148,1.924148,1.928156,144.489983,142.561826
1,16,11455,183280,17.483690,2.048266,2.048266,2.052242,153.789995,151.737753
1,16,12530,200480,17.613099,2.145781,2.145781,2.149867,147.179991,145.030124
1,16,15615,249840,17.930645,2.379758,2.379758,2.383648,156.469992,154.086344
1,16,17811,284976,18.120481,2.549523,2.549523,2.553391,158.970011,156.416621
1,16,18962,303392,18.210824,2.584758,2.584758,2.588641,148.620049,146.031408
1,16,23057,368912,18.492917,2.917273,2.917273,2.921383,158.099981,155.178599
1,16,47251,756016,19.528057,4.806594,4.806594,4.810766,151.129963,146.319198
1,16,74917,1198672,20.193006,6.860680,6.860680,6.864383,153.520028,146.655645
1,16,80231,1283696,20.291872,7.216508,7.216508,7.220266,153.289991,146.069726
1,16,107984,1727744,20.720458,9.364289,9.364289,9.368984,163.850025,154.481041
1,16,133762,2140192,21.029309,10.587000,10.587000,10.590789,161.409960,150.819171
1,16,140423,2246768,21.099420,11.063797,11.063797,11.068477,178.539951,167.471474
1,17,39,663,9.372865,1.052852,1.052852,1.056641,168.150000,167.093359
1,23,32710,752330,19.521006,4.847508,4.847508,4.851727,149.409985,144.558259
1,38,693,26334,14.684639,1.273570,1.273570,1.277492,151.220011,149.942518
1,64,12,768,9.584963,1.047102,1.047102,1.051148,144.210004,143.158855
1,64,16,1024,10.000000,1.068641,1.068641,1.072523,162.010023,160.937500
1,64,41,2624,11.357552,1.088961,1.088961,1.092789,147.379993,146.287204
1,64,76,4864,12.247928,1.120289,1.120289,1.124172,152.360008,151.235836
1,64,78,4992,12.285402,1.110875,1.110875,1.114867,168.300001,167.185134
1,64,137,8768,13.098032,1.170586,1.170586,1.175102,162.490003,161.314902
1,64,138,8832,13.108524,1.151609,1.151609,1.155539,145.919970,144.764431
1,64,645,41280,15.333155,1.411992,1.411992,1.416266,156.540016,155.123751
1,64,1002,64128,15.968667,1.486648,1.486648,1.490969,149.839965,148.348996
1,64,1025,65600,16.001408,1.525922,1.525922,1.529641,149.640022,148.110381
1,64,1130,72320,16.142107,1.528062,1.528062,1.532406,151.070009,149.537603
1,64,1961,125504,16.937374,1.761406,1.761406,1.765828,144.680031,142.914202
1,64,3389,216896,17.726644,2.209352,2.209352,2.213055,159.980031,157.766976
1,64,3494,223616,17.770664,2.234805,2.234805,2.239000,148.649968,146.410968
1,64,4137,264768,18.014369,2.519789,2.519789,2.523906,147.859973,145.336067
1,64,4919,314816,18.264149,2.677664,2.677664,2.681664,158.140028,155.458364
1,64,12279,785856,19.583905,4.867008,4.867008,4.871094,157.309987,152.438893
1,64,14850,950400,19.858175,5.658766,5.658766,5.663016,153.039990,147.376974
1,64,15177,971328,19.889599,5.757023,5.757023,5.761008,158.159994,152.398986
1,64,21843,1397952,20.414883,7.811414,7.811414,7.815547,154.850015,147.034468
1,64,26648,1705472,20.701740,9.340219,9.340219,9.344000,157.650036,148.306036
1,64,44133,2824512,21.429570,13.496398,13.496398,13.500625,165.149977,151.649352
1,64,47390,3032960,21.532295,14.483586,14.483586,14.487648,160.399999,145.912351
1,64,54202,3468928,21.726058,16.178977,16.178977,16.182672,160.449999,144.267328
1,64,70342,4501888,22.102099,20.671531,20.671531,20.675047,166.670012,145.994965
1,64,91122,5831808,22.475512,26.104453,26.104453,26.107945,174.030021,147.922076
1,64,93296,5970944,22.509528,26.628289,26.628289,26.632719,171.299966,144.667247
1,64,108771,6961344,22.730934,30.939000,30.939000,30.943016,176.639995,145.696979
1,92,10719,986148,19.911445,6.012930,6.012930,6.017398,158.239971,152.222573
1,128,9,1152,10.169925,1.050039,1.050039,1.053766,155.250018,154.196252
1,128,10,1280,10.321928,1.024359,1.024359,1.028047,144.140038,143.111991
1,128,11,1408,10.459432,1.047859,1.047859,1.052117,160.620024,159.567907
1,128,17,2176,11.087463,1.025289,1.025289,1.029180,151.780026,150.750847
1,128,21,2688,11.392317,1.019109,1.019109,1.022453,147.800019,146.777566
1,128,31,3968,11.954196,1.086266,1.086266,1.090047,152.400055,151.310008
1,128,59,7552,12.882643,1.104953,1.104953,1.108328,150.120002,149.011674
1,128,217,27776,14.761551,1.247141,1.247141,1.251047,149.489962,148.238916
1,128,233,29824,14.864186,1.237344,1.237344,1.240906,149.659987,148.419081
1,128,320,40960,15.321928,1.293148,1.293148,1.297695,150.139967,148.842272
1,128,434,55552,15.761551,1.421977,1.421977,1.425914,153.570028,152.144114
1,128,448,57344,15.807355,1.413000,1.413000,1.416789,149.430009,148.013220
1,128,1883,241024,17.878817,2.304148,2.304148,2.308273,142.780016,140.471743
1,128,2274,291072,18.151017,2.583844,2.583844,2.587258,160.850002,158.262745
1,128,3125,400000,18.609640,3.093070,3.093070,3.097266,160.850002,157.752737
1,128,5232,669696,19.353147,4.382633,4.382633,4.386375,153.069966,148.683591
1,128,6775,867200,19.726005,5.301250,5.301250,5.305266,170.969986,165.664721
1,128,21380,2736640,21.383974,13.099992,13.099992,13.103633,158.839975,145.736343
1,128,22820,2920960,21.478011,13.967180,13.967180,13.970883,160.389987,146.419104
1,128,36669,4693632,22.162273,21.249609,21.249609,21.253508,162.890006,141.636499
1,128,83299,10662272,23.346012,46.401055,46.401055,46.405164,190.229970,143.824806
1,128,83605,10701440,23.351302,46.539516,46.539516,46.543383,188.979961,142.436578
1,128,92977,11901056,23.504586,51.253141,51.253141,51.257250,204.280019,153.022769
1,128,107486,13758208,23.713789,59.215680,59.215680,59.219891,202.200026,142.980136
1,128,130017,16642176,23.988341,71.185930,71.185930,71.190117,213.010004,141.819887
