d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,2.010351,2.010351,3.206633,155.540009,152.333376
1,1,16,16,4.000000,2.012648,2.012648,3.193156,167.479971,164.286815
1,1,18,18,4.169925,1.999523,1.999523,3.180742,162.959972,159.779230
1,1,25,25,4.643856,2.004281,2.004281,3.184477,159.619958,156.435482
1,1,40,40,5.321928,2.024305,2.024305,3.210125,155.869988,152.659863
1,1,61,61,5.930737,2.003890,2.003890,3.197625,154.560024,151.362399
1,1,87,87,6.442943,2.012797,2.012797,3.193945,153.229979,150.036034
1,1,102,102,6.672425,2.004531,2.004531,3.195766,166.499987,163.304222
1,1,120,120,6.906891,1.997523,1.997523,3.195883,164.180005,160.984122
1,1,157,157,7.294621,1.988578,1.988578,3.041211,157.599978,154.558767
1,1,354,354,8.467606,2.017367,2.017367,3.136680,155.930000,152.793320
1,1,1138,1138,10.152285,2.150539,2.150539,3.369734,152.579974,149.210240
1,1,1470,1470,10.521600,2.038094,2.038094,3.135367,160.389987,157.254620
1,1,1753,1753,10.775610,2.197656,2.197656,3.420758,156.030001,152.609243
1,1,1915,1915,10.903129,2.214359,2.214359,3.455016,156.450027,152.995012
1,1,2151,2151,11.070792,2.199531,2.199531,3.413688,154.719979,151.306291
1,1,2887,2887,11.495355,2.247414,2.247414,3.477461,153.260014,149.782553
1,1,3457,3457,11.755305,2.219461,2.219461,3.458563,168.689992,165.231430
1,1,5671,5671,12.469387,2.229156,2.229156,3.372156,166.379963,163.007807
1,1,27859,27859,14.765856,3.005680,3.005680,4.295148,156.550028,152.254879
1,1,58917,58917,15.846396,3.952047,3.952047,5.143383,160.650001,155.506618
1,1,60577,60577,15.886483,3.925430,3.925430,4.971852,153.280038,148.308186
1,1,109348,109348,16.738567,5.389297,5.389297,6.557531,169.410021,162.852490
1,1,159502,159502,17.283215,6.629883,6.629883,7.829148,174.410001,166.580853
1,2,7734,15468,13.916999,1.731766,1.731766,1.741945,159.520016,157.778070
1,8,10,80,6.321928,1.962515,1.962515,1.972617,157.019997,155.047379
1,8,18,144,7.169925,1.954148,1.954148,1.963883,170.300016,168.336133
1,8,44,352,8.459432,1.950555,1.950555,1.960656,166.870013,164.909357
1,8,48,384,8.584963,1.959930,1.959930,1.970000,171.510037,169.540037
1,8,53,424,8.727920,1.958531,1.958531,1.968641,157.829956,155.861316
1,8,116,928,9.857981,1.965578,1.965578,1.975484,177.490001,175.514517
1,8,124,992,9.954196,1.969172,1.969172,1.978906,174.129964,172.151058
1,8,218,1744,10.768184,1.470305,1.470305,1.480219,184.169970,182.689752
1,8,281,2248,11.134426,1.453992,1.453992,1.464359,155.640009,154.175650
1,8,395,3160,11.625709,1.502102,1.502102,1.511742,161.640055,160.128313
1,8,425,3400,11.731319,1.496156,1.496156,1.505727,171.280000,169.774274
1,8,487,3896,11.927778,1.522695,1.522695,1.532375,163.390010,161.857635
1,8,553,4424,12.111136,1.528813,1.528813,1.537898,168.439990,166.902092
1,8,848,6784,12.727920,1.531719,1.531719,1.542234,158.299983,156.757749
1,8,921,7368,12.847057,1.644508,1.644508,1.655227,177.590002,175.934775
1,8,1572,12576,13.618386,1.611695,1.611695,1.622172,161.370030,159.747858
1,8,5534,44272,15.434107,1.784656,1.784656,1.795141,158.640032,156.844892
1,8,7159,57272,15.805542,1.886508,1.886508,1.895766,156.840018,154.944253
1,8,8659,69272,16.079985,1.993227,1.993227,2.003344,159.610005,157.606661
1,8,18677,149416,17.188975,2.510812,2.510812,2.521250,161.989999,159.468749
1,8,19347,154776,17.239822,2.539446,2.539446,2.548398,157.499977,154.951579
1,8,23842,190736,17.541218,2.747547,2.747547,2.758242,158.159994,155.401751
1,8,27070,216560,17.724407,2.976125,2.976125,2.986859,157.549977,154.563118
1,8,89778,718224,19.454074,6.091321,6.091321,6.100773,174.849993,168.749219
1,8,143046,1144368,20.126120,7.601203,7.601203,7.611039,164.369994,156.758955
1,14,94,1316,10.361944,1.486148,1.486148,1.497258,154.660025,153.162767
1,15,5,75,6.228819,1.612633,1.612633,1.622992,154.219975,152.596983
1,16,8,128,7.000000,1.632727,1.632727,1.642523,169.520034,167.877510
1,16,10,160,7.321928,1.479242,1.479242,1.490070,174.030021,172.539951
1,16,15,240,7.906891,1.481875,1.481875,1.493094,156.730006,155.236912
1,16,25,400,8.643856,1.485429,1.485429,1.496828,157.049973,155.553145
1,16,63,1008,9.977280,1.510125,1.510125,1.520758,159.010000,157.489242
1,16,160,2560,11.321928,1.485110,1.485110,1.495008,178.649963,177.154956
1,16,182,2912,11.507795,1.478844,1.478844,1.488219,160.469965,158.981746
1,16,185,2960,11.531381,1.542625,1.542625,1.552898,156.519993,154.967094
1,16,237,3792,11.888743,1.483641,1.483641,1.493922,166.489976,164.996054
1,16,277,4432,12.113742,1.546774,1.546774,1.556445,154.509966,152.953521
1,16,293,4688,12.194757,1.531437,1.531437,1.542633,152.229972,150.687339
1,16,341,5456,12.413628,1.530828,1.530828,1.541172,154.700014,153.158842
1,16,436,6976,12.768184,1.600305,1.600305,1.610258,183.039985,181.429727
1,16,438,7008,12.774787,1.600086,1.600086,1.610633,154.429988,152.819356
1,16,483,7728,12.915879,1.615125,1.615125,1.625023,157.290022,155.664998
1,16,544,8704,13.087463,1.644023,1.644023,1.654563,173.179957,171.525394
1,16,659,10544,13.364135,1.575156,1.575156,1.585938,165.389967,163.804030
1,16,1255,20080,14.293472,1.620633,1.620633,1.630187,155.409973,153.779785
1,16,1535,24560,14.584023,1.629016,1.629016,1.638734,162.679993,161.041259
1,16,1887,30192,14.881879,1.683852,1.683852,1.693867,155.049958,153.356091
1,16,2232,35712,15.124121,1.743125,1.743125,1.754242,156.050024,154.295782
1,16,2665,42640,15.379920,1.765195,1.765195,1.774750,154.990004,153.215254
1,16,3083,49328,15.590119,1.796344,1.796344,1.806836,168.810016,167.003180
1,16,8979,143664,17.132339,2.317906,2.317906,2.328711,160.190044,157.861333
1,16,9371,149936,17.193987,2.420742,2.420742,2.431586,168.900006,166.468420
1,16,11455,183280,17.483690,2.562422,2.562422,2.572594,166.690035,164.117441
1,16,12530,200480,17.613099,2.718656,2.718656,2.729242,158.939976,156.210734
1,16,15615,249840,17.930645,2.975695,2.975695,2.986016,155.669986,152.683971
1,16,17811,284976,18.120481,3.124336,3.124336,3.135008,162.440003,159.304995
1,16,18962,303392,18.210824,3.166164,3.166164,3.176727,165.270001,162.093275
1,16,23057,368912,18.492917,3.500453,3.500453,3.510836,162.619981,159.109145
1,16,47251,756016,19.528057,5.564406,5.564406,5.573797,153.520028,147.946231
1,16,74917,1198672,20.193006,7.911000,7.911000,7.922477,163.240009,155.317532
1,16,80231,1283696,20.291872,8.421117,8.421117,8.432227,164.109981,155.677754
1,16,107984,1727744,20.720458,10.849930,10.849930,10.860477,168.689992,157.829516
1,16,133762,2140192,21.029309,11.714945,11.714945,11.724773,170.529995,158.805221
1,16,140423,2246768,21.099420,12.259844,12.259844,12.270148,167.719962,155.449813
1,17,39,663,9.372865,1.468656,1.468656,1.479234,175.699999,174.220765
1,23,32710,752330,19.521006,5.670390,5.670390,5.681148,155.219983,149.538834
1,38,693,26334,14.684639,1.652484,1.652484,1.663367,153.450004,151.786637
1,64,12,768,9.584963,1.120695,1.120695,1.130766,155.819987,154.689222
1,64,16,1024,10.000000,1.149196,1.149196,1.158734,151.989982,150.831247
1,64,41,2624,11.357552,1.165031,1.165031,1.174625,159.520016,158.345391
1,64,76,4864,12.247928,1.624102,1.624102,1.634633,164.230005,162.595372
1,64,78,4992,12.285402,1.607633,1.607633,1.617977,159.760006,158.142029
1,64,137,8768,13.098032,1.596461,1.596461,1.606648,154.829992,153.223343
1,64,138,8832,13.108524,1.617578,1.617578,1.628469,164.890022,163.261553
1,64,645,41280,15.333155,1.719039,1.719039,1.730016,164.769997,163.039982
1,64,1002,64128,15.968667,1.828219,1.828219,1.838273,153.879984,152.041711
1,64,1025,65600,16.001408,1.896766,1.896766,1.906883,153.400004,151.493121
1,64,1130,72320,16.142107,1.892781,1.892781,1.903516,162.150012,160.246497
1,64,1961,125504,16.937374,2.162062,2.162062,2.172398,175.610010,173.437612
1,64,3389,216896,17.726644,2.733828,2.733828,2.743398,185.350014,182.606616
1,64,3494,223616,17.770664,2.794516,2.794516,2.804398,157.109986,154.305587
1,64,4137,264768,18.014369,2.921742,2.921742,2.931875,166.499987,163.568112
1,64,4919,314816,18.264149,3.153633,3.153633,3.163984,169.769977,166.605993
1,64,12279,785856,19.583905,5.445000,5.445000,5.455305,170.200015,164.744711
1,64,14850,950400,19.858175,6.295375,6.295375,6.305500,163.390010,157.084510
1,64,15177,971328,19.889599,6.380695,6.380695,6.392016,161.339995,154.947979
1,64,21843,1397952,20.414883,8.605141,8.605141,8.615000,157.520000,148.905000
1,64,26648,1705472,20.701740,10.313438,10.313438,10.323164,158.049981,147.726817
1,64,44133,2824512,21.429570,15.106039,15.106039,15.116344,166.770013,151.653669
1,64,47390,3032960,21.532295,16.258766,16.258766,16.268852,172.319997,156.051145
1,64,54202,3468928,21.726058,18.124156,18.124156,18.135023,179.359980,161.224957
1,64,70342,4501888,22.102099,22.746914,22.746914,22.758219,184.550008,161.791789
1,64,91122,5831808,22.475512,28.834352,28.834352,28.844633,174.209999,145.365367
1,64,93296,5970944,22.509528,29.214562,29.214562,29.225719,183.220021,153.994303
1,64,108771,6961344,22.730934,33.893273,33.893273,33.903875,205.150049,171.246174
1,92,10719,986148,19.911445,6.620797,6.620797,6.631125,267.459021,260.827896
1,128,9,1152,10.169925,1.121992,1.121992,1.131258,155.199959,154.068702
1,128,10,1280,10.321928,1.136891,1.136891,1.146359,162.230048,161.083688
1,128,11,1408,10.459432,1.138797,1.138797,1.148953,151.460001,150.311048
1,128,17,2176,11.087463,1.129930,1.129930,1.140398,154.869980,153.729582
1,128,21,2688,11.392317,1.105321,1.105321,1.114375,162.390003,161.275628
1,128,31,3968,11.954196,1.175672,1.175672,1.184742,155.850023,154.665280
1,128,59,7552,12.882643,1.292929,1.292929,1.304695,164.249970,162.945275
1,128,217,27776,14.761551,1.367914,1.367914,1.377453,153.419969,152.042516
1,128,233,29824,14.864186,1.354984,1.354984,1.365469,161.269971,159.904502
1,128,320,40960,15.321928,1.479695,1.479695,1.489727,154.719979,153.230252
1,128,434,55552,15.761551,1.541453,1.541453,1.551383,153.519970,151.968587
1,128,448,57344,15.807355,1.535875,1.535875,1.546227,159.790041,158.243814
1,128,1883,241024,17.878817,2.798445,2.798445,2.808727,159.029965,156.221239
1,128,2274,291072,18.151017,3.055554,3.055554,3.066859,168.610015,165.543156
1,128,3125,400000,18.609640,3.656617,3.656617,3.667219,153.279980,149.612761
1,128,5232,669696,19.353147,5.252781,5.252781,5.264000,178.310031,173.046031
1,128,6775,867200,19.726005,6.216930,6.216930,6.227023,170.940009,164.712986
1,128,21380,2736640,21.383974,15.744133,15.744133,15.753492,163.759978,148.006486
1,128,22820,2920960,21.478011,16.553180,16.553180,16.563500,169.129984,152.566484
1,128,36669,4693632,22.162273,25.609953,25.609953,25.619633,184.969977,159.350344
1,128,83299,10662272,23.346012,55.886211,55.886211,55.897023,217.819994,161.922970
1,128,83605,10701440,23.351302,56.166609,56.166609,56.177617,204.020005,147.842388
1,128,92977,11901056,23.504586,62.143750,62.143750,62.154641,211.470004,149.315363
1,128,107486,13758208,23.713789,71.618031,71.618031,71.628289,217.280001,145.651712
1,128,130017,16642176,23.988341,86.367727,86.367727,86.377766,235.099986,148.722220
1,128,141033,18052224,24.105673,93.206383,93.206383,93.217742,242.229959,149.012216
1,169,12,2028,10.985842,1.156789,1.156789,1.166758,155.760034,154.593276
1,192,5,960,9.906891,1.134555,1.134555,1.145133,159.799994,158.654862
1,242,258,62436,15.930090,1.558930,1.558930,1.568992,176.419970,174.850977
1,256,10,2560,11.321928,1.161133,1.161133,1.171508,171.580003,170.408495
1,256,12,3072,11.584963,1.165250,1.165250,1.175695,154.929992,153.754297
1,256,25,6400,12.643856,1.253859,1.253859,1.263844,153.039990,151.776146
1,256,29,7424,12.857981,1.241328,1.241328,1.252852,170.269981,169.017129
1,256,37,9472,13.209453,1.261453,1.261453,1.272820,164.560042,163.287222
1,256,41,10496,13.357552,1.233406,1.233406,1.243148,161.620032,160.376883
1,256,55,14080,13.781360,1.254883,1.254883,1.265703,160.329975,159.064272
1,256,78,19968,14.285402,1.285117,1.285117,1.295078,163.650024,162.354946
1,256,196,50176,15.614710,1.502766,1.502766,1.513250,155.880000,154.366750
1,256,245,62720,15.936638,1.614414,1.614414,1.624445,168.139988,166.515543
1,256,251,64256,15.971544,1.863617,1.863617,1.873383,153.080036,151.206654
1,256,391,100096,16.611025,1.756867,1.756867,1.767734,159.539981,157.772246
1,256,469,120064,16.873444,1.838828,1.838828,1.848766,156.480004,154.631238
1,256,589,150784,17.202124,2.033492,2.033492,2.043797,156.890019,154.846222
1,256,735,188160,17.521600,2.269461,2.269461,2.279383,155.469985,153.190602
1,256,780,199680,17.607330,2.406523,2.406523,2.417219,167.099992,164.682773
1,256,859,219904,17.746514,2.498664,2.498664,2.509156,162.900018,160.390862
1,256,1252,320512,18.290019,2.996781,2.996781,3.007852,165.530015,162.522163
1,256,1456,372736,18.507795,3.232930,3.232930,3.243133,168.639992,165.396859
1,256,26331,6740736,22.684475,32.787429,32.787429,32.798602,184.960023,152.161421
1,256,34889,8931584,23.090485,42.541899,42.541899,42.551367,188.020000,145.468633
1,256,51706,13236736,23.658044,65.372508,65.372508,65.383781,214.110012,148.726231
1,481,4,1924,10.909893,1.689703,1.689703,1.699617,154.330046,152.630429
1,488,69,33672,15.039262,1.387586,1.387586,1.397953,153.799949,152.401996
1,512,11,5632,12.459432,1.228586,1.228586,1.239938,157.559989,156.320051
1,512,14,7168,12.807355,1.251719,1.251719,1.261734,162.010023,160.748289
1,512,15,7680,12.906891,1.245195,1.245195,1.255375,156.190014,154.934639
1,512,36,18432,14.169925,1.307336,1.307336,1.317367,154.360023,153.042656
1,512,44,22528,14.459432,1.296148,1.296148,1.305781,155.460031,154.154250
1,512,58,29696,14.857981,1.307484,1.307484,1.317531,154.490001,153.172469
1,512,62,31744,14.954196,1.356078,1.356078,1.365258,156.089955,154.724697
1,512,64,32768,15.000000,1.331586,1.331586,1.342242,154.920039,153.577797
1,512,115,58880,15.845490,1.533563,1.533563,1.542922,154.300011,152.757089
1,512,155,79360,16.276124,1.638156,1.638156,1.648211,151.089975,149.441764
1,512,220,112640,16.781360,1.826977,1.826977,1.837156,158.859999,157.022843
1,512,227,116224,16.826548,1.862719,1.862719,1.872055,158.459996,156.587941
1,512,248,126976,16.954196,1.917524,1.917524,1.927563,160.310010,158.382447
1,512,326,166912,17.348728,2.107531,2.107531,2.117383,151.530025,149.412642
1,512,425,217600,17.731319,2.506328,2.506328,2.517000,162.940007,160.423007
1,512,492,251904,17.942515,2.598273,2.598273,2.608469,171.210035,168.601566
1,512,505,258560,17.980140,2.925102,2.925102,2.935398,163.850025,160.914627
1,512,1162,594944,19.182394,4.356555,4.356555,4.366992,154.499954,150.132962
1,512,1765,903680,19.785452,5.869219,5.869219,5.879711,156.939961,151.060250
1,512,2573,1317376,20.329236,7.943914,7.943914,7.953609,160.160009,152.206399
1,512,3305,1692160,20.690435,9.905203,9.905203,9.916516,161.219970,151.303455
1,512,4297,2200064,21.069114,12.463015,12.463015,12.474109,181.729964,169.255854
1,512,4379,2242048,21.096386,12.716844,12.716844,12.727875,164.150028,151.422153
1,512,4765,2439680,21.218260,13.669133,13.669133,13.679258,179.369992,165.690734
