d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.938141,0.938141,0.941734,145.539991,144.598256
1,1,16,16,4.000000,0.924547,0.924547,0.928594,145.460013,144.531420
1,1,18,18,4.169925,0.924500,0.924500,0.928344,148.240011,147.311667
1,1,25,25,4.643856,0.923515,0.923515,0.927773,144.649995,143.722222
1,1,40,40,5.321928,0.925898,0.925898,0.929625,139.759970,138.830345
1,1,61,61,5.930737,0.931234,0.931234,0.934984,147.749961,146.814976
1,1,87,87,6.442943,0.956250,0.956250,0.960602,144.810008,143.849407
1,1,102,102,6.672425,0.924906,0.924906,0.928828,157.120056,156.191227
1,1,120,120,6.906891,0.925883,0.925883,0.929836,145.679980,144.750144
1,1,157,157,7.294621,0.950508,0.950508,0.953914,148.350024,147.396110
1,1,354,354,8.467606,0.949375,0.949375,0.953688,135.909999,134.956311
1,1,1138,1138,10.152285,1.006281,1.006281,1.010102,159.249990,158.239889
1,1,1470,1470,10.521600,0.983383,0.983383,0.987094,147.969986,146.982892
1,1,1753,1753,10.775610,1.024055,1.024055,1.027422,147.000013,145.972592
1,1,1915,1915,10.903129,1.050570,1.050570,1.054219,146.510021,145.455802
1,1,2151,2151,11.070792,1.029867,1.029867,1.033719,167.979975,166.946256
1,1,2887,2887,11.495355,1.043898,1.043898,1.047617,143.959944,142.912326
1,1,3457,3457,11.755305,1.078812,1.078812,1.082727,145.889993,144.807267
1,1,5671,5671,12.469387,1.125969,1.125969,1.129328,153.560017,152.430689
1,1,27859,27859,14.765856,1.377875,1.377875,1.381352,144.089980,142.708628
1,1,58917,58917,15.846396,1.716687,1.716687,1.720875,143.379963,141.659088
1,1,60577,60577,15.886483,1.722734,1.722734,1.726570,154.179987,152.453416
1,1,109348,109348,16.738567,2.210563,2.210563,2.214078,142.940029,140.725951
1,1,159502,159502,17.283215,2.506320,2.506320,2.510352,146.649953,144.139601
1,2,7734,15468,13.916999,0.607719,0.607719,0.617195,148.590014,147.972818
1,8,10,80,6.321928,0.460867,0.460867,0.465609,139.090000,138.624390
1,8,18,144,7.169925,0.461727,0.461727,0.466055,142.620003,142.153949
1,8,44,352,8.459432,0.461023,0.461023,0.465422,147.259969,146.794547
1,8,48,384,8.584963,0.461844,0.461844,0.466031,142.139965,141.673934
1,8,53,424,8.727920,0.461031,0.461031,0.465734,143.040030,142.574295
1,8,116,928,9.857981,0.457047,0.457047,0.461430,147.640007,147.178577
1,8,124,992,9.954196,0.460828,0.460828,0.465875,137.070019,136.604144
1,8,218,1744,10.768184,0.497562,0.497562,0.506539,148.159976,147.653437
1,8,281,2248,11.134426,0.487547,0.487547,0.496141,151.080021,150.583881
1,8,395,3160,11.625709,0.498188,0.498188,0.506883,139.779993,139.273111
1,8,425,3400,11.731319,0.498422,0.498422,0.507359,145.779981,145.272621
1,8,487,3896,11.927778,0.498227,0.498227,0.506734,147.279992,146.773258
1,8,553,4424,12.111136,0.498242,0.498242,0.507000,146.900013,146.393013
1,8,848,6784,12.727920,0.504086,0.504086,0.513398,144.270016,143.756617
1,8,921,7368,12.847057,0.519891,0.519891,0.528641,148.880004,148.351364
1,8,1572,12576,13.618386,0.523773,0.523773,0.532406,146.779988,146.247582
1,8,5534,44272,15.434107,0.613024,0.613024,0.621203,144.179969,143.558765
1,8,7159,57272,15.805542,0.639547,0.639547,0.647789,149.959989,149.312200
1,8,8659,69272,16.079985,0.691750,0.691750,0.700758,143.649988,142.949230
1,8,18677,149416,17.188975,0.935844,0.935844,0.944492,145.529979,144.585487
1,8,19347,154776,17.239822,0.948344,0.948344,0.956617,146.769977,145.813360
1,8,23842,190736,17.541218,1.060516,1.060516,1.068508,143.440033,142.371525
1,8,27070,216560,17.724407,1.130891,1.130891,1.139367,145.359954,144.220587
1,8,89778,718224,19.454074,2.641875,2.641875,2.651023,142.859994,140.208970
1,8,143046,1144368,20.126120,10.761523,10.761523,10.771461,145.630038,134.858577
1,14,94,1316,10.361944,0.472305,0.472305,0.477250,147.190003,146.712753
1,15,5,75,6.228819,0.530156,0.530156,0.534883,143.789977,143.255095
1,16,8,128,7.000000,0.530039,0.530039,0.534820,139.560027,139.025206
1,16,10,160,7.321928,0.473594,0.473594,0.478016,144.850055,144.372040
1,16,15,240,7.906891,0.472414,0.472414,0.477492,140.709977,140.232485
1,16,25,400,8.643856,0.473445,0.473445,0.477898,137.139985,136.662086
1,16,63,1008,9.977280,0.473609,0.473609,0.478234,153.589994,153.111759
1,16,160,2560,11.321928,0.502469,0.502469,0.510672,145.329977,144.819306
1,16,182,2912,11.507795,0.502844,0.502844,0.511250,152.140041,151.628791
1,16,185,2960,11.531381,0.502281,0.502281,0.510156,137.600000,137.089844
1,16,237,3792,11.888743,0.502055,0.502055,0.509906,146.770035,146.260129
1,16,277,4432,12.113742,0.498883,0.498883,0.507633,140.090007,139.582375
1,16,293,4688,12.194757,0.499031,0.499031,0.508086,150.490028,149.981942
1,16,341,5456,12.413628,0.499039,0.499039,0.507750,141.089957,140.582207
1,16,436,6976,12.768184,0.515227,0.515227,0.523508,142.779958,142.256450
1,16,438,7008,12.774787,0.515031,0.515031,0.523828,146.750011,146.226183
1,16,483,7728,12.915879,0.514062,0.514062,0.522742,148.319989,147.797246
1,16,544,8704,13.087463,0.514492,0.514492,0.523359,139.199954,138.676595
1,16,659,10544,13.364135,0.518375,0.518375,0.526992,149.780011,149.253019
1,16,1255,20080,14.293472,0.511360,0.511360,0.519547,143.459998,142.940451
1,16,1535,24560,14.584023,0.525641,0.525641,0.533883,138.020026,137.486144
1,16,1887,30192,14.881879,0.534234,0.534234,0.543258,147.689949,147.146691
1,16,2232,35712,15.124121,0.556578,0.556578,0.565852,162.000011,161.434160
1,16,2665,42640,15.379920,0.583922,0.583922,0.593234,160.090043,159.496809
1,16,3083,49328,15.590119,0.595164,0.595164,0.603539,147.769984,147.166445
1,16,8979,143664,17.132339,0.792352,0.792352,0.800492,140.570046,139.769554
