d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.426516,1.426516,1.431969,155.040005,153.608036
1,1,16,16,4.000000,1.424812,1.424812,1.430594,161.900010,160.469417
1,1,18,18,4.169925,1.441539,1.441539,1.446844,153.239991,151.793147
1,1,25,25,4.643856,1.433617,1.433617,1.439070,148.680003,147.240932
1,1,40,40,5.321928,1.438000,1.438000,1.443695,153.789995,152.346300
1,1,61,61,5.930737,1.446563,1.446563,1.451477,152.439985,150.988508
1,1,87,87,6.442943,1.430422,1.430422,1.435828,140.880002,139.444174
1,1,102,102,6.672425,1.442195,1.442195,1.446906,150.000036,148.553130
1,1,120,120,6.906891,1.431094,1.431094,1.436719,150.530017,149.093298
1,1,157,157,7.294621,0.963875,0.963875,0.967555,142.420002,141.452447
1,1,354,354,8.467606,0.999672,0.999672,1.004227,149.369997,148.365770
1,1,1138,1138,10.152285,1.064172,1.064172,1.067875,151.320011,150.252136
1,1,1470,1470,10.521600,1.084766,1.084766,1.089141,147.840008,146.750868
1,1,1753,1753,10.775610,1.096992,1.096992,1.101109,152.119959,151.018850
1,1,1915,1915,10.903129,1.051031,1.051031,1.054523,150.599983,149.545459
1,1,2151,2151,11.070792,1.126266,1.126266,1.130062,144.039979,142.909917
1,1,2887,2887,11.495355,1.112359,1.112359,1.116367,149.749976,148.633609
1,1,3457,3457,11.755305,1.130641,1.130641,1.134547,152.599998,151.465451
1,1,5671,5671,12.469387,1.133016,1.133016,1.136680,143.380021,142.243341
1,1,27859,27859,14.765856,1.551742,1.551742,1.555945,167.120015,165.564070
1,1,58917,58917,15.846396,2.013984,2.013984,2.017992,172.989967,170.971975
1,1,60577,60577,15.886483,2.051148,2.051148,2.055062,166.209997,164.154934
1,1,109348,109348,16.738567,2.768523,2.768523,2.772750,152.990047,150.217297
1,1,159502,159502,17.283215,3.136688,3.136688,3.140258,156.019989,152.879731
1,2,7734,15468,13.916999,1.176867,1.176867,1.181008,147.319981,146.138973
1,8,10,80,6.321928,1.030125,1.030125,1.034258,140.519987,139.485730
1,8,18,144,7.169925,1.026828,1.026828,1.031500,149.180007,148.148507
1,8,44,352,8.459432,0.990437,0.990437,0.994742,143.239973,142.245231
1,8,48,384,8.584963,1.005453,1.005453,1.009156,155.259972,154.250815
1,8,53,424,8.727920,0.993516,0.993516,0.997414,145.770027,144.772613
1,8,116,928,9.857981,1.010437,1.010437,1.014547,159.699994,158.685447
1,8,124,992,9.954196,1.031539,1.031539,1.036008,155.070040,154.034032
1,8,218,1744,10.768184,0.998633,0.998633,1.002633,142.030010,141.027378
1,8,281,2248,11.134426,1.047539,1.047539,1.051531,156.719994,155.668463
