d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.557031,1.557031,1.563805,138.219970,136.656165
1,1,16,16,4.000000,1.509797,1.509797,1.515141,146.650011,145.134870
1,1,18,18,4.169925,1.542289,1.542289,1.547500,147.840008,146.292508
1,1,25,25,4.643856,1.547226,1.547226,1.553820,145.889993,144.336173
1,1,40,40,5.321928,1.508227,1.508227,1.513969,146.979990,145.466021
1,1,61,61,5.930737,1.588047,1.588047,1.593484,147.750019,146.156535
1,1,87,87,6.442943,1.574531,1.574531,1.580227,158.170005,156.589779
1,1,102,102,6.672425,1.593875,1.593875,1.598867,162.890006,161.291139
1,1,120,120,6.906891,1.587445,1.587445,1.593109,143.839978,142.246868
1,1,157,157,7.294621,1.558836,1.558836,1.563875,143.120007,141.556132
1,1,354,354,8.467606,1.051383,1.051383,1.055883,148.160965,147.105082
1,1,1138,1138,10.152285,1.108883,1.108883,1.112781,151.599990,150.487209
1,1,1470,1470,10.521600,1.145156,1.145156,1.149250,149.859989,148.710739
1,1,1753,1753,10.775610,1.143609,1.143609,1.147508,149.650034,148.502526
1,1,1915,1915,10.903129,1.145414,1.145414,1.150109,160.249998,159.099888
1,1,2151,2151,11.070792,1.137461,1.137461,1.141125,148.500025,147.358900
1,1,2887,2887,11.495355,1.137258,1.137258,1.141258,146.990002,145.848744
1,1,3457,3457,11.755305,1.141273,1.141273,1.145492,140.210032,139.064539
1,1,5671,5671,12.469387,1.195984,1.195984,1.199906,150.799984,149.600078
1,1,27859,27859,14.765856,1.337266,1.337266,1.341523,141.730008,140.388485
1,1,58917,58917,15.846396,1.749867,1.749867,1.753750,147.060025,145.306275
1,1,60577,60577,15.886483,1.739086,1.739086,1.742914,166.620011,164.877097
1,1,109348,109348,16.738567,2.329039,2.329039,2.333258,147.150015,144.816757
1,1,159502,159502,17.283215,5.441352,5.441352,5.444914,154.100009,148.655095
1,2,7734,15468,13.916999,1.214719,1.214719,1.218156,150.570006,149.351849
1,8,10,80,6.321928,1.073352,1.073352,1.077047,158.639974,157.562927
1,8,18,144,7.169925,1.110820,1.110820,1.114609,139.729993,138.615384
1,8,44,352,8.459432,1.092359,1.092359,1.096250,148.109975,147.013725
