d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.968461,0.968461,0.971727,150.109990,149.138264
1,1,16,16,4.000000,0.923578,0.923578,0.927430,148.100022,147.172592
1,1,18,18,4.169925,0.923226,0.923226,0.927484,150.730019,149.802534
1,1,25,25,4.643856,0.924516,0.924516,0.928555,153.439993,152.511438
1,1,40,40,5.321928,0.959469,0.959469,0.962586,144.089980,143.127394
1,1,61,61,5.930737,0.956312,0.956312,0.960336,144.899997,143.939661
1,1,87,87,6.442943,0.940977,0.940977,0.944680,154.000008,153.055329
1,1,102,102,6.672425,0.941508,0.941508,0.945617,151.349988,150.404371
1,1,120,120,6.906891,0.924242,0.924242,0.927875,209.329999,208.402124
1,1,157,157,7.294621,0.926305,0.926305,0.929977,155.379996,154.450019
1,1,354,354,8.467606,0.977047,0.977047,0.981219,150.440028,149.458809
1,1,1138,1138,10.152285,1.080867,1.080867,1.084836,149.569998,148.485162
1,1,1470,1470,10.521600,0.997703,0.997703,1.001102,149.109983,148.108881
1,1,1753,1753,10.775610,1.042867,1.042867,1.047094,145.989994,144.942900
1,1,1915,1915,10.903129,1.027000,1.027000,1.030578,152.789988,151.759409
1,1,2151,2151,11.070792,1.045188,1.045188,1.048633,147.759973,146.711340
1,1,2887,2887,11.495355,1.065766,1.065766,1.069789,145.200000,144.130210
1,1,3457,3457,11.755305,1.109547,1.109547,1.113375,158.209994,157.096619
1,1,5671,5671,12.469387,1.111281,1.111281,1.114898,147.599960,146.485061
1,1,27859,27859,14.765856,1.393320,1.393320,1.397359,152.449997,151.052637
1,1,58917,58917,15.846396,1.746875,1.746875,1.750852,154.829992,153.079140
1,1,60577,60577,15.886483,1.715281,1.715281,1.719289,151.120010,149.400721
1,1,109348,109348,16.738567,2.184211,2.184211,2.188125,148.059975,145.871850
1,1,159502,159502,17.283215,5.015398,5.015398,5.018734,149.249972,144.231238
1,2,7734,15468,13.916999,1.121539,1.121539,1.125141,149.709987,148.584847
1,8,10,80,6.321928,1.015703,1.015703,1.020094,152.610010,151.589916
